date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2011-01-01,184.458,5.5,5.583,13.0,15.375,2.375,,3.261,190.042
2011-01-02,181.417,4.522,3.292,7.208,8.542,1.333,,2.958,184.708
2011-01-03,186.435,4.333,5.261,5.875,7.167,1.292,,2.75,191.696
2011-01-04,188.292,5.542,5.542,7.583,8.958,1.375,,4.708,193.833
2011-01-05,189.208,5.0,6.375,15.458,21.75,6.292,,3.125,195.583
2011-01-06,189.458,4.542,6.708,18.435,27.087,8.652,,2.75,196.167
2011-01-07,190.917,5.042,10.375,18.625,24.125,5.5,,3.25,201.292
2011-01-08,190.792,4.542,6.0,13.417,16.25,2.833,,3.043,196.792
2011-01-09,190.583,5.087,8.542,21.292,31.5,10.208,,3.25,199.125
2011-01-10,191.348,5.625,12.522,26.417,44.667,18.25,,3.375,203.87
2011-01-11,189.667,5.625,11.875,22.083,42.0,19.917,,3.583,201.542
2011-01-12,190.25,4.417,8.75,14.375,20.958,6.583,,3.042,199.0
2011-01-13,189.273,5.375,11.727,26.0,46.652,20.652,,3.333,201.0
2011-01-14,192.042,5.833,9.917,20.609,32.348,11.739,,3.792,201.958
2011-01-15,193.417,5.792,9.667,19.125,29.208,10.083,,3.0,203.083
2011-01-16,194.042,5.565,13.292,25.292,38.208,12.917,,3.25,207.333
2011-01-17,189.87,4.958,6.783,24.583,38.208,13.625,,2.708,196.652
2011-01-18,190.0,5.292,9.333,26.292,51.25,24.958,,3.375,199.333
2011-01-19,190.417,5.167,10.083,24.792,36.375,11.583,,3.083,200.5
2011-01-20,187.25,4.042,4.417,8.167,9.375,1.208,,1.958,191.667
2011-01-21,186.5,4.417,5.625,17.542,22.708,5.167,,2.042,192.125
2011-01-22,186.625,5.208,8.375,14.375,22.5,8.125,,2.217,195.0
2011-01-23,187.208,5.217,8.083,15.75,25.208,9.458,,2.625,195.292
2011-01-24,190.435,4.542,9.739,15.375,23.625,8.25,,2.583,200.174
2011-01-25,190.0,4.958,9.875,26.727,59.818,33.091,,2.75,199.875
2011-01-26,190.917,4.958,8.167,31.0,64.125,33.125,,3.125,199.083
2011-01-27,192.542,5.375,11.167,20.583,40.125,19.542,,3.25,203.708
2011-01-28,192.625,5.542,10.5,19.217,24.478,5.261,,3.625,203.125
2011-01-29,191.458,4.458,7.792,6.042,7.042,1.0,,2.348,199.25
2011-01-30,191.417,4.217,7.458,15.292,28.5,13.208,,2.542,198.875
2011-01-31,190.174,4.5,8.217,21.5,40.083,18.583,,2.542,198.391
2011-02-01,188.917,4.958,7.458,18.458,30.542,12.083,,4.083,196.375
2011-02-02,189.333,4.667,5.792,10.542,12.0,1.458,,2.542,195.125
2011-02-03,191.0,4.958,6.875,16.583,22.083,5.5,,2.625,197.875
2011-02-04,190.292,5.5,8.333,20.783,31.217,10.435,,2.417,198.625
2011-02-05,192.25,5.833,9.5,18.25,23.292,5.042,,3.304,201.75
2011-02-06,192.667,6.913,13.417,29.5,53.958,24.458,,3.167,206.083
2011-02-07,187.435,5.667,12.783,22.0,39.5,17.5,,2.542,200.217
2011-02-08,189.167,4.625,8.875,14.958,17.875,2.917,,2.417,198.042
2011-02-09,190.0,4.167,7.409,17.25,30.75,13.5,,2.208,197.409
2011-02-10,190.542,4.458,8.875,21.458,30.042,8.583,,2.417,199.417
2011-02-11,190.708,4.333,7.75,10.783,12.261,1.478,,2.167,198.458
2011-02-12,192.375,5.0,8.875,17.042,20.958,3.917,,2.739,201.25
2011-02-13,193.375,5.435,11.125,26.042,42.167,16.125,,3.292,204.5
2011-02-14,188.696,5.333,10.0,30.208,56.125,25.917,,2.458,198.696
2011-02-15,188.542,5.75,11.958,27.5,46.625,19.125,,2.833,200.5
2011-02-16,189.75,5.375,11.208,24.833,32.167,7.333,,3.292,200.958
2011-02-17,186.583,4.75,7.5,17.583,28.042,10.458,,2.458,194.083
2011-02-18,188.25,4.083,5.292,8.304,12.609,4.304,,2.0,193.542
2011-02-19,189.792,4.333,6.375,9.542,11.042,1.5,,2.217,196.167
2011-02-20,191.167,4.957,7.083,17.625,22.125,4.5,,2.0,198.25
2011-02-21,190.714,5.579,9.571,30.5,53.583,23.083,,2.458,200.286
2011-02-22,191.0,5.958,16.227,26.833,39.125,12.292,,4.417,207.227
2011-02-23,189.0,6.917,12.174,31.0,50.5,19.5,,2.875,201.174
2011-02-24,191.042,6.083,4.833,14.25,17.667,3.417,,4.208,195.875
2011-02-25,190.792,6.75,5.417,20.565,22.957,2.391,,3.083,196.208
2011-02-26,191.292,6.208,5.833,13.458,14.917,1.458,,2.696,197.125
2011-02-27,190.583,4.391,3.542,9.375,10.833,1.458,,2.5,194.125
2011-02-28,194.292,5.375,7.0,26.333,34.875,8.542,,3.583,201.292
2011-03-01,189.348,5.208,9.565,29.833,70.333,40.5,,1.556,198.913
2011-03-02,190.455,6.625,10.0,32.375,67.208,34.833,,1.292,200.455
2011-03-03,190.5,5.667,1.417,19.348,21.609,2.261,,1.167,191.917
2011-03-04,193.083,6.25,1.083,16.75,19.667,2.917,,2.174,194.167
2011-03-05,189.375,5.565,1.958,29.417,38.875,9.458,,1.042,191.333
2011-03-06,189.227,6.217,10.636,28.333,57.375,29.042,,1.348,199.864
2011-03-07,193.042,6.542,9.875,27.708,46.708,19.0,,1.458,202.917
2011-03-08,195.792,6.583,11.25,23.417,29.75,6.333,,2.458,207.042
2011-03-09,197.0,6.292,13.667,26.833,38.208,11.375,,1.417,210.667
2011-03-10,,5.75,,10.696,12.435,1.739,,1.292,
2011-03-11,,5.417,,10.792,14.25,3.458,,1.435,
2011-03-12,187.615,4.826,3.538,11.167,13.25,2.083,,1.25,191.154
2011-03-13,189.826,4.292,6.0,12.708,16.125,3.417,,1.042,195.826
2011-03-14,190.333,4.75,8.542,24.292,36.417,12.125,,1.292,198.875
2011-03-15,189.625,5.083,7.75,22.125,36.583,14.458,,1.958,197.375
2011-03-16,190.917,4.75,7.708,16.208,19.958,3.75,,1.833,198.625
2011-03-17,188.042,5.625,11.375,31.0,39.522,8.522,,1.167,199.417
2011-03-18,186.958,6.417,9.625,21.375,31.792,10.417,,1.217,196.583
2011-03-19,189.125,5.391,8.667,17.417,24.167,6.75,,1.833,197.792
2011-03-20,189.478,5.083,10.783,24.25,33.458,9.208,,2.042,200.261
2011-03-21,188.958,4.375,7.417,18.292,26.5,8.208,,1.292,196.375
2011-03-22,189.917,5.208,11.5,31.125,48.292,17.167,,1.708,201.417
2011-03-23,187.762,5.208,11.619,29.875,37.375,7.5,,1.167,199.381
2011-03-24,189.87,5.542,9.609,16.13,23.783,7.652,,1.333,199.478
2011-03-25,192.667,5.25,5.458,8.542,10.25,1.708,,1.043,198.125
2011-03-26,194.667,4.652,7.25,19.667,28.917,9.25,,1.167,201.917
2011-03-27,195.833,4.833,8.667,25.417,38.667,13.25,,1.25,204.5
2011-03-28,193.136,5.375,9.273,21.125,40.458,19.333,,1.958,202.409
