date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,68.0,53.583,39.0,25.917,37.042,11.125,,2.333,76.0,42.667,6.0
2011-01-02,81.0,62.583,37.0,14.174,21.217,7.043,,2.174,90.0,49.25,28.0
2011-01-03,64.0,54.75,41.0,15.083,18.458,3.375,,2.0,70.0,50.958,30.0
2011-01-04,72.0,54.792,37.0,15.083,17.958,2.875,,4.042,70.0,45.75,15.0
2011-01-05,84.0,66.292,42.0,19.182,24.273,5.091,,2.045,57.0,29.708,12.0
2011-01-06,83.0,63.458,55.0,25.792,35.958,10.167,,2.375,67.0,41.667,16.0
2011-01-07,87.0,56.708,36.0,16.208,20.167,3.958,,2.0,65.0,40.417,20.0
2011-01-08,63.0,48.917,35.0,16.125,19.667,3.542,,2.083,74.0,39.125,8.0
2011-01-09,76.0,62.625,53.0,19.13,24.391,5.261,,3.217,78.0,44.792,16.0
2011-01-10,79.0,64.708,50.0,29.583,41.875,12.292,,3.522,94.0,57.875,21.0
2011-01-11,74.0,61.333,47.0,22.609,34.652,12.043,,3.667,75.0,52.875,16.0
2011-01-12,64.0,45.5,34.0,19.292,23.917,4.625,,1.7,59.0,27.333,-2.0
2011-01-13,79.0,60.792,48.0,24.375,39.125,14.75,,2.167,78.0,43.292,15.0
2011-01-14,84.0,66.542,47.0,15.292,19.667,4.375,,2.458,73.0,48.375,28.0
2011-01-15,85.0,69.583,52.0,14.25,17.542,3.292,,1.708,71.0,47.042,27.0
2011-01-16,74.0,50.375,42.0,25.13,31.783,6.652,,2.478,60.0,45.375,32.0
2011-01-17,83.0,57.208,34.0,23.5,29.875,6.375,,1.833,86.0,49.833,28.0
2011-01-18,73.0,57.083,46.0,37.261,65.87,28.609,,3.87,90.0,49.833,4.0
2011-01-19,95.0,71.333,47.0,38.583,69.292,30.708,,3.5,75.0,49.917,33.0
2011-01-20,99.0,90.375,80.0,29.125,39.333,10.208,,1.125,92.0,68.083,47.0
2011-01-21,97.0,89.875,81.0,26.75,33.333,6.583,,1.292,83.0,71.333,64.0
2011-01-22,90.0,71.083,48.0,15.042,17.875,2.833,,1.458,116.0,77.625,49.0
2011-01-23,80.0,67.5,48.0,18.435,25.522,7.087,,1.478,100.0,67.625,35.0
2011-01-24,71.0,55.417,41.0,16.208,19.125,2.917,,1.417,54.0,33.042,14.0
2011-01-25,69.0,50.625,38.0,15.522,18.652,3.13,,1.652,48.0,28.583,8.0
2011-01-26,86.0,73.042,49.0,15.917,20.375,4.458,,1.375,37.0,13.958,0.0
2011-01-27,82.0,69.958,56.0,21.958,27.292,5.333,,2.208,54.0,27.25,10.0
2011-01-28,91.0,71.25,52.0,18.5,21.375,2.875,,2.208,55.0,27.583,12.0
2011-01-29,63.0,46.458,31.0,11.417,13.0,1.583,,1.125,58.0,22.125,1.0
2011-01-30,80.0,57.583,41.0,19.87,24.652,4.783,,1.522,50.0,20.875,0.0
2011-01-31,86.0,72.208,55.0,23.583,28.625,5.042,,1.875,40.0,19.458,0.0
2011-04-01,62.0,38.167,15.0,31.083,38.25,7.167,,2.875,168.0,108.417,43.0
2011-04-02,56.0,44.833,30.0,22.333,27.0,4.667,,1.833,178.0,116.083,74.0
2011-04-03,49.0,35.333,25.0,8.625,11.125,2.5,,1.5,115.0,78.625,55.0
2011-04-04,52.0,29.708,13.0,11.565,14.087,2.522,,0.87,149.0,88.625,35.0
2011-04-05,61.0,33.083,16.0,18.792,22.542,3.75,,1.667,171.0,106.292,49.0
2011-04-06,70.0,48.542,22.0,28.435,35.478,7.043,,2.522,197.0,130.958,65.0
2011-04-07,66.0,53.25,34.0,26.708,36.708,10.0,,2.458,192.0,150.333,108.0
2011-04-08,91.0,70.917,54.0,18.875,21.75,2.875,,1.542,180.0,159.792,144.0
2011-04-09,98.0,75.167,48.0,14.667,19.042,4.375,,1.375,183.0,149.917,118.0
