date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,199.391,75.0,59.208,37.0,20.783,20.375,31.583,11.208,,8.2,3.825,-0.1,220.174
2011-01-02,195.783,85.0,65.458,38.0,13.522,10.348,14.565,4.217,,10.5,4.933,1.8,209.304
2011-01-03,192.652,72.0,57.333,38.0,11.217,11.292,14.375,3.083,,8.3,5.046,2.0,203.87
2011-01-04,195.261,77.0,57.125,30.0,10.565,8.542,11.0,2.458,,8.5,4.475,1.1,205.826
2011-01-05,193.522,89.0,68.292,43.0,10.565,12.25,16.542,4.292,,6.9,3.075,0.7,204.087
2011-01-06,195.435,76.0,62.458,48.0,17.739,22.5,38.875,16.375,,9.1,4.671,1.9,213.174
2011-01-07,193.217,80.0,55.417,35.0,8.739,11.792,15.083,3.292,,8.2,4.3,1.3,201.957
2011-01-08,192.783,73.0,51.167,29.0,11.696,13.542,19.292,5.75,,9.3,3.779,-0.3,204.478
2011-01-09,193.783,76.0,61.042,46.0,13.652,13.391,15.87,2.478,,10.0,4.929,1.6,207.435
2011-01-10,196.217,81.0,65.25,45.0,20.522,26.458,48.875,22.417,,10.4,5.583,1.0,216.739
2011-01-11,194.261,76.0,59.917,46.0,17.739,17.042,30.583,13.542,,9.3,5.542,1.4,212.0
2011-01-12,192.95,64.0,45.625,31.0,12.15,17.591,26.318,8.727,,7.8,2.946,0.0,205.1
2011-01-13,194.957,82.0,60.833,39.0,20.174,20.0,36.792,16.792,,10.2,4.821,0.0,215.13
2011-01-14,193.87,74.0,62.292,42.0,9.565,9.333,11.083,1.75,,9.3,5.617,3.5,203.435
2011-01-15,192.652,78.0,65.792,48.0,8.783,9.292,10.5,1.208,,8.5,5.421,3.4,201.435
2011-01-16,193.304,74.0,49.75,40.0,10.87,18.522,22.87,4.348,,6.3,4.658,3.1,204.174
2011-01-17,192.304,83.0,57.167,31.0,13.826,17.667,24.583,6.917,,10.3,5.325,2.3,206.13
2011-01-18,196.174,79.0,59.167,39.0,28.261,31.25,56.708,25.458,,10.2,4.338,-1.2,224.435
2011-01-19,195.826,91.0,72.417,46.0,36.217,31.105,49.316,18.211,,7.6,4.479,1.5,232.043
2011-01-20,191.435,92.0,87.375,80.0,23.957,24.708,33.208,8.5,,9.9,7.058,4.7,215.391
2011-01-21,191.435,91.0,86.958,80.0,22.87,21.667,26.542,4.875,,8.9,7.371,6.2,214.304
2011-01-22,189.826,90.0,70.083,50.0,12.217,10.5,12.458,1.958,,12.4,7.879,4.3,202.043
2011-01-23,193.261,79.0,65.667,39.0,12.609,14.783,19.696,4.913,,11.9,7.446,4.1,205.87
2011-01-24,191.957,73.0,55.667,38.0,9.304,10.417,12.208,1.792,,6.9,3.779,0.9,201.261
2011-01-25,192.217,65.0,49.25,35.0,8.174,13.167,16.292,3.125,,7.3,3.388,0.8,200.391
2011-01-26,196.909,85.0,68.75,41.0,9.318,11.957,14.957,3.0,,5.8,1.983,-0.2,206.227
2011-01-27,197.435,82.0,67.042,45.0,17.696,20.25,40.167,19.917,,7.9,2.85,-0.5,215.13
2011-01-28,193.783,85.0,68.208,45.0,10.478,15.292,18.75,3.458,,7.3,3.204,1.1,204.261
2011-01-29,193.696,69.0,51.667,32.0,8.217,11.083,12.167,1.083,,7.9,2.65,-1.0,201.913
2011-01-30,194.957,80.0,60.0,37.0,12.957,18.478,28.522,10.043,,6.2,2.283,-1.6,207.913
2011-01-31,197.625,82.0,69.739,45.0,15.25,22.571,31.81,9.238,,5.8,1.922,0.0,212.875
2011-02-01,197.25,87.0,73.083,52.0,37.333,19.667,36.25,16.583,,5.6,1.121,-2.3,234.583
2011-02-02,193.87,88.0,75.0,61.0,20.478,12.708,15.792,3.083,,1.4,-0.525,-2.2,214.348
2011-02-03,197.609,82.0,68.875,48.0,26.391,28.0,48.125,20.125,,3.1,-0.467,-4.7,224.0
2011-02-04,198.826,85.0,66.875,43.0,32.304,22.125,42.375,20.25,,6.5,1.833,-3.1,231.13
2011-02-05,194.304,83.0,60.792,42.0,22.522,13.25,15.083,1.833,,8.3,5.325,1.5,216.826
2011-02-06,195.609,92.0,85.75,77.0,33.217,28.652,39.348,10.696,,5.8,4.725,3.4,228.826
2011-02-07,195.696,94.0,78.25,62.0,33.087,17.667,24.292,6.625,,10.9,7.658,5.5,228.783
2011-02-08,191.217,71.0,58.958,47.0,15.522,5.75,7.25,1.5,,6.1,3.075,-0.4,206.739
2011-02-09,193.45,78.0,61.958,42.0,13.75,13.0,18.909,5.909,,5.3,1.483,-1.5,207.2
2011-02-10,191.565,82.0,64.542,37.0,19.348,17.583,35.208,17.625,,7.8,3.242,-0.3,210.913
2011-02-11,190.87,77.0,60.292,39.0,17.957,8.167,9.125,0.958,,8.6,4.112,0.7,208.826
2011-02-12,191.304,79.0,57.625,36.0,16.826,7.625,8.083,0.458,,8.6,4.321,1.7,208.13
2011-02-13,202.609,90.0,64.333,38.0,21.13,22.783,27.609,4.826,,6.4,3.021,1.3,223.739
2011-02-14,195.783,92.0,87.958,84.0,40.043,32.917,63.083,30.167,,6.0,4.521,2.5,235.826
2011-02-15,213.609,93.0,74.0,51.0,34.913,20.458,39.125,18.667,,9.1,4.446,0.6,248.522
2011-02-16,190.826,58.0,44.75,25.0,16.913,11.5,13.25,1.75,,10.1,4.554,1.3,207.739
2011-02-17,190.87,67.0,53.292,42.0,13.696,9.417,13.292,3.875,,8.9,4.129,1.3,204.565
2011-02-18,193.391,82.0,50.0,34.0,12.261,9.417,10.583,1.167,,5.5,1.908,-0.9,205.652
2011-02-19,194.957,70.0,51.125,35.0,13.13,11.167,12.125,0.958,,7.3,1.917,-2.7,208.087
2011-02-20,195.043,78.0,56.083,32.0,18.304,20.565,30.261,9.696,,10.3,4.429,-0.5,213.348
2011-02-21,193.391,77.0,57.0,40.0,21.261,21.75,30.0,8.25,,11.5,5.533,-0.6,214.652
2011-02-22,192.783,92.0,62.583,34.0,21.435,26.583,31.708,5.125,,12.6,8.838,4.5,214.217
2011-02-23,191.875,94.0,80.652,58.0,49.875,18.739,24.304,5.565,,12.8,9.03,7.5,241.75
2011-02-24,194.87,69.0,49.625,31.0,39.391,15.375,16.917,1.542,,14.6,10.129,6.8,234.261
2011-02-25,195.565,84.0,69.292,59.0,33.435,16.292,18.417,2.125,,10.5,8.35,6.0,229.0
2011-02-26,193.217,65.0,49.583,38.0,16.261,5.542,6.083,0.542,,9.0,5.217,1.7,209.478
2011-02-27,194.696,58.0,39.625,28.0,14.304,13.348,15.435,2.087,,7.8,3.183,-0.5,209.0
2011-02-28,194.087,58.0,40.75,21.0,16.217,19.792,21.667,1.875,,9.0,4.646,-0.8,210.304
2011-03-01,194.478,80.0,68.522,46.0,31.87,31.042,43.042,12.0,,15.7,9.891,5.1,226.348
