date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,13.208,15.417,2.208,17.292,0.583,7.583
2011-01-02,4.826,5.174,0.348,13.875,0.826,8.042
2011-01-03,6.75,7.208,0.458,9.708,0.583,4.542
2011-01-04,8.304,9.13,0.826,25.0,3.478,21.091
2011-01-05,13.333,14.708,1.375,9.208,0.708,6.042
2011-01-06,17.5,19.333,1.833,12.042,0.917,7.792
2011-01-07,8.292,9.042,0.75,7.75,0.583,9.375
2011-01-08,6.542,6.542,0.0,8.0,0.042,6.458
2011-01-09,,,,15.208,1.522,9.125
2011-01-10,25.7,53.7,28.0,17.25,1.25,15.333
2011-01-11,8.7,11.2,2.5,17.75,1.417,11.75
2011-01-12,12.875,16.208,3.333,8.958,0.625,4.375
2011-01-13,22.292,45.0,22.708,15.75,1.333,8.875
2011-01-14,12.333,14.125,1.792,15.833,2.333,12.833
2011-01-15,7.833,8.708,0.875,10.708,1.0,7.5
2011-01-16,16.652,23.043,6.391,13.708,1.087,7.0
2011-01-17,22.917,32.292,9.375,17.25,0.708,13.375
2011-01-18,19.917,28.833,8.917,19.75,1.167,18.75
2011-01-19,12.792,14.0,1.208,10.833,0.958,6.042
2011-01-20,16.583,19.875,3.292,7.667,0.292,8.542
2011-01-21,11.0,12.667,1.667,7.292,0.083,7.25
2011-01-22,10.458,12.708,2.25,8.083,0.458,3.875
2011-01-23,12.391,14.217,1.826,7.833,0.696,6.583
2011-01-24,11.917,13.917,2.0,7.292,0.667,5.708
2011-01-25,17.292,19.708,2.417,14.75,1.917,7.333
2011-01-26,15.333,17.25,1.917,10.167,0.792,5.667
2011-01-27,21.75,27.333,5.583,19.0,1.875,16.292
2011-01-28,27.667,33.0,5.333,18.75,1.917,15.542
2011-01-29,,,,9.875,0.542,6.333
2011-01-30,,,,11.5,1.217,5.792
2011-01-31,,,,13.167,1.0,9.958
2011-02-01,,,,13.739,1.652,10.87
2011-02-02,,,,10.167,1.083,6.958
