date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,190.87,85.0,66.333,40.0,10.13,8.542,9.125,0.583,,0.0,,78.0,21.875,-33.0,201.0
2011-01-02,188.13,95.0,66.25,33.0,2.913,4.087,4.435,0.348,,0.208,,104.0,40.667,2.0,191.043
2011-01-03,186.609,79.0,55.208,34.0,3.0,5.042,5.25,0.208,,0.333,,81.0,33.292,-9.0,189.609
2011-01-04,190.043,88.0,65.75,31.0,5.043,6.917,7.625,0.708,,1.0,,71.0,21.917,-14.0,195.087
2011-01-05,190.783,92.0,69.947,38.0,7.565,10.042,11.417,1.375,,0.292,,57.0,0.316,-27.0,198.348
2011-01-06,188.348,78.0,64.958,49.0,10.957,14.136,16.318,2.182,,0.591,,66.0,25.625,-28.0,199.304
2011-01-07,189.304,88.0,54.833,28.0,9.174,10.25,11.0,0.75,,0.458,,80.0,29.042,-3.0,198.478
2011-01-08,188.261,82.0,54.417,27.0,3.652,5.792,5.875,0.083,,0.042,,81.0,14.75,-42.0,191.913
2011-01-09,190.13,86.0,64.208,43.0,9.0,11.913,13.174,1.261,,0.875,,92.0,33.125,-16.0,199.13
2011-01-10,190.913,92.0,69.167,37.0,11.304,15.833,19.458,3.625,,0.583,,104.0,32.708,-24.0,202.217
2011-01-11,188.87,86.0,59.667,35.0,7.739,11.25,13.042,1.792,,0.917,,86.0,39.25,7.0,196.609
2011-01-12,187.043,70.0,43.5,25.0,6.826,9.958,10.458,0.5,,0.417,,67.0,17.208,-19.0,193.87
2011-01-13,189.522,76.0,62.542,40.0,11.348,13.0,15.455,2.455,,0.864,,81.0,30.458,-22.0,200.87
2011-01-14,190.696,89.0,62.0,35.0,9.565,12.208,14.167,1.958,,2.0,,78.0,44.333,-1.0,200.261
2011-01-15,189.913,88.0,65.833,43.0,6.783,8.042,8.958,0.917,,0.792,,70.0,37.458,-11.0,196.696
2011-01-16,191.304,90.0,64.375,42.0,15.261,19.913,29.609,9.696,,0.917,,63.0,30.583,-5.0,206.565
2011-01-17,189.13,95.0,72.375,28.0,11.913,18.958,26.083,7.125,,0.417,,93.0,30.167,-19.0,201.043
2011-01-18,187.826,94.0,75.083,42.0,13.435,17.542,22.0,4.458,,0.417,,109.0,24.417,-35.0,201.261
