date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean
2011-01-01,17.333,24.667,7.333,2.75,17.083
2011-01-02,11.522,21.261,9.739,0.87,12.083
2011-01-03,9.708,11.708,2.0,0.792,9.0
2011-01-04,11.958,14.25,2.292,3.625,21.167
2011-01-05,16.375,21.0,4.625,3.792,10.792
2011-01-06,22.273,32.955,10.682,1.091,13.409
2011-01-07,13.042,15.5,2.458,0.083,10.542
2011-01-08,12.333,14.833,2.5,0.583,9.958
2011-01-09,15.696,21.565,5.87,3.783,13.875
2011-01-10,23.208,36.583,13.375,4.0,18.958
2011-01-11,18.25,33.333,15.083,3.708,16.833
2011-01-12,14.042,19.0,4.958,1.958,9.125
2011-01-13,22.208,49.208,27.0,5.792,15.667
2011-01-14,13.542,17.083,3.542,5.25,14.333
2011-01-15,10.75,13.083,2.333,2.792,9.542
2011-01-16,19.87,24.87,5.0,2.789,13.05
2011-01-17,19.875,26.042,6.167,3.208,14.0
2011-01-18,33.708,87.5,53.792,8.125,30.833
2011-01-19,34.958,87.167,52.208,7.708,30.625
2011-01-20,25.174,35.304,10.13,3.174,12.565
2011-01-21,22.292,30.083,7.792,2.875,11.667
2011-01-22,14.542,18.708,4.167,3.208,9.667
2011-01-23,16.174,22.13,5.957,3.826,9.25
2011-01-24,14.708,18.417,3.708,2.833,7.792
2011-01-25,13.083,15.958,2.875,4.833,12.792
2011-01-26,16.542,21.917,5.375,6.542,10.667
2011-01-27,19.208,31.375,12.167,6.125,16.542
2011-01-28,17.875,21.25,3.375,5.167,17.083
2011-01-29,11.75,13.625,1.875,1.917,10.333
2011-01-30,14.696,18.087,3.391,3.13,9.0
2011-01-31,16.708,21.458,4.75,3.458,9.417
2011-02-01,21.5,41.542,20.042,5.0,15.042
2011-02-02,17.625,22.708,5.083,10.458,11.708
2011-02-03,21.917,31.875,9.958,7.708,12.208
2011-02-04,20.458,41.125,20.667,6.625,19.0
2011-02-05,14.458,17.0,2.542,3.375,24.167
2011-02-06,28.435,55.652,27.217,3.522,27.917
2011-02-07,20.333,35.333,15.0,3.542,13.5
2011-02-08,11.083,14.458,3.375,3.833,9.167
2011-02-09,13.708,17.0,3.292,3.75,10.708
2011-02-10,17.208,26.458,9.25,4.042,12.667
2011-02-11,10.083,12.542,2.458,2.75,10.875
2011-02-12,7.708,9.417,1.708,2.5,10.875
2011-02-13,25.609,33.826,8.217,2.435,12.875
2011-02-14,30.75,57.75,27.0,3.5,15.542
2011-02-15,26.125,50.958,24.833,6.417,22.333
2011-02-16,18.083,22.125,4.042,5.375,12.083
2011-02-17,13.792,16.5,2.708,6.5,10.375
2011-02-18,9.667,10.917,1.25,2.333,9.5
2011-02-19,11.25,13.167,1.917,3.167,10.792
2011-02-20,19.591,26.455,6.864,3.182,12.609
2011-02-21,24.833,40.333,15.5,6.417,20.875
2011-02-22,21.167,26.917,5.75,3.5,29.125
2011-02-23,22.458,34.042,11.583,3.583,30.083
2011-02-24,18.875,22.125,3.25,5.25,33.958
2011-02-25,22.958,28.958,6.0,5.083,29.708
2011-02-26,11.042,12.875,1.833,5.083,13.625
2011-02-27,12.826,15.174,2.348,2.087,10.833
2011-02-28,20.125,24.542,4.417,2.583,15.5
2011-03-01,27.25,37.958,10.708,5.625,22.083
2011-03-02,27.478,59.957,32.478,5.739,24.043
2011-03-03,12.143,14.286,2.143,3.81,13.571
2011-03-04,23.583,28.333,4.75,4.375,28.083
2011-03-05,35.565,65.435,29.87,3.826,23.667
2011-03-06,28.458,50.292,21.833,9.958,25.458
2011-03-07,18.417,21.167,2.75,6.208,31.417
2011-03-08,23.917,28.208,4.292,11.083,31.167
2011-03-09,20.375,23.0,2.625,6.625,20.75
2011-03-10,11.167,12.875,1.708,4.25,10.667
2011-03-11,7.875,9.25,1.375,4.708,14.5
2011-03-12,13.304,16.739,3.435,3.609,12.042
2011-03-13,10.917,13.167,2.25,2.25,12.583
2011-03-14,18.833,23.0,4.167,1.958,15.208
2011-03-15,20.625,28.75,8.125,4.0,20.167
2011-03-16,15.5,19.042,3.542,1.875,18.083
2011-03-17,27.083,44.583,17.5,1.708,24.042
2011-03-18,21.083,27.292,6.208,6.0,16.792
2011-03-19,9.143,10.714,1.571,1.429,10.625
2011-03-28,14.286,14.429,0.143,2.429,24.857
2011-03-29,20.5,22.833,2.333,2.083,19.625
2011-03-30,24.208,36.167,11.958,2.333,21.636
2011-03-31,8.292,8.833,0.542,1.375,12.208
2011-04-01,22.125,28.333,6.208,6.208,22.208
2011-04-02,18.583,24.208,5.625,6.542,29.75
2011-04-03,8.375,9.542,1.167,3.583,13.667
2011-04-04,11.739,13.913,2.174,2.913,11.375
2011-04-05,15.348,17.913,2.565,3.565,19.13
2011-04-06,24.5,31.667,7.167,7.333,27.292
2011-04-07,16.667,21.25,4.583,3.5,21.625
2011-04-08,8.667,9.875,1.208,0.583,21.208
2011-04-09,10.5,13.208,2.708,2.708,20.75
2011-04-10,11.167,12.708,1.542,5.292,37.625
2011-04-11,19.435,27.957,8.522,9.174,36.667
2011-04-12,12.042,13.958,1.917,1.542,29.5
2011-04-13,30.333,41.833,11.5,9.625,38.833
2011-04-14,27.542,38.333,10.792,12.042,41.625
2011-04-15,20.333,25.5,5.167,3.75,36.833
2011-04-16,13.292,16.75,3.458,3.625,36.292
2011-04-17,5.917,7.417,1.5,0.875,21.417
2011-04-18,12.87,16.826,3.957,4.913,26.583
2011-04-19,14.0,16.417,2.417,5.125,14.458
2011-04-20,12.167,15.292,3.125,5.375,12.458
2011-04-21,17.917,23.208,5.292,5.0,20.083
2011-04-22,19.783,23.043,3.261,3.435,26.043
2011-04-23,5.042,5.708,0.667,0.292,16.625
2011-04-24,12.292,14.25,1.958,7.875,18.75
2011-04-25,20.174,24.217,4.043,4.522,23.25
2011-04-26,18.875,24.292,5.417,4.625,30.542
2011-04-27,6.333,6.667,0.333,1.083,41.542
2011-04-28,13.542,15.125,1.583,2.75,18.542
2011-04-29,12.042,13.833,1.792,0.792,17.667
2011-04-30,15.542,19.208,3.667,3.792,28.0
2011-05-01,6.208,6.458,0.25,0.0,19.917
2011-05-02,11.957,14.652,2.696,4.826,124.417
2011-05-03,17.042,19.958,2.917,5.708,107.958
2011-05-04,16.083,20.5,4.417,9.417,53.042
2011-05-05,10.125,12.167,2.042,5.875,31.083
2011-05-06,7.708,8.875,1.167,1.25,43.458
2011-05-07,7.208,8.75,1.542,5.167,26.417
2011-05-08,12.0,14.208,2.208,7.917,39.0
2011-05-09,12.783,14.261,1.478,2.609,45.208
2011-05-10,18.435,25.174,6.739,5.87,40.174
2011-05-11,17.75,20.292,2.542,3.25,15.375
2011-05-12,16.75,21.917,5.167,5.125,15.458
2011-05-13,11.958,14.125,2.167,3.625,65.208
2011-05-14,13.583,16.75,3.167,5.708,48.958
2011-05-15,10.708,12.667,1.958,3.625,40.917
2011-05-16,9.304,11.304,2.0,4.304,43.375
2011-05-17,15.583,18.458,2.875,7.5,41.75
2011-05-18,17.833,23.917,6.083,9.292,32.625
2011-05-19,18.417,23.5,5.083,7.833,44.708
2011-05-20,16.917,21.167,4.25,8.625,52.167
2011-05-21,14.917,17.833,2.917,4.208,43.167
2011-05-22,11.042,13.833,2.792,6.458,27.167
2011-05-23,21.652,25.957,4.304,3.696,22.042
2011-05-24,11.652,13.696,2.043,1.652,15.391
2011-05-25,11.0,12.667,1.667,4.208,25.583
2011-05-26,10.0,12.0,2.0,1.5,26.375
2011-05-27,8.667,9.708,1.042,1.75,22.625
2011-05-28,23.458,30.333,6.875,7.875,27.333
2011-05-29,8.75,11.25,2.5,3.083,19.708
2011-05-30,8.913,11.348,2.435,5.522,14.167
2011-05-31,8.125,10.333,2.208,4.958,15.458
2011-06-01,7.5,8.708,1.208,0.792,32.583
2011-06-02,13.375,17.333,3.958,2.042,17.875
2011-06-03,22.792,34.542,11.75,8.833,36.458
2011-06-04,16.042,21.625,5.583,9.708,49.917
2011-06-05,13.417,16.292,2.875,9.375,50.083
2011-06-06,14.565,16.565,2.0,4.696,37.458
2011-06-07,16.261,19.0,2.739,2.565,38.217
2011-06-08,10.292,12.292,2.0,5.208,27.917
2011-06-09,9.458,10.292,0.833,3.25,31.083
2011-06-10,17.208,21.083,3.875,5.167,40.667
2011-06-11,12.875,15.5,2.625,9.292,27.375
2011-06-12,14.708,16.708,2.0,9.292,33.625
2011-06-13,18.87,22.435,3.565,10.783,30.083
2011-06-14,11.25,12.917,1.667,4.458,26.125
2011-06-15,14.958,19.0,4.042,5.375,27.875
2011-06-16,12.583,14.583,2.0,0.625,31.0
2011-06-17,12.208,14.208,2.0,2.125,21.208
2011-06-18,9.625,10.875,1.25,0.625,24.208
2011-06-19,10.958,14.083,3.125,3.542,28.292
2011-06-20,9.217,11.043,1.826,0.565,23.708
2011-06-21,10.727,14.5,3.773,1.5,23.565
2011-06-22,17.708,26.083,8.375,7.292,37.875
2011-06-23,11.542,18.0,6.458,6.208,36.375
2011-06-24,8.292,12.833,4.542,6.917,30.792
2011-06-25,9.917,14.875,4.958,13.625,35.708
2011-06-26,2.042,3.25,1.208,0.292,29.042
2011-06-27,3.913,6.957,3.043,1.652,28.292
2011-06-28,11.75,18.292,6.542,8.792,36.208
2011-06-29,14.375,22.042,7.667,15.958,35.333
2011-06-30,16.792,27.917,11.125,20.958,47.5
2011-07-01,11.5,17.792,6.292,14.667,36.417
2011-07-02,9.542,14.792,5.25,15.25,37.792
2011-07-03,9.083,12.0,2.917,11.042,46.0
2011-07-04,6.652,8.739,2.087,1.0,43.25
2011-07-05,9.864,12.182,2.318,2.818,30.318
2011-07-06,10.875,13.75,2.875,3.25,31.417
2011-07-07,8.917,11.375,2.458,0.0,26.833
2011-07-08,7.25,11.208,3.958,0.0,26.25
2011-07-09,8.375,12.292,3.917,1.375,32.333
2011-07-10,5.708,7.708,2.0,2.125,26.125
2011-07-11,6.0,10.739,4.739,7.0,17.042
2011-07-12,7.0,12.083,5.083,2.958,18.208
2011-07-13,7.208,11.375,4.167,3.042,19.792
2011-07-14,7.417,11.333,3.917,3.917,20.25
2011-07-15,10.542,13.833,3.292,5.667,27.375
2011-07-16,6.417,8.917,2.5,4.208,24.042
2011-07-17,6.208,7.792,1.583,4.708,23.042
2011-07-18,4.565,6.174,1.609,1.565,22.125
2011-07-19,2.208,2.583,0.375,0.0,26.875
2011-07-20,4.333,5.042,0.708,0.083,17.25
2011-07-21,9.348,13.043,3.696,1.957,24.478
2011-07-22,8.25,10.25,2.0,1.083,28.917
2011-07-23,14.958,18.208,3.25,9.042,36.458
2011-07-24,7.667,8.792,1.125,3.708,36.292
2011-07-25,10.304,12.87,2.565,3.0,26.792
2011-07-26,9.417,11.833,2.417,2.167,19.083
2011-07-27,11.0,16.875,5.875,1.208,23.333
2011-07-28,12.042,25.25,13.208,9.292,24.375
2011-07-29,9.75,17.25,7.5,11.875,20.875
2011-07-30,10.167,14.167,4.0,11.25,28.5
2011-07-31,5.458,6.625,1.167,3.208,25.333
2011-08-01,6.522,8.087,1.565,3.913,28.542
2011-08-02,12.182,14.455,2.273,3.136,30.182
2011-08-03,9.208,15.0,5.792,4.833,28.083
2011-08-04,11.292,16.458,5.167,5.083,22.375
2011-08-05,6.792,8.375,1.583,2.542,19.292
2011-08-06,7.5,9.417,1.917,1.417,24.208
2011-08-07,9.875,12.375,2.5,2.583,25.917
2011-08-08,12.957,16.174,3.217,8.174,34.125
2011-08-09,17.375,22.75,5.375,17.083,40.958
2011-08-10,14.083,18.75,4.667,13.042,44.917
2011-08-11,8.458,11.083,2.625,11.0,30.375
2011-08-12,12.417,15.5,3.083,13.333,35.522
2011-08-13,8.125,10.292,2.167,10.458,32.261
2011-08-14,4.958,6.0,1.042,5.0,44.208
2011-08-15,8.435,10.391,1.957,9.217,37.292
2011-08-16,12.792,15.167,2.375,11.875,34.083
2011-08-17,12.75,14.875,2.125,8.042,36.083
2011-08-18,14.087,20.043,5.957,8.652,42.739
2011-08-19,15.333,18.625,3.292,13.5,25.5
2011-08-20,11.125,12.125,1.0,5.542,19.583
2011-08-21,11.458,13.042,1.583,3.875,25.542
2011-08-22,10.609,13.087,2.478,4.087,23.208
2011-08-23,5.333,6.958,1.625,0.0,33.25
2011-08-24,6.5,10.042,3.542,0.0,19.208
2011-08-25,6.167,9.25,3.083,0.0,15.708
2011-08-26,12.792,21.792,9.0,6.958,25.833
2011-08-27,5.833,9.875,4.042,1.417,25.458
2011-08-28,6.792,8.833,2.042,6.125,32.5
2011-08-29,11.609,13.913,2.304,4.652,33.0
2011-08-30,13.542,16.333,2.792,9.333,32.792
2011-08-31,12.917,14.917,2.0,2.958,23.583
2011-09-01,5.708,7.417,1.708,0.0,19.208
2011-09-02,2.083,2.5,0.417,0.0,24.833
2011-09-03,1.083,1.083,0.0,0.0,40.125
2011-09-04,1.833,1.917,0.083,0.0,25.208
2011-09-05,12.087,16.13,4.043,5.087,14.542
2011-09-06,13.917,17.0,3.083,8.417,16.875
2011-09-07,19.375,24.292,4.917,9.208,20.458
2011-09-08,13.708,15.875,2.167,6.25,26.25
2011-09-09,13.125,14.708,1.583,4.083,32.292
2011-09-10,9.833,14.167,4.333,6.5,26.417
2011-09-11,5.917,7.958,2.042,3.875,16.542
2011-09-12,8.522,13.348,4.826,5.13,18.458
2011-09-13,10.042,16.625,6.583,7.083,23.5
2011-09-14,15.958,24.458,8.5,10.625,30.167
2011-09-15,8.5,13.333,4.833,4.125,19.708
2011-09-16,6.125,10.583,4.458,2.708,18.417
2011-09-17,2.708,4.0,1.292,0.0,23.5
2011-09-18,4.917,6.542,1.625,0.583,20.667
2011-09-19,12.87,21.913,9.043,10.217,25.917
2011-09-20,8.667,17.333,8.667,5.381,24.87
2011-09-21,7.875,9.625,1.75,5.792,23.708
2011-09-22,13.167,18.125,4.958,7.208,15.375
2011-09-23,10.25,12.792,2.542,0.083,13.375
2011-09-24,13.417,15.5,2.083,0.208,18.125
2011-09-25,11.083,12.667,1.583,0.417,22.5
2011-09-26,21.217,30.696,9.478,4.435,27.042
2011-09-27,18.792,41.375,22.583,7.125,27.542
