date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,205.435,22.391,20.292,27.417,7.125,,0.167,15.542,227.826
2011-01-02,202.348,14.435,11.087,17.783,6.696,,0.261,7.542,216.783
2011-01-03,193.391,5.304,8.75,9.542,0.792,,0.708,6.625,198.696
2011-01-04,195.739,6.609,9.083,10.083,1.0,,1.667,10.375,202.348
2011-01-05,195.13,6.043,12.542,14.458,1.917,,0.667,5.625,201.174
2011-01-06,196.455,14.591,25.348,32.261,6.913,,0.435,9.348,211.045
2011-01-07,194.783,7.087,11.792,13.208,1.417,,0.167,5.667,201.87
2011-01-08,197.304,10.609,15.333,17.708,2.375,,0.125,4.875,207.913
2011-01-09,197.87,13.13,18.261,23.652,5.391,,0.913,10.833,211.0
2011-01-10,198.87,20.783,29.708,44.792,15.083,,0.917,19.042,219.652
2011-01-11,197.13,18.0,18.542,32.75,14.208,,0.458,15.958,215.13
2011-01-12,194.87,10.0,16.167,22.75,6.583,,0.167,6.167,204.87
2011-01-13,198.435,20.783,23.167,47.25,24.083,,0.917,11.833,219.217
2011-01-14,195.565,7.478,11.875,13.625,1.75,,2.25,7.333,203.043
2011-01-15,194.609,7.565,10.125,11.0,0.875,,0.167,7.667,202.174
2011-01-16,195.217,13.261,20.826,25.043,4.217,,0.565,7.542,208.478
2011-01-17,196.087,17.87,25.5,33.417,7.917,,0.625,15.625,213.957
2011-01-18,201.391,40.13,37.542,78.25,40.708,,1.417,27.625,241.522
2011-01-19,203.227,46.909,41.0,93.913,52.913,,0.783,29.083,250.136
2011-01-20,194.0,21.174,29.542,38.708,9.167,,0.208,17.958,215.174
2011-01-21,194.261,20.043,26.25,31.458,5.208,,0.042,15.167,214.304
2011-01-22,193.478,11.522,13.083,15.375,2.292,,0.167,8.875,205.0
2011-01-23,196.739,13.174,17.0,26.174,9.174,,0.739,6.208,209.913
2011-01-24,194.261,9.174,15.667,19.417,3.75,,0.708,4.375,203.435
2011-01-25,194.478,8.696,15.708,18.625,2.917,,2.375,7.375,203.174
