date,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,19.292,31.208,11.917,9.042
2011-01-02,9.348,13.696,4.348,7.958
2011-01-03,11.75,14.417,2.667,5.167
2011-01-04,10.435,11.522,1.087,9.591
2011-01-05,17.75,28.292,10.542,4.417
2011-01-06,23.375,31.833,8.458,8.875
2011-01-07,14.292,20.542,6.25,4.375
2011-01-08,14.417,17.542,3.125,6.083
2011-01-09,18.609,23.957,5.348,12.458
2011-01-10,27.125,58.25,31.125,21.458
2011-01-11,19.167,41.208,22.042,11.958
2011-01-12,17.333,23.667,6.333,5.25
2011-01-13,22.292,47.125,24.833,14.042
2011-01-14,15.417,21.625,6.208,14.833
2011-01-15,14.917,20.875,5.958,9.833
2011-01-16,21.435,27.87,6.435,8.708
2011-01-17,21.292,29.875,8.583,12.958
2011-01-18,30.783,66.348,35.565,28.652
2011-01-19,33.583,54.417,20.833,22.917
2011-01-20,25.0,32.75,7.75,11.5
2011-01-21,23.167,29.583,6.417,18.542
2011-01-22,13.875,16.833,2.958,5.083
2011-01-23,14.696,24.783,10.087,7.083
2011-01-24,12.417,16.792,4.375,4.125
2011-01-25,11.708,13.917,2.208,10.708
2011-01-26,14.5,18.375,3.875,5.5
2011-01-27,19.739,27.913,8.174,12.333
2011-01-28,14.542,16.708,2.167,12.917
2011-01-29,8.042,9.333,1.292,2.5
2011-01-30,20.957,32.435,11.478,5.542
2011-01-31,23.792,41.417,17.625,6.5
2011-02-01,19.652,47.13,27.478,12.636
2011-02-02,17.708,23.5,5.792,3.333
2011-02-03,29.292,58.542,29.25,17.542
2011-02-04,20.458,46.083,25.625,16.333
2011-02-05,17.0,20.0,3.0,20.0
2011-02-06,27.304,43.087,15.783,29.542
2011-02-07,22.458,35.917,13.458,10.792
2011-02-08,10.333,12.708,2.375,9.792
2011-02-09,11.792,14.25,2.458,6.125
2011-02-10,17.167,23.542,6.375,9.375
2011-02-11,14.167,17.583,3.417,9.25
2011-02-12,12.0,14.625,2.625,12.458
2011-02-13,21.348,27.261,5.913,8.333
2011-02-14,29.167,58.75,29.583,16.833
2011-02-15,23.958,38.917,14.958,22.583
2011-02-16,15.542,19.083,3.542,4.625
2011-02-17,12.458,15.417,2.958,8.125
2011-02-18,10.292,12.083,1.792,6.667
2011-02-19,12.458,14.25,1.792,8.208
2011-02-20,22.682,32.5,9.818,11.13
2011-02-21,23.958,33.167,9.208,15.417
2011-02-22,29.625,43.167,13.542,33.583
2011-02-23,21.833,30.542,8.708,28.375
2011-02-24,18.792,20.625,1.833,30.333
2011-02-25,23.208,27.208,4.0,30.208
2011-02-26,9.958,11.542,1.583,8.083
2011-02-27,11.091,12.455,1.364,4.75
2011-02-28,21.458,25.042,3.583,11.25
2011-03-01,31.167,56.958,25.792,18.625
2011-03-02,30.522,64.87,34.348,30.864
2011-03-03,13.25,16.042,2.792,11.292
2011-03-04,23.0,28.167,5.167,30.042
2011-03-05,35.739,55.478,19.739,24.708
2011-03-06,27.542,51.917,24.375,16.708
