date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,198.542,21.833,20.542,25.875,5.333,19.625,0.542,20.917,220.375
2011-01-02,193.833,13.5,10.25,14.125,3.875,7.583,0.292,11.167,207.333
2011-01-03,191.083,10.917,6.917,8.208,1.292,8.5,0.542,11.625,202.0
2011-01-04,194.217,11.435,8.833,12.083,3.25,23.167,3.083,21.917,205.652
2011-01-05,193.792,14.542,17.708,24.125,6.417,4.167,0.208,7.958,208.333
2011-01-06,195.667,19.167,25.5,40.583,15.083,8.708,0.522,13.087,214.833
2011-01-07,194.042,13.167,13.174,18.043,4.87,4.958,0.417,8.708,207.208
2011-01-08,195.417,15.042,15.583,24.833,9.25,5.167,0.208,9.0,210.458
2011-01-09,196.083,16.583,18.417,26.958,8.542,11.167,1.167,14.542,212.667
2011-01-10,195.833,21.958,25.75,48.792,23.042,18.583,1.0,22.0,217.792
2011-01-11,195.435,19.043,19.917,40.917,21.0,20.833,1.375,22.5,214.478
2011-01-12,194.25,21.125,24.0,46.958,22.958,7.125,1.333,12.042,215.375
2011-01-13,195.625,26.542,26.208,59.75,33.542,16.125,2.522,22.0,222.167
2011-01-14,194.875,15.875,17.0,31.478,14.478,13.667,1.458,18.0,210.75
2011-01-15,192.375,12.125,9.458,11.875,2.417,7.208,0.875,10.958,204.5
2011-01-16,194.739,15.435,21.083,34.167,13.083,10.478,1.25,14.333,210.174
2011-01-17,193.792,26.542,29.292,60.5,31.208,11.958,1.25,16.917,220.333
2011-01-18,195.913,33.261,39.917,96.792,56.875,18.167,2.0,21.667,229.174
2011-01-19,196.083,30.875,34.25,69.125,34.875,16.292,1.333,20.542,226.958
2011-01-20,192.333,28.875,32.375,70.0,37.625,9.833,0.652,18.375,221.208
2011-01-21,192.75,20.625,25.565,38.87,13.304,7.917,0.208,15.792,213.375
2011-01-22,192.458,26.583,21.833,38.625,16.792,5.333,1.042,12.75,219.042
2011-01-23,192.292,14.042,10.25,14.458,4.208,2.792,0.458,10.042,206.333
2011-01-24,191.792,13.375,11.958,22.125,10.167,3.833,0.458,8.75,205.167
2011-01-25,192.87,14.478,15.75,41.75,26.0,12.167,1.048,13.524,207.348
2011-01-26,193.75,15.333,15.625,28.917,13.292,4.917,0.708,7.333,209.083
2011-01-27,193.458,15.958,18.5,40.5,22.0,16.875,2.174,17.625,209.417
2011-01-28,194.208,15.708,16.348,23.217,6.87,15.625,1.375,16.542,209.917
2011-01-29,193.958,12.542,8.625,10.917,2.292,6.833,0.708,8.292,206.5
