date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-01-01,5.5,13.542,20.0,6.458,,16.917
2011-01-02,4.125,8.542,12.208,3.667,,10.125
2011-01-03,3.391,12.783,20.043,7.261,,11.375
2011-01-04,3.875,11.083,18.208,7.125,,24.375
2011-01-05,4.833,24.125,51.458,27.333,,11.417
2011-01-06,5.542,29.333,71.417,42.083,,16.542
2011-01-07,3.542,18.542,34.25,15.708,,9.25
2011-01-08,4.042,16.25,27.458,11.208,,9.125
2011-01-09,4.042,15.625,22.625,7.0,,13.625
2011-01-10,6.25,29.292,72.875,43.583,,19.333
2011-01-11,5.333,25.667,61.25,35.583,,21.167
2011-01-12,4.833,20.125,40.75,20.625,,11.375
2011-01-13,4.087,25.304,63.0,37.696,,16.583
2011-01-14,3.5,15.542,25.958,10.417,,12.875
2011-01-15,2.958,11.458,19.083,7.625,,9.75
2011-01-16,3.75,20.208,38.75,18.542,,16.208
2011-01-17,4.542,31.917,86.375,54.458,,15.542
2011-01-18,4.958,26.625,63.125,36.5,,19.333
2011-01-19,4.875,28.417,65.333,36.917,,18.917
2011-01-20,4.708,26.625,45.458,18.833,,11.792
2011-01-21,4.75,24.583,36.208,11.625,,11.417
2011-01-22,4.458,14.333,23.833,9.5,,8.75
2011-01-23,3.609,22.304,46.304,24.0,,9.833
2011-01-24,3.417,23.417,54.458,31.042,,9.708
2011-01-25,4.042,25.125,56.042,30.917,,15.583
2011-01-26,3.75,20.75,44.0,23.25,,8.5
2011-01-27,5.125,27.917,62.042,34.125,,17.5
2011-01-28,4.583,19.417,33.167,13.75,,17.333
2011-01-29,3.542,10.458,14.542,4.083,,8.792
2011-01-30,4.625,23.25,55.0,31.75,,11.042
2011-01-31,4.458,20.875,40.583,19.708,,9.542
2011-02-01,5.5,25.417,56.25,30.833,,15.208
2011-02-02,3.391,21.826,47.609,25.783,,10.708
2011-02-03,4.625,35.25,78.625,43.375,,12.833
2011-02-04,4.958,23.542,43.917,20.375,,21.708
2011-02-05,4.333,13.625,18.375,4.75,,24.542
2011-02-06,5.25,27.0,37.333,10.333,,24.25
2011-02-07,5.542,24.042,46.542,22.5,,14.5
2011-02-08,3.792,15.5,30.125,14.625,,11.167
2011-02-09,4.167,16.625,34.042,17.417,,11.75
2011-02-10,4.583,23.333,58.333,35.0,,11.75
2011-02-11,4.375,14.375,24.167,9.792,,12.083
2011-02-12,2.783,10.174,14.565,4.391,,11.542
2011-02-13,3.0,19.083,24.542,5.458,,14.667
2011-02-14,5.25,34.0,71.708,37.708,,14.125
2011-02-15,5.583,30.792,72.333,41.542,,23.125
2011-02-16,2.875,18.708,35.667,16.958,,11.75
2011-02-17,3.25,17.208,36.167,18.958,,11.125
2011-02-18,3.75,16.208,28.583,12.375,,12.083
2011-02-19,3.833,14.208,22.167,7.958,,13.875
2011-02-20,4.375,22.833,47.042,24.208,,11.75
2011-02-21,5.042,28.208,59.125,30.917,,16.458
2011-02-22,4.435,33.739,62.304,28.565,,28.75
2011-02-23,4.458,18.5,24.042,5.542,,21.333
2011-02-24,4.375,24.542,40.125,15.583,,37.458
2011-02-25,4.542,23.5,35.292,11.792,,25.5
2011-02-26,3.167,8.042,11.625,3.583,,10.75
2011-02-27,4.0,22.625,47.583,24.958,,13.25
2011-02-28,5.208,27.542,45.958,18.417,,15.0
2011-03-01,7.792,42.333,103.875,61.542,,20.458
2011-03-02,7.292,28.333,43.458,15.125,,15.125
2011-03-03,2.826,15.304,22.217,6.913,,16.0
2011-03-04,4.25,22.75,30.417,7.667,,26.25
2011-03-05,3.375,29.125,41.958,12.833,,10.125
2011-03-06,5.667,35.4,84.9,49.5,,13.778
2011-03-07,5.333,32.0,53.5,21.5,,39.4
2011-03-08,5.458,37.375,70.375,33.0,,39.708
2011-03-09,4.833,36.625,69.125,32.5,,25.75
2011-03-10,3.583,15.125,24.167,9.042,,14.917
2011-03-11,3.083,6.625,9.542,2.917,,13.667
2011-03-12,4.792,18.958,39.583,20.625,,14.042
2011-03-13,2.913,24.565,43.913,19.348,,16.542
2011-03-14,2.792,22.625,47.375,24.75,,18.25
2011-03-15,3.125,23.333,44.417,21.083,,21.375
2011-03-16,3.208,30.375,61.083,30.708,,24.5
2011-03-17,3.083,21.5,30.083,8.583,,15.667
2011-03-18,3.625,18.583,28.417,9.833,,14.125
2011-03-19,2.5,17.375,31.042,13.667,,14.833
2011-03-20,1.792,12.292,19.75,7.458,,14.208
2011-03-21,2.958,18.25,29.667,11.417,,18.5
2011-03-22,1.958,15.5,22.875,7.375,,20.667
2011-03-23,4.739,30.87,52.0,21.13,,21.458
2011-03-24,4.458,20.0,36.042,16.042,,8.083
2011-03-25,4.542,8.0,11.125,3.125,,13.833
