date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,182.957,7.5,85.0,66.958,40.0,11.957,16.083,30.458,14.375,1.583,15.875,8.7,4.233,-0.6,194.913
2011-01-02,182.087,6.833,90.0,75.25,55.0,5.609,10.0,18.25,8.25,1.917,13.708,7.1,4.35,2.7,187.696
2011-01-03,180.522,7.25,72.0,57.875,47.0,6.087,11.917,25.292,13.375,2.0,17.083,6.7,4.512,2.4,186.609
2011-01-04,182.478,7.348,94.0,60.917,27.0,6.87,11.042,22.083,11.042,4.348,25.292,6.8,3.2,0.9,189.348
2011-01-05,181.136,6.261,77.0,69.0,47.0,5.864,16.227,37.182,20.955,1.727,9.273,5.4,2.796,0.8,187.0
2011-01-06,181.609,7.375,80.0,59.333,31.0,11.0,27.875,82.875,55.0,2.083,15.333,8.9,4.65,1.2,192.609
2011-01-07,181.348,5.583,88.0,74.333,56.0,5.0,13.625,27.083,13.458,1.417,7.792,4.8,3.338,2.4,186.348
2011-01-08,182.348,7.375,81.0,66.458,52.0,9.957,16.958,38.458,21.5,1.542,12.708,5.4,2.729,-0.7,192.304
2011-01-09,183.739,8.0,82.0,66.292,48.0,14.913,22.667,55.5,32.833,2.833,18.042,8.5,4.388,-0.1,198.652
2011-01-10,184.478,9.625,85.0,66.083,39.0,19.652,33.333,101.458,68.125,3.208,29.333,9.9,5.388,1.9,204.13
2011-01-11,182.522,7.174,95.0,64.458,35.0,8.913,20.958,47.792,26.833,3.957,28.167,8.7,4.512,0.3,191.435
2011-01-12,182.381,8.739,93.0,75.542,54.0,21.0,33.591,114.909,81.318,2.409,14.182,3.6,1.333,-0.7,203.381
2011-01-13,182.304,7.917,87.0,57.542,35.0,16.043,26.625,88.917,62.292,2.75,18.167,8.4,4.15,-0.8,198.348
2011-01-14,182.522,7.625,71.0,60.583,51.0,6.087,15.917,38.625,22.708,2.833,22.667,6.2,4.875,3.3,188.609
2011-01-15,181.087,6.208,67.0,57.792,44.0,5.13,9.292,19.583,10.292,2.083,14.917,7.5,5.175,3.3,186.217
2011-01-16,180.913,7.25,59.0,50.833,41.0,10.696,24.417,62.375,37.958,2.083,18.958,5.0,4.012,3.3,191.609
