date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,,4.042,88.0,73.458,45.0,,8.167,15.625,7.458,9.0,2.838,-2.2,
2011-01-02,,3.5,93.0,86.75,52.0,,5.625,10.333,4.708,5.7,2.388,0.6,
2011-01-03,,4.13,88.0,66.042,47.0,,7.042,13.917,6.875,5.9,2.829,-0.4,
2011-01-04,,4.375,91.0,62.0,27.0,,8.292,14.792,6.5,6.8,2.125,-0.7,
2011-01-05,,3.478,92.0,84.708,70.0,,19.304,41.435,22.13,3.3,0.696,-2.1,
2011-01-06,,4.458,93.0,72.667,38.0,,28.0,87.792,59.792,7.6,2.521,-1.3,
2011-01-07,,3.333,92.0,82.333,60.0,,16.333,33.5,17.167,3.9,1.775,0.6,
2011-01-08,,3.875,93.0,80.833,58.0,,11.75,28.75,17.0,4.3,0.3,-2.4,
2011-01-09,,4.667,91.0,71.958,50.0,,19.625,48.083,28.458,7.4,2.471,-1.3,
2011-01-10,,5.696,92.0,78.167,48.0,,28.833,99.375,70.542,7.8,2.033,-2.4,
2011-01-11,,4.87,93.0,70.583,32.0,,22.261,56.391,34.13,8.6,2.55,-1.5,
2011-01-12,,4.167,89.0,77.958,58.0,,29.792,81.75,51.958,2.7,-0.467,-2.9,
2011-01-13,,4.708,89.0,64.0,38.0,,25.458,83.833,58.375,7.8,2.312,-3.6,
2011-01-14,,4.833,82.0,67.417,51.0,,16.25,34.125,17.875,5.6,3.396,1.6,
2011-01-15,,3.333,77.0,64.958,44.0,,9.333,17.167,7.833,6.9,3.842,1.2,
2011-01-16,,4.375,87.0,66.0,52.0,,28.125,72.958,44.833,3.3,1.9,-0.2,
2011-01-17,196.625,4.174,97.0,70.958,35.0,7.5,23.25,66.75,43.5,6.1,1.362,-3.6,204.125
2011-01-18,198.545,4.87,90.0,69.833,38.0,11.273,33.591,119.409,85.818,8.4,1.262,-3.7,209.818
2011-01-19,197.5,5.542,93.0,81.167,45.0,15.292,36.667,126.667,90.0,6.7,2.654,-1.3,212.792
2011-01-20,194.208,3.875,92.0,88.875,82.0,7.792,30.667,74.25,43.583,7.2,5.079,3.3,202.0
2011-01-21,195.708,4.417,92.0,89.208,82.0,9.542,24.875,56.625,31.75,6.4,5.35,4.7,205.25
2011-01-22,195.833,3.625,92.0,79.75,55.0,8.542,12.375,26.042,13.667,9.3,5.508,2.6,204.375
2011-01-23,195.792,4.25,88.0,73.333,47.0,9.25,22.083,51.542,29.458,8.3,4.912,1.6,205.042
2011-01-24,190.304,4.13,86.0,62.542,44.0,10.174,24.625,63.167,38.542,4.6,1.596,-1.1,200.478
2011-01-25,191.739,5.217,65.0,48.458,26.0,12.261,25.783,62.522,36.739,4.1,0.675,-2.0,204.0
2011-01-26,191.958,4.25,88.0,65.708,49.0,10.0,22.167,57.917,35.75,2.8,0.179,-1.8,201.958
2011-01-27,193.375,5.25,93.0,73.542,49.0,9.625,28.042,79.625,51.583,4.8,0.175,-3.7,203.0
2011-01-28,193.292,4.5,92.0,72.417,57.0,12.083,19.167,44.208,25.042,5.0,0.962,-2.8,205.375
2011-01-29,193.042,2.875,89.0,63.708,41.0,5.042,6.917,14.458,7.542,3.3,0.225,-3.9,198.083
2011-01-30,193.583,4.333,94.0,81.333,59.0,12.0,25.083,69.208,44.125,2.7,-0.029,-4.2,205.583
2011-01-31,190.565,4.174,92.0,64.208,34.0,2.304,24.667,67.042,42.375,5.4,1.029,-3.4,192.87
2011-02-01,190.667,4.25,86.0,63.5,44.0,3.833,26.167,68.625,42.458,6.2,0.738,-3.9,194.5
2011-02-02,191.409,3.522,91.0,68.292,48.0,4.409,17.818,39.955,22.136,0.5,-2.067,-4.2,195.818
2011-02-03,193.917,4.542,91.0,63.5,35.0,4.042,28.292,73.042,44.75,3.4,-1.629,-7.3,197.958
2011-02-04,192.583,4.833,88.0,57.333,29.0,3.5,21.625,48.208,26.583,6.8,1.433,-4.9,196.083
2011-02-05,192.708,5.208,81.0,57.125,31.0,3.625,15.625,27.792,12.167,8.0,3.908,-0.7,196.333
2011-02-06,191.75,5.583,95.0,91.708,82.0,6.75,32.625,82.208,49.583,8.0,4.404,2.3,198.5
2011-02-07,193.136,5.682,94.0,83.208,60.0,18.864,30.522,66.739,36.217,7.7,5.929,3.6,212.0
2011-02-08,191.667,3.875,65.0,53.333,42.0,13.667,20.333,44.0,23.667,4.7,1.662,-1.6,205.333
2011-02-09,194.083,4.958,71.0,49.458,32.0,12.292,25.792,61.042,35.25,4.3,0.133,-4.0,206.375
2011-02-10,193.625,4.5,75.0,56.208,29.0,12.5,28.417,70.917,42.5,6.1,1.417,-3.7,206.125
2011-02-11,193.542,4.042,91.0,71.542,48.0,11.792,16.542,33.875,17.333,4.5,1.333,-2.1,205.333
2011-02-12,194.417,3.542,90.0,68.292,51.0,9.958,9.583,18.25,8.667,4.6,1.033,-2.4,204.375
2011-02-13,195.25,5.8,95.0,81.25,52.0,15.875,33.667,86.917,53.25,5.1,1.496,-1.9,211.125
2011-02-14,190.391,5.75,95.0,92.875,90.0,18.391,32.208,93.458,61.25,5.6,3.275,1.1,208.783
2011-02-15,194.409,5.182,94.0,81.458,66.0,21.5,27.0,78.545,51.545,5.4,2.7,0.3,215.909
2011-02-16,195.542,4.042,70.0,51.917,30.0,19.75,26.5,54.542,28.042,6.6,2.617,-0.6,215.292
2011-02-17,195.583,4.292,75.0,57.333,42.0,16.208,22.958,49.458,26.5,4.9,1.662,-0.9,211.792
2011-02-18,199.083,3.167,92.0,88.042,78.0,9.417,14.583,29.125,14.542,-1.0,-2.408,-6.7,208.5
2011-02-19,202.583,4.292,92.0,79.917,58.0,12.208,17.333,37.458,20.125,2.4,-2.896,-9.1,214.792
2011-02-20,201.292,4.667,92.0,73.625,45.0,15.375,30.292,91.75,61.458,5.8,-0.025,-5.1,216.667
2011-02-21,189.261,5.478,91.0,71.833,43.0,23.0,34.417,105.083,70.667,7.9,2.121,-3.4,212.261
2011-02-22,187.174,5.348,93.0,75.667,34.0,22.913,28.043,85.217,57.174,10.4,5.804,0.2,210.087
2011-02-23,182.5,4.625,95.0,87.083,64.0,15.542,23.958,49.625,25.667,9.8,7.783,5.6,198.042
2011-02-24,185.417,4.25,78.0,57.833,39.0,12.333,21.5,37.375,15.875,9.4,6.292,4.2,197.75
2011-02-25,186.833,5.083,92.0,86.458,78.0,18.0,23.625,47.208,23.583,6.5,4.692,0.6,204.833
2011-02-26,186.833,2.833,93.0,73.375,52.0,10.792,7.833,12.083,4.25,3.0,1.45,-1.5,197.625
2011-02-27,189.125,3.542,89.0,61.167,43.0,12.5,23.042,51.875,28.833,3.5,-0.346,-4.0,201.625
2011-02-28,189.304,4.478,87.0,54.083,27.0,11.304,29.875,74.5,44.625,6.2,1.246,-5.5,200.609
2011-03-01,185.417,4.917,97.0,79.0,51.0,11.542,30.542,87.458,56.917,12.7,5.783,-0.9,196.958
2011-03-02,183.167,4.667,94.0,89.708,78.0,13.5,28.167,72.542,44.375,9.8,7.604,4.8,196.667
2011-03-03,184.625,3.375,86.0,59.0,31.0,4.792,9.833,16.208,6.375,10.8,6.267,0.2,189.417
