date,PM25_mean
2013-01-01,24.708
2013-01-02,13.958
2013-01-03,9.042
2013-01-04,11.625
2013-01-05,6.667
2013-01-06,5.542
2013-01-07,9.167
2013-01-08,9.167
2013-01-09,2.125
2013-01-10,3.583
2013-01-11,11.042
2013-01-12,20.917
2013-01-13,12.417
2013-01-14,6.875
2013-01-15,7.667
2013-01-16,7.708
2013-01-17,9.458
2013-01-18,22.167
2013-01-19,4.667
2013-01-20,15.083
2013-01-21,20.583
2013-01-22,11.75
2013-01-23,13.542
2013-01-24,13.667
2013-01-25,18.375
2013-01-26,12.75
2013-01-27,8.25
2013-01-28,13.167
2013-01-29,16.542
2013-01-30,16.125
2013-01-31,18.136
2013-02-01,14.542
2013-02-02,21.708
2013-02-03,16.833
2013-02-04,0.667
2013-02-05,3.792
2013-02-06,4.708
2013-02-07,3.875
2013-02-08,1.625
2013-02-09,2.042
2013-02-10,7.625
2013-02-11,3.708
2013-02-12,4.667
2013-02-13,2.792
2013-02-14,4.958
2013-02-15,2.208
2013-02-16,16.875
2013-02-17,21.208
2013-02-18,9.25
2013-02-19,8.042
2013-02-20,10.417
2013-02-21,12.083
2013-02-22,9.542
2013-02-23,9.0
2013-02-24,14.542
2013-02-25,37.333
2013-02-26,46.667
2013-02-27,14.826
2013-02-28,19.5
2013-03-01,30.667
2013-03-02,8.75
2013-03-03,4.167
2013-03-04,8.125
2013-03-05,9.333
2013-03-06,9.0
2013-03-07,8.583
2013-03-08,9.458
2013-03-09,14.25
2013-03-10,6.25
2013-03-11,10.333
2013-03-12,16.125
2013-03-13,14.708
2013-03-14,5.875
2013-03-15,14.458
2013-03-16,31.042
2013-03-17,42.167
2013-03-18,31.458
2013-03-19,16.875
2013-03-20,6.208
2013-03-21,3.75
2013-03-22,5.458
2013-03-23,16.458
2013-03-24,35.083
2013-03-25,23.042
2013-03-26,19.0
2013-03-27,14.125
2013-03-28,21.913
2013-03-29,17.0
2013-03-30,8.75
2013-03-31,12.292
2013-06-12,4.154
2013-06-13,8.5
2013-06-14,12.5
2013-06-15,12.208
2013-06-16,8.292
2013-06-17,14.333
2013-06-18,19.458
2013-06-19,10.833
2013-06-20,2.625
2013-06-21,5.167
2013-06-22,8.292
2013-06-23,17.208
2013-06-24,14.25
2013-06-25,11.75
2013-06-26,2.208
2013-06-27,8.909
2013-06-28,11.125
2013-06-29,8.292
2013-06-30,7.458
2013-07-01,8.792
2013-07-02,7.458
2013-07-03,5.75
2013-07-04,6.174
2013-07-05,11.208
2013-07-06,11.542
2013-07-07,11.0
2013-07-08,18.167
2013-07-09,27.042
2013-07-10,29.667
2013-07-11,31.25
2013-07-12,23.083
2013-07-13,9.958
2013-07-14,9.833
2013-07-15,7.125
2013-07-16,9.167
2013-07-17,18.208
2013-07-18,18.958
2013-07-19,6.292
2013-07-20,13.833
2013-07-21,17.125
2013-07-22,26.5
2013-07-23,20.833
2013-07-24,15.625
2013-07-25,24.304
2013-07-26,38.583
2013-07-27,31.0
2013-07-28,30.042
2013-07-29,17.958
2013-07-30,24.708
2013-07-31,29.87
2013-08-01,19.75
2013-08-02,13.667
2013-08-03,5.667
2013-08-04,14.125
2013-08-05,11.417
2013-08-06,12.125
2013-08-07,21.542
2013-08-08,24.522
2013-08-09,35.5
2013-08-10,39.792
2013-08-11,38.125
2013-08-12,28.708
2013-08-13,25.136
2013-08-14,21.958
2013-08-15,34.708
2013-08-16,29.542
2013-08-17,21.958
2013-08-18,13.833
2013-08-19,14.0
2013-08-20,8.625
2013-08-21,9.375
2013-08-22,10.958
2013-08-23,10.833
2013-08-24,4.5
2013-08-25,4.583
2013-08-26,6.583
2013-08-27,5.217
2013-08-28,14.292
2013-08-29,20.522
2013-08-30,14.75
2013-08-31,8.917
2013-09-01,7.083
2013-09-02,2.417
2013-09-03,2.292
2013-09-04,1.375
2013-09-05,1.167
2013-09-06,3.13
2013-09-07,5.875
2013-09-08,3.125
2013-09-09,4.833
2013-09-10,6.958
2013-09-11,15.208
2013-09-12,28.5
2013-09-13,35.583
2013-09-14,20.458
2013-09-15,2.333
2013-09-16,3.25
2013-09-17,5.417
2013-09-18,8.792
