date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,76.0,60.042,38.0,8.542,8.542,0.0,14.417,112.0,60.792,7.0
2011-01-02,78.0,59.0,44.0,3.542,3.542,0.0,12.167,80.0,62.167,46.0
2011-01-03,73.0,53.917,41.0,7.917,7.917,0.0,17.75,83.0,60.458,31.0
2011-01-04,70.0,51.0,30.0,6.208,6.208,0.0,23.125,69.0,50.542,25.0
2011-01-05,89.0,70.375,50.0,17.783,19.478,1.696,12.792,65.0,37.792,10.0
2011-01-06,86.0,57.917,35.0,19.667,26.5,6.833,14.208,87.0,56.875,19.0
2011-01-07,78.0,58.292,39.0,13.652,14.478,0.826,7.167,76.0,49.25,12.0
2011-01-08,81.0,60.833,32.0,13.167,13.333,0.167,11.167,80.0,38.083,3.0
2011-01-09,80.0,62.75,43.0,15.875,17.5,1.625,18.5,108.0,60.917,19.0
2011-01-10,85.0,61.333,37.0,22.875,29.458,6.583,33.542,104.0,61.75,17.0
2011-01-11,66.0,52.875,36.0,11.917,11.958,0.042,22.625,94.0,65.458,20.0
2011-01-12,75.0,50.917,34.0,18.417,22.25,3.833,7.042,67.0,34.875,-5.0
2011-01-13,79.0,55.625,39.0,16.19,19.952,3.762,18.087,90.0,63.625,39.0
2011-01-14,73.0,54.5,42.0,18.13,19.0,0.87,43.542,83.0,64.875,38.0
2011-01-15,77.0,60.667,46.0,14.625,14.833,0.208,15.417,78.0,57.0,26.0
2011-01-16,86.0,56.0,43.0,11.25,11.292,0.042,17.583,57.0,47.125,23.0
2011-01-17,89.0,62.208,32.0,14.375,17.125,2.75,11.583,92.0,47.25,12.0
2011-01-18,84.0,56.458,25.0,22.3,32.9,10.6,21.174,108.0,48.0,-9.0
2011-01-19,89.0,76.458,60.0,25.458,35.458,10.0,22.083,66.0,54.833,46.0
2011-01-20,87.0,77.292,67.0,15.625,17.292,1.667,8.125,97.0,75.708,49.0
2011-01-21,91.0,84.25,67.0,20.174,23.478,3.304,16.625,97.0,74.542,66.0
2011-01-22,96.0,79.083,56.0,14.0,14.542,0.542,10.292,112.0,71.417,35.0
2011-01-23,86.0,63.417,43.0,14.333,17.417,3.083,7.875,99.0,71.0,40.0
2011-01-24,71.0,51.167,37.0,11.125,11.875,0.75,5.75,53.0,34.875,23.0
2011-01-25,64.0,48.417,32.0,12.409,14.182,1.773,16.565,57.0,31.583,12.0
2011-01-26,66.0,50.708,37.0,17.417,21.833,4.417,8.25,57.0,28.333,5.0
2011-01-27,77.0,54.792,38.0,21.583,30.917,9.333,30.0,76.0,43.458,0.0
2011-01-28,72.0,59.667,46.0,18.458,20.417,1.958,27.625,79.0,49.458,22.0
2011-01-29,83.0,64.292,47.0,10.708,11.417,0.708,11.792,52.0,27.75,2.0
2011-01-30,79.0,61.125,35.0,21.083,32.042,10.958,8.25,73.0,34.833,1.0
2011-01-31,67.0,51.0,32.0,18.917,23.375,4.458,10.708,69.0,38.042,10.0
2011-02-01,86.0,54.458,29.0,19.458,24.708,5.25,19.625,77.0,39.583,-4.0
