date,CO_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,4.333,12.208,17.25,5.042,20.417
2011-01-02,3.609,7.13,8.522,1.391,18.083
2011-01-03,4.5,15.0,22.208,7.208,23.583
2011-01-04,3.792,11.167,14.708,3.542,27.167
2011-01-05,4.5,29.375,66.458,37.083,18.083
2011-01-06,5.042,37.667,132.083,94.417,24.458
2011-01-07,3.917,19.25,44.0,24.75,16.875
2011-01-08,4.958,21.083,49.375,28.292,19.458
2011-01-09,5.0,23.174,48.565,25.391,26.583
2011-01-10,6.5,37.833,132.875,95.042,37.333
2011-01-11,3.792,21.042,39.583,18.542,33.167
2011-01-12,4.833,38.042,130.417,92.375,17.042
2011-01-13,4.708,32.708,98.625,65.917,30.333
2011-01-14,6.583,28.083,48.708,20.625,49.042
2011-01-15,5.875,26.292,59.0,32.708,23.167
2011-01-16,3.391,26.043,45.957,19.913,20.667
2011-01-17,3.625,28.958,73.125,44.167,20.125
2011-01-18,5.125,34.5,98.625,64.125,17.571
2011-01-19,4.125,26.5,58.75,32.25,25.75
2011-01-20,3.5,20.542,39.292,18.75,14.542
2011-01-21,3.292,23.208,44.625,21.417,19.042
2011-01-22,5.125,22.75,49.75,27.0,22.333
2011-01-23,3.913,25.391,64.87,39.478,16.75
2011-01-24,3.0,21.167,31.917,10.75,16.167
2011-01-25,3.833,22.708,36.542,13.833,25.75
2011-01-26,3.875,28.458,57.875,29.417,18.583
2011-01-27,5.917,39.0,121.667,82.667,38.417
2011-01-28,4.75,28.167,52.542,24.375,35.042
2011-01-29,4.0,18.708,41.25,22.542,17.125
2011-01-30,4.783,34.174,98.217,64.043,18.5
2011-01-31,4.083,35.667,88.375,52.708,22.542
2011-02-01,4.0,30.542,65.125,34.583,30.083
2011-02-02,2.875,19.417,32.417,13.0,16.042
2011-02-03,3.917,29.583,69.667,40.083,18.625
2011-02-04,3.958,22.875,38.833,15.958,28.083
2011-02-05,6.125,27.125,54.5,27.375,45.583
2011-02-06,5.043,28.565,51.696,23.13,37.792
2011-02-07,5.458,32.5,59.25,26.75,26.125
2011-02-08,2.958,20.708,30.542,9.833,19.667
2011-02-09,3.875,27.625,58.708,31.083,21.125
2011-02-10,4.25,30.792,74.25,43.458,23.208
2011-02-11,4.917,24.167,60.875,36.708,21.042
2011-02-12,4.375,20.625,40.625,20.0,21.708
2011-02-13,4.522,29.783,52.87,23.087,26.75
2011-02-14,6.083,38.208,99.0,60.792,26.792
2011-02-15,6.0,31.833,75.458,43.625,28.958
2011-02-16,5.208,35.167,99.667,64.5,24.333
2011-02-17,4.0,26.708,56.0,29.292,22.375
2011-02-18,3.375,17.708,27.75,10.042,15.792
2011-02-19,4.375,20.542,40.542,20.0,19.917
2011-02-20,5.478,38.478,121.043,82.565,23.833
2011-02-21,6.167,44.417,107.0,62.583,33.75
2011-02-22,4.542,34.833,89.958,55.125,29.375
2011-02-23,5.417,31.458,65.0,33.542,25.042
2011-02-24,4.792,31.5,65.417,33.917,40.875
2011-02-25,6.375,33.458,64.667,31.208,44.5
2011-02-26,3.292,14.667,29.0,14.333,18.167
2011-02-27,4.478,36.391,103.696,67.304,20.542
2011-02-28,3.417,29.792,78.0,48.208,20.583
2011-03-01,5.292,40.042,89.208,49.167,32.0
2011-03-02,4.875,31.167,67.958,36.792,26.375
2011-03-03,3.875,20.75,39.042,18.292,24.75
2011-03-04,3.667,19.125,28.375,9.25,22.583
2011-03-05,4.739,33.783,68.522,34.739,21.708
2011-03-06,6.208,32.792,69.292,36.5,31.167
2011-03-07,5.042,22.917,46.958,24.042,37.208
2011-03-08,6.375,33.417,80.833,47.417,41.458
2011-03-09,5.375,37.375,72.583,35.208,25.208
2011-03-10,3.833,18.792,36.417,17.625,20.917
2011-03-11,4.042,16.125,32.583,16.458,24.917
2011-03-12,3.565,25.217,39.522,14.304,21.667
2011-03-13,4.583,38.625,104.833,66.208,21.708
2011-03-14,4.333,35.417,83.125,47.708,20.917
2011-03-15,4.375,34.333,98.708,64.375,28.833
2011-03-16,5.208,46.417,116.958,70.542,25.917
2011-03-17,5.208,30.292,47.958,17.667,28.5
2011-03-18,7.667,29.333,58.333,29.0,30.167
2011-03-19,2.913,15.87,27.522,11.652,15.333
2011-03-20,4.125,25.75,57.458,31.708,21.208
2011-03-21,3.783,36.444,104.222,67.778,21.556
2011-03-22,4.348,43.875,83.75,39.875,30.625
2011-03-23,3.292,28.955,43.727,14.773,20.043
2011-03-24,4.375,14.125,19.625,5.5,25.125
2011-03-25,3.391,10.391,15.696,5.304,22.167
2011-03-26,3.458,28.304,62.0,33.696,24.042
2011-03-27,4.292,39.667,140.5,100.833,29.792
2011-03-28,4.167,,,,41.333
2011-03-29,4.5,,,,34.167
2011-03-30,3.375,,,,23.792
2011-03-31,2.917,,,,21.25
2011-04-01,5.0,26.0,52.875,26.875,43.333
2011-04-02,4.333,19.042,44.167,25.125,45.792
2011-04-03,2.708,9.375,12.292,2.917,20.917
2011-04-04,2.739,15.565,42.043,26.478,23.458
2011-04-05,4.125,25.833,71.333,45.5,30.458
2011-04-06,4.083,23.125,49.833,26.708,33.625
2011-04-07,3.333,19.958,43.333,23.375,25.333
2011-04-08,3.167,17.542,54.833,37.292,27.333
2011-04-09,3.5,10.167,30.542,20.375,26.833
2011-04-10,5.5,14.125,31.708,17.583,43.333
2011-04-11,3.739,16.652,38.696,22.043,40.417
2011-04-12,3.833,20.583,64.5,43.917,43.417
2011-04-13,4.125,22.083,61.333,39.25,42.917
2011-04-14,5.125,22.875,75.667,52.792,51.125
2011-04-15,4.042,18.208,57.5,39.292,44.042
2011-04-16,3.708,9.917,24.75,14.833,41.292
2011-04-17,4.042,11.958,24.042,12.083,29.042
2011-04-18,3.391,16.522,38.261,21.739,30.917
2011-04-19,3.375,18.417,35.708,17.292,19.042
2011-04-20,3.167,14.667,26.625,11.958,15.542
2011-04-21,4.0,17.25,48.167,30.917,34.708
2011-04-22,4.458,14.917,49.792,34.875,35.708
2011-04-23,4.125,10.75,32.5,21.75,25.375
2011-04-24,4.083,11.75,23.75,12.0,31.458
2011-04-25,3.87,20.522,43.261,22.739,31.125
2011-04-26,3.292,18.542,34.208,15.667,44.708
2011-04-27,3.042,20.0,42.542,22.542,31.5
2011-04-28,3.75,18.458,33.125,14.667,25.0
2011-04-29,4.333,15.333,38.0,22.667,27.0
2011-04-30,3.958,15.083,25.208,10.125,35.292
2011-05-01,4.25,8.083,22.792,14.708,26.625
2011-05-02,4.391,13.652,42.696,29.043,147.0
2011-05-03,6.208,11.375,32.667,21.292,153.917
2011-05-04,5.0,11.75,30.5,18.75,96.542
2011-05-05,4.5,12.583,22.167,9.583,36.833
2011-05-06,3.75,15.25,29.417,14.167,44.958
2011-05-07,2.875,12.958,22.417,9.458,31.375
2011-05-08,3.25,11.167,22.542,11.375,34.917
2011-05-09,4.348,17.304,37.043,19.739,53.375
2011-05-10,4.542,10.0,73.458,63.458,41.917
2011-05-11,3.917,7.167,73.958,66.792,22.917
2011-05-12,2.833,8.375,37.792,29.417,18.958
2011-05-13,3.292,16.875,26.208,9.333,49.5
2011-05-14,3.458,14.958,23.125,8.167,43.208
2011-05-15,3.708,11.417,20.583,9.167,44.042
2011-05-16,3.652,16.304,37.348,21.043,42.583
2011-05-17,4.083,18.0,50.333,32.333,39.333
2011-05-18,4.458,18.625,49.375,30.75,41.458
2011-05-19,4.292,17.583,43.75,26.167,46.708
2011-05-20,4.375,15.208,57.583,42.375,24.0
2011-05-21,3.458,10.083,42.542,32.458,
2011-05-22,3.542,5.958,30.292,24.333,
2011-05-23,2.826,7.652,26.522,18.87,
2011-05-24,2.917,9.333,19.75,10.417,
2011-05-25,4.042,14.542,42.208,27.667,
2011-05-26,3.125,11.917,49.042,37.125,
2011-05-27,2.958,10.375,29.125,18.75,
2011-05-28,3.25,6.292,30.5,24.208,
2011-05-29,2.792,6.75,15.792,9.042,
2011-05-30,2.348,9.783,16.13,6.348,
2011-05-31,3.708,12.0,64.917,52.917,
2011-06-01,2.375,7.833,42.542,34.708,
2011-06-02,4.25,8.958,49.542,40.583,
2011-06-03,4.875,11.917,62.167,50.25,
2011-06-04,4.917,10.0,43.458,33.458,34.556
2011-06-05,5.417,6.292,25.375,19.083,39.875
2011-06-06,5.217,12.957,55.304,42.348,36.167
2011-06-07,4.667,11.792,49.417,37.625,36.75
2011-06-08,3.083,11.417,33.333,21.917,23.167
2011-06-09,4.542,9.833,44.625,34.792,35.167
2011-06-10,5.333,8.292,74.625,66.333,54.25
2011-06-11,5.042,7.333,46.833,39.5,28.125
2011-06-12,4.875,6.833,29.917,23.083,43.167
2011-06-13,4.696,9.739,35.87,26.13,23.75
2011-06-14,4.375,9.167,45.208,36.042,32.583
2011-06-15,4.708,8.5,58.542,50.042,27.333
2011-06-16,3.583,7.375,61.833,54.458,26.208
2011-06-17,5.208,9.333,41.5,32.167,26.542
2011-06-18,5.417,5.542,58.792,53.25,37.167
2011-06-19,4.833,4.542,34.0,29.458,22.375
2011-06-20,4.739,5.261,50.522,45.261,28.958
2011-06-21,4.0,9.13,65.783,56.652,37.522
2011-06-22,4.333,8.833,83.75,74.917,45.208
2011-06-23,2.875,7.417,77.333,69.917,42.917
2011-06-24,2.75,6.75,58.583,51.833,34.25
2011-06-25,2.667,5.917,43.208,37.292,37.5
2011-06-26,3.625,4.5,37.708,33.208,32.667
2011-06-27,2.13,5.565,40.435,34.87,31.333
2011-06-28,2.792,6.083,54.417,48.333,40.708
2011-06-29,3.75,8.708,70.292,61.583,49.708
2011-06-30,4.083,9.917,65.875,55.958,48.25
2011-07-01,4.542,7.75,72.083,64.333,17.292
2011-07-02,4.708,7.5,43.5,36.0,38.083
2011-07-03,5.208,5.542,27.75,22.208,65.333
2011-07-04,3.304,8.217,47.348,39.13,55.125
2011-07-05,4.417,12.167,31.667,19.5,45.167
2011-07-06,4.375,8.958,44.625,35.667,43.292
2011-07-07,3.875,4.583,78.083,73.5,33.708
2011-07-08,4.042,5.583,69.625,64.042,26.792
2011-07-09,3.208,4.917,47.25,42.333,29.583
2011-07-10,4.042,5.0,25.667,20.667,37.25
2011-07-11,2.913,7.391,38.609,31.217,29.958
2011-07-12,3.917,4.875,64.417,59.542,34.542
2011-07-13,2.583,5.542,45.125,39.583,26.292
2011-07-14,3.833,6.833,47.917,41.083,29.0
2011-07-15,4.583,9.875,56.708,46.833,39.5
2011-07-16,4.5,9.417,42.625,33.208,44.292
2011-07-17,2.042,3.625,25.125,21.5,26.792
2011-07-18,1.87,2.087,25.957,23.87,28.75
2011-07-19,1.542,3.0,24.375,21.375,17.125
2011-07-20,2.0,3.708,16.0,12.292,18.458
2011-07-21,4.208,6.0,52.917,46.917,25.208
2011-07-22,4.25,6.167,64.708,58.542,31.208
2011-07-23,4.542,8.208,36.667,28.458,39.792
2011-07-24,3.417,5.458,19.417,13.958,37.958
2011-07-25,3.087,6.913,32.261,25.348,31.833
2011-07-26,3.333,7.708,36.167,28.458,28.083
2011-07-27,3.667,5.417,54.083,48.667,27.083
2011-07-28,3.542,7.5,54.625,47.125,31.458
2011-07-29,4.417,10.875,44.875,34.0,38.542
2011-07-30,4.417,8.5,47.125,38.625,39.708
2011-07-31,4.375,6.875,26.583,19.708,35.0
2011-08-01,2.696,6.739,22.957,16.217,38.208
2011-08-02,2.583,5.875,25.125,19.25,29.667
2011-08-03,2.583,6.583,38.958,32.375,27.583
2011-08-04,2.458,4.833,45.125,40.292,21.542
2011-08-05,2.667,4.542,28.833,24.292,29.25
2011-08-06,3.125,4.333,35.083,30.75,27.958
2011-08-07,3.5,4.75,26.625,21.875,31.083
2011-08-08,4.043,7.217,44.087,36.87,33.375
2011-08-09,5.042,13.375,61.708,48.333,45.458
2011-08-10,4.417,12.417,57.542,45.125,61.292
2011-08-11,4.0,11.0,47.25,36.25,41.833
2011-08-12,4.625,10.667,42.5,31.833,44.417
2011-08-13,4.458,7.792,27.667,19.875,44.833
2011-08-14,4.417,5.125,20.333,15.208,44.8
2011-08-15,3.348,5.565,19.565,14.0,
2011-08-16,4.125,7.75,22.708,14.958,
2011-08-17,3.667,9.167,37.5,28.333,
2011-08-18,3.125,9.5,44.458,34.958,
2011-08-19,4.167,10.333,46.958,36.625,
2011-08-20,3.708,5.75,50.583,44.833,
2011-08-21,4.5,4.583,30.667,26.083,
2011-08-22,5.348,9.13,51.0,41.87,
2011-08-23,4.333,6.25,60.25,54.0,30.583
2011-08-24,3.375,6.0,53.333,47.333,30.792
2011-08-25,3.208,3.5,60.542,57.042,21.208
2011-08-26,2.917,5.792,41.208,35.417,25.375
2011-08-27,3.667,5.667,31.417,25.75,27.208
2011-08-28,3.0,3.625,19.792,16.167,30.583
2011-08-29,2.652,5.13,21.652,16.522,31.083
2011-08-30,3.042,6.708,41.333,34.625,24.042
2011-08-31,1.792,4.833,23.333,18.5,21.792
2011-09-01,1.542,2.667,25.958,23.292,22.833
2011-09-02,1.292,2.25,9.542,7.292,17.458
2011-09-03,1.583,2.458,14.5,12.042,15.75
2011-09-04,2.417,2.917,14.792,11.875,12.833
2011-09-05,3.696,4.391,47.957,43.565,18.083
2011-09-06,3.708,6.625,63.292,56.667,22.375
2011-09-07,4.042,9.292,51.708,42.417,24.458
2011-09-08,3.833,8.583,35.5,26.917,29.167
2011-09-09,3.792,6.875,40.625,33.75,34.208
2011-09-10,3.542,6.083,38.375,32.292,40.333
2011-09-11,3.167,3.708,25.75,22.042,26.792
2011-09-12,3.0,6.087,52.0,45.913,24.625
2011-09-13,3.667,7.458,45.375,37.917,27.875
2011-09-14,4.167,7.875,50.0,42.125,30.542
2011-09-15,2.542,5.583,50.5,44.917,22.583
2011-09-16,1.833,3.583,36.958,33.375,19.458
2011-09-17,2.833,3.75,34.375,30.625,20.75
2011-09-18,3.042,3.208,23.792,20.583,28.167
2011-09-19,2.217,3.435,24.391,20.957,20.417
2011-09-20,2.583,3.542,26.792,23.25,17.208
2011-09-21,2.167,5.917,32.792,26.875,15.5
2011-09-22,3.0,7.917,35.417,27.5,15.958
2011-09-23,3.5,6.5,43.917,37.417,15.625
2011-09-24,3.0,6.583,34.75,28.167,18.542
2011-09-25,2.5,5.75,16.375,10.625,20.292
2011-09-26,3.522,7.13,34.652,27.522,24.792
2011-09-27,3.708,8.125,51.917,43.792,22.25
2011-09-28,4.042,11.125,49.292,38.167,28.417
2011-09-29,3.667,23.421,56.053,32.632,31.045
2011-09-30,3.833,33.333,72.792,39.458,31.417
2011-10-01,2.333,15.042,35.417,20.375,17.292
2011-10-02,3.25,15.292,28.208,12.917,17.292
2011-10-03,3.13,24.391,66.522,42.13,13.833
2011-10-04,3.542,30.375,78.792,48.417,18.292
2011-10-05,3.25,24.667,51.333,26.667,23.208
2011-10-06,3.458,29.333,64.667,35.333,17.792
2011-10-07,4.708,33.375,76.0,42.625,37.042
2011-10-08,5.083,28.375,48.958,20.583,37.833
2011-10-09,4.625,17.333,21.875,4.542,40.792
2011-10-10,5.13,22.652,36.435,13.783,45.0
2011-10-11,6.042,39.208,86.208,47.0,60.875
2011-10-12,6.25,39.875,89.458,49.583,57.125
2011-10-13,6.542,38.75,65.792,27.042,71.083
2011-10-14,4.875,30.5,58.083,27.583,48.25
2011-10-15,4.458,23.875,51.25,27.375,20.917
2011-10-16,4.208,16.333,23.0,6.667,28.833
2011-10-17,6.174,40.522,109.217,68.696,39.0
2011-10-18,3.5,28.958,80.0,51.042,22.5
2011-10-19,4.375,29.0,83.75,54.75,25.583
2011-10-20,3.625,33.042,69.917,36.875,23.542
2011-10-21,2.583,25.083,46.208,21.125,16.833
2011-10-22,4.458,20.917,43.667,22.75,17.708
2011-10-23,4.792,16.125,38.958,22.833,17.792
2011-10-24,4.391,31.696,81.391,49.696,19.167
2011-10-25,3.875,24.5,68.208,43.708,19.75
2011-10-26,4.042,29.333,100.833,71.5,16.542
2011-10-27,4.125,30.083,77.5,47.417,24.375
2011-10-28,3.625,29.833,45.125,15.292,27.75
2011-10-29,4.833,25.417,45.083,19.667,30.25
2011-10-30,3.542,15.042,18.333,3.292,27.375
2011-10-31,4.435,23.391,57.609,34.217,21.727
2011-11-01,4.875,34.458,89.208,54.75,
2011-11-02,4.75,32.833,63.833,31.0,
2011-11-03,5.792,22.0,52.333,30.333,
2011-11-04,5.375,27.917,68.75,40.833,
2011-11-05,5.25,23.25,37.833,14.583,
2011-11-06,5.5,17.5,36.25,18.75,
2011-11-07,3.087,18.739,48.522,29.783,
2011-11-08,4.5,27.375,88.917,61.542,18.696
2011-11-09,4.167,28.0,87.083,59.083,17.583
2011-11-10,3.75,22.0,64.375,42.375,19.625
2011-11-11,4.417,19.583,50.208,30.625,15.583
2011-11-12,6.625,24.458,78.0,53.542,24.5
2011-11-13,6.667,20.875,39.417,18.542,31.875
2011-11-14,7.261,39.913,109.87,69.957,51.167
2011-11-15,4.083,25.792,77.0,51.208,25.75
2011-11-16,5.0,31.792,112.958,81.167,22.792
2011-11-17,5.25,34.708,102.958,68.25,32.917
2011-11-18,5.167,31.583,60.292,28.708,39.292
2011-11-19,4.5,23.333,39.833,16.5,28.958
2011-11-20,3.458,10.708,15.375,4.667,19.125
2011-11-21,3.304,27.783,64.957,37.174,15.375
2011-11-22,5.083,39.375,130.792,91.417,25.167
2011-11-23,4.792,24.292,54.5,30.208,29.625
2011-11-24,2.958,22.5,36.75,14.25,21.75
2011-11-25,4.208,31.125,98.875,67.75,19.083
2011-11-26,5.042,27.833,78.25,50.417,21.792
2011-11-27,4.958,19.042,32.375,13.333,34.208
2011-11-28,7.304,29.348,70.826,41.478,54.958
2011-11-29,8.833,39.083,99.833,60.75,61.625
2011-11-30,5.958,26.75,66.417,39.667,43.792
2011-12-01,2.458,10.458,16.417,5.958,9.5
2011-12-02,2.833,15.0,26.417,11.417,13.375
2011-12-03,3.667,16.0,33.833,17.833,17.292
2011-12-04,3.667,12.708,22.583,9.875,16.667
2011-12-05,4.087,23.0,60.174,37.174,18.417
2011-12-06,5.292,29.083,78.125,49.042,24.333
2011-12-07,5.5,27.458,68.208,40.75,30.75
2011-12-08,5.125,28.625,72.75,44.125,24.958
