date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-01-01,16.25,18.5,2.25,,12.167
2011-01-02,7.333,7.833,0.5,,8.0
2011-01-03,12.75,14.167,1.417,,18.208
2011-01-04,13.913,16.957,3.043,,21.583
2011-01-05,17.217,22.652,5.435,,7.739
2011-01-06,23.667,36.542,12.875,,12.167
2011-01-07,5.708,6.042,0.333,,5.667
2011-01-08,11.292,11.583,0.292,,5.333
2011-01-09,19.0,25.75,6.75,,15.25
2011-01-10,32.625,59.667,27.042,,29.083
2011-01-11,15.739,23.826,8.087,,21.208
2011-01-12,17.625,24.292,6.667,,5.75
2011-01-13,26.125,41.5,15.375,,18.5
2011-01-14,21.667,28.208,6.542,,37.042
2011-01-15,10.333,12.083,1.75,,12.542
2011-01-16,9.167,10.0,0.833,,9.708
2011-01-17,19.75,31.208,11.458,,11.333
2011-01-18,37.652,66.783,29.13,,13.083
2011-01-19,31.542,60.25,28.708,,8.5
2011-01-20,15.773,19.273,3.5,,5.917
2011-01-21,22.958,30.792,7.833,,8.708
2011-01-22,21.167,28.917,7.75,,9.75
2011-01-23,17.958,27.208,9.25,,5.208
2011-01-24,18.5,26.917,8.417,,6.958
2011-01-25,18.913,27.261,8.348,,15.125
2011-01-26,20.583,30.417,9.833,,9.042
2011-01-27,25.958,38.25,12.292,,21.25
2011-01-28,15.125,17.708,2.583,,19.875
2011-01-29,4.833,5.0,0.167,,5.5
2011-01-30,18.958,26.208,7.25,,5.0
2011-01-31,29.391,48.652,19.261,,8.696
2011-02-01,21.0,28.391,7.391,,17.083
2011-02-02,12.417,16.5,4.083,,6.417
2011-02-03,21.458,34.875,13.417,,8.0
2011-02-04,18.333,23.125,4.792,,20.083
2011-02-05,16.875,19.208,2.333,,32.875
2011-02-06,33.083,47.917,14.833,,32.417
2011-02-07,26.875,44.375,17.5,,17.208
2011-02-08,16.783,24.391,7.609,,8.458
2011-02-09,17.875,28.042,10.167,,10.792
2011-02-10,21.75,32.083,10.333,,11.667
2011-02-11,9.458,11.708,2.25,,7.875
2011-02-12,11.667,14.0,2.333,,11.542
2011-02-13,30.167,44.875,14.708,,16.917
2011-02-14,34.0,59.318,25.318,,17.333
2011-02-15,19.696,39.739,20.043,,15.375
2011-02-16,24.833,41.125,16.292,,9.667
2011-02-17,20.542,28.708,8.167,,11.292
2011-02-18,16.0,20.917,4.917,,4.708
2011-02-19,16.167,18.833,2.667,,8.625
2011-02-20,29.5,47.167,17.667,,10.5
2011-02-21,42.167,80.458,38.292,,29.5
2011-02-22,28.174,35.087,6.913,,22.958
2011-02-23,26.167,45.25,19.083,,17.208
2011-02-24,19.5,24.5,5.0,,27.917
2011-02-25,24.583,32.5,7.917,,25.5
2011-02-26,3.167,3.167,0.0,,8.75
2011-02-27,7.0,7.667,0.667,,8.875
2011-02-28,21.739,27.609,5.87,,10.286
2011-03-01,44.583,99.5,54.917,,23.5
2011-03-02,30.292,61.667,31.375,,20.458
2011-03-03,6.125,6.5,0.375,,16.542
2011-03-04,14.333,16.083,1.75,,15.125
2011-03-05,27.542,45.792,18.25,,12.208
2011-03-06,33.083,77.25,44.167,,18.167
2011-03-07,20.435,28.652,8.217,,25.625
2011-03-08,24.375,33.583,9.208,,25.25
2011-03-09,24.792,32.958,8.167,,18.625
2011-03-10,7.042,7.375,0.333,,9.583
2011-03-11,10.167,11.708,1.542,,14.083
2011-03-12,16.273,20.273,4.0,,10.958
2011-03-13,19.042,24.625,5.583,,9.958
2011-03-14,30.348,43.522,13.174,,12.917
2011-03-15,20.0,26.125,6.125,,18.167
2011-03-16,35.833,47.458,11.625,,14.042
2011-03-17,42.917,59.542,16.625,,27.417
2011-03-18,29.917,42.917,13.0,,35.625
2011-03-19,8.542,9.792,1.25,,4.208
2011-03-20,20.333,25.333,5.0,,12.458
2011-03-21,21.391,25.391,4.0,,14.375
2011-03-22,41.542,67.542,26.0,,25.542
2011-03-23,31.667,41.792,10.125,,13.875
2011-03-24,16.583,20.083,3.5,,17.375
2011-03-25,12.417,13.875,1.458,,14.833
2011-03-26,21.542,27.083,5.542,,13.667
2011-03-27,28.458,38.125,9.667,,18.375
2011-03-28,25.286,35.81,10.524,,28.409
2011-03-29,28.208,37.25,9.042,,18.667
2011-03-30,31.667,45.542,13.875,,18.917
2011-03-31,16.083,19.167,3.083,,12.792
2011-04-01,39.833,50.5,10.667,,29.125
2011-04-02,25.042,31.0,5.958,,31.583
2011-04-03,2.542,2.542,0.0,,8.375
2011-04-04,8.167,10.25,2.083,,6.833
2011-04-05,24.792,34.5,9.708,,13.417
2011-04-06,38.522,52.087,13.565,,17.833
2011-04-07,33.458,44.833,11.375,,17.125
2011-04-08,30.375,39.708,9.333,,25.042
2011-04-09,25.667,38.667,13.0,,21.958
2011-04-10,23.875,28.25,4.375,,30.417
2011-04-11,22.458,29.292,6.833,,26.625
2011-04-12,27.455,34.682,7.227,,25.333
2011-04-13,35.087,45.783,10.696,,26.5
2011-04-14,39.417,50.542,11.125,,39.958
2011-04-15,41.875,54.0,12.125,,39.542
2011-04-16,15.333,22.292,6.958,,37.708
2011-04-17,16.958,19.5,2.542,,15.708
2011-04-18,28.042,36.833,8.792,,25.375
2011-04-19,24.167,31.583,7.417,,13.375
2011-04-20,16.739,21.348,4.609,,7.0
2011-04-21,31.667,45.167,13.5,,17.667
2011-04-22,45.792,57.125,11.333,,33.5
2011-04-23,23.292,27.292,4.0,,20.0
2011-04-24,17.417,19.5,2.083,,20.167
2011-04-25,36.542,46.333,9.792,,24.875
2011-04-26,29.708,37.375,7.667,,34.333
2011-04-27,21.909,29.545,7.636,,36.696
2011-04-28,24.792,33.583,8.792,,25.875
2011-04-29,25.0,31.167,6.167,,19.042
2011-04-30,24.333,28.792,4.458,,27.125
2011-05-01,21.375,26.917,5.542,,31.708
2011-05-02,19.375,24.542,5.167,,93.167
2011-05-03,27.75,32.958,5.208,,121.25
2011-05-04,17.739,21.522,3.783,,85.5
2011-05-05,18.833,20.958,2.125,,23.167
2011-05-06,25.667,29.708,4.042,,33.0
2011-05-07,16.125,17.75,1.625,,21.875
2011-05-08,19.375,22.458,3.083,,37.619
2011-05-09,27.167,35.625,8.458,,41.708
2011-05-10,19.333,35.667,16.333,,41.167
2011-05-11,18.783,48.652,29.87,,14.333
2011-05-12,29.375,45.375,16.0,,15.55
2011-05-13,23.545,29.682,6.136,,36.364
2011-05-14,19.375,22.75,3.375,,28.042
2011-05-15,22.667,27.167,4.5,,29.25
2011-05-16,29.792,36.208,6.417,,34.333
2011-05-17,30.958,40.083,9.125,,39.208
2011-05-18,43.174,60.13,16.957,,34.917
2011-05-19,29.375,36.167,6.792,,32.083
2011-05-20,31.25,42.417,11.167,,28.458
2011-05-21,21.292,28.375,7.083,,21.667
2011-05-22,9.333,11.333,2.0,,12.75
2011-05-23,15.167,18.125,2.958,,7.75
2011-05-24,19.542,22.167,2.625,,7.958
2011-05-25,33.478,44.522,11.043,,16.583
2011-05-26,29.091,35.273,6.182,,20.636
2011-05-27,17.667,19.25,1.583,,9.333
2011-05-28,25.75,35.0,9.25,,8.625
2011-05-29,6.0,7.208,1.208,,2.625
2011-05-30,5.958,6.917,0.958,,4.0
2011-05-31,20.875,28.5,7.625,,5.958
2011-06-01,28.043,34.391,6.348,,13.875
2011-06-02,25.292,32.5,7.208,,18.042
2011-06-03,31.0,47.958,16.958,,37.167
2011-06-04,23.75,31.958,8.208,,37.083
2011-06-05,20.833,25.875,5.042,,26.375
2011-06-06,33.083,46.208,13.125,,42.083
2011-06-07,29.364,34.318,4.955,,33.375
2011-06-08,24.304,30.043,5.739,,16.458
2011-06-09,29.375,38.875,9.5,,22.375
2011-06-10,33.25,51.667,18.417,,35.625
2011-06-11,19.042,24.375,5.333,,18.708
2011-06-12,25.833,30.625,4.792,,40.458
2011-06-13,32.917,45.292,12.375,,27.917
2011-06-14,25.042,35.583,10.542,,28.5
2011-06-15,37.087,53.957,16.87,,16.875
2011-06-16,27.417,35.0,7.583,,24.625
2011-06-17,27.792,36.292,8.5,,14.917
2011-06-18,36.417,49.5,13.083,,34.0
2011-06-19,24.583,32.292,7.708,,29.25
2011-06-20,29.75,46.333,16.583,,18.75
2011-06-21,20.708,37.458,16.75,,19.417
2011-06-22,18.773,38.5,19.727,,31.565
2011-06-23,11.792,28.708,16.917,,31.0
2011-06-24,11.5,28.542,17.042,,35.542
2011-06-25,10.75,25.833,15.083,,28.5
2011-06-26,9.792,19.583,9.792,,20.083
2011-06-27,8.833,21.458,12.625,,25.75
2011-06-28,12.792,32.458,19.667,,26.5
2011-06-29,25.739,55.261,29.522,,31.333
2011-06-30,34.167,60.708,26.542,,38.625
2011-07-01,28.042,58.875,30.833,,30.917
2011-07-02,24.958,37.375,12.417,,28.458
2011-07-03,20.0,24.417,4.417,,50.958
2011-07-04,19.75,31.375,11.625,,42.458
2011-07-05,33.208,43.917,10.708,,34.917
2011-07-06,28.667,39.429,10.762,,40.125
2011-07-07,17.625,41.833,24.208,,34.708
2011-07-08,12.625,32.583,19.958,,31.875
2011-07-09,10.208,23.667,13.458,,18.958
2011-07-10,8.292,14.833,6.542,,12.708
2011-07-11,14.792,32.542,17.75,,16.917
2011-07-12,17.042,52.417,35.375,,16.875
2011-07-13,15.783,33.783,18.0,,17.0
2011-07-14,17.417,39.208,21.792,,20.25
2011-07-15,24.0,41.417,17.417,,24.542
2011-07-16,21.125,31.917,10.792,,25.5
2011-07-17,16.375,19.042,2.667,,26.958
2011-07-18,8.25,11.542,3.292,,16.542
2011-07-19,9.75,13.417,3.667,,10.042
2011-07-20,6.348,8.304,1.957,,10.417
2011-07-21,26.5,43.05,16.55,,14.25
2011-07-22,25.875,42.583,16.708,,18.917
2011-07-23,26.75,37.417,10.667,,32.542
2011-07-24,15.583,19.833,4.25,,26.0
2011-07-25,20.167,30.792,10.625,,22.667
2011-07-26,21.5,35.333,13.833,,18.375
2011-07-27,14.391,34.0,19.609,,17.583
2011-07-28,18.583,41.417,22.833,,21.75
2011-07-29,32.167,52.708,20.542,,35.25
2011-07-30,23.25,32.0,8.75,,29.833
2011-07-31,13.5,15.583,2.083,,26.542
2011-08-01,21.167,26.917,5.75,,29.75
2011-08-02,18.273,25.636,7.364,,24.625
2011-08-03,18.13,32.391,14.261,,16.792
2011-08-04,16.542,25.333,8.792,,16.292
2011-08-05,14.292,25.542,11.25,,10.167
2011-08-06,14.042,28.75,14.708,,14.333
2011-08-07,10.792,18.542,7.75,,13.167
2011-08-08,14.833,34.125,19.292,,14.0
2011-08-09,27.667,49.208,21.542,,30.792
2011-08-10,24.913,40.826,15.913,,38.917
2011-08-11,25.5,41.25,15.75,,26.667
2011-08-12,24.75,34.958,10.208,,36.167
2011-08-13,19.208,23.792,4.583,,39.292
2011-08-14,8.458,10.542,2.083,,43.458
2011-08-15,13.875,17.958,4.083,,29.25
2011-08-16,18.095,24.286,6.19,,29.727
2011-08-17,18.87,30.391,11.522,,39.792
2011-08-18,20.333,34.458,14.125,,48.375
2011-08-19,13.25,16.958,3.708,,14.958
2011-08-20,17.0,19.667,2.667,,15.667
2011-08-21,16.125,18.75,2.625,,22.167
2011-08-22,27.792,37.917,10.125,,15.667
2011-08-23,22.083,37.083,15.0,,24.625
2011-08-24,16.261,36.391,20.13,,17.958
2011-08-25,17.75,44.833,27.083,,13.958
2011-08-26,18.5,39.042,20.542,,17.0
2011-08-27,17.5,21.875,4.375,,18.958
2011-08-28,16.708,19.042,2.333,,28.958
2011-08-29,22.333,28.458,6.125,,31.042
2011-08-30,18.292,20.125,1.833,,21.583
2011-08-31,11.905,14.095,2.19,,15.458
2011-09-01,10.375,15.75,5.375,,14.375
2011-09-02,6.417,7.833,1.417,,13.625
2011-09-03,9.583,10.042,0.458,,13.667
2011-09-04,17.417,21.167,3.75,,8.292
2011-09-05,13.625,20.208,6.583,,6.167
2011-09-06,14.125,16.417,2.292,,10.667
2011-09-07,29.826,40.478,10.652,,16.667
2011-09-08,28.375,34.875,6.5,,22.833
2011-09-09,21.208,33.583,12.375,,27.0
2011-09-10,15.958,26.958,11.0,,22.0
2011-09-11,11.958,21.0,9.042,,15.0
2011-09-12,16.818,27.955,11.136,,14.0
2011-09-13,21.667,35.792,14.125,,19.042
2011-09-14,24.391,41.304,16.913,,21.792
2011-09-15,21.375,32.083,10.708,,17.417
2011-09-16,13.708,20.708,7.0,,9.333
2011-09-17,13.292,23.667,10.375,,11.25
2011-09-18,9.458,16.417,6.958,,12.542
2011-09-19,8.167,13.875,5.708,,10.125
2011-09-20,14.958,21.167,6.208,,4.792
2011-09-21,8.696,12.087,3.391,,2.25
2011-09-22,18.083,26.792,8.708,,7.5
2011-09-23,7.5,9.042,1.542,,7.292
2011-09-24,15.75,20.625,4.875,,9.708
2011-09-25,12.583,13.625,1.042,,16.042
2011-09-26,22.0,24.792,2.792,,12.958
2011-09-27,21.625,30.125,8.5,,15.25
2011-09-28,25.652,33.565,7.913,,17.75
2011-09-29,24.333,31.208,6.875,,21.792
2011-09-30,13.45,18.15,4.7,,17.625
2011-10-01,3.083,3.25,0.167,,9.458
2011-10-02,5.833,6.625,0.792,,7.083
2011-10-03,4.083,4.458,0.375,,5.042
2011-10-04,26.708,35.292,8.583,,8.042
2011-10-05,23.783,28.739,4.957,,10.625
2011-10-06,17.458,24.042,6.583,,8.625
2011-10-07,12.5,13.875,1.375,,26.167
2011-10-08,18.833,22.375,3.542,,28.917
2011-10-09,16.125,16.958,0.833,,36.042
2011-10-10,21.792,24.542,2.75,,38.708
2011-10-11,35.333,48.417,13.083,,52.5
