date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,79.0,71.5,54.0,16.304,20.043,3.739,0,2.261,10.3,6.75,2.8
2011-01-02,91.0,69.5,56.0,7.958,9.333,1.375,0,2.375,8.4,6.212,4.9
2011-01-03,77.0,62.458,53.0,12.167,13.667,1.5,0,3.333,7.5,6.104,4.0
2011-01-04,81.0,59.75,30.0,9.208,10.542,1.333,0,5.083,6.6,4.746,2.8
2011-01-05,86.0,72.667,57.0,23.542,37.375,13.833,0,1.292,6.8,4.225,1.3
2011-01-06,94.0,66.542,47.0,28.042,53.208,25.167,0,2.083,9.5,5.842,2.0
2011-01-07,77.0,66.292,51.0,15.25,21.792,6.542,0,1.0,7.3,5.283,4.2
2011-01-08,79.0,65.417,54.0,17.696,23.0,5.304,0,1.13,7.6,5.312,3.1
2011-01-09,82.0,71.375,56.0,23.0,32.042,9.042,0,2.292,9.9,6.504,3.7
2011-01-10,94.0,73.0,48.0,32.667,56.333,23.667,0,3.792,10.5,6.883,2.8
2011-01-11,69.0,58.682,44.0,12.167,15.708,3.542,0,3.333,9.2,6.277,1.9
2011-01-12,73.0,65.292,55.0,23.917,37.125,13.208,0,1.583,6.0,3.908,1.7
2011-01-13,80.0,61.167,42.0,22.875,41.375,18.5,0,3.208,9.3,6.238,3.1
2011-01-14,71.0,63.5,57.0,20.708,25.458,4.75,0,4.75,8.3,6.467,4.8
2011-01-15,83.0,67.292,53.0,19.522,26.696,7.174,0,2.0,8.0,6.175,3.4
2011-01-16,77.0,64.333,55.0,19.708,30.75,11.042,0,1.167,6.0,5.542,4.9
2011-01-17,94.0,66.75,42.0,27.708,49.875,22.167,0,1.417,9.1,5.796,3.1
2011-01-18,84.0,62.75,41.0,39.292,75.042,35.75,0,1.75,9.8,5.588,0.9
2011-01-19,100.0,79.292,59.0,34.167,61.417,27.25,19,1.792,8.0,6.25,5.3
2011-01-20,100.0,89.917,78.0,22.0,30.75,8.75,3,1.0,9.8,7.846,5.5
2011-01-21,100.0,94.875,82.0,28.167,39.125,10.958,8,1.0,9.1,7.721,6.8
