date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-01-01,192.917,4.875,16.333,19.87,26.609,6.739,,209.25
2011-01-02,188.208,3.417,7.417,6.167,7.417,1.25,,195.625
2011-01-03,188.375,4.167,8.583,13.042,16.333,3.292,,196.958
2011-01-04,188.208,3.708,6.292,8.042,10.208,2.167,,194.5
2011-01-05,190.217,4.217,13.913,19.375,28.708,9.333,,204.13
2011-01-06,193.5,5.333,21.625,31.042,57.333,26.292,,215.125
2011-01-07,188.522,2.083,6.435,4.583,5.833,1.25,,194.957
2011-01-08,191.625,3.333,15.167,15.783,19.522,3.739,,206.792
2011-01-09,192.667,4.375,17.958,20.292,28.042,7.75,,210.625
2011-01-10,194.667,6.304,20.042,32.333,62.833,30.5,,214.708
2011-01-11,189.042,3.917,11.958,13.667,25.167,11.5,,201.0
2011-01-12,190.667,3.792,13.667,20.25,32.75,12.5,,204.333
2011-01-13,190.75,4.667,17.958,23.583,49.625,26.042,,208.708
2011-01-14,191.217,5.083,13.87,19.667,27.792,8.125,,205.087
2011-01-15,192.667,4.083,27.625,17.0,23.522,6.522,,220.292
2011-01-16,189.542,2.333,8.458,7.583,9.417,1.833,,198.0
2011-01-17,192.917,3.739,15.708,21.708,41.167,19.458,,208.625
2011-01-18,195.833,5.292,26.583,39.458,72.417,32.958,,222.417
2011-01-19,191.458,4.083,17.667,26.375,47.792,21.417,,209.125
2011-01-20,187.167,2.292,8.917,8.917,10.417,1.5,,196.083
2011-01-21,188.609,3.333,13.217,19.292,27.708,8.417,,201.826
2011-01-22,190.333,4.667,21.208,26.087,39.174,13.087,,211.542
2011-01-23,187.458,2.958,9.542,9.0,13.75,4.75,,197.0
2011-01-24,187.542,3.0,10.125,15.625,26.25,10.625,,197.667
2011-01-25,189.5,3.833,12.833,17.708,29.708,12.0,,202.333
2011-01-26,191.75,3.917,14.167,22.375,39.125,16.75,,205.917
2011-01-27,193.125,5.167,15.167,26.625,40.625,14.0,,208.292
2011-01-28,192.174,3.667,13.261,16.5,22.5,6.0,,205.435
2011-01-29,189.417,2.125,8.083,6.217,7.435,1.217,,197.5
2011-01-30,193.458,4.25,15.958,24.833,42.375,17.542,,209.417
2011-01-31,191.522,3.696,13.217,20.65,28.9,8.25,,204.739
2011-02-01,192.167,5.208,15.5,22.5,50.85,28.35,,207.667
2011-02-02,187.75,2.875,7.542,7.708,11.625,3.917,,195.292
2011-02-03,192.958,4.833,16.0,22.792,36.125,13.333,,208.958
2011-02-04,189.957,4.667,11.826,17.792,26.958,9.167,,201.783
2011-02-05,192.583,5.542,17.25,21.478,27.783,6.304,,209.833
2011-02-06,192.75,5.667,19.875,27.542,38.458,10.917,,212.625
2011-02-07,192.522,5.826,18.13,27.625,49.917,22.292,,210.652
2011-02-08,186.375,3.167,9.0,12.208,19.542,7.333,,195.375
2011-02-09,188.333,4.208,11.375,19.542,30.292,10.75,,199.708
2011-02-10,189.833,4.125,13.0,23.625,38.125,14.5,,202.833
2011-02-11,188.0,3.625,11.783,14.958,21.083,6.125,,199.783
2011-02-12,189.292,3.458,7.958,11.174,13.609,2.435,,197.25
2011-02-13,190.083,4.292,11.833,24.5,29.083,4.583,,201.917
2011-02-14,195.875,7.087,26.083,39.25,85.875,46.625,,221.958
2011-02-15,192.292,5.0,15.5,22.25,43.417,21.167,,207.792
2011-02-16,187.542,3.917,20.458,21.25,34.833,13.583,,208.0
2011-02-17,186.125,3.208,7.375,13.292,21.625,8.333,,193.5
2011-02-18,188.304,2.583,6.609,7.125,9.75,2.625,,194.913
2011-02-19,193.125,3.917,13.875,17.478,23.522,6.043,,207.0
2011-02-20,194.75,4.75,17.583,32.333,50.458,18.125,,212.333
2011-02-21,199.739,7.609,27.609,45.292,93.875,48.583,,227.348
2011-02-22,190.292,4.333,14.333,25.583,34.083,8.5,,204.625
2011-02-23,189.667,4.792,22.458,20.958,38.25,17.292,,212.125
2011-02-24,188.958,3.333,7.083,7.5,9.25,1.75,,196.042
2011-02-25,190.609,4.417,15.0,20.5,27.875,7.375,,205.609
2011-02-26,188.583,2.625,7.583,5.87,7.087,1.217,,196.167
2011-02-27,190.417,2.833,9.25,10.083,13.708,3.625,,199.667
2011-02-28,191.542,3.217,10.167,17.333,25.708,8.375,,201.708
2011-03-01,194.625,5.458,26.25,45.333,74.292,28.958,,220.875
2011-03-02,193.625,4.542,41.667,29.083,56.25,27.167,,235.292
2011-03-03,188.957,2.5,7.217,6.292,8.333,2.042,,196.174
2011-03-04,188.792,3.0,6.792,8.522,9.783,1.261,,195.583
2011-03-05,189.25,4.667,16.708,24.292,42.292,18.0,,205.958
2011-03-06,194.792,7.565,23.542,38.826,87.652,48.826,,218.333
2011-03-07,190.5,5.125,7.833,13.958,18.208,4.25,,198.333
2011-03-08,189.333,4.667,7.75,12.042,15.875,3.833,,197.083
2011-03-09,188.667,4.375,8.417,14.417,17.5,3.083,,197.083
2011-03-10,187.13,2.792,4.13,5.417,6.667,1.25,,191.261
2011-03-11,189.0,3.417,9.125,10.696,14.0,3.304,,198.125
2011-03-12,189.417,2.708,6.583,7.458,11.0,3.542,,196.0
2011-03-13,190.0,2.652,9.542,11.292,15.917,4.625,,199.542
2011-03-14,193.417,4.292,15.625,32.167,48.083,15.917,,209.042
2011-03-15,192.458,3.833,13.167,24.292,40.625,16.333,,205.625
2011-03-16,192.792,4.208,15.958,32.875,43.042,10.167,,208.75
2011-03-17,195.087,6.417,30.261,33.542,52.292,18.75,,225.348
2011-03-18,204.042,8.792,53.708,33.087,64.957,31.87,,257.75
2011-03-19,189.375,2.458,9.958,8.417,11.583,3.167,,199.333
2011-03-20,191.0,3.375,13.625,19.583,25.875,6.292,,204.625
2011-03-21,190.667,2.957,11.75,15.5,19.792,4.292,,202.417
2011-03-22,194.375,5.167,27.083,41.875,67.458,25.583,,221.458
2011-03-23,188.75,3.375,16.667,22.625,26.375,3.75,,205.417
2011-03-24,189.0,5.042,14.435,17.958,23.167,5.208,,203.435
2011-03-25,191.375,3.125,10.292,7.652,9.783,2.13,,201.667
2011-03-26,194.292,3.75,23.833,21.375,30.583,9.208,,218.125
2011-03-27,196.167,4.609,22.542,33.792,49.333,15.542,,218.708
2011-03-28,194.792,4.458,18.625,28.083,47.625,19.542,,213.417
2011-03-29,194.125,4.042,16.417,27.542,37.625,10.083,,210.542
2011-03-30,192.792,4.125,18.958,32.083,47.333,15.25,,211.75
2011-03-31,187.478,3.042,12.478,16.708,21.417,4.708,,199.957
2011-04-01,188.833,4.708,15.167,32.958,43.125,10.167,,204.0
2011-04-02,188.957,4.5,18.174,28.958,38.292,9.333,,207.13
2011-04-03,187.833,2.0,3.75,2.957,3.957,1.0,,191.583
2011-04-04,188.208,2.417,4.625,10.625,16.0,5.375,,192.833
2011-04-05,189.75,3.087,8.042,18.958,25.5,6.542,,197.792
2011-04-06,190.042,4.125,12.083,34.417,46.083,11.667,,202.125
2011-04-07,190.125,4.333,14.042,32.083,44.792,12.708,,204.167
2011-04-08,186.917,4.375,12.625,34.542,47.667,13.125,,199.542
2011-04-09,186.522,3.458,11.043,14.083,18.458,4.375,,197.565
2011-04-10,191.667,5.5,16.542,24.565,27.391,2.826,,208.208
2011-04-11,191.042,4.708,13.333,25.583,35.333,9.75,,204.375
2011-04-12,190.458,4.0,13.042,26.625,34.708,8.083,,203.5
