date,NO2_mean,NOX_mean,NO_mean,SO2_mean
2011-01-01,22.167,30.208,8.042,1.348
2011-01-02,10.458,13.542,3.083,1.458
2011-01-03,22.333,30.625,8.292,2.417
2011-01-04,17.292,26.875,9.583,3.917
2011-01-05,31.833,66.75,34.917,0.667
2011-01-06,38.292,104.958,66.667,1.0
2011-01-07,22.609,43.391,20.783,0.167
2011-01-08,20.042,31.125,11.083,0.391
2011-01-09,30.292,55.667,25.375,1.708
2011-01-10,44.625,114.208,69.583,3.696
2011-01-11,28.833,62.833,34.0,3.167
2011-01-12,36.417,78.75,42.333,1.625
2011-01-13,41.208,112.375,71.167,3.125
2011-01-14,31.174,54.217,23.043,4.75
2011-01-15,27.5,44.667,17.167,1.304
2011-01-16,39.125,84.5,45.375,1.083
2011-01-17,40.167,76.167,36.0,1.167
2011-01-18,52.583,144.0,91.417,1.667
2011-01-19,47.542,131.958,84.417,1.875
2011-01-20,43.5,94.292,50.792,1.25
2011-01-21,39.739,74.304,34.565,0.958
2011-01-22,32.083,57.0,24.917,3.261
2011-01-23,32.409,69.136,36.727,1.542
2011-01-24,29.583,66.25,36.667,1.458
2011-01-25,33.833,67.792,33.958,2.667
2011-01-26,40.25,83.583,43.333,1.583
2011-01-27,35.375,61.125,25.75,5.167
2011-01-28,32.652,60.478,27.826,3.0
2011-01-29,21.083,34.167,13.083,1.0
2011-01-30,39.917,93.833,53.917,1.667
2011-01-31,42.667,96.833,54.167,1.75
2011-02-01,41.208,112.625,71.417,3.25
2011-02-02,28.167,59.375,31.208,1.333
2011-02-03,42.25,101.583,59.333,1.958
2011-02-04,33.609,67.565,33.957,4.0
2011-02-05,26.083,36.292,10.208,5.696
2011-02-06,50.333,123.708,73.375,3.458
2011-02-07,41.542,94.625,53.083,2.667
2011-02-08,33.7,79.2,45.5,1.792
2011-02-09,33.0,64.143,31.143,2.042
2011-02-10,42.125,98.625,56.5,2.375
2011-02-11,22.13,35.043,12.913,1.792
2011-02-12,21.833,31.917,10.083,1.478
2011-02-13,52.125,124.667,72.542,1.375
2011-02-14,51.083,146.667,95.583,1.708
2011-02-15,42.292,114.375,72.083,2.125
2011-02-16,35.25,67.875,32.625,2.375
2011-02-17,38.0,83.292,45.292,2.0
2011-02-18,23.609,43.174,19.565,0.917
2011-02-19,27.042,43.375,16.333,1.435
2011-02-20,42.625,97.667,55.042,2.75
2011-02-21,60.25,161.917,101.667,4.263
2011-02-22,55.708,108.375,52.667,2.0
2011-02-23,43.333,100.917,57.583,1.083
2011-02-24,40.708,71.5,30.792,1.375
2011-02-25,42.565,69.696,27.13,0.75
2011-02-26,19.625,28.625,9.0,0.0
