date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,191.208,78.0,64.833,50.0,2.333,,,,14.917,0,2.042,12.2,6.212,-0.3,193.542
2011-01-02,189.208,74.0,57.417,40.0,1.167,,,,8.125,0,1.833,10.5,6.067,3.0,190.375
2011-01-03,189.292,69.0,58.958,48.0,1.125,,,,16.542,0,2.667,7.2,4.925,2.1,190.417
2011-01-04,189.958,78.0,58.583,26.0,0.958,,,,22.667,0,3.5,7.8,3.617,0.0,190.917
2011-01-05,190.261,85.0,69.333,43.0,3.174,,,,8.25,0,0.913,10.1,3.329,-1.9,193.435
2011-01-06,188.333,88.0,62.292,33.0,6.5,37.0,64.867,27.867,11.75,0,0.87,10.1,3.904,-2.1,194.833
2011-01-07,194.625,84.0,65.792,39.0,3.875,55.0,104.5,49.5,6.583,0,0.333,9.6,3.8,0.0,198.5
2011-01-08,195.708,82.0,65.083,41.0,3.708,13.333,20.778,7.444,7.167,0,0.125,7.9,3.729,0.5,199.417
2011-01-09,196.625,81.0,64.542,45.0,4.458,32.571,58.286,25.714,18.792,0,2.042,11.0,5.112,1.0,201.083
2011-01-10,199.083,88.0,67.375,39.0,11.167,46.933,84.643,37.5,35.292,0,2.75,11.9,4.738,-1.4,210.25
2011-01-11,191.958,71.0,58.708,36.0,1.375,,,,20.292,0,2.417,9.3,5.142,-0.2,193.333
2011-01-12,193.478,80.0,64.542,46.0,4.348,,,,6.375,0,1.261,7.1,2.767,-1.2,197.826
2011-01-13,193.042,82.0,61.042,35.0,8.292,,,44.667,17.667,0,1.609,9.7,4.388,-1.0,201.333
2011-01-14,193.125,63.0,53.375,34.0,2.833,,,,32.417,0,3.125,9.8,5.933,3.5,195.958
2011-01-15,192.75,81.0,62.5,42.0,4.625,,,,13.5,0,0.792,8.8,5.225,1.1,197.375
2011-01-16,189.417,74.0,58.083,52.0,0.417,,,,8.625,0,0.583,7.2,5.238,3.5,189.833
2011-01-17,189.417,78.0,56.708,35.0,2.542,,,,6.25,0,0.458,9.6,5.483,0.0,191.958
2011-01-18,193.75,85.0,66.583,42.0,9.917,72.333,81.333,9.0,16.292,0,3.542,10.8,4.15,-1.7,203.667
2011-01-19,188.522,89.0,75.417,60.0,3.913,,,,8.375,20,0.696,7.7,5.588,3.6,192.435
2011-01-20,188.375,88.0,78.458,69.0,1.25,,,,7.25,2,0.13,9.8,7.225,3.5,189.625
