date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,83.0,66.208,44.0,17.417,20.042,2.625,,0,1.042,9.9,5.979,1.5
2011-01-02,95.0,71.208,55.0,,,,,2,1.391,7.6,5.05,3.4
2011-01-03,77.0,62.333,51.0,,,,,0,2.0,6.4,4.708,2.1
2011-01-04,83.0,62.458,33.0,,,,,0,3.375,6.3,3.454,0.9
2011-01-05,89.0,74.917,56.0,,,,,0,0.167,5.7,2.867,-0.3
2011-01-06,93.0,62.417,37.0,,,,,0,0.583,8.9,4.929,0.6
2011-01-07,82.0,68.625,53.0,,,,,0,0.0,6.2,4.146,2.8
2011-01-08,79.0,65.917,49.0,,,,,0,0.042,7.0,4.096,1.9
2011-01-09,85.0,69.25,50.0,17.217,21.435,4.217,,0,1.087,9.4,5.404,2.6
2011-01-10,92.0,70.792,50.0,31.043,54.391,23.348,,0,2.087,9.3,5.321,1.5
2011-01-11,74.0,62.833,43.0,10.417,12.042,1.625,,0,1.917,9.3,5.175,1.0
2011-01-12,77.0,65.167,50.0,18.708,26.208,7.5,,0,0.625,5.0,2.7,0.6
2011-01-13,82.0,60.292,43.0,17.625,26.958,9.333,,0,1.417,8.5,5.2,1.9
2011-01-14,77.0,65.417,56.0,16.875,20.167,3.292,,0,3.125,7.5,5.104,3.6
2011-01-15,77.0,66.958,53.0,14.458,16.792,2.333,,0,0.833,7.4,5.204,3.1
2011-01-16,84.0,67.792,60.0,8.667,8.958,0.292,,0,0.2,5.3,4.738,3.9
2011-01-17,83.0,61.375,43.0,20.375,23.708,3.333,,0,0.0,8.4,5.121,1.6
2011-01-18,90.0,62.833,39.0,35.042,65.375,30.333,,0,0.333,9.9,4.592,-0.6
2011-01-19,100.0,81.042,57.0,28.792,63.333,34.542,,22,0.292,8.5,5.554,3.5
2011-01-20,100.0,85.292,72.0,15.083,16.833,1.75,,2,0.0,9.0,7.221,5.1
2011-01-21,99.0,90.667,70.0,19.583,22.125,2.542,,8,0.0,8.5,7.033,5.8
2011-01-22,100.0,81.042,53.0,21.5,27.0,5.5,,0,1.333,11.0,7.071,3.1
2011-01-23,93.0,74.083,42.0,11.556,12.778,1.222,,2,0.174,9.7,5.696,2.3
2011-01-24,69.0,54.75,44.0,4.667,4.889,0.222,,0,0.042,4.8,2.346,0.6
2011-01-25,66.0,48.875,29.0,7.667,8.208,0.542,,0,0.75,5.1,1.833,-0.7
2011-01-26,72.0,54.667,44.0,11.417,13.0,1.583,,0,0.083,4.8,1.533,-1.8
2011-01-27,74.0,60.167,45.0,21.167,25.167,4.0,,0,1.833,6.7,2.842,0.1
2011-01-28,83.0,66.625,49.0,15.542,17.417,1.875,,0,1.125,7.4,3.4,0.8
2011-01-29,90.0,69.083,43.0,7.667,7.75,0.083,,0,0.0,5.6,2.438,0.6
2011-01-30,92.0,77.083,56.0,22.75,32.25,9.5,,0,0.261,4.4,2.013,0.1
2011-01-31,86.0,61.542,37.0,20.583,27.583,7.0,,0,0.042,6.2,2.175,-0.4
2011-02-01,88.0,58.292,33.0,15.542,29.75,14.208,,0,1.292,7.0,3.121,-1.0
2011-02-02,74.0,58.708,40.0,7.625,7.667,0.042,,0,0.0,1.8,-0.546,-2.6
2011-02-03,83.0,60.958,41.0,15.042,18.083,3.042,,0,0.167,4.0,0.208,-4.3
2011-02-04,79.0,56.958,35.0,18.542,23.833,5.292,,0,1.625,6.8,3.258,-0.2
2011-02-05,68.0,54.0,39.0,13.13,13.739,0.609,,0,3.5,7.5,4.829,1.1
2011-02-06,100.0,86.25,66.0,24.458,33.083,8.625,,9,1.652,9.0,6.938,4.2
2011-02-07,100.0,74.417,52.0,14.75,21.208,6.458,,23,0.333,10.0,8.137,5.1
2011-02-08,62.0,44.458,26.0,4.913,5.609,0.696,,0,0.087,4.7,2.383,-1.5
2011-02-09,68.0,45.917,30.0,10.25,13.333,3.083,,0,0.0,5.3,1.308,-2.7
2011-02-10,64.0,49.542,37.0,17.417,21.625,4.208,,0,0.167,5.9,2.858,-0.3
2011-02-11,73.0,56.875,41.0,12.625,13.667,1.042,,0,0.25,6.4,3.3,0.4
2011-02-12,78.0,61.792,39.0,10.261,10.783,0.522,,0,0.0,6.9,2.829,-0.4
2011-02-13,99.0,81.25,55.0,26.958,33.375,6.417,,12,0.0,4.7,3.625,1.2
2011-02-14,96.0,94.167,90.0,32.208,50.625,18.417,,11,0.0,6.5,5.6,4.6
2011-02-15,98.0,79.417,63.0,21.583,34.833,13.25,,0,0.0,7.0,4.108,1.7
2011-02-16,69.0,53.125,38.0,19.75,22.625,2.875,,0,0.458,6.1,3.258,0.6
2011-02-17,66.0,49.667,32.0,8.833,9.792,0.958,,0,0.0,7.0,3.038,0.4
2011-02-18,89.0,63.542,43.0,9.375,10.208,0.833,,0,0.0,3.0,0.638,-1.7
