date,NO2_mean,NOX_mean,NO_mean
2017-01-01,3.333,3.667,0.333
2017-01-02,3.417,3.667,0.25
2017-01-03,1.958,2.0,0.042
2017-01-04,3.583,4.125,0.542
2017-01-05,10.958,13.333,2.375
2017-01-06,4.083,4.75,0.667
2017-01-07,4.167,4.625,0.458
2017-01-08,8.083,9.583,1.5
2017-01-09,6.696,6.87,0.174
2017-01-10,9.542,11.125,1.583
2017-01-11,6.458,6.792,0.333
2017-01-12,6.542,6.958,0.417
2017-01-13,5.875,6.708,0.833
2017-01-14,5.292,5.625,0.333
2017-01-15,11.167,14.125,2.958
2017-01-16,16.958,22.875,5.917
2017-01-17,15.792,22.417,6.625
2017-01-18,6.375,7.125,0.75
2017-01-19,5.417,6.75,1.333
2017-01-20,5.667,6.667,1.0
2017-01-21,3.792,4.208,0.417
2017-01-22,7.208,7.708,0.5
2017-01-23,6.542,7.167,0.625
2017-01-24,2.833,2.958,0.125
2017-01-25,4.708,4.917,0.208
2017-01-26,4.455,4.636,0.182
2017-01-27,3.583,3.833,0.25
2017-01-28,7.292,7.625,0.333
2017-01-29,6.042,8.875,2.833
2017-01-30,6.0,6.625,0.625
2017-01-31,9.208,10.458,1.25
2017-02-01,9.75,11.75,2.0
2017-02-02,17.833,25.667,7.833
2017-02-03,7.083,9.292,2.208
2017-02-04,3.5,3.875,0.375
2017-02-05,3.917,4.417,0.5
2017-02-06,6.292,7.292,1.0
2017-02-07,8.708,10.333,1.625
2017-02-08,6.042,7.083,1.042
2017-02-09,12.0,14.227,2.227
2017-02-10,12.25,14.333,2.083
2017-02-11,3.292,3.625,0.333
2017-02-12,4.375,5.042,0.667
2017-02-13,6.333,7.333,1.0
2017-02-14,10.25,13.083,2.833
2017-02-15,6.708,9.25,2.542
2017-02-16,14.292,16.042,1.75
2017-02-17,4.625,5.833,1.208
2017-02-18,1.625,1.875,0.25
2017-02-19,11.75,13.083,1.333
2017-02-20,9.375,11.0,1.625
2017-02-21,4.208,4.792,0.583
2017-02-22,4.25,5.208,0.958
2017-02-23,5.091,6.045,0.955
2017-02-24,6.0,7.333,1.333
2017-02-25,3.348,3.435,0.087
2017-02-26,3.875,4.208,0.333
2017-02-27,11.25,12.792,1.542
2017-02-28,5.667,6.292,0.625
2017-03-01,3.708,3.917,0.208
2017-03-02,6.833,7.333,0.5
2017-03-03,7.75,8.917,1.167
2017-03-04,4.435,5.652,1.217
2017-03-05,6.0,7.455,1.455
2017-03-06,0.292,1.292,1.0
2017-03-07,2.375,3.333,0.958
2017-03-08,3.458,4.458,1.0
2017-03-09,0.625,1.583,0.958
2017-03-10,0.833,1.667,0.833
2017-03-11,5.174,7.13,1.957
2017-03-12,8.167,9.708,1.542
2017-03-13,8.667,11.333,2.667
2017-03-14,7.542,10.042,2.5
2017-03-15,5.083,7.125,2.042
2017-03-16,1.208,2.208,1.0
2017-03-17,1.042,2.042,1.0
2017-03-18,4.609,5.304,0.696
2017-03-19,13.333,15.792,2.458
2017-03-20,2.5,3.0,0.5
2017-03-21,3.708,4.417,0.708
2017-03-22,4.708,5.542,0.833
2017-03-23,8.0,9.609,1.609
2017-03-24,9.083,10.792,1.708
2017-03-25,11.304,13.087,1.783
2017-03-26,14.5,16.833,2.333
2017-03-27,15.625,18.333,2.708
2017-03-28,14.5,17.25,2.75
2017-03-29,12.875,16.083,3.208
2017-03-30,4.833,5.583,0.75
2017-03-31,7.167,8.583,1.417
2018-01-01,7.292,8.417,1.125
2018-01-02,4.958,5.208,0.25
2018-01-03,6.875,7.792,0.917
2018-01-04,10.917,13.667,2.75
2018-01-05,10.875,13.5,2.625
2018-01-06,5.391,5.609,0.217
2018-01-07,12.833,18.875,6.042
2018-01-08,14.0,22.625,8.625
2018-01-09,9.87,15.13,5.261
2018-01-10,19.542,29.875,10.333
2018-01-11,12.125,22.667,10.542
2018-01-12,11.667,15.375,3.708
2018-01-13,6.826,9.652,2.826
2018-01-14,8.792,11.875,3.083
2018-01-15,20.375,37.417,17.042
2018-01-16,11.708,21.208,9.5
2018-01-17,9.958,14.208,4.25
2018-01-18,8.667,10.417,1.75
2018-01-19,14.208,19.667,5.458
2018-01-20,10.696,12.391,1.696
2018-01-21,10.75,14.917,4.167
2018-01-22,12.958,22.958,10.0
2018-01-23,13.609,18.522,4.913
2018-01-24,8.208,10.667,2.458
2018-01-25,18.917,26.333,7.417
2018-01-26,3.75,4.167,0.417
2018-01-27,5.261,5.652,0.391
2018-01-28,10.0,20.0,10.0
2018-01-29,11.625,12.875,1.25
2018-01-30,16.5,22.75,6.25
2018-01-31,14.125,21.042,6.917
2018-02-01,6.583,7.667,1.083
2018-02-02,9.75,14.833,5.083
2018-02-03,14.391,17.826,3.435
2018-02-04,8.792,9.458,0.667
2018-02-05,10.917,14.167,3.25
2018-02-06,19.792,30.875,11.083
2018-02-07,15.682,29.364,13.682
2018-02-08,5.083,5.292,0.208
2018-02-09,9.833,10.542,0.708
2018-02-10,2.565,2.565,0.0
2018-02-11,6.542,6.542,0.0
2018-02-12,10.333,11.583,1.25
2018-02-13,9.0,9.792,0.792
2018-02-14,7.917,8.0,0.083
2018-02-15,20.5,25.042,4.542
2018-02-16,12.833,17.5,4.667
2018-02-17,5.913,5.957,0.043
2018-02-18,13.042,15.042,2.0
2018-02-19,20.833,27.542,6.708
