date,CO_mean
2011-01-01,4.292
2011-01-02,5.042
2011-01-03,3.833
2011-01-04,7.13
2011-01-05,4.875
2011-01-06,5.292
2011-01-07,4.083
2011-01-08,4.792
2011-01-09,5.375
2011-01-10,7.875
2011-01-11,4.826
2011-01-12,5.833
2011-01-13,6.0
2011-01-14,5.083
2011-01-15,4.667
2011-01-16,5.833
2011-01-17,5.708
2011-01-18,6.652
2011-01-19,7.167
2011-01-20,7.292
2011-01-21,5.375
2011-01-22,5.042
2011-01-23,4.958
2011-01-24,3.458
2011-01-25,4.739
2011-01-26,3.792
2011-01-27,7.417
2011-01-28,5.917
2011-01-29,4.25
2011-01-30,5.25
2011-01-31,4.833
2011-02-01,5.261
2011-02-02,3.458
2011-02-03,5.458
2011-02-04,5.708
2011-02-05,5.958
2011-02-06,8.583
2011-02-07,5.625
2011-02-08,4.261
2011-02-09,6.333
2011-02-10,4.75
2011-02-11,3.625
2011-02-12,4.125
2011-02-13,7.917
2011-02-14,9.458
2011-02-15,7.391
2011-02-16,5.208
2011-02-17,4.917
2011-02-18,4.667
2011-02-19,4.458
2011-02-20,5.5
2011-02-21,7.583
2011-02-22,8.478
2011-02-23,7.167
2011-02-24,6.333
2011-02-25,6.333
2011-02-26,3.75
2011-02-27,5.833
2011-02-28,6.25
2011-03-01,8.333
2011-03-02,7.125
2011-03-03,4.417
2011-03-04,5.417
2011-03-05,8.208
2011-03-06,7.125
2011-03-07,7.261
2011-03-08,7.375
2011-03-09,7.833
2011-03-10,5.167
2011-03-11,5.458
2011-03-12,3.625
2011-03-13,4.875
2011-03-14,5.609
2011-03-15,5.875
2011-03-16,6.833
2011-03-17,5.167
2011-03-18,7.917
2011-03-19,5.167
2011-03-20,3.667
2011-03-21,4.174
2011-03-22,7.0
2011-03-23,7.375
2011-03-24,10.375
2011-03-25,4.167
2011-03-26,3.3
2011-04-01,7.083
2011-04-02,5.542
2011-04-03,3.542
2011-04-04,4.435
2011-04-05,5.958
2011-04-06,5.333
2011-04-07,3.875
2011-04-08,3.125
2011-04-09,4.292
2011-04-10,4.583
2011-04-11,5.739
2011-04-12,4.375
2011-04-13,5.417
2011-04-14,5.875
2011-04-15,5.792
2011-04-16,4.958
2011-04-17,4.042
2011-04-18,5.087
2011-04-19,5.042
2011-04-20,3.875
2011-04-21,4.667
2011-04-22,4.375
2011-04-23,3.792
2011-04-24,4.708
2011-04-25,5.217
2011-04-26,3.875
2011-04-27,3.167
2011-04-28,6.333
2011-04-29,6.167
2011-04-30,2.958
2011-05-01,3.792
2011-05-02,5.478
2011-05-03,6.458
2011-05-04,6.0
2011-05-05,4.25
2011-05-06,4.75
2011-05-07,4.833
2011-05-08,6.458
2011-05-09,4.348
2011-05-10,3.333
2011-05-11,3.0
2011-05-12,6.333
2011-05-13,7.417
2011-05-14,7.0
2011-05-15,3.458
2011-05-16,4.25
2011-05-17,5.792
2011-05-18,5.478
2011-05-19,3.667
2011-05-20,3.417
2011-05-21,3.0
2011-05-22,2.833
2011-05-23,5.583
2011-05-24,4.958
2011-05-25,4.304
2011-05-26,5.667
2011-05-27,5.708
2011-05-28,6.375
2011-05-29,4.167
2011-05-30,2.833
2011-05-31,4.542
2011-06-01,6.13
2011-06-02,5.042
2011-06-03,5.5
2011-06-04,4.042
2011-06-05,3.583
2011-06-06,6.25
2011-06-07,7.542
2011-06-08,4.174
2011-06-09,3.542
2011-06-10,5.667
2011-06-11,4.667
2011-06-12,6.333
2011-06-13,5.083
2011-06-14,5.583
2011-06-15,5.957
2011-06-16,6.625
2011-06-17,5.792
2011-06-18,7.292
2011-06-19,5.5
2011-06-20,6.208
2011-06-21,4.042
2011-06-22,3.682
2011-06-23,2.583
2011-06-24,2.0
2011-06-25,2.667
2011-06-26,1.75
2011-06-27,1.833
2011-06-28,2.25
2011-06-29,5.261
2011-06-30,4.875
2011-07-01,4.917
2011-07-02,5.417
2011-07-03,4.0
2011-07-04,2.917
2011-07-05,6.167
2011-07-06,4.261
2011-07-07,2.583
2011-07-08,2.292
2011-07-09,2.125
2011-07-10,2.5
2011-07-11,3.542
2011-07-12,5.833
2011-07-13,3.609
2011-07-14,3.125
2011-07-15,4.208
2011-07-16,3.917
2011-07-17,3.5
2011-07-18,3.875
2011-07-19,5.5
2011-07-20,4.348
2011-07-21,4.5
2011-07-22,3.75
2011-07-23,3.708
2011-07-24,3.75
2011-07-25,3.667
2011-07-26,3.458
2011-07-27,2.304
2011-07-28,3.375
2011-07-29,6.208
2011-07-30,4.125
2011-07-31,3.875
2011-08-01,4.958
2011-08-02,3.708
2011-08-03,4.043
2011-08-04,4.208
2011-08-05,4.667
2011-08-06,2.792
2011-08-07,2.417
2011-08-08,3.042
2011-08-09,5.625
2011-08-10,4.304
2011-08-11,4.542
2011-08-12,5.0
2011-08-13,5.125
2011-08-14,2.208
2011-08-15,2.917
2011-08-16,3.5
2011-08-17,3.609
2011-08-18,3.5
2011-08-19,5.792
2011-08-20,5.0
2011-08-21,6.125
2011-08-22,6.042
2011-08-23,3.333
2011-08-24,3.652
2011-08-25,4.042
2011-08-26,3.833
2011-08-27,4.708
2011-08-28,3.542
2011-08-29,4.75
2011-08-30,4.917
2011-08-31,4.565
2011-09-01,5.375
2011-09-02,4.25
2011-09-03,2.917
2011-09-04,2.708
2011-09-05,3.875
2011-09-06,3.5
2011-09-07,5.652
2011-09-08,3.958
2011-09-09,3.875
2011-09-10,3.167
2011-09-11,3.042
2011-09-12,4.042
2011-09-13,4.167
2011-09-14,4.565
2011-09-15,3.889
2011-09-16,7.154
2011-09-17,3.792
2011-09-18,2.75
2011-09-19,3.042
2011-09-20,6.375
2011-09-21,2.87
2011-09-22,3.042
2011-09-23,3.0
2011-09-24,3.833
2011-09-25,3.917
2011-09-26,5.833
2011-09-27,5.292
2011-09-28,5.478
2011-09-29,3.75
2011-09-30,3.75
2011-10-01,3.792
2011-10-02,3.833
2011-10-03,4.0
2011-10-04,5.542
2011-10-05,7.0
2011-10-06,4.208
2011-10-07,5.542
2011-10-08,5.708
2011-10-09,6.833
2011-10-10,4.958
2011-10-11,7.708
2011-10-12,6.783
2011-10-13,7.75
2011-10-14,5.708
2011-10-15,6.833
2011-10-16,3.917
2011-10-17,7.208
2011-10-18,4.875
2011-10-19,5.435
2011-10-20,5.833
2011-10-21,5.75
2011-10-22,2.625
2011-10-23,3.417
2011-10-24,5.708
2011-10-25,4.5
2011-10-26,3.957
2011-10-27,5.583
2011-10-28,6.417
2011-10-29,5.708
2011-10-30,5.25
2011-10-31,5.375
2011-11-01,6.417
2011-11-02,6.696
2011-11-03,5.958
2011-11-04,7.583
2011-11-05,6.292
2011-11-06,4.458
2011-11-07,4.708
2011-11-08,5.333
2011-11-09,5.478
2011-11-10,5.667
2011-11-11,7.833
2011-11-12,5.75
2011-11-13,5.708
2011-11-14,7.25
2011-11-15,3.417
2011-11-16,5.435
2011-11-17,6.917
2011-11-18,5.792
2011-11-19,4.833
2011-11-20,3.75
2011-11-21,2.542
2011-11-22,5.292
2011-11-23,6.435
2011-11-24,4.042
2011-11-25,4.0
2011-11-26,4.958
2011-11-27,6.042
2011-11-28,8.25
2011-11-29,9.125
2011-11-30,7.826
2011-12-01,4.75
2011-12-02,6.125
2011-12-03,7.375
2011-12-04,3.417
2011-12-05,6.083
2011-12-06,6.875
2011-12-07,6.913
2011-12-08,7.667
2011-12-09,6.25
2011-12-10,5.125
2011-12-11,3.875
2011-12-12,7.5
2011-12-13,7.833
2011-12-14,7.174
2011-12-15,6.083
2011-12-16,3.0
2011-12-17,3.083
2011-12-18,3.458
2011-12-19,3.667
2011-12-20,4.667
2011-12-21,7.565
2011-12-22,6.5
2011-12-23,3.542
2011-12-24,5.25
2011-12-25,3.75
2011-12-26,3.25
2011-12-27,3.875
2011-12-28,7.522
2011-12-29,5.917
2011-12-30,4.0
2011-12-31,4.25
