date,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,9.5,6.833,4.0
2011-01-02,7.2,4.762,3.0
2011-01-03,6.2,4.333,2.3
2011-01-04,4.9,3.221,2.2
2011-01-05,4.5,3.062,1.3
2011-01-06,5.7,4.271,2.3
2011-01-07,5.0,3.408,1.6
2011-01-08,5.4,3.371,0.9
2011-01-09,7.4,5.896,4.7
2011-01-10,8.3,5.529,3.7
2011-01-11,6.3,4.617,0.6
2011-01-12,3.6,1.488,-1.2
2011-01-13,5.6,4.608,3.6
2011-01-14,6.3,5.321,4.2
2011-01-15,5.9,4.55,3.3
2011-01-16,3.6,2.8,0.3
2011-01-17,6.2,2.721,-0.2
2011-01-18,7.8,5.45,2.0
2011-01-19,8.7,5.842,3.6
2011-01-20,6.4,4.838,3.0
2011-01-21,7.0,5.421,4.7
2011-01-22,7.9,5.642,3.6
2011-01-23,6.6,4.958,1.5
2011-01-24,2.7,1.3,0.3
2011-01-25,2.3,0.704,-1.1
2011-01-26,2.4,0.775,-0.7
2011-01-27,5.3,2.846,0.5
2011-01-28,4.6,3.288,1.0
2011-01-29,4.3,1.471,-0.6
2011-01-30,3.7,1.942,-0.3
2011-01-31,3.5,1.942,0.6
2011-02-01,7.0,3.212,-0.3
2011-02-02,0.0,-1.008,-2.6
2011-02-03,1.3,-0.346,-2.8
2011-02-04,4.1,2.767,0.9
2011-02-05,6.5,3.771,1.7
2011-02-06,8.2,6.154,2.9
2011-02-07,12.1,6.788,3.3
2011-02-08,3.1,0.738,-1.9
2011-02-09,1.9,-0.021,-1.9
2011-02-10,3.5,1.721,-0.6
2011-02-11,4.0,2.379,-0.2
2011-02-12,4.7,2.429,0.5
2011-02-13,6.2,3.6,2.0
2011-02-14,5.7,4.354,3.6
2011-02-15,5.2,3.533,0.6
2011-02-16,5.2,2.062,-0.6
2011-02-17,3.3,1.721,-0.3
2011-02-18,1.8,-0.467,-1.9
2011-02-19,3.2,0.892,-2.3
2011-02-20,6.1,2.954,0.0
2011-02-21,6.8,4.879,2.7
2011-02-22,8.0,5.8,3.4
2011-02-23,12.4,9.488,6.3
2011-02-24,9.0,6.862,4.6
2011-02-25,8.4,5.529,4.5
2011-02-26,4.4,2.746,-0.5
2011-02-27,3.8,0.458,-2.1
