date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean
2011-01-01,11.042,15.458,4.417,5.625,
2011-01-02,6.087,7.826,1.739,4.708,
2011-01-03,10.208,13.542,3.333,7.25,
2011-01-04,10.667,13.333,2.667,8.208,
2011-01-05,13.125,17.125,4.0,6.783,
2011-01-06,20.75,34.542,13.792,7.083,
2011-01-07,10.792,18.708,7.917,3.792,
2011-01-08,12.292,21.333,9.042,4.083,
2011-01-09,13.174,19.478,6.304,6.583,
2011-01-10,14.417,27.583,13.167,7.5,
2011-01-11,7.333,11.292,3.958,5.667,
2011-01-12,11.875,18.875,7.0,6.25,
2011-01-13,13.083,20.75,7.667,8.458,
2011-01-14,9.792,13.5,3.708,9.208,
2011-01-15,12.833,20.875,8.042,5.958,
2011-01-16,8.174,15.261,7.087,3.667,
2011-01-17,15.167,28.625,13.458,5.583,
2011-01-18,23.792,44.375,20.583,6.875,
2011-01-19,20.792,28.25,7.458,5.0,
2011-01-20,14.917,29.083,14.167,5.0,
2011-01-21,12.167,18.583,6.417,3.125,
2011-01-22,10.0,19.125,9.125,5.0,
2011-01-23,7.652,13.696,6.043,4.208,
2011-01-24,5.5,8.667,3.167,4.5,
2011-01-25,10.917,16.708,5.792,6.917,
2011-01-26,12.042,17.25,5.208,7.292,
2011-01-27,17.208,24.5,7.292,9.583,
2011-01-28,13.167,17.958,4.792,7.833,
2011-01-29,9.333,14.0,4.667,5.0,
2011-01-30,7.217,12.261,5.043,4.542,
2011-01-31,12.167,19.917,7.75,6.667,
2011-02-01,9.75,13.375,3.625,7.583,
2011-02-02,7.125,10.583,3.458,4.875,
2011-02-03,14.917,20.167,5.25,10.261,
2011-02-04,8.208,11.708,3.5,7.542,
2011-02-05,12.125,16.583,4.458,9.625,
2011-02-06,20.609,28.957,8.348,10.292,
2011-02-07,12.417,17.708,5.292,5.25,
2011-02-08,6.208,9.167,2.958,4.917,
2011-02-09,7.458,11.833,4.375,6.042,
2011-02-10,11.625,22.125,10.5,5.417,
2011-02-11,7.167,14.083,6.917,4.125,
2011-02-12,11.917,17.625,5.708,6.208,
2011-02-13,16.826,22.13,5.304,4.5,
2011-02-14,21.458,37.833,16.375,4.375,
2011-02-15,14.25,27.125,12.875,4.667,
2011-02-16,8.917,16.042,7.125,4.417,
2011-02-17,12.652,18.391,5.739,5.87,
2011-02-18,13.0,19.083,6.083,5.125,
2011-02-19,8.375,13.125,4.75,4.375,
2011-02-20,18.304,32.783,14.478,5.708,
2011-02-21,31.708,58.125,26.417,10.583,
2011-02-22,22.625,28.25,5.625,5.708,
2011-02-23,15.875,26.125,10.25,5.083,
2011-02-24,14.667,19.167,4.5,7.458,
2011-02-25,13.875,20.375,6.5,6.458,
2011-02-26,5.583,8.375,2.792,3.083,
2011-02-27,10.087,17.565,7.478,4.542,
2011-02-28,11.333,14.417,3.083,5.042,
2011-03-01,26.208,38.625,12.417,7.417,
2011-03-02,22.167,33.0,10.833,5.957,
2011-03-03,10.25,13.458,3.208,5.25,
2011-03-04,7.5,9.583,2.083,3.083,
2011-03-05,18.435,30.565,12.13,4.167,
2011-03-06,15.333,31.167,15.833,5.333,
2011-03-07,27.375,43.833,16.458,11.333,
2011-03-08,25.125,35.875,10.75,10.042,
2011-03-09,16.833,23.5,6.667,4.833,
2011-03-10,11.792,19.083,7.292,4.083,
2011-03-11,6.25,9.292,3.042,4.583,
2011-03-12,7.652,11.522,3.87,5.042,
2011-03-13,10.208,15.083,4.875,5.0,
2011-03-14,15.958,24.792,8.833,6.542,
2011-03-15,13.417,18.167,4.75,7.625,
2011-03-16,16.792,20.667,3.875,5.875,
2011-03-17,16.958,22.042,5.083,6.833,
2011-03-18,20.333,26.583,6.25,7.417,
2011-03-19,5.522,9.087,3.565,4.391,
2011-03-20,9.208,13.875,4.667,5.958,
2011-03-21,8.125,12.875,4.75,5.417,
2011-03-22,35.227,53.5,18.273,10.619,
2011-03-23,20.5,24.292,3.792,5.5,
2011-03-24,6.417,8.583,2.167,5.042,
2011-03-25,5.458,7.417,1.958,5.375,
2011-03-26,8.957,13.522,4.565,4.583,
2011-03-27,15.167,20.917,5.75,7.917,
2011-03-28,10.25,13.25,3.0,7.083,
2011-03-29,20.208,28.583,8.375,8.75,
2011-03-30,18.917,25.125,6.208,10.542,
2011-03-31,8.458,11.833,3.375,5.625,
2011-04-01,30.667,43.333,12.667,10.458,
2011-04-02,19.917,24.458,4.542,9.583,
2011-04-03,6.625,8.25,1.625,4.875,
2011-04-04,10.435,15.348,4.913,4.696,
2011-04-05,17.958,23.5,5.542,8.708,
2011-04-06,25.792,35.875,10.083,9.542,
2011-04-07,22.625,30.292,7.667,10.458,
2011-04-08,24.792,33.167,8.375,8.583,
2011-04-09,17.458,23.958,6.5,7.125,
2011-04-10,14.167,17.708,3.542,8.0,
2011-04-11,13.957,18.304,4.348,8.167,
2011-04-12,12.333,16.833,4.5,5.833,
2011-04-13,16.5,19.583,3.083,7.833,
2011-04-14,21.667,26.042,4.375,13.75,
2011-04-15,39.208,54.792,15.583,14.5,
2011-04-16,14.458,23.708,9.25,6.667,
2011-04-17,8.5,10.5,2.0,6.292,
2011-04-18,21.696,30.0,8.304,6.0,
2011-04-19,5.167,8.083,2.917,4.043,
2011-04-20,7.958,12.167,4.208,4.375,
2011-04-21,21.708,31.75,10.042,8.583,
2011-04-22,26.25,37.792,11.542,7.25,
2011-04-23,12.333,17.708,5.375,5.125,
2011-04-24,7.083,9.542,2.458,5.833,
2011-04-25,11.348,15.478,4.13,6.167,
2011-04-26,22.583,31.417,8.833,9.542,
2011-04-27,14.833,20.0,5.167,9.208,
2011-04-28,8.667,11.333,2.667,5.542,
2011-04-29,15.208,19.583,4.375,8.0,
2011-04-30,17.583,21.25,3.667,9.708,
2011-05-01,8.917,11.208,2.292,8.875,
2011-05-02,17.522,21.609,4.087,10.375,
2011-05-03,19.208,23.833,4.625,9.833,
2011-05-04,19.75,23.25,3.5,10.75,
2011-05-05,9.917,11.583,1.667,8.875,
2011-05-06,13.875,17.167,3.292,6.957,
2011-05-07,12.333,14.958,2.625,7.375,
2011-05-08,13.167,15.583,2.417,9.292,
2011-05-09,22.783,28.0,5.217,13.042,
2011-05-10,23.167,50.0,26.833,14.833,
2011-05-11,17.958,43.292,25.333,8.292,
2011-05-12,17.583,32.542,14.958,6.625,
2011-05-13,7.958,10.417,2.458,6.417,
2011-05-14,10.208,12.917,2.708,8.5,
2011-05-15,18.958,23.0,4.042,14.042,
2011-05-16,19.783,25.783,6.0,16.167,
2011-05-17,22.333,26.167,3.833,12.25,
2011-05-18,20.292,26.583,6.292,14.917,
2011-05-19,20.25,24.875,4.625,10.1,
2011-05-20,19.042,30.708,11.667,13.7,
2011-05-21,14.833,17.667,2.833,11.542,
2011-05-22,10.708,13.75,3.042,7.458,
2011-05-23,11.087,14.652,3.565,5.167,
2011-05-24,11.75,15.375,3.625,5.667,
2011-05-25,14.417,17.0,2.583,9.042,
2011-05-26,17.375,21.125,3.75,8.25,
2011-05-27,14.75,20.208,5.458,5.917,
2011-05-28,17.667,23.0,5.333,4.458,
2011-05-29,7.792,10.292,2.5,3.167,
2011-05-30,5.391,9.0,3.609,3.833,
2011-05-31,18.25,27.458,9.208,8.25,
2011-06-01,15.958,24.167,8.208,7.25,
2011-06-02,20.083,30.125,10.042,9.391,
2011-06-03,23.25,48.542,25.292,10.773,
2011-06-04,17.042,23.625,6.583,10.667,
2011-06-05,16.708,20.833,4.125,11.833,
2011-06-06,20.826,29.522,8.696,9.625,
