date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,78.0,64.042,49.0,11.333,14.917,3.583,3.333,26.042,9.8,7.142,4.2
2011-01-02,79.0,55.208,41.0,5.75,7.417,1.667,1.583,12.375,8.0,4.983,2.4
2011-01-03,67.0,55.167,42.0,8.458,11.167,2.708,5.167,30.25,10.1,5.808,3.3
2011-01-04,67.0,60.455,54.0,6.455,8.091,1.636,4.364,25.636,5.7,4.282,2.7
2011-03-16,87.0,73.917,51.0,31.417,37.167,5.75,3.917,33.583,8.4,6.85,6.0
2011-03-17,91.0,80.042,61.0,30.667,46.042,15.375,4.917,37.292,18.5,11.388,6.5
2011-03-18,88.0,79.417,66.0,17.208,22.083,4.875,1.833,25.042,14.2,11.733,8.9
2011-03-19,86.0,53.625,34.0,8.05,9.75,1.7,0.542,8.958,12.4,9.529,6.9
2011-03-20,60.0,45.625,34.0,11.792,14.958,3.167,2.5,15.75,12.4,7.529,2.7
2011-03-21,73.0,56.25,39.0,14.0,17.583,3.583,2.667,19.333,12.6,7.408,2.7
2011-03-22,79.0,57.375,35.0,25.542,32.708,7.167,6.375,31.167,14.6,10.333,4.2
2011-03-23,91.0,86.5,61.0,32.826,47.304,14.478,3.087,22.333,11.3,8.796,7.6
2011-03-24,85.0,56.625,39.0,8.792,10.542,1.75,2.0,19.417,12.5,10.012,8.6
2011-03-25,63.0,44.708,34.0,5.75,7.25,1.5,1.042,13.75,9.1,7.188,4.1
2011-03-26,71.0,50.25,31.0,8.652,11.174,2.522,1.042,14.75,10.8,6.554,3.3
2011-03-27,68.0,56.333,41.0,16.958,21.917,4.958,4.625,27.25,14.1,8.346,2.0
2011-03-28,80.0,51.833,22.0,14.75,17.875,3.125,3.0,32.917,18.8,12.304,7.9
2011-03-29,67.0,46.5,19.0,16.875,20.875,4.0,6.5,28.417,17.9,11.567,4.5
2011-03-30,70.0,56.083,46.0,17.565,20.348,2.783,6.217,27.917,19.7,15.846,11.4
2011-03-31,92.0,54.958,22.0,7.583,9.208,1.625,1.458,17.625,15.6,10.95,6.2
2011-04-01,73.0,48.125,17.0,15.348,17.609,2.261,3.652,27.292,19.7,12.746,5.9
2011-04-02,79.0,55.333,35.0,12.667,13.667,1.0,2.167,30.625,18.3,13.762,9.5
2011-04-03,57.0,44.5,35.0,5.875,6.083,0.208,0.542,12.625,12.0,9.6,6.6
2011-04-04,54.0,37.917,24.0,4.909,5.091,0.182,0.391,6.091,14.2,9.604,5.0
2011-04-05,47.0,33.792,21.0,11.542,12.833,1.292,2.292,15.667,15.9,10.292,4.7
2011-04-06,64.0,46.417,26.0,14.417,17.667,3.25,3.958,14.083,19.5,12.662,5.1
2011-04-07,64.0,54.292,42.0,13.318,17.409,4.091,2.125,11.5,20.3,16.362,12.4
2011-04-08,92.0,79.0,61.0,13.091,14.409,1.318,1.217,10.708,16.9,15.617,13.6
2011-04-09,90.0,61.667,36.0,10.125,11.5,1.375,1.292,18.875,18.5,15.379,11.0
2011-04-10,58.0,39.833,20.0,9.75,10.667,0.917,2.833,18.042,19.7,13.421,6.8
2011-04-11,64.0,52.125,37.0,13.727,15.227,1.5,2.773,25.417,17.9,12.608,8.0
2011-04-12,64.0,43.125,19.0,10.083,11.083,1.0,1.5,16.417,15.6,10.521,4.4
2011-04-13,76.0,50.917,33.0,12.208,13.125,0.917,1.958,19.75,18.3,13.354,8.4
2011-04-14,57.0,44.875,30.0,13.042,13.792,0.75,3.458,30.417,20.7,13.971,7.8
2011-04-15,85.0,68.042,57.0,22.091,27.455,5.364,3.13,27.042,17.1,14.521,12.0
2011-04-16,82.0,57.125,36.0,11.542,13.667,2.125,1.542,29.958,18.8,15.408,10.3
2011-04-17,61.0,43.042,25.0,7.833,8.458,0.625,0.917,11.542,18.6,12.525,6.9
2011-04-18,85.0,61.667,44.0,14.174,16.522,2.348,1.208,15.0,14.7,12.017,10.5
2011-04-19,73.0,59.417,49.0,7.25,7.833,0.583,0.125,6.125,12.3,10.2,8.2
2011-04-20,80.0,59.667,36.0,7.917,8.625,0.708,0.458,5.375,16.1,11.129,7.0
2011-04-21,80.0,58.083,23.0,12.417,15.458,3.042,2.583,17.083,20.1,13.879,7.0
2011-04-22,86.0,71.75,62.0,17.227,20.773,3.545,1.913,23.958,16.5,14.738,13.6
2011-04-23,91.0,68.583,38.0,9.625,10.792,1.167,0.792,10.833,18.9,14.7,9.5
2011-04-24,79.0,58.042,35.0,8.75,9.25,0.5,1.458,19.625,17.3,13.562,9.6
2011-04-25,75.0,51.125,37.0,10.417,11.083,0.667,1.5,18.217,18.0,14.662,12.0
2011-04-26,77.0,55.5,42.0,11.542,12.583,1.042,2.292,19.625,22.4,17.338,12.2
2011-04-27,88.0,75.583,61.0,11.958,13.375,1.417,2.042,23.167,23.3,17.454,12.2
2011-04-28,83.0,61.125,40.0,8.792,9.5,0.708,0.75,15.333,15.5,13.162,8.8
2011-04-29,80.0,58.292,36.0,9.545,10.682,1.136,1.565,13.708,19.6,13.692,7.6
