date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,12.958,15.833,2.875,16.25,1.875,32.083
2011-01-02,7.652,8.043,0.391,10.333,0.833,24.5
2011-01-03,9.667,10.292,0.625,21.042,2.292,35.208
2011-01-04,8.667,8.833,0.167,23.542,2.875,40.083
2011-01-05,20.905,42.0,21.095,14.542,0.333,31.25
2011-01-06,26.458,59.208,32.75,13.75,0.455,31.458
2011-01-07,16.435,35.565,19.13,7.0,0.0,22.708
2011-01-08,22.667,38.125,15.458,10.917,2.708,26.333
2011-01-09,16.167,23.208,7.042,26.375,3.292,42.458
2011-01-10,19.125,32.542,13.417,37.833,3.083,55.958
2011-01-11,20.083,38.625,18.542,21.375,1.417,39.75
2011-01-12,23.636,64.0,40.364,5.478,0.958,22.417
2011-01-13,18.292,51.875,33.583,21.208,3.0,36.0
2011-01-14,17.13,43.739,26.609,30.375,1.708,47.25
2011-01-15,20.0,30.625,10.625,15.917,0.542,33.542
2011-01-16,16.042,23.375,7.333,8.583,0.0,26.875
2011-01-17,25.417,67.25,41.833,8.167,0.5,24.625
2011-01-18,32.333,79.375,47.042,24.542,4.833,41.667
2011-01-19,21.087,36.13,15.043,9.583,0.583,28.5
2011-01-20,18.458,26.458,8.0,2.625,0.409,21.083
2011-01-21,15.739,25.043,9.304,4.458,0.0,23.458
2011-01-22,14.208,26.083,11.875,7.542,1.667,25.167
2011-01-23,10.042,15.417,5.375,7.083,0.083,26.125
2011-01-24,10.083,11.5,1.417,5.708,0.292,23.25
2011-01-25,17.0,27.833,10.833,12.458,0.917,25.0
2011-01-26,21.455,31.909,10.455,7.625,0.409,24.522
2011-01-27,25.083,56.5,31.417,23.875,1.591,38.917
2011-01-28,15.522,26.783,11.261,26.25,1.542,41.583
2011-01-29,16.833,25.375,8.542,9.125,0.917,24.5
2011-01-30,18.833,33.917,15.083,8.5,0.083,22.875
2011-01-31,23.833,71.083,47.25,10.542,0.833,25.958
2011-02-01,17.958,38.042,20.083,17.042,1.458,31.625
2011-02-02,12.87,17.043,4.174,4.417,0.208,19.208
2011-02-03,15.917,24.833,8.917,9.167,0.545,21.417
2011-02-04,18.348,24.0,5.652,19.083,3.208,35.625
2011-02-05,19.0,24.083,5.083,42.292,3.792,56.958
2011-02-06,18.792,24.958,6.167,46.083,3.583,66.667
2011-02-07,15.5,19.5,4.0,11.417,0.917,30.042
2011-02-08,7.667,8.458,0.792,5.083,0.292,22.583
