date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,9.792,12.875,3.083,,3.292,
2011-01-02,5.625,6.917,1.292,,3.917,
2011-01-03,10.042,12.5,2.458,,4.917,
2011-01-04,5.13,6.652,1.522,,6.792,
2011-01-05,8.5,11.708,3.208,,3.75,
2011-01-06,17.042,30.083,13.042,,3.958,
2011-01-07,13.958,18.875,4.917,,3.417,
2011-01-08,13.625,20.792,7.167,,2.417,
2011-01-09,16.917,24.667,7.75,,5.667,
2011-01-10,20.917,38.458,17.542,,5.75,
2011-01-11,8.042,9.542,1.5,,5.375,
2011-01-12,15.958,27.25,11.292,,4.208,
2011-01-13,9.583,11.583,2.0,,6.667,
2011-01-14,7.375,8.542,1.167,,6.667,
2011-01-15,15.708,18.75,3.042,,4.958,
2011-01-16,13.13,18.739,5.609,,2.957,
2011-01-17,14.0,28.417,14.417,,2.708,
2011-01-18,24.375,53.208,28.833,,3.708,
2011-01-19,26.917,37.875,10.958,,3.667,
2011-01-20,17.333,22.708,5.375,,2.083,
2011-01-21,17.833,23.667,5.833,,2.0,
2011-01-22,10.583,14.375,3.792,,2.417,
2011-01-23,6.333,7.708,1.375,,3.875,
2011-01-24,4.375,5.125,0.75,,3.042,
2011-01-25,6.955,8.636,1.682,,6.042,
2011-01-26,5.792,6.625,0.833,,4.042,
2011-01-27,15.833,18.875,3.042,,5.083,
2011-01-28,16.0,21.208,5.208,,7.833,
2011-01-29,11.625,15.708,4.083,,4.333,
2011-01-30,14.391,25.043,10.652,,5.917,
2011-01-31,13.167,24.167,11.0,,4.042,
2011-02-01,9.208,14.375,5.167,,6.458,
2011-02-02,5.25,6.833,1.583,,3.667,
2011-02-03,11.542,16.083,4.542,,3.708,
2011-02-04,7.833,9.625,1.792,,6.167,
2011-02-05,13.625,16.5,2.875,,5.458,
2011-02-06,21.708,27.792,6.083,,5.182,
2011-02-07,16.048,20.667,4.619,,4.429,
2011-02-08,7.333,8.542,1.208,,5.625,
2011-02-09,7.042,8.375,1.333,,4.542,
2011-02-10,12.083,16.208,4.125,,3.958,
2011-02-11,11.458,15.125,3.667,,3.583,
2011-02-12,13.458,16.667,3.208,,4.417,
2011-02-13,20.13,24.0,3.87,,3.0,
2011-02-14,28.292,42.333,14.042,,3.333,
2011-02-15,23.042,35.458,12.417,,5.25,
2011-02-16,7.333,9.583,2.25,,3.167,
2011-02-17,9.042,11.167,2.125,,6.5,
2011-02-18,6.708,7.958,1.25,,3.25,
2011-02-19,8.125,9.625,1.5,,3.042,
2011-02-20,15.5,22.292,6.792,,4.75,
2011-02-21,29.292,50.708,21.417,,6.792,
2011-02-22,20.958,24.0,3.042,,3.25,
2011-02-23,17.833,23.708,5.875,,3.25,
2011-02-24,14.0,18.5,4.5,,5.167,
