date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,186.375,66.0,58.75,50.0,15.5,8.833,9.708,0.875,16.167,0,5.75,21.875,10.6,7.046,2.8,201.875
2011-01-02,186.625,72.0,53.292,41.0,10.583,7.167,7.667,0.5,11.792,1,4.542,20.292,8.4,5.342,2.0,197.208
2011-01-03,186.708,66.0,52.417,43.0,14.125,7.042,7.542,0.5,18.958,0,5.583,29.0,10.3,5.896,1.3,200.833
2011-01-04,186.792,68.0,51.167,39.0,10.875,6.792,7.375,0.583,16.917,0,6.667,26.375,6.2,4.733,3.4,197.667
2011-01-05,185.792,63.0,46.708,38.0,10.75,6.625,7.125,0.5,13.217,0,4.391,22.0,7.9,5.525,3.4,196.542
2011-01-06,186.087,55.0,47.708,37.0,12.87,9.542,10.542,1.0,9.0,0,4.667,18.167,9.2,6.3,3.4,198.957
2011-01-07,188.333,63.0,52.875,37.0,10.75,8.13,8.652,0.522,3.833,0,4.042,14.708,9.6,6.538,4.3,199.083
2011-01-08,187.667,64.0,50.333,34.0,14.375,10.875,11.833,0.958,4.375,0,2.917,16.333,8.9,5.304,1.6,202.042
2011-01-09,190.208,72.0,58.125,41.0,21.75,17.091,19.955,2.864,24.333,0,6.875,34.167,10.9,6.875,3.9,211.958
2011-01-10,188.5,72.0,57.042,43.0,27.708,21.042,26.167,5.125,32.5,0,7.125,38.667,10.7,6.292,1.6,216.208
2011-01-11,186.792,56.0,47.0,37.0,14.708,10.542,11.75,1.208,19.708,0,6.0,31.292,8.7,6.842,3.8,201.5
2011-01-12,188.25,65.0,53.125,38.0,15.583,13.875,17.375,3.5,5.625,0,4.958,18.167,8.3,4.742,0.3,203.833
2011-01-13,186.792,65.0,51.292,38.0,13.208,9.792,10.667,0.875,17.542,0,5.917,28.833,8.3,6.1,2.8,200.0
2011-01-14,188.417,63.0,49.833,37.0,17.375,14.957,18.13,3.174,32.125,0,7.083,42.125,10.1,6.504,2.9,205.792
2011-01-15,186.417,67.0,55.042,38.0,19.0,15.625,17.333,1.708,14.25,0,4.833,26.25,8.1,5.492,3.4,205.417
2011-01-16,186.25,84.0,70.708,60.0,14.792,11.042,11.875,0.833,13.042,3,2.739,21.304,6.3,4.646,2.9,201.042
2011-01-17,185.042,83.0,63.25,40.0,18.458,14.583,17.75,3.167,8.25,1,3.0,15.625,10.1,4.996,1.1,203.5
2011-01-18,185.217,76.0,65.75,53.0,25.478,20.583,29.208,8.625,10.875,0,3.875,18.667,8.9,4.983,0.6,210.696
