date,CO_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,7.125,14.375,18.917,4.542,36.458
2011-01-02,4.75,8.667,10.875,2.208,11.792
2011-01-03,6.75,14.292,15.708,1.417,36.333
2011-01-04,3.75,9.917,9.917,0.0,20.583
2011-01-05,3.042,22.208,33.417,11.208,13.75
2011-01-06,3.75,25.75,39.917,14.167,16.208
2011-01-07,3.708,22.75,39.333,16.583,9.792
2011-01-08,3.208,14.375,18.875,4.5,11.542
2011-01-09,6.375,22.417,33.208,10.792,41.208
2011-01-10,7.458,28.625,58.625,30.0,54.0
2011-01-11,4.167,20.417,31.667,11.25,20.25
2011-01-12,6.043,31.182,75.955,44.773,17.708
2011-01-13,4.833,20.375,44.125,23.75,28.958
2011-01-14,6.0,22.833,47.167,24.333,30.708
2011-01-15,4.667,18.333,32.625,14.292,17.833
2011-01-16,3.667,13.708,24.75,11.042,14.167
2011-01-17,3.417,17.667,32.125,14.458,13.125
2011-01-18,4.0,22.417,45.833,23.417,19.833
2011-01-19,4.125,19.125,37.0,17.875,19.333
2011-01-20,3.833,16.917,39.917,23.0,7.792
2011-01-21,4.792,18.333,40.958,22.625,9.708
2011-01-22,6.0,19.25,44.167,24.917,17.083
2011-01-23,3.917,13.875,27.0,13.125,8.083
2011-01-24,3.833,16.875,28.25,11.375,15.792
2011-01-25,2.5,17.167,29.042,11.875,18.708
2011-01-26,5.522,24.045,50.545,26.5,11.333
2011-01-27,6.375,29.083,49.542,20.458,32.375
2011-01-28,6.958,22.125,47.083,24.958,40.292
2011-01-29,6.083,17.667,32.792,15.125,16.833
2011-01-30,6.083,21.333,45.375,24.042,12.708
2011-01-31,7.375,28.292,59.458,31.167,25.87
2011-02-01,7.0,18.5,36.25,17.75,30.458
2011-02-02,4.167,16.125,28.042,11.917,11.75
2011-02-03,5.25,31.167,71.417,40.25,17.875
2011-02-04,5.875,23.667,46.125,22.458,27.542
2011-02-05,5.792,18.583,30.75,12.167,44.208
2011-02-06,8.208,21.792,43.958,22.167,52.458
2011-02-07,7.208,23.5,55.292,31.792,25.333
2011-02-08,4.75,13.458,24.625,11.167,9.292
2011-02-09,3.652,18.727,37.409,18.682,11.25
2011-02-10,4.583,23.0,44.375,21.375,14.333
2011-02-11,4.75,17.167,35.125,17.958,10.625
2011-02-12,6.0,20.917,41.125,20.208,15.792
2011-02-13,5.542,20.5,35.125,14.625,22.292
2011-02-14,6.208,18.583,41.833,23.25,18.333
2011-02-15,8.0,22.458,68.0,45.542,25.083
2011-02-16,6.792,21.5,49.958,28.458,15.708
2011-02-17,6.167,14.0,29.583,15.583,15.333
2011-02-18,5.375,14.0,25.458,11.458,11.75
2011-02-19,4.625,14.083,24.875,10.792,15.208
2011-02-20,5.083,16.875,38.542,21.667,11.917
