date,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,10.417,10.458,0.042,39.333
2011-01-02,14.565,18.217,3.652,15.417
2011-01-03,8.917,9.542,0.625,30.5
2011-01-04,6.542,7.75,1.208,14.917
2011-01-05,16.0,20.833,4.833,9.042
2011-01-06,21.583,27.708,6.125,12.75
2011-01-07,28.583,43.25,14.667,18.417
2011-01-08,17.958,21.5,3.542,14.25
2011-01-09,15.348,16.913,1.565,37.583
2011-01-10,31.583,44.542,12.958,60.125
2011-01-11,12.667,16.208,3.542,22.792
2011-01-12,23.833,32.0,8.167,18.292
2011-01-13,13.833,15.667,1.833,24.13
2011-01-14,26.958,43.083,16.125,30.792
2011-01-15,23.208,30.583,7.375,13.792
2011-01-16,15.13,15.826,0.696,11.542
2011-01-17,23.25,42.083,18.833,10.75
2011-01-18,30.0,53.875,23.875,13.083
2011-01-19,23.917,33.625,9.708,21.458
2011-01-20,9.833,11.292,1.458,5.958
2011-01-21,20.042,30.167,10.125,6.583
2011-01-22,17.875,22.792,4.917,12.458
2011-01-23,8.696,10.391,1.696,2.5
2011-01-24,8.208,9.333,1.125,7.792
2011-01-25,10.958,12.458,1.5,14.167
2011-01-26,13.167,15.0,1.833,4.708
2011-01-27,27.375,36.458,9.083,19.667
2011-01-28,21.875,41.083,19.208,30.583
2011-01-29,15.667,19.833,4.167,16.958
2011-01-30,22.696,35.609,12.913,14.417
2011-01-31,30.792,60.333,29.542,20.542
2011-02-01,12.25,14.083,1.833,24.458
2011-02-02,8.625,10.333,1.708,5.208
2011-02-03,24.5,31.458,6.958,14.292
2011-02-04,18.958,24.583,5.625,23.417
2011-02-05,21.042,25.083,4.042,38.583
2011-02-06,24.87,42.739,17.87,35.375
2011-02-07,12.375,13.792,1.417,20.083
2011-02-08,7.792,9.167,1.375,3.583
2011-02-09,13.375,14.792,1.417,8.292
2011-02-10,22.167,28.75,6.583,8.826
2011-02-11,20.833,30.5,9.667,6.375
2011-02-12,20.458,26.0,5.542,12.625
2011-02-13,23.609,35.739,12.13,18.083
2011-02-14,32.208,86.875,54.667,22.208
2011-02-15,22.5,33.667,11.167,28.083
2011-02-16,21.833,34.125,12.292,14.0
2011-02-17,8.958,11.417,2.458,9.0
2011-02-18,10.833,12.458,1.625,8.625
2011-02-19,12.875,14.75,1.875,14.792
2011-02-20,23.87,34.478,10.609,12.917
2011-02-21,27.958,36.5,8.542,18.208
2011-02-22,20.25,29.875,9.625,15.583
2011-02-23,17.25,32.833,15.583,22.208
