date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,4.667,5.792,1.125,,4.958,
2011-01-02,4.167,5.458,1.292,,2.458,
2011-01-03,4.875,6.042,1.167,,3.833,
2011-01-04,4.208,5.375,1.167,,2.75,
2011-01-05,5.083,6.375,1.292,,1.348,
2011-01-06,10.167,12.542,2.375,,1.917,
2011-01-07,11.833,20.167,8.333,,1.333,
2011-01-08,8.625,10.792,2.167,,1.417,
2011-01-09,10.292,12.833,2.542,,5.833,
2011-01-10,14.333,19.208,4.875,,3.375,
2011-01-11,6.565,8.478,1.913,,2.571,
2011-01-12,9.958,14.875,4.917,,1.609,
2011-01-13,6.125,7.75,1.625,,3.833,
2011-01-14,12.5,17.375,4.875,,2.042,
2011-01-15,8.917,11.292,2.375,,1.542,
2011-01-16,13.167,18.5,5.333,,1.25,
2011-01-17,11.917,23.833,11.917,,1.083,
2011-01-18,16.333,25.833,9.5,,2.0,
2011-01-19,12.167,16.875,4.708,,1.304,
2011-01-20,6.833,9.417,2.583,,1.167,
2011-01-21,8.417,13.25,4.833,,1.042,
2011-01-22,4.792,6.542,1.75,,1.0,
2011-01-23,3.478,4.522,1.043,,1.304,
2011-01-24,3.208,3.25,0.042,,2.542,
2011-01-25,3.833,4.125,0.292,,3.292,
2011-01-26,5.208,5.833,0.625,,1.478,
2011-01-27,10.792,13.417,2.625,,2.292,
2011-01-28,10.042,16.375,6.333,,2.25,
2011-01-29,8.083,9.75,1.667,,2.417,
2011-01-30,9.375,13.583,4.208,,1.458,
2011-01-31,12.5,18.5,6.0,,3.125,
2011-02-01,4.565,5.435,0.87,,2.792,
2011-02-02,3.667,4.417,0.75,,1.652,
2011-02-03,7.167,8.5,1.333,,1.167,
2011-02-04,11.833,16.417,4.583,,2.75,
2011-02-05,7.042,8.792,1.75,,1.792,
2011-02-06,11.167,15.917,4.75,,1.708,
2011-02-07,4.091,5.045,0.955,,1.909,
2011-02-08,2.708,3.542,0.833,,1.75,
2011-02-09,4.542,5.5,0.958,,1.348,
2011-02-10,8.167,10.167,2.0,,1.583,
2011-02-11,8.167,11.5,3.333,,1.375,
2011-02-12,7.417,9.375,1.958,,2.0,
2011-02-13,13.292,16.542,3.25,,1.542,
2011-02-14,13.792,19.583,5.792,,1.0,
2011-02-15,7.958,9.375,1.417,,1.667,
2011-02-16,7.292,9.583,2.292,,1.217,
2011-02-17,3.042,3.583,0.542,,2.333,
2011-02-18,3.667,4.292,0.625,,1.583,
2011-02-19,6.458,7.708,1.25,,1.917,
2011-02-20,8.042,9.625,1.583,,1.458,
2011-02-21,10.136,11.682,1.545,,1.826,
2011-02-22,12.417,14.333,1.917,,1.625,
2011-02-23,8.0,9.458,1.458,,1.391,
2011-02-24,7.833,10.5,2.667,,3.417,
2011-02-25,3.958,4.417,0.458,,1.583,
2011-02-26,3.792,4.417,0.625,,1.0,
2011-02-27,6.542,9.792,3.25,,1.0,
2011-02-28,10.0,13.917,3.917,,2.333,
2011-03-01,15.792,21.083,5.292,,1.522,
2011-03-02,7.458,9.0,1.542,,1.0,
2011-03-03,4.75,6.167,1.417,,1.167,
2011-03-04,6.292,7.458,1.167,,1.25,
2011-03-05,9.208,10.583,1.375,,1.042,
2011-03-06,5.957,6.957,1.0,,1.348,
2011-03-07,8.625,11.0,2.375,,2.958,
2011-03-08,9.042,11.708,2.667,,2.348,
2011-03-09,1.917,2.333,0.417,,1.25,
2011-03-10,3.0,3.5,0.5,,1.0,
2011-03-11,3.958,4.917,0.958,,3.125,
2011-03-12,3.542,4.292,0.75,,1.083,
2011-03-13,9.125,10.958,1.833,,1.833,
2011-03-14,9.917,13.125,3.208,,2.458,
2011-03-15,9.042,11.958,2.917,,3.739,
2011-03-16,9.833,11.667,1.833,,3.25,
2011-03-17,6.458,7.708,1.25,,1.542,
2011-03-18,4.625,5.75,1.125,,1.167,
2011-03-19,4.333,5.333,1.0,,1.0,
2011-03-20,6.125,7.333,1.208,,1.458,
2011-03-21,8.087,11.087,3.0,,1.478,
2011-03-22,8.958,11.375,2.417,,1.348,
2011-03-23,7.292,8.875,1.583,,1.0,
2011-03-24,2.333,3.25,0.917,,3.042,
2011-03-25,1.792,2.458,0.667,,1.458,
2011-03-26,4.042,4.833,0.792,,1.583,
2011-03-27,8.208,10.333,2.125,,2.083,
2011-03-28,7.083,9.25,2.167,,3.0,
2011-03-29,6.792,8.958,2.167,,4.565,
2011-03-30,2.292,3.167,0.875,,3.042,
2011-03-31,2.208,2.917,0.708,,1.958,
2011-04-01,8.875,12.875,4.0,,2.167,
2011-04-02,4.375,6.125,1.75,,1.417,
2011-04-03,1.333,2.542,1.208,,1.333,
2011-04-04,2.75,4.5,1.75,,1.125,
2011-04-05,6.174,9.261,3.087,,1.261,
2011-04-06,6.833,10.292,3.458,,1.652,
2011-04-07,2.208,3.667,1.458,,2.208,
2011-04-08,2.042,3.083,1.042,,1.083,
2011-04-09,3.083,4.583,1.5,,1.167,
2011-04-10,4.042,6.042,2.0,,2.75,
2011-04-11,6.167,8.125,1.958,,1.458,
2011-04-12,5.458,8.708,3.25,,1.458,
2011-04-13,6.125,8.708,2.583,,3.522,
2011-04-14,5.417,7.5,2.083,,1.458,
2011-04-15,3.417,4.833,1.417,,1.0,
2011-04-16,1.917,2.5,0.583,,1.042,
2011-04-17,4.0,5.458,1.458,,1.375,
2011-04-18,2.792,3.542,0.75,,1.208,
2011-04-19,3.435,4.304,0.87,,1.13,
2011-04-20,5.5,7.792,2.292,,1.087,
2011-04-21,5.875,8.167,2.292,,1.333,
2011-04-22,3.375,4.708,1.333,,1.583,
2011-04-23,2.125,3.042,0.917,,1.292,
2011-04-24,3.333,4.5,1.167,,1.292,
2011-04-25,3.833,5.458,1.625,,1.917,
2011-04-26,2.042,3.208,1.167,,1.25,
2011-04-27,2.292,3.417,1.125,,1.609,
2011-04-28,2.375,3.583,1.208,,1.417,
2011-04-29,3.75,5.542,1.792,,1.583,
2011-04-30,1.292,2.333,1.042,,2.667,
2011-05-01,1.667,2.708,1.042,,1.25,
2011-05-02,3.917,5.792,1.875,,1.167,
2011-05-03,4.292,5.625,1.333,,1.0,
2011-05-04,3.042,4.5,1.458,,1.304,
2011-05-05,3.0,4.087,1.087,,0.87,
2011-05-06,7.25,9.292,2.042,,0.875,
2011-05-07,4.458,6.042,1.583,,1.083,
2011-05-08,2.958,4.125,1.167,,0.875,
2011-05-09,3.0,4.5,1.5,,0.792,
2011-05-10,1.875,2.917,1.042,,0.792,
2011-05-11,2.0,3.417,1.417,,1.0,
2011-05-12,3.833,5.792,1.958,,1.125,
2011-05-13,2.125,3.125,1.0,,2.208,
2011-05-14,3.667,5.125,1.458,,2.333,
2011-05-15,3.708,5.125,1.417,,2.417,
2011-05-16,4.083,5.583,1.5,,2.375,
2011-05-17,3.25,4.458,1.208,,1.542,
2011-05-18,4.174,5.522,1.348,,1.455,
