date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,199.375,6.417,21.75,17.5,25.667,8.167,,2.833,49.0,221.125
2011-01-02,197.083,5.25,20.375,18.25,27.5,9.25,,1.292,16.0,217.458
2011-01-03,197.042,5.708,20.75,20.708,30.625,9.917,,2.083,33.292,217.792
2011-01-04,194.333,6.077,20.167,27.143,44.0,16.857,,2.083,28.154,214.5
2011-01-05,193.167,5.13,20.417,27.318,47.545,20.227,,1.083,13.833,213.583
2011-01-06,198.588,5.667,25.118,25.389,42.722,17.333,,1.412,18.235,223.706
2011-01-07,204.0,7.0,42.0,29.0,41.0,12.0,,1.0,27.0,246.0
2011-01-10,205.154,9.786,31.538,28.692,57.462,28.769,,3.692,64.692,236.692
2011-01-11,196.045,6.583,21.909,26.292,47.292,21.0,,1.909,28.042,217.955
2011-01-12,203.125,6.417,28.333,28.208,58.208,30.0,,1.417,16.083,231.458
2011-01-13,196.083,5.958,21.042,26.542,48.125,21.583,,2.0,28.375,217.125
2011-01-14,203.208,7.333,32.167,27.708,50.542,22.833,,2.042,34.75,235.375
2011-01-15,197.417,4.826,23.792,20.591,31.227,10.636,,1.042,16.125,221.208
2011-01-16,195.292,5.625,24.167,24.458,46.208,21.75,,1.043,14.917,219.458
2011-01-17,198.824,4.882,26.059,24.765,41.647,16.882,,1.625,10.765,224.882
2011-01-18,195.739,6.208,31.87,25.917,53.375,27.458,,1.478,15.292,227.609
2011-01-19,197.071,6.533,32.5,28.267,53.6,25.333,,1.286,30.429,229.571
2011-01-20,196.292,4.783,18.25,23.273,42.727,19.455,,1.75,12.25,214.542
2011-01-21,196.208,4.125,15.5,20.625,37.0,16.375,,1.5,8.208,211.708
2011-01-22,198.292,4.125,16.542,17.75,25.583,7.833,,1.083,12.75,214.833
2011-01-23,193.75,4.833,16.583,23.708,44.375,20.667,,1.042,9.833,210.333
2011-01-24,193.696,5.542,17.13,23.5,42.708,19.208,,1.417,19.042,210.826
2011-01-25,196.13,5.522,17.348,24.0,45.364,21.364,,1.304,21.292,213.478
2011-01-26,197.417,5.208,21.833,24.667,43.625,18.958,,1.083,10.5,219.25
2011-01-27,198.25,6.333,27.75,28.292,52.583,24.292,,1.333,20.375,226.0
2011-01-28,200.625,5.833,22.542,24.458,37.917,13.458,,1.667,30.542,223.167
