date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,,,11.792,13.458,1.667,,3.583,53.792,
2011-01-02,,,8.542,9.375,0.833,,2.208,15.25,
2011-01-03,,,14.478,16.913,2.435,,4.522,41.333,
2011-01-04,,,11.524,14.048,2.524,,2.333,32.429,
2011-01-05,,,17.125,26.208,9.083,,1.167,28.75,
2011-01-06,,,21.583,35.292,13.708,,1.208,29.333,
2011-01-07,,,18.125,32.25,14.125,,1.208,26.833,
2011-01-08,,,17.667,23.833,6.167,,3.292,29.958,
2011-01-09,,,16.458,21.875,5.417,,4.333,54.083,
2011-01-10,,,21.652,35.87,14.217,,5.261,82.75,
2011-01-11,,,16.429,30.333,13.905,,2.238,57.81,
2011-01-12,,,23.958,39.667,15.708,,2.333,28.417,
2011-01-13,,,16.208,23.167,6.958,,3.667,34.667,
2011-01-14,,,19.833,28.375,8.542,,3.5,61.458,
2011-01-15,,,13.333,15.833,2.5,,2.083,45.583,
2011-01-16,,,14.5,16.542,2.042,,2.833,17.583,
2011-01-17,,,14.05,15.95,1.9,,1.55,9.571,
2011-01-18,,,22.292,37.417,15.125,,3.0,26.042,
2011-01-19,,,22.208,39.083,16.875,,1.625,30.125,
2011-01-20,,,12.917,17.125,4.208,,1.208,10.208,
2011-01-21,,,11.417,12.875,1.458,,1.458,12.792,
2011-01-22,,,9.792,11.667,1.875,,1.125,16.292,
2011-01-23,,,9.542,10.667,1.125,,1.25,11.083,
2011-01-24,,,11.739,12.957,1.217,,2.217,14.083,
2011-01-25,,,15.524,19.19,3.667,,1.952,24.923,
2011-01-26,,,17.625,36.75,19.125,,1.542,16.348,
2011-01-27,,,20.208,28.458,8.25,,2.583,27.958,
2011-01-28,,,13.292,17.0,3.708,,3.25,43.25,
2011-01-29,,,9.667,11.042,1.375,,2.792,28.095,
2011-01-30,,,13.792,18.333,4.542,,1.833,26.208,
2011-01-31,,,22.65,33.45,10.8,,3.19,28.05,
2011-02-01,,,13.667,15.667,2.0,,3.048,41.095,
2011-02-02,,,8.25,9.708,1.458,,1.708,12.583,
2011-02-03,,,17.292,24.667,7.375,,1.417,18.625,
2011-02-04,,,17.917,28.292,10.375,,2.75,33.773,
2011-02-05,,,16.792,20.083,3.292,,2.167,49.708,
2011-02-06,,,21.5,39.417,17.917,,2.292,54.625,
2011-02-07,,,8.9,10.25,1.35,,1.3,19.238,
2011-02-08,,,7.125,8.417,1.292,,0.917,9.625,
2011-02-09,,,18.292,23.958,5.667,,1.083,20.875,
2011-02-10,,,16.417,24.125,7.708,,1.292,21.375,
2011-02-11,,,14.458,22.417,7.958,,1.083,19.958,
2011-02-12,,,14.458,18.125,3.667,,2.875,22.083,
2011-02-13,,,20.417,38.208,17.792,,1.583,36.625,
2011-02-14,,,23.217,65.13,41.913,,1.0,29.667,
2011-02-15,,,19.5,54.6,35.1,,0.81,22.476,
2011-02-16,,,18.9,21.8,2.9,,1.083,27.208,
2011-02-17,,,8.458,9.875,1.417,,1.667,12.583,
2011-02-18,,,9.708,10.458,0.75,,2.083,17.875,
2011-02-19,,,13.208,15.125,1.917,,1.5,23.0,
2011-02-20,,,17.958,25.833,7.875,,1.708,23.083,
2011-02-21,,,21.15,27.05,5.9,,1.895,31.048,
2011-02-22,,,22.375,42.333,19.958,,2.333,27.625,
2011-02-23,,,14.458,25.083,10.625,,1.25,19.75,
2011-02-24,,,12.292,13.125,0.833,,6.875,47.542,
2011-02-25,,,12.375,13.417,1.042,,1.375,43.292,
2011-02-26,,,9.875,11.208,1.333,,0.875,13.0,
2011-02-27,,,11.625,17.458,5.833,,1.042,14.125,
2011-02-28,,,11.35,12.15,0.8,,3.1,10.952,
2011-03-01,,,22.208,32.458,10.25,,1.625,25.208,
2011-03-02,,,17.167,20.833,3.667,,0.958,21.0,
2011-03-03,,,8.042,8.833,0.792,,5.042,12.875,
2011-03-04,,,15.792,18.333,2.542,,1.75,28.583,
2011-03-05,,,24.375,49.458,25.083,,1.083,21.25,
2011-03-06,,,9.75,12.45,2.7,,0.95,17.952,
2011-03-07,,,15.917,19.25,3.333,,1.542,57.625,
2011-03-08,,,19.208,28.75,9.542,,1.667,51.708,
2011-03-09,,,10.375,10.917,0.542,,1.208,35.292,
2011-03-10,,,10.917,11.25,0.333,,1.125,21.609,
2011-03-11,,,10.667,12.333,1.667,,2.958,33.833,
2011-03-12,,,11.333,12.667,1.333,,1.375,14.292,
2011-03-13,,,16.391,22.348,5.957,,1.696,21.125,
2011-03-14,,,20.048,28.0,7.952,,2.619,32.714,
2011-03-15,,,21.167,27.958,6.792,,4.167,48.792,
2011-03-16,,,33.417,40.542,7.125,,4.5,62.167,
2011-03-17,,,17.917,21.458,3.542,,1.0,31.833,
2011-03-18,,,11.125,12.25,1.125,,1.125,29.783,
2011-03-19,,,16.238,20.333,4.095,,1.0,29.526,
2011-03-20,,,13.957,17.217,3.261,,1.478,28.176,
2011-03-21,,,16.458,20.75,4.292,,1.542,26.125,
2011-03-22,,,18.458,23.5,5.042,,2.958,28.917,
2011-03-23,,,9.208,10.042,0.833,,1.542,15.667,
2011-03-24,,,5.625,5.917,0.292,,2.667,38.875,
2011-03-25,,,5.833,6.0,0.167,,1.625,17.042,
2011-03-26,,,6.833,7.125,0.292,,1.458,11.708,
2011-03-27,,,14.95,18.8,3.85,,1.45,21.286,
2011-03-28,,,16.043,20.652,4.609,,2.087,34.043,
2011-03-29,,,16.625,19.417,2.792,,2.875,40.792,
2011-03-30,,,14.792,17.958,3.167,,10.625,37.667,
2011-03-31,,,4.667,5.625,0.958,,2.875,21.708,
2011-04-01,,,17.375,19.583,2.208,,3.125,42.917,
2011-04-02,,,14.208,16.375,2.167,,1.958,44.0,
2011-04-03,,,8.125,8.875,0.75,,1.708,32.625,
2011-04-04,,,6.208,6.792,0.583,,1.25,10.042,
2011-04-05,,,12.05,12.85,0.8,,3.789,14.333,
2011-04-06,,,14.083,16.333,2.25,,1.792,14.375,
2011-04-07,,,9.833,11.083,1.25,,2.917,11.083,
2011-04-08,,,11.0,12.833,1.833,,0.708,27.083,
2011-04-09,,,8.333,9.833,1.5,,0.792,34.458,
2011-04-10,,,10.125,11.708,1.583,,1.833,29.542,
2011-04-11,,,12.208,13.625,1.417,,1.792,33.208,
2011-04-12,,,12.4,14.35,1.95,,1.263,28.619,
2011-04-13,,,12.917,14.625,1.708,,2.667,28.417,
2011-04-14,,,11.958,14.25,2.292,,1.833,29.208,
2011-04-15,,,15.042,18.0,2.958,,1.417,40.333,
2011-04-16,,,9.875,11.542,1.667,,1.583,60.792,
2011-04-17,,,8.375,9.917,1.542,,4.958,57.167,
2011-04-18,,,4.25,5.25,1.0,,1.375,31.167,
2011-04-19,,,7.7,7.8,0.1,,0.947,13.0,
2011-04-20,,,13.375,16.083,2.708,,1.042,12.125,
2011-04-21,,,13.5,15.083,1.583,,3.292,30.458,
2011-04-22,,,11.958,12.875,0.917,,5.375,26.25,
2011-04-23,,,5.583,6.292,0.708,,1.042,22.917,
2011-04-24,,,10.417,11.708,1.292,,0.875,28.917,
2011-04-25,,,8.917,9.75,0.833,,2.0,30.375,
2011-04-26,,,11.3,12.85,1.55,,1.737,23.0,
2011-04-27,,,10.0,11.25,1.25,,1.5,31.0,
2011-04-28,,,5.25,6.0,0.75,,1.208,18.833,
2011-04-29,,,11.375,13.333,1.958,,1.25,16.125,
2011-04-30,,,11.833,13.167,1.333,,2.917,30.583,
2011-05-01,,,5.625,7.0,1.375,,1.583,59.083,
2011-05-02,,,10.048,11.762,1.714,,0.762,168.0,
2011-05-03,,,17.174,21.913,4.739,,0.591,181.792,
2011-05-04,,,10.0,11.667,1.667,,5.083,65.542,
2011-05-05,,,7.792,8.542,0.75,,2.083,35.875,
2011-05-06,,,10.0,11.292,1.292,,1.5,14.958,
2011-05-07,,,9.25,11.208,1.958,,2.042,10.167,
2011-05-08,,,7.792,9.458,1.667,,1.5,23.417,
2011-05-09,,,5.667,7.917,2.25,,1.167,13.917,
2011-05-10,,,4.783,6.652,1.87,,0.636,11.5,
2011-05-11,,,4.714,7.238,2.524,,0.048,16.857,
2011-05-12,,,5.458,7.833,2.375,,0.0,11.5,
2011-05-13,,,4.625,4.667,0.042,,1.5,40.958,
2011-05-14,,,9.625,10.042,0.417,,2.417,32.917,
2011-05-15,,,9.25,9.333,0.083,,2.083,30.625,
2011-05-16,,,10.5,10.542,0.042,,3.375,48.167,
2011-05-17,,,7.652,8.957,1.304,,1.455,41.667,
2011-05-18,,,10.095,11.0,0.905,,1.952,26.619,
2011-05-19,,,12.375,13.083,0.708,,2.292,32.375,
2011-05-20,,,10.542,12.375,1.833,,2.667,17.792,
2011-05-21,,,6.75,9.625,2.875,,3.417,17.958,
2011-05-22,,,4.667,5.875,1.208,,0.5,10.958,
2011-05-23,,,9.542,10.792,1.25,,1.917,10.042,
2011-05-24,,,5.7,6.0,0.3,,1.0,0.81,
2011-05-25,,,4.625,4.875,0.25,,0.75,4.917,
2011-05-26,,,10.333,11.083,0.75,,0.667,12.167,
2011-05-27,,,10.75,11.833,1.083,,0.625,38.292,
2011-05-28,,,11.167,12.333,1.167,,0.667,20.625,
2011-05-29,,,3.833,4.417,0.583,,0.583,1.125,
2011-05-30,,,5.792,6.042,0.25,,0.708,16.833,
2011-05-31,,,10.652,12.739,2.087,,3.045,19.167,
2011-06-01,,,8.524,9.857,1.333,,2.619,27.952,
2011-06-02,,,6.125,7.583,1.458,,0.917,26.958,
2011-06-03,,,6.917,8.333,1.417,,2.417,39.583,
2011-06-04,,,6.75,9.5,2.75,,4.458,33.083,
2011-06-05,,,9.208,11.042,1.833,,1.125,33.917,
2011-06-06,,,9.917,12.75,2.833,,3.375,39.0,
2011-06-07,,,11.0,11.55,0.55,,0.789,18.81,
2011-06-08,,,8.0,10.417,2.417,,0.667,15.333,
2011-06-09,,,5.583,6.917,1.333,,1.083,36.75,
2011-06-10,,,7.5,8.458,0.958,,0.5,23.958,
2011-06-11,,,3.25,4.125,0.875,,0.0,7.333,
2011-06-12,,,5.958,6.25,0.292,,0.083,8.792,
2011-06-13,,,5.667,6.19,0.524,,0.571,19.048,
2011-06-14,,,7.652,8.217,0.565,,1.364,38.5,
2011-06-15,,,11.25,12.208,0.958,,0.667,31.583,
2011-06-16,,,9.875,10.958,1.083,,0.125,4.792,
2011-06-17,,,3.333,3.917,0.583,,0.583,10.208,
2011-06-18,,,10.667,11.667,1.0,,0.0,5.125,
2011-06-19,,,7.75,8.875,1.125,,0.042,3.167,
2011-06-20,,,8.167,9.208,1.042,,0.083,4.75,
2011-06-21,,,7.15,9.1,1.95,,0.0,5.524,
2011-06-22,,,5.833,9.0,3.167,,0.917,12.792,
2011-06-23,,,2.708,4.458,1.75,,1.625,16.875,
2011-06-24,,,4.083,5.625,1.542,,2.083,13.917,
2011-06-25,,,6.667,11.375,4.708,,0.667,12.458,
2011-06-26,,,3.25,4.708,1.458,,0.917,13.5,
2011-06-27,,,3.958,5.083,1.125,,0.25,9.875,
2011-06-28,,,3.9,5.65,1.75,,1.632,14.143,
2011-06-29,,,3.833,5.958,2.125,,2.917,22.292,
2011-06-30,,,4.167,5.458,1.292,,1.792,22.708,
2011-07-01,,,3.917,5.125,1.208,,0.208,15.958,
2011-07-02,,,4.125,5.167,1.042,,0.417,31.417,
2011-07-03,,,1.833,2.458,0.625,,0.333,44.5,
2011-07-04,,,2.708,3.458,0.75,,0.125,25.0,
2011-07-05,,,4.35,4.75,0.4,,0.737,23.0,
2011-07-06,,,8.208,9.167,0.958,,0.0,12.292,
2011-07-07,,,3.042,4.167,1.125,,0.25,12.5,
2011-07-08,,,5.333,7.458,2.125,,1.833,19.958,
2011-07-09,,,5.542,9.542,4.0,,2.167,22.208,
2011-07-10,,,5.792,8.833,3.042,,0.583,16.333,
2011-07-11,,,8.292,12.167,3.875,,0.375,10.75,
2011-07-12,,,6.826,11.217,4.391,,0.636,14.833,
2011-07-13,,,10.952,18.476,7.524,,0.524,9.095,
2011-07-14,,,5.417,11.0,5.583,,1.333,13.625,
2011-07-15,,,4.958,7.25,2.292,,1.708,15.792,
2011-07-16,,,4.292,5.125,0.833,,1.167,14.167,
2011-07-17,,,5.167,6.292,1.125,,1.125,8.708,
2011-07-18,,,3.917,5.0,1.083,,0.875,4.875,
2011-07-19,,,2.9,3.85,0.95,,0.421,9.667,
2011-07-20,,,4.125,5.0,0.875,,0.5,18.583,
2011-07-21,,,5.25,6.417,1.167,,0.167,8.667,
2011-07-22,,,7.0,8.542,1.542,,1.333,27.125,
2011-07-23,,,8.542,10.167,1.625,,2.917,48.75,
2011-07-24,,,3.667,4.542,0.875,,3.125,48.208,
2011-07-25,,,4.875,6.375,1.5,,2.375,44.292,
2011-07-26,,,6.5,8.35,1.85,,1.053,17.286,
2011-07-27,,,6.083,8.208,2.125,,3.167,14.25,
2011-07-28,,,3.875,5.583,1.708,,1.958,23.458,
2011-07-29,,,4.5,5.917,1.417,,2.208,17.542,
2011-07-30,,,5.125,7.792,2.667,,1.0,16.417,
2011-07-31,,,4.75,6.167,1.417,,0.958,19.167,
2011-08-01,,,6.833,8.292,1.458,,1.125,29.292,
2011-08-02,,,9.35,13.8,4.45,,1.263,40.571,
2011-08-03,,,3.958,11.042,7.083,,0.375,8.292,
2011-08-04,,,2.542,3.583,1.042,,0.333,5.583,
2011-08-05,,,4.75,6.292,1.542,,0.875,9.208,
2011-08-06,,,5.083,8.5,3.417,,0.25,6.583,
2011-08-07,,,1.875,2.792,0.917,,0.0,6.5,
2011-08-08,,,4.292,6.417,2.125,,1.0,17.375,
2011-08-09,,,3.826,5.739,1.913,,2.136,25.958,
2011-08-10,,,2.958,3.833,0.875,,3.333,20.917,
2011-08-11,,,5.476,8.381,2.905,,0.81,18.286,
2011-08-12,,,4.042,5.042,1.0,,0.625,14.125,
2011-08-13,,,3.0,3.875,0.875,,0.375,12.667,
2011-08-14,,,4.333,5.083,0.75,,0.0,7.5,
2011-08-15,,,5.13,5.913,0.783,,0.0,12.783,
2011-08-16,,,4.304,5.739,1.435,,0.0,20.875,
2011-08-17,,,2.857,4.19,1.333,,0.143,24.476,
2011-08-18,,,3.208,4.167,0.958,,0.25,27.542,
2011-08-19,,,4.417,5.708,1.292,,0.458,25.167,
2011-08-20,,,5.333,6.333,1.0,,0.375,53.875,
2011-08-21,,,4.083,4.958,0.875,,0.125,45.25,
2011-08-22,,,5.042,6.042,1.0,,0.458,43.542,
2011-08-23,,,7.55,11.25,3.7,,1.053,18.81,
2011-08-24,,,6.875,11.583,4.708,,2.0,24.375,
2011-08-25,,,5.417,9.417,4.0,,1.625,14.458,
2011-08-26,,,8.125,12.792,4.667,,0.292,8.792,
2011-08-27,,,9.625,16.542,6.917,,0.583,19.625,
2011-08-28,,,5.417,8.875,3.458,,0.5,18.042,
2011-08-29,,,7.286,9.143,1.857,,1.238,21.524,
2011-08-30,,,7.435,9.826,2.391,,2.227,25.917,
2011-08-31,,,9.833,10.708,0.875,,3.792,38.375,
2011-09-01,,,6.625,7.25,0.625,,1.292,27.042,
2011-09-02,,,5.042,5.917,0.875,,0.417,11.042,
2011-09-03,,,2.458,2.708,0.25,,0.292,8.167,
2011-09-04,,,2.458,2.625,0.167,,0.292,8.208,
2011-09-05,,,4.708,4.792,0.083,,0.667,11.458,
2011-09-06,,,9.3,10.6,1.3,,0.684,14.143,
2011-09-07,,,9.875,11.875,2.0,,1.417,20.708,
2011-09-08,,,8.583,9.708,1.125,,1.292,27.792,
2011-09-09,,,7.875,9.667,1.792,,0.5,24.583,
2011-09-10,,,4.125,5.875,1.75,,0.167,11.208,
2011-09-11,,,4.375,8.125,3.75,,0.75,9.167,
2011-09-12,,,5.0,6.75,1.75,,0.75,9.25,
2011-09-13,,,8.3,10.95,2.65,,4.526,16.0,
2011-09-14,,,7.042,9.833,2.792,,1.5,14.833,
2011-09-15,,,4.458,5.875,1.417,,0.708,9.208,
2011-09-16,,,8.75,14.792,6.042,,0.75,5.625,
2011-09-17,,,6.792,13.625,6.833,,0.917,4.958,
2011-09-18,,,5.75,7.917,2.167,,0.25,11.167,
2011-09-19,,,4.5,5.542,1.042,,0.0,5.708,
2011-09-20,,,8.5,10.35,1.85,,0.0,1.667,
2011-09-21,,,4.208,4.625,0.417,,0.0,4.458,
2011-09-22,,,9.292,10.792,1.5,,0.292,8.667,
2011-09-23,,,10.5,12.917,2.417,,0.625,9.25,
2011-09-24,,,9.833,10.75,0.917,,3.333,15.167,
2011-09-25,,,7.792,7.958,0.167,,2.708,24.208,
2011-09-26,,,11.167,12.292,1.125,,2.917,18.125,
2011-09-27,,,9.25,10.15,0.9,,3.105,16.333,
2011-09-28,,,11.5,13.167,1.667,,1.958,21.208,
2011-09-29,,,7.333,8.875,1.542,,2.458,24.958,
2011-09-30,,,8.708,9.875,1.167,,0.417,21.625,
2011-10-01,,,8.333,10.5,2.167,,0.375,19.042,
2011-10-02,,,6.958,7.625,0.667,,0.583,16.5,
