date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2014-03-02,194.417,15.833,7.625,9.667,2.042,23.5,1.292,210.25
2014-03-03,198.565,30.217,14.75,20.167,5.417,20.208,5.25,228.783
2014-03-04,193.625,16.375,4.826,5.391,0.565,15.042,0.1,210.0
2014-03-05,197.952,23.857,8.524,11.048,2.524,15.286,0.238,221.81
2014-03-06,196.958,30.5,10.5,11.708,1.208,17.917,1.083,227.458
2014-03-07,195.542,27.958,9.0,10.333,1.333,19.125,0.875,223.5
2014-03-08,196.958,23.125,6.125,7.625,1.5,20.708,3.417,220.083
2014-03-09,193.042,22.667,7.375,8.458,1.083,18.75,1.0,215.708
2014-03-10,193.957,8.217,3.417,3.958,0.542,9.708,0.375,202.174
2014-03-11,196.476,11.905,5.45,6.15,0.7,10.476,1.3,208.381
2014-03-12,196.667,15.167,7.917,9.167,1.25,25.417,1.75,211.833
2014-03-13,194.125,19.25,5.875,7.167,1.292,16.042,1.708,213.375
2014-03-14,197.875,24.125,7.25,8.292,1.042,34.375,1.792,222.0
2014-03-15,198.208,24.833,7.208,8.5,1.292,21.0,0.375,223.042
2014-03-16,200.667,28.458,12.083,17.667,5.583,18.417,1.25,229.125
2014-03-17,195.652,24.783,7.958,15.5,7.542,19.0,3.208,220.435
2014-03-18,188.583,29.0,8.304,10.304,2.0,12.182,0.522,217.583
2014-03-19,183.429,29.762,4.333,5.286,0.952,6.381,0.0,213.19
2014-03-20,192.375,16.125,6.917,7.667,0.75,16.042,0.0,208.5
2014-03-21,194.667,13.458,6.792,7.917,1.125,21.125,0.208,208.125
2014-03-22,198.167,9.333,5.75,5.958,0.208,54.375,2.708,207.5
2014-03-23,197.333,6.333,5.792,6.708,0.917,23.75,0.75,203.667
2014-03-24,196.478,9.696,6.958,8.25,1.292,12.792,0.75,206.174
2014-03-25,196.292,10.042,8.522,10.13,1.609,16.417,1.957,206.333
2014-03-26,196.833,10.125,9.458,12.167,2.708,19.708,3.375,206.958
2014-03-27,194.238,11.714,9.857,11.905,2.048,21.095,2.429,205.952
2014-03-28,191.875,11.042,6.75,8.375,1.625,21.708,5.958,202.917
2014-03-29,188.417,10.625,4.083,5.458,1.375,16.917,0.792,199.042
2014-03-30,192.25,12.0,5.708,7.417,1.708,22.125,2.583,204.25
2014-03-31,,,7.417,9.167,1.75,28.417,3.208,
2015-01-01,207.0,10.708,6.833,9.167,2.333,27.0,0.75,217.708
2015-01-02,199.875,10.292,7.083,8.458,1.375,23.875,0.333,210.167
2015-01-03,202.083,12.083,9.208,11.625,2.417,19.042,1.0,214.167
2015-01-04,205.042,12.0,8.583,13.958,5.375,28.708,0.5,217.042
2015-01-05,204.625,13.292,12.167,16.125,3.958,33.0,0.667,217.917
2015-01-06,204.292,16.0,17.696,25.043,7.348,22.583,0.391,220.292
2015-01-07,202.0,10.25,10.524,13.571,3.048,22.952,0.857,212.25
2015-01-08,195.958,7.333,9.708,10.75,1.042,17.375,0.458,203.292
2015-01-09,196.917,7.25,7.833,9.583,1.75,18.917,0.708,204.167
2015-01-10,199.917,8.833,6.583,8.0,1.417,24.583,0.75,208.75
2015-01-11,201.083,11.417,10.333,12.542,2.208,35.708,1.0,212.5
2015-01-12,199.625,10.708,10.75,15.125,4.375,23.833,0.792,210.333
2015-01-13,197.458,8.417,10.87,12.435,1.565,14.333,0.913,205.875
2015-01-14,196.45,8.7,10.381,11.952,1.571,18.286,0.857,205.15
2015-01-15,201.542,14.292,16.083,24.583,8.5,21.167,2.167,215.833
2015-01-16,200.042,12.375,14.0,22.25,8.25,32.083,5.375,212.417
2015-01-17,203.25,13.958,13.625,16.167,2.542,34.0,1.458,217.208
