date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean
2011-01-01,2.167,3.167,1.0,4.042,
2011-01-02,2.625,3.708,1.083,4.042,
2011-01-03,2.917,4.042,1.125,4.875,
2011-01-04,2.208,3.25,1.042,4.75,
2011-01-05,3.125,4.417,1.292,8.25,
2011-01-06,2.818,3.864,1.045,7.0,
2011-01-07,4.042,5.375,1.333,8.0,
2011-01-08,3.125,4.625,1.5,6.042,
2011-01-09,5.083,6.333,1.25,7.042,
2011-01-10,5.292,6.542,1.25,11.167,
2011-01-11,5.0,6.458,1.458,9.458,
2011-01-12,3.417,4.75,1.333,6.417,
2011-01-13,3.083,4.167,1.083,5.125,
2011-01-14,5.0,6.375,1.375,7.333,
2011-01-15,6.542,7.583,1.042,6.125,
2011-01-16,4.5,5.708,1.208,2.375,
2011-01-17,4.708,6.167,1.458,3.75,
2011-01-18,3.591,5.227,1.636,4.273,
2011-01-19,10.417,13.625,3.208,3.25,
2011-01-20,6.667,8.25,1.583,4.417,
2011-01-21,6.0,7.417,1.417,3.583,
2011-01-22,2.542,3.875,1.333,2.708,
2011-01-23,2.292,3.625,1.333,5.417,
2011-01-24,2.174,3.348,1.174,4.522,
2011-01-25,2.833,4.292,1.458,5.458,
2011-01-26,2.75,4.083,1.333,7.125,
2011-01-27,3.875,5.167,1.292,7.833,
2011-01-28,5.167,6.625,1.458,8.208,
2011-01-29,4.333,5.625,1.292,5.792,
2011-01-30,4.524,5.667,1.143,7.864,
2011-01-31,4.75,6.917,2.167,5.5,
2011-02-01,3.917,5.292,1.375,2.958,
2011-02-02,2.708,4.0,1.292,5.167,
2011-02-03,2.875,4.208,1.333,3.458,
2011-02-04,3.042,4.042,1.0,2.833,
2011-02-05,5.792,7.25,1.458,4.5,
2011-02-06,7.583,9.958,2.375,1.0,
2011-02-07,5.208,6.375,1.167,1.0,
2011-02-08,2.292,3.667,1.375,1.042,
2011-02-09,2.917,4.25,1.333,3.958,
2011-02-10,4.667,5.917,1.25,5.833,
2011-02-11,5.292,6.833,1.542,3.708,
2011-02-12,4.167,5.667,1.5,3.417,
2011-02-13,9.167,11.417,2.25,1.208,
2011-02-14,12.292,16.083,3.792,0.542,
2011-02-15,7.875,9.083,1.208,0.25,
2011-02-16,5.708,7.25,1.542,3.5,
2011-02-17,2.833,3.917,1.083,1.875,
2011-02-18,2.667,4.083,1.417,4.75,
2011-02-19,2.583,3.792,1.208,3.0,
2011-02-20,4.261,5.826,1.565,3.542,
2011-02-21,7.167,9.0,1.833,7.625,
2011-02-22,5.583,7.333,1.75,1.083,
2011-02-23,5.875,7.833,1.958,1.625,
2011-02-24,5.792,7.167,1.375,6.167,
2011-02-25,4.917,6.25,1.333,2.348,
2011-02-26,4.375,5.542,1.167,2.25,
2011-02-27,5.417,7.333,1.917,2.5,
2011-02-28,7.625,9.208,1.583,2.875,
2011-03-01,6.25,8.167,1.917,1.0,
2011-03-02,8.958,10.917,1.958,1.0,
2011-03-03,5.208,6.542,1.333,3.583,
2011-03-04,3.458,4.75,1.292,1.25,
2011-03-05,9.364,11.636,2.273,1.0,
2011-03-06,4.292,5.542,1.25,1.083,
2011-03-07,7.375,8.833,1.458,5.0,
2011-03-08,5.542,6.792,1.25,2.792,
2011-03-09,6.0,7.333,1.333,3.875,
2011-03-10,3.833,5.167,1.333,4.333,
2011-03-11,2.833,3.958,1.125,4.542,
2011-03-12,3.375,4.583,1.208,8.417,
2011-03-13,4.708,6.167,1.458,7.667,
2011-03-14,4.375,5.625,1.25,4.75,
2011-03-15,5.667,6.833,1.167,6.375,
2011-03-16,5.591,7.045,1.455,2.955,
2011-03-17,2.542,3.583,1.042,1.0,
2011-03-18,5.292,6.458,1.167,2.208,
2011-03-19,5.045,6.273,1.227,3.727,
2011-03-20,7.75,9.25,1.5,5.917,
2011-03-21,5.583,7.333,1.75,4.333,
2011-03-22,4.458,5.542,1.083,11.708,
2011-03-23,4.167,5.542,1.375,2.417,
2011-03-24,3.083,4.083,1.0,1.958,
2011-03-25,2.625,3.625,1.0,1.792,
2011-03-26,2.917,3.917,1.0,2.5,
2011-03-27,4.045,5.182,1.136,2.455,
2011-03-28,4.667,5.833,1.167,3.75,
2011-03-29,4.917,5.958,1.042,2.625,
2011-03-30,3.417,4.542,1.125,2.458,
2011-03-31,3.375,4.375,1.0,2.25,
2011-04-01,3.958,4.083,0.125,5.375,
2011-04-02,5.208,5.208,0.0,5.375,
2011-04-03,8.792,9.042,0.25,5.125,
2011-04-04,7.625,7.917,0.292,6.833,
2011-04-05,4.792,5.083,0.292,2.625,
2011-04-06,3.542,3.583,0.042,1.375,
2011-04-07,3.182,3.227,0.045,1.182,
2011-04-08,4.667,4.833,0.167,2.792,
2011-04-09,5.375,5.417,0.042,3.083,
2011-04-10,3.708,3.708,0.0,3.917,
2011-04-11,5.458,5.458,0.0,4.167,
2011-04-12,5.5,5.636,0.136,3.091,
2011-04-13,4.417,4.417,0.0,2.583,
2011-04-14,4.542,4.542,0.0,4.167,
2011-04-15,6.958,7.125,0.167,3.958,
2011-04-16,9.25,9.542,0.292,3.292,
2011-04-17,6.792,6.917,0.125,4.083,
2011-04-18,3.792,3.792,0.0,1.5,
2011-04-19,3.75,3.75,0.0,2.958,
2011-04-20,3.375,3.417,0.042,4.125,
2011-04-21,4.35,4.4,0.05,3.1,
2011-04-22,3.958,4.042,0.083,2.708,
