date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean
2011-01-01,,,,,,12.208,
2011-01-02,,,,,,5.75,
2011-01-03,,,,,,2.042,
2011-01-04,,,,,,4.875,
2011-01-05,,,,,,4.083,
2011-01-06,,,,,,2.667,
2011-01-07,,,,,,5.458,
2011-01-08,,,,,,1.958,
2011-01-09,,,,,,9.375,
2011-01-10,,,,,,6.391,
2011-01-11,,,,,,5.667,
2011-01-12,,,,,,2.667,
2011-01-13,,,,,,10.917,
2011-01-14,,,,,,5.625,
2011-01-15,,,,,,4.0,
2011-01-16,,,,,,4.273,
2011-01-17,,,,,,7.917,
2011-01-18,,,,,,9.042,
2011-01-19,,,,,,12.292,
2011-01-20,,,,,,6.792,
2011-01-21,,,,,,5.792,
2011-01-22,,,,,,2.625,
2011-01-23,,,,,,3.25,
2011-01-24,,,,,,5.304,
2011-01-25,,,,,,9.917,
2011-01-26,,,,,,7.792,
2011-01-27,,,,,,5.0,
2011-01-28,,,,,,4.917,
2011-01-29,,,,,,3.792,
2011-01-30,,,,,,3.909,
2011-01-31,,,,,,6.083,
2011-02-01,,,,,,9.708,
2011-02-02,,,,,,3.042,
2011-02-03,,,,,,6.125,
2011-02-04,,,,,,6.083,
2011-02-05,,,,,,7.375,
2011-02-06,,,,,,15.292,
2011-02-07,,,,,,12.5,
2011-02-08,,,,,,5.875,
2011-02-09,,,,,,3.167,
2011-02-10,,,,,,7.6,
2011-02-11,,,,,,5.583,
2011-02-12,,,,,,7.458,
2011-02-13,,,,,,9.458,
2011-02-14,,,,,,10.167,
2011-02-15,,,,,,15.958,
2011-02-16,,,,,,6.125,
2011-02-17,,,,,,7.917,
2011-02-18,,,,,,6.375,
2011-02-19,,,,,,8.958,
2011-02-20,,,,,,8.25,
2011-02-21,,,,,,12.917,
2011-02-22,,,,,,8.958,
2011-02-23,,,,,,9.958,
2011-02-24,,,,,,21.292,
2011-02-25,,,,,,12.458,
2011-02-26,,,,,,8.042,
2011-02-27,,,,,,7.708,
2011-02-28,,,,,,6.75,
2011-03-01,,,,,,20.292,
2011-03-02,,,,,,13.125,
2011-03-03,,,,,,10.625,
2011-03-04,,,,,,7.583,
2011-03-05,,,,,,8.75,
2011-03-06,186.714,20.429,,,,2.143,207.143
2011-03-07,185.174,10.13,,,,,195.304
2011-03-08,185.913,9.522,,,,,195.435
2011-03-09,186.696,9.565,,,,,196.261
2011-03-10,186.261,8.565,,,,,194.826
2011-03-11,184.913,7.565,,,,,192.478
2011-03-12,186.174,9.087,,,,2.0,195.261
2011-03-13,185.435,6.87,4.25,5.5,1.25,2.708,192.304
2011-03-14,184.762,11.476,10.045,14.136,4.091,6.455,196.238
2011-03-15,185.696,7.652,6.208,7.917,1.708,13.042,193.348
2011-03-16,185.609,6.217,3.833,5.083,1.25,14.417,191.826
2011-03-17,187.0,11.957,16.208,19.625,3.417,23.208,198.957
2011-03-18,185.522,10.826,8.0,9.708,1.708,23.292,196.348
2011-03-19,185.652,5.913,3.333,4.333,1.0,3.417,191.565
2011-03-20,184.043,6.261,4.25,5.958,1.708,6.667,190.304
2011-03-21,185.348,5.565,3.167,3.875,0.708,7.958,190.913
2011-03-22,184.739,7.739,9.125,11.667,2.542,20.833,192.478
2011-03-23,184.565,6.348,4.25,4.792,0.542,17.042,190.913
2011-03-24,184.043,6.13,4.833,5.583,0.75,3.5,190.174
2011-03-25,185.174,6.348,3.958,4.708,0.75,5.167,191.522
2011-03-26,186.348,7.435,6.167,8.167,2.0,8.708,193.783
2011-03-27,186.826,8.348,9.333,10.75,1.417,11.667,195.174
2011-03-28,185.304,8.217,8.083,9.25,1.167,17.958,193.522
2011-03-29,186.565,7.0,7.125,7.75,0.625,14.375,193.565
2011-03-30,186.667,16.524,20.773,27.227,6.455,22.5,203.19
2011-03-31,184.304,11.087,9.167,11.083,1.917,19.25,195.391
2011-04-01,183.87,7.957,5.542,5.833,0.292,13.375,191.826
2011-04-02,184.826,7.087,4.167,4.333,0.167,13.25,191.913
2011-04-03,184.565,4.435,1.875,1.875,0.0,5.792,189.0
2011-04-04,184.609,5.304,3.0,3.0,0.0,5.042,189.913
2011-04-05,184.304,5.478,4.375,4.583,0.208,7.417,189.783
2011-04-06,183.696,18.304,9.875,11.083,1.208,16.167,202.0
2011-04-07,184.591,16.318,9.391,10.348,0.957,19.522,200.909
2011-04-08,,,3.2,3.2,0.0,1.0,
2011-04-09,,,3.917,3.917,0.0,11.625,
2011-04-10,,,2.75,2.75,0.0,12.833,
2011-04-11,180.125,6.125,4.667,4.875,0.208,13.875,186.25
2011-04-12,184.409,6.5,5.174,5.174,0.0,14.87,190.909
2011-04-13,185.238,9.19,7.455,7.455,0.0,29.227,194.429
2011-04-14,183.391,14.913,10.917,11.667,0.75,28.333,198.304
2011-04-15,185.043,11.348,9.375,9.792,0.417,33.25,196.391
2011-04-16,184.826,12.217,6.625,8.417,1.792,20.958,197.043
2011-04-17,183.261,4.391,2.0,2.0,0.0,7.208,187.652
2011-04-18,182.435,5.783,3.125,3.208,0.083,8.042,188.217
2011-04-19,181.217,4.261,1.917,1.917,0.0,6.75,185.478
2011-04-20,184.0,5.826,4.167,4.25,0.083,0.625,189.826
2011-04-21,182.81,7.095,4.292,5.667,1.375,5.583,189.905
2011-04-22,180.957,5.739,3.333,3.333,0.0,6.458,186.696
2011-04-23,179.217,6.304,2.75,2.75,0.0,24.667,185.522
2011-04-24,183.478,6.217,2.875,2.875,0.0,6.25,189.696
2011-04-25,183.421,7.947,5.952,6.143,0.19,11.9,191.368
2011-04-26,182.783,8.957,8.042,10.542,2.5,16.042,191.739
2011-04-27,183.826,10.87,7.25,7.875,0.625,28.125,194.696
2011-04-28,181.826,6.696,3.792,3.958,0.167,12.458,188.522
2011-04-29,183.13,7.261,6.958,7.625,0.667,5.792,190.391
2011-04-30,183.913,10.087,8.792,11.25,2.458,10.458,194.0
2011-05-01,181.826,12.913,6.375,6.75,0.375,26.417,194.739
2011-05-02,183.739,4.826,2.875,2.917,0.042,11.5,188.565
2011-05-03,182.913,6.13,3.75,3.917,0.167,10.458,189.043
2011-05-04,181.087,5.913,2.833,2.833,0.0,15.833,187.0
2011-05-05,182.696,5.522,2.917,3.0,0.083,9.042,188.217
2011-05-06,181.391,5.522,2.125,2.125,0.0,6.667,186.913
2011-05-07,179.478,9.87,3.458,3.75,0.292,13.708,189.348
2011-05-08,182.043,8.261,3.542,3.792,0.25,9.208,190.304
2011-05-09,184.13,6.652,4.0,4.0,0.0,10.583,190.783
2011-05-10,183.217,7.435,4.708,5.0,0.292,11.083,190.652
2011-05-11,183.217,10.826,7.208,7.417,0.208,14.917,194.043
2011-05-12,180.476,7.619,4.727,5.455,0.727,4.318,188.095
2011-05-13,182.174,6.522,4.042,4.208,0.167,34.458,188.696
2011-05-14,183.217,6.478,3.208,3.208,0.0,26.625,189.696
2011-05-15,183.304,7.652,4.0,4.042,0.042,23.833,190.957
2011-05-16,181.478,9.0,5.125,5.958,0.833,15.958,190.478
