date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,100.0,99.708,99.0,16.125,24.5,8.375,24.75,65.0,10.458,-22.0
2011-01-02,100.0,99.542,99.0,7.833,10.042,2.208,20.833,92.0,24.708,-31.0
2011-01-03,100.0,99.5,99.0,6.375,6.958,0.583,16.75,86.0,36.417,-21.0
2011-01-04,100.0,99.583,99.0,8.609,10.739,2.13,14.458,84.0,19.292,-39.0
2011-01-05,100.0,99.625,99.0,6.792,7.167,0.375,16.333,63.0,22.125,-8.0
2011-01-06,100.0,99.625,99.0,18.625,30.333,11.708,18.917,93.0,27.25,-36.0
2011-01-07,100.0,99.583,99.0,8.833,9.625,0.792,14.667,66.0,26.667,-8.0
2011-01-08,100.0,99.625,99.0,9.125,9.958,0.833,17.875,78.0,25.375,-13.0
2011-01-09,100.0,99.625,99.0,17.375,21.167,3.792,21.958,84.0,19.042,-36.0
2011-01-10,100.0,99.5,99.0,24.417,38.917,14.5,24.542,83.0,28.458,-37.0
2011-01-11,100.0,99.625,99.0,16.826,28.087,11.261,23.083,90.0,29.458,-2.0
2011-01-12,100.0,99.667,99.0,13.217,16.478,3.261,19.261,59.0,8.75,-35.0
2011-01-13,100.0,99.5,99.0,25.5,38.917,13.417,21.417,101.0,19.417,-50.0
2011-01-14,100.0,99.625,99.0,13.5,17.083,3.583,19.667,63.0,17.667,-30.0
2011-01-15,100.0,99.708,99.0,15.542,17.792,2.25,21.208,59.0,8.833,-41.0
2011-01-16,100.0,99.833,99.0,26.0,43.208,17.208,28.042,36.0,8.25,-26.0
2011-01-17,100.0,99.667,99.0,23.542,32.875,9.333,25.833,58.0,16.042,-18.0
2011-01-18,100.0,99.667,99.0,27.565,58.739,31.174,30.208,74.0,7.875,-52.0
2011-01-19,100.0,99.542,99.0,20.667,40.208,19.542,26.0,85.0,26.583,-40.0
2011-01-20,100.0,100.0,100.0,8.458,9.5,1.042,22.083,19.0,12.875,6.0
2011-01-21,100.0,100.0,100.0,9.292,10.167,0.875,16.417,22.0,14.792,9.0
2011-01-22,100.0,99.75,99.0,9.667,13.042,3.375,16.5,64.0,35.792,4.0
2011-01-23,100.0,99.75,99.0,17.0,41.042,24.042,26.208,62.0,19.417,-14.0
2011-01-24,100.0,99.792,99.0,20.609,27.0,6.391,19.435,48.0,3.125,-30.0
2011-01-25,100.0,99.625,99.0,19.565,30.043,10.478,24.0,76.0,12.083,-32.0
2011-01-26,100.0,99.708,99.0,19.25,30.917,11.667,18.792,43.0,-4.208,-40.0
2011-01-27,100.0,99.75,99.0,23.208,48.083,24.875,22.667,53.0,-11.375,-69.0
2011-01-28,100.0,99.667,99.0,14.0,19.583,5.583,19.292,46.0,-3.167,-39.0
2011-01-29,100.0,99.708,99.0,4.417,4.583,0.167,19.458,37.0,0.292,-23.0
2011-01-30,100.0,99.708,99.0,17.0,21.211,4.211,18.737,46.0,-0.708,-39.0
2011-01-31,100.0,99.625,99.0,21.042,40.833,19.792,22.125,69.0,-1.917,-69.0
2011-02-01,100.0,99.625,99.0,16.609,27.739,11.13,18.833,83.0,4.125,-54.0
2011-02-02,100.0,99.833,99.0,6.792,7.458,0.667,19.917,31.0,-3.083,-32.0
2011-02-03,100.0,99.708,99.0,21.917,32.667,10.75,19.333,55.0,-2.042,-53.0
2011-02-04,100.0,99.5,99.0,15.333,24.25,8.917,20.167,94.0,17.833,-58.0
2011-02-05,100.0,99.542,99.0,12.583,13.917,1.333,28.5,69.0,25.042,-28.0
2011-02-06,100.0,99.833,99.0,27.917,39.625,11.708,41.542,53.0,20.458,-27.0
2011-02-07,100.0,99.417,99.0,26.583,43.667,17.083,43.625,90.0,58.25,28.0
2011-02-08,100.0,99.375,99.0,11.957,14.435,2.478,14.833,78.0,44.208,-3.0
2011-02-09,100.0,99.583,99.0,10.565,11.957,1.391,14.217,61.0,13.292,-23.0
2011-02-10,100.0,99.5,99.0,20.167,28.583,8.417,20.0,83.0,24.083,-27.0
2011-02-11,100.0,99.5,99.0,10.042,11.083,1.042,16.958,68.0,21.125,-26.0
2011-02-12,100.0,99.583,99.0,10.083,11.0,0.917,18.917,66.0,13.458,-40.0
2011-02-13,100.0,99.458,99.0,22.375,30.458,8.083,24.375,64.0,18.417,-42.0
2011-02-14,100.0,99.75,99.0,28.792,41.375,12.583,40.0,50.0,24.583,3.0
2011-02-15,100.0,99.583,99.0,25.957,52.261,26.304,47.667,71.0,39.792,12.0
2011-02-16,100.0,99.875,99.0,20.458,24.458,4.0,28.792,27.0,9.042,-10.0
2011-02-17,100.0,99.667,99.0,16.208,22.125,5.917,24.875,78.0,11.875,-19.0
2011-02-18,100.0,99.75,99.0,7.667,8.083,0.417,17.458,38.0,-2.833,-29.0
2011-02-19,100.0,99.583,99.0,13.667,15.833,2.167,18.833,67.0,2.583,-68.0
2011-02-20,100.0,99.458,99.0,21.542,31.458,9.917,19.875,90.0,22.042,-50.0
2011-02-21,100.0,99.333,99.0,21.833,33.708,11.875,25.208,130.0,48.25,-32.0
2011-02-22,100.0,99.167,99.0,15.304,17.478,2.174,30.833,93.0,50.292,11.0
2011-02-23,100.0,99.083,99.0,19.783,23.783,4.0,32.261,94.0,56.833,30.0
2011-02-24,99.0,99.0,99.0,9.292,9.667,0.375,33.0,139.0,89.417,46.0
2011-02-25,100.0,99.417,99.0,10.792,11.708,0.917,20.167,50.0,30.083,8.0
2011-02-26,100.0,99.5,99.0,12.083,14.333,2.25,19.708,74.0,33.583,1.0
2011-02-27,100.0,99.5,99.0,5.292,5.625,0.333,16.875,63.0,22.875,-13.0
2011-02-28,100.0,99.542,99.0,18.458,25.083,6.625,21.75,44.0,4.875,-46.0
2011-03-01,100.0,99.333,99.0,25.667,38.833,13.167,27.208,100.0,51.833,-9.0
2011-03-02,100.0,99.333,99.0,17.5,24.25,6.75,23.625,57.0,40.0,21.0
2011-03-03,100.0,99.333,99.0,8.708,9.5,0.792,20.792,103.0,52.042,19.0
2011-03-04,100.0,99.042,99.0,6.375,6.667,0.292,21.0,61.0,34.125,4.0
2011-03-05,100.0,99.458,99.0,20.708,24.417,3.708,23.708,70.0,30.625,-5.0
2011-03-06,99.0,99.0,99.0,21.542,31.375,9.833,41.375,138.0,90.292,45.0
2011-03-07,99.0,99.0,99.0,15.391,17.565,2.174,29.458,144.0,108.25,79.0
2011-03-08,99.0,99.0,99.0,15.583,16.583,1.0,29.333,96.0,78.625,61.0
2011-03-09,99.0,99.0,99.0,14.13,15.522,1.391,24.391,79.0,49.958,30.0
2011-03-10,100.0,99.208,99.0,6.417,6.833,0.417,17.208,68.0,38.417,13.0
2011-03-11,99.0,99.0,99.0,7.083,7.5,0.417,18.208,80.0,42.25,18.0
2011-03-12,100.0,99.042,99.0,7.958,9.042,1.083,18.583,93.0,39.625,-2.0
2011-03-13,99.0,99.0,99.0,7.292,7.708,0.417,15.458,88.0,43.5,1.0
2011-03-14,99.0,99.0,99.0,17.826,20.913,3.087,20.042,94.0,43.958,-6.0
2011-03-15,99.0,99.0,99.0,15.458,22.792,7.333,24.958,108.0,43.208,-9.0
2011-03-16,100.0,99.167,99.0,18.5,22.875,4.375,25.125,100.0,41.458,-26.0
2011-03-17,99.0,99.0,99.0,26.25,31.458,5.208,37.75,67.0,48.125,31.0
2011-03-18,99.0,99.0,99.0,14.5,21.208,6.708,29.583,98.0,67.708,31.0
2011-03-19,99.0,99.0,99.0,8.083,8.417,0.333,21.958,94.0,66.375,30.0
2011-03-20,99.0,99.0,99.0,12.458,13.25,0.792,26.5,118.0,60.5,8.0
2011-03-21,99.0,99.0,99.0,5.13,5.13,0.0,18.5,93.0,54.125,19.0
2011-03-22,100.0,99.125,99.0,29.958,43.042,13.083,37.125,119.0,53.875,-21.0
2011-03-23,99.0,99.0,99.0,26.458,37.917,11.458,48.792,101.0,60.792,29.0
2011-03-24,99.0,99.0,99.0,9.458,10.542,1.083,18.917,139.0,67.292,34.0
2011-03-25,99.0,99.0,99.0,9.792,10.667,0.875,16.0,128.0,65.417,8.0
2011-03-26,100.0,99.083,99.0,14.609,18.304,3.696,16.478,100.0,50.375,-15.0
2011-03-27,100.0,99.083,99.0,20.625,22.083,1.458,21.25,138.0,70.0,2.0
2011-03-28,99.0,99.0,99.0,13.826,19.783,5.957,28.0,165.0,80.875,13.0
2011-03-29,99.0,99.0,99.0,17.542,20.708,3.167,25.417,167.0,89.667,3.0
2011-03-30,99.0,99.0,99.0,22.208,31.417,9.208,28.667,195.0,115.458,48.0
2011-03-31,99.0,99.0,99.0,5.5,5.667,0.167,25.042,177.0,123.958,54.0
2011-04-01,99.0,64.208,23.0,21.75,25.667,3.917,21.333,160.0,82.083,3.0
2011-04-02,99.0,63.583,25.0,16.417,19.208,2.792,29.333,185.0,102.167,32.0
2011-04-03,93.0,59.417,48.0,8.583,9.042,0.458,23.417,82.0,61.625,25.0
2011-04-04,99.0,52.5,26.0,11.917,14.333,2.417,18.708,125.0,64.958,15.0
2011-04-05,89.0,50.917,23.0,18.042,21.958,3.917,21.625,168.0,81.042,-13.0
2011-04-06,92.0,67.0,24.0,23.13,26.0,2.87,26.542,202.0,112.333,21.0
2011-04-07,,,,22.958,25.625,2.667,27.958,199.0,125.125,50.0
2011-04-08,,,,19.333,23.375,4.042,28.083,194.0,141.125,63.0
