date,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,7.375,8.042,0.667,19.75
2011-01-02,3.957,4.087,0.13,16.833
2011-01-03,5.625,6.0,0.375,13.792
2011-01-04,8.348,9.348,1.0,16.792
2011-01-05,14.625,18.333,3.708,18.042
2011-01-06,18.348,29.913,11.565,19.958
2011-01-07,17.417,28.542,11.125,17.542
2011-01-08,11.304,16.826,5.522,17.625
2011-01-09,13.625,21.417,7.792,19.625
2011-01-10,21.522,37.304,15.783,24.792
2011-01-11,19.0,32.5,13.5,18.409
2011-01-12,14.125,19.125,5.0,16.458
2011-01-13,25.708,55.875,30.167,27.333
2011-01-14,10.0,13.958,3.958,18.042
2011-01-15,12.542,15.417,2.875,22.042
2011-01-16,13.25,16.917,3.667,20.167
2011-01-17,14.75,19.208,4.458,18.083
2011-01-18,27.739,53.043,25.304,28.25
2011-01-19,17.667,30.833,13.167,29.208
2011-01-20,19.875,24.625,4.75,23.792
2011-01-21,17.75,23.375,5.625,14.792
2011-01-22,11.125,14.292,3.167,15.667
2011-01-23,11.75,24.25,12.5,17.042
2011-01-24,13.5,16.833,3.333,18.667
2011-01-25,17.217,35.261,18.043,23.083
2011-01-26,14.958,22.0,7.042,21.375
2011-01-27,18.583,32.0,13.417,25.208
2011-01-28,16.083,22.958,6.875,25.958
2011-01-29,11.375,15.875,4.5,21.875
2011-01-30,16.042,25.875,9.833,24.917
2011-01-31,15.917,30.208,14.292,23.167
2011-02-01,18.087,28.13,10.043,23.958
2011-02-02,8.0,8.833,0.833,17.25
2011-02-03,20.042,30.833,10.792,26.917
2011-02-04,15.583,32.042,16.458,32.292
2011-02-05,13.542,19.417,5.875,27.875
2011-02-06,21.208,27.833,6.625,33.208
2011-02-07,17.5,26.833,9.333,28.917
2011-02-08,9.739,12.13,2.391,15.875
2011-02-09,15.875,25.458,9.583,17.318
2011-02-10,17.458,26.375,8.917,17.208
2011-02-11,10.417,13.417,3.0,16.167
2011-02-12,15.458,21.042,5.583,18.958
2011-02-13,19.75,39.375,19.625,21.958
2011-02-14,23.417,34.208,10.792,32.667
2011-02-15,16.826,31.957,15.13,31.667
2011-02-16,12.125,13.875,1.75,20.083
2011-02-17,8.542,9.667,1.125,19.167
2011-02-18,12.625,15.042,2.417,17.583
2011-02-19,11.667,16.083,4.417,18.25
2011-02-20,20.333,31.458,11.125,22.5
2011-02-21,18.417,27.083,8.667,22.125
2011-02-22,10.652,12.261,1.609,27.958
2011-02-23,22.87,28.652,5.783,32.0
2011-02-24,12.417,15.875,3.458,23.292
2011-02-25,13.75,17.75,4.0,20.417
2011-02-26,12.625,15.542,2.917,15.708
2011-02-27,12.667,18.458,5.792,15.792
2011-02-28,12.583,18.708,6.125,19.917
2011-03-01,20.667,30.75,10.083,21.875
2011-03-02,20.875,29.75,8.875,21.875
2011-03-03,9.958,12.208,2.25,18.875
2011-03-04,3.958,4.125,0.167,19.708
2011-03-05,18.5,23.208,4.708,17.833
2011-03-06,12.625,18.75,6.125,20.708
2011-03-07,9.652,11.739,2.087,21.625
2011-03-08,9.458,11.083,1.625,25.318
2011-03-09,20.667,26.25,5.583,19.625
2011-03-10,10.833,13.208,2.375,13.792
2011-03-11,8.833,12.042,3.208,18.0
2011-03-12,9.375,12.208,2.833,14.917
2011-03-13,8.958,12.042,3.083,12.125
2011-03-14,12.0,13.522,1.522,18.083
2011-03-15,17.0,25.042,8.042,22.208
2011-03-16,13.167,16.333,3.167,24.75
2011-03-17,18.833,23.75,4.917,31.208
2011-03-18,12.833,19.042,6.208,25.375
2011-03-19,9.042,10.417,1.375,17.25
2011-03-20,12.333,15.792,3.458,22.167
2011-03-21,12.174,12.696,0.522,16.208
2011-03-22,28.409,37.364,8.955,40.182
2011-03-23,18.833,27.375,8.542,43.625
2011-03-24,10.042,10.792,0.75,16.542
2011-03-25,8.958,10.167,1.208,14.708
2011-03-26,14.167,19.333,5.167,17.708
2011-03-27,13.708,15.5,1.792,21.667
2011-03-28,23.304,33.087,9.783,28.583
2011-03-29,15.167,17.083,1.917,22.375
2011-03-30,17.917,23.792,5.875,29.708
2011-03-31,9.5,10.167,0.667,39.292
2011-04-01,30.125,31.958,1.833,20.292
2011-04-02,24.333,25.375,1.042,30.417
2011-04-03,8.375,8.375,0.0,17.958
2011-04-04,10.913,11.043,0.13,15.667
2011-04-05,22.792,24.0,1.208,20.792
2011-04-06,29.042,30.167,1.125,27.0
2011-04-07,40.958,42.583,1.625,34.292
2011-04-08,33.167,36.125,2.958,26.542
2011-04-09,15.625,15.625,0.0,18.875
2011-04-10,7.125,7.125,0.0,21.542
2011-04-11,16.696,17.565,0.87,27.682
2011-04-12,7.5,7.958,0.458,19.792
2011-04-13,30.708,32.583,1.875,29.042
2011-04-14,25.25,26.125,0.875,33.208
2011-04-15,31.083,32.333,1.25,37.875
2011-04-16,11.5,12.875,1.375,23.208
2011-04-17,4.458,4.75,0.292,17.542
2011-04-18,11.304,11.478,0.174,22.667
2011-04-19,14.458,14.458,0.0,15.792
2011-04-20,15.125,15.25,0.125,12.25
2011-04-21,13.375,13.875,0.5,22.083
2011-04-22,23.792,24.417,0.625,33.625
2011-04-23,9.208,9.208,0.0,18.708
2011-04-24,6.042,6.042,0.0,16.5
2011-04-25,18.0,18.905,0.905,21.227
2011-04-26,29.375,30.625,1.25,24.417
2011-04-27,20.875,22.0,1.125,41.583
2011-04-28,10.833,11.042,0.208,21.833
2011-04-29,5.958,5.958,0.0,18.125
2011-04-30,21.417,22.292,0.875,32.792
2011-05-01,16.875,17.667,0.792,34.417
2011-05-02,10.87,10.957,0.087,77.708
2011-05-03,8.875,8.875,0.0,44.042
2011-05-04,9.25,9.375,0.125,28.75
2011-05-05,8.0,8.0,0.0,22.917
2011-05-06,8.333,8.375,0.042,21.792
2011-05-07,17.042,17.25,0.208,24.042
2011-05-08,12.833,13.375,0.542,25.125
2011-05-09,17.87,18.174,0.304,23.958
2011-05-10,30.583,32.25,1.667,43.458
2011-05-11,15.125,15.167,0.042,22.083
2011-05-12,20.304,21.261,0.957,19.174
2011-05-13,16.917,18.292,1.375,42.042
2011-05-14,15.875,17.042,1.167,52.333
2011-05-15,10.458,10.625,0.167,24.042
2011-05-16,21.565,22.565,1.0,35.375
2011-05-17,14.125,14.333,0.208,39.792
2011-05-18,16.333,17.208,0.875,34.917
2011-05-19,24.708,25.417,0.708,38.125
2011-05-20,27.958,29.292,1.333,47.875
2011-05-21,20.042,21.292,1.25,54.875
2011-05-22,9.792,10.25,0.458,41.875
2011-05-23,12.261,12.957,0.696,18.333
2011-05-24,18.375,18.875,0.5,15.75
2011-05-25,21.292,22.333,1.042,32.125
2011-05-26,11.391,11.652,0.261,26.5
2011-05-27,13.333,13.958,0.625,26.833
2011-05-28,13.667,14.583,0.917,21.5
2011-05-29,9.5,10.125,0.625,15.792
2011-05-30,16.957,20.478,3.522,14.417
2011-05-31,20.208,24.167,3.958,20.458
2011-06-01,8.375,8.833,0.458,34.5
2011-06-02,30.083,32.125,2.042,31.833
2011-06-03,24.083,27.417,3.333,33.167
2011-06-04,16.792,17.5,0.708,45.792
2011-06-05,20.417,22.708,2.292,60.542
2011-06-06,16.957,18.435,1.478,45.167
2011-06-07,24.417,26.708,2.292,47.417
2011-06-08,20.958,22.292,1.333,29.5
2011-06-09,13.952,14.286,0.333,30.714
2011-06-10,18.625,19.0,0.375,46.083
2011-06-11,13.917,14.5,0.583,43.417
2011-06-12,11.0,12.083,1.083,47.125
2011-06-13,13.13,13.87,0.739,38.708
2011-06-14,6.875,6.875,0.0,20.833
2011-06-15,11.458,12.208,0.75,17.292
2011-06-16,14.625,17.833,3.208,24.5
2011-06-17,10.625,11.25,0.625,16.833
2011-06-18,8.958,9.083,0.125,26.292
2011-06-19,11.917,13.625,1.708,28.625
2011-06-20,21.783,22.261,0.478,46.125
2011-06-21,33.792,38.625,4.833,51.208
2011-06-22,27.417,29.708,2.292,48.042
2011-06-23,30.375,31.5,1.125,75.583
2011-06-24,25.042,27.917,2.875,32.333
2011-06-25,9.208,9.25,0.042,15.75
2011-06-26,5.542,5.542,0.0,17.167
2011-06-27,11.478,12.174,0.696,22.75
2011-06-28,15.833,17.542,1.708,39.042
2011-06-29,18.042,21.75,3.708,29.75
2011-06-30,21.75,23.583,1.833,36.667
