date,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,19.042,27.958,8.917,14.958
2011-01-02,16.0,24.043,8.043,9.625
2011-01-03,14.458,21.0,6.542,1.458
2011-01-04,20.792,36.25,15.458,5.458
2011-01-05,22.708,42.667,19.958,1.625
2011-01-06,40.917,101.625,60.708,10.0
2011-01-07,21.208,39.25,18.042,2.208
2011-01-08,15.917,25.125,9.208,1.167
2011-01-09,27.087,56.261,29.174,16.042
2011-01-10,32.333,58.917,26.583,16.625
2011-01-11,28.375,74.75,46.375,15.5
2011-01-12,34.333,80.583,46.25,4.333
2011-01-13,40.833,114.417,73.583,13.542
2011-01-14,25.667,54.333,28.667,4.917
2011-01-15,21.625,36.042,14.417,10.375
2011-01-16,23.565,40.174,16.609,16.583
2011-01-17,25.958,37.542,11.583,13.667
2011-01-18,42.708,103.125,60.417,23.417
2011-01-19,25.375,70.958,45.583,22.292
2011-01-20,28.783,60.13,31.348,14.565
2011-01-21,26.75,53.25,26.5,10.875
2011-01-22,18.833,40.958,22.125,7.042
2011-01-23,24.826,82.826,58.0,14.542
2011-01-24,34.583,76.458,41.875,9.042
2011-01-25,34.25,96.542,62.292,14.333
2011-01-26,30.417,65.25,34.833,9.625
2011-01-27,36.0,106.826,70.826,14.292
2011-01-28,24.792,55.667,30.875,11.042
2011-01-29,13.75,19.667,5.917,3.667
2011-01-30,31.304,76.565,45.261,7.458
2011-01-31,35.083,82.708,47.625,11.333
2011-02-01,33.25,85.417,52.167,11.542
2011-02-02,26.792,59.625,32.833,4.25
2011-02-03,38.875,100.167,61.292,10.583
2011-02-04,28.958,71.833,42.875,14.542
2011-02-05,18.542,25.583,7.042,12.875
2011-02-06,42.0,105.13,63.13,45.333
2011-02-07,32.417,65.0,32.583,36.042
2011-02-08,28.042,55.083,27.042,3.167
2011-02-09,23.708,50.958,27.25,4.6
2011-02-10,36.833,90.417,53.583,16.0
2011-02-11,21.708,38.083,16.375,6.042
