date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean
2011-01-01,25.75,32.75,7.0,2.667,29.708
2011-01-02,14.292,18.208,3.917,0.75,20.75
2011-01-03,9.083,10.667,1.583,0.0,3.083
2011-01-04,19.292,27.917,8.625,1.625,10.375
2011-01-05,11.909,13.5,1.591,0.682,4.667
2011-01-06,26.25,40.167,13.917,1.333,12.542
2011-01-07,22.708,43.25,20.542,0.458,14.958
2011-01-08,16.875,21.708,4.833,0.375,8.833
2011-01-09,23.833,31.875,8.042,1.125,20.833
2011-01-10,22.292,33.917,11.625,1.208,17.625
2011-01-11,20.042,32.417,12.375,1.042,16.083
2011-01-12,18.458,27.167,8.708,0.5,11.625
2011-01-13,38.625,89.667,51.042,4.292,25.458
2011-01-14,22.875,37.125,14.25,0.875,4.917
2011-01-15,21.0,30.542,9.542,0.917,16.5
2011-01-16,15.542,17.583,2.042,0.375,12.75
2011-01-17,16.364,25.818,9.455,0.714,11.739
2011-01-18,29.583,53.083,23.5,1.0,22.417
2011-01-19,22.167,38.958,16.792,2.167,26.833
2011-01-20,9.125,10.0,0.875,0.792,16.458
2011-01-21,13.958,15.708,1.75,0.25,9.5
2011-01-22,14.375,18.042,3.667,0.125,10.208
2011-01-23,19.667,44.333,24.667,0.5,11.125
2011-01-24,20.792,29.167,8.375,0.625,5.583
2011-01-25,31.0,62.458,31.458,2.708,18.042
2011-01-26,24.458,34.208,9.75,1.042,12.458
2011-01-27,26.583,53.917,27.333,1.417,17.875
2011-01-28,18.167,23.083,4.917,1.208,11.667
2011-01-29,7.042,7.667,0.625,1.0,6.333
2011-01-30,18.125,28.0,9.875,1.0,7.375
2011-01-31,33.5,66.667,33.167,3.958,16.667
2011-02-01,17.042,20.5,3.458,3.208,9.292
2011-02-02,14.091,16.5,2.409,1.136,9.208
2011-02-03,27.458,43.125,15.667,1.708,10.167
2011-02-04,34.667,66.667,32.0,4.667,19.375
2011-02-05,14.75,16.75,2.0,1.458,18.417
2011-02-06,33.125,49.083,15.958,0.75,35.417
2011-02-07,24.167,36.083,11.917,0.25,38.542
2011-02-08,18.042,21.083,3.042,0.625,7.75
2011-02-09,23.167,30.208,7.042,1.083,5.25
2011-02-10,29.5,47.375,17.875,2.625,15.667
2011-02-11,16.083,21.458,5.375,0.542,12.167
2011-02-12,15.792,18.333,2.542,0.75,10.917
2011-02-13,23.833,30.667,6.833,0.917,16.333
2011-02-14,28.167,34.458,6.292,0.458,34.375
2011-02-15,29.391,42.087,12.696,1.0,34.87
2011-02-16,11.333,12.417,1.083,0.25,17.0
2011-02-17,17.0,20.417,3.417,1.0,20.917
2011-02-18,10.25,11.917,1.667,0.625,8.208
2011-02-19,16.417,19.625,3.208,0.833,7.792
2011-02-20,23.25,35.417,12.167,1.125,16.083
2011-02-21,33.208,56.292,23.083,1.667,18.208
2011-02-22,13.542,14.583,1.042,2.0,24.167
2011-02-23,35.375,60.708,25.333,1.75,31.833
2011-02-24,12.458,13.25,0.792,2.75,24.875
2011-02-25,14.875,16.25,1.375,0.375,12.583
2011-02-26,10.375,11.0,0.625,0.292,6.042
2011-02-27,10.208,11.292,1.083,0.25,7.208
2011-02-28,8.783,9.739,0.957,0.478,7.167
2011-03-01,21.875,27.167,5.292,0.25,18.083
2011-03-02,16.542,19.375,2.833,0.792,15.0
2011-03-03,8.583,9.417,0.833,0.792,10.958
2011-03-04,7.958,8.667,0.708,0.917,16.333
2011-03-05,25.875,32.625,6.75,0.5,13.417
2011-03-06,21.958,32.208,10.25,0.5,25.75
2011-03-07,11.083,12.917,1.833,0.458,27.917
2011-03-08,8.708,9.5,0.792,0.458,19.0
2011-03-09,8.875,9.917,1.042,0.0,7.75
2011-03-10,6.667,7.583,0.917,0.0,5.25
2011-03-11,9.125,10.25,1.125,0.75,11.042
2011-03-12,13.625,16.042,2.417,1.167,9.875
2011-03-13,13.292,14.792,1.5,0.083,2.167
2011-03-14,15.773,17.682,1.909,0.955,11.909
2011-03-15,20.208,30.333,10.125,0.708,18.833
2011-03-16,19.042,24.583,5.542,0.667,17.167
2011-03-17,24.292,39.917,15.625,0.667,24.5
2011-03-18,21.875,28.708,6.833,0.833,32.333
2011-03-19,15.083,16.958,1.875,0.042,11.417
2011-03-20,17.917,20.667,2.75,1.125,11.375
2011-03-21,18.167,20.167,2.0,0.208,13.583
2011-03-22,43.958,62.708,18.75,6.167,32.75
2011-03-23,31.583,54.625,23.042,0.708,52.292
2011-03-24,17.917,25.542,7.625,0.0,8.458
2011-03-25,16.167,21.333,5.167,1.25,5.208
2011-03-26,17.542,20.833,3.292,0.542,9.958
2011-03-27,21.375,28.542,7.167,2.125,15.25
2011-03-28,27.957,37.391,9.435,4.455,27.917
2011-03-29,12.5,14.083,1.583,2.5,13.417
2011-03-30,9.375,9.958,0.583,1.292,16.792
2011-03-31,5.958,6.292,0.333,0.125,12.5
2011-04-01,12.875,14.167,1.292,2.083,12.708
2011-04-02,19.167,20.917,1.75,4.958,29.375
2011-04-03,8.25,8.625,0.375,0.333,13.458
2011-04-04,12.833,14.208,1.375,0.417,10.0
2011-04-05,10.292,11.0,0.708,0.458,9.5
2011-04-06,21.792,29.917,8.125,4.375,22.125
2011-04-07,9.875,10.542,0.667,1.5,18.292
2011-04-08,5.5,5.833,0.333,0.542,16.5
2011-04-09,5.583,5.667,0.083,0.458,15.458
2011-04-10,4.958,5.208,0.25,0.75,11.625
2011-04-11,14.833,16.458,1.625,3.792,28.0
2011-04-12,8.364,9.136,0.773,0.182,10.087
2011-04-13,17.5,21.958,4.458,4.25,20.25
2011-04-14,21.917,24.583,2.667,6.958,29.667
2011-04-15,8.0,8.458,0.458,2.292,25.833
2011-04-16,9.75,10.625,0.875,3.458,15.167
2011-04-17,5.833,6.083,0.25,0.667,11.583
2011-04-18,5.917,6.125,0.208,0.292,7.667
2011-04-19,12.125,14.167,2.042,1.042,15.208
2011-04-20,8.75,10.792,2.042,0.292,3.667
2011-04-21,8.458,9.042,0.583,0.125,6.125
2011-04-22,14.417,16.667,2.25,2.292,27.25
2011-04-23,1.875,1.875,0.0,0.25,16.167
2011-04-24,5.667,5.917,0.25,0.75,11.042
2011-04-25,13.625,14.833,1.208,1.542,13.833
2011-04-26,14.167,18.083,3.917,1.667,13.5
2011-04-27,3.696,3.957,0.261,1.043,31.0
2011-04-28,9.5,10.417,0.917,1.375,14.542
2011-04-29,7.167,7.708,0.542,0.042,8.958
2011-04-30,8.875,9.75,0.875,1.167,18.208
2011-05-01,6.708,6.833,0.125,1.25,22.625
2011-05-02,12.917,13.917,1.0,2.292,68.833
2011-05-03,7.292,7.75,0.458,0.25,33.958
2011-05-04,5.5,5.833,0.333,1.208,20.125
2011-05-05,5.167,5.667,0.5,0.958,12.167
2011-05-06,7.875,8.583,0.708,0.667,13.667
2011-05-07,7.875,8.375,0.5,0.0,20.0
2011-05-08,17.25,19.25,2.0,5.0,36.625
2011-05-09,7.833,9.042,1.208,0.875,24.417
2011-05-10,14.167,15.75,1.583,2.208,38.458
2011-05-11,6.292,6.917,0.625,0.0,12.5
2011-05-12,9.913,10.696,0.783,0.0,12.826
2011-05-13,14.0,16.0,2.0,1.25,24.542
2011-05-14,10.458,11.0,0.542,1.625,48.208
2011-05-15,9.708,10.542,0.833,2.417,21.333
2011-05-16,4.125,4.25,0.125,1.583,23.167
2011-05-17,9.25,9.542,0.292,1.333,21.917
2011-05-18,12.708,14.583,1.875,1.0,41.25
2011-05-19,11.333,12.417,1.083,2.875,31.167
2011-05-20,13.167,14.0,0.833,3.417,34.75
2011-05-21,8.125,8.667,0.542,1.625,18.792
2011-05-22,4.917,5.583,0.667,0.375,12.917
2011-05-23,7.75,8.333,0.583,0.0,11.583
2011-05-24,12.0,12.909,0.909,0.0,8.375
2011-05-25,15.708,19.542,3.833,3.5,18.208
2011-05-26,8.042,8.583,0.542,0.417,18.667
2011-05-27,7.208,7.583,0.375,0.0,13.333
2011-05-28,7.833,8.208,0.375,0.0,8.625
2011-05-29,5.708,6.083,0.375,0.0,4.917
2011-05-30,4.583,5.208,0.625,0.0,4.792
2011-05-31,3.958,4.667,0.708,0.0,17.417
2011-06-01,5.333,5.875,0.542,0.292,30.167
2011-06-02,10.542,14.333,3.792,0.125,24.25
2011-06-03,20.208,22.667,2.458,2.792,30.833
2011-06-04,11.417,13.292,1.875,3.083,31.458
2011-06-05,9.792,10.208,0.417,3.375,29.792
2011-06-06,10.708,11.458,0.75,0.875,22.625
2011-06-07,8.636,8.955,0.318,2.864,29.435
2011-06-08,10.5,11.083,0.583,0.042,14.083
2011-06-09,8.25,9.167,0.917,0.125,16.542
2011-06-10,6.083,6.625,0.542,0.5,12.667
2011-06-11,9.167,10.208,1.042,0.292,25.542
2011-06-12,6.208,6.667,0.458,0.25,23.333
2011-06-13,8.75,9.292,0.542,0.083,16.167
