date,CO_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,4.667,28.125,39.292,11.167,23.083
2011-01-02,3.417,19.042,27.208,8.167,15.583
2011-01-03,2.625,14.826,19.826,5.0,3.417
2011-01-04,3.75,26.167,41.917,15.75,10.417
2011-01-05,2.833,28.208,48.5,20.292,5.125
2011-01-06,3.958,34.917,59.458,24.542,13.625
2011-01-07,2.875,25.458,43.958,18.5,7.25
2011-01-08,2.708,17.917,23.0,5.083,5.25
2011-01-09,4.167,31.417,52.583,21.167,19.5
2011-01-10,3.75,31.217,61.174,29.957,18.292
2011-01-11,3.375,30.708,59.833,29.125,18.667
2011-01-12,2.75,28.917,48.625,19.708,9.042
2011-01-13,5.042,46.526,103.737,57.211,19.125
2011-01-14,4.083,38.208,83.458,45.25,11.208
2011-01-15,4.875,35.292,61.542,26.25,17.208
2011-01-16,4.118,46.083,91.0,44.917,20.833
2011-01-17,3.217,32.773,53.727,20.955,11.826
2011-01-18,6.522,55.136,131.955,76.818,31.083
2011-01-19,4.792,36.5,78.273,41.773,30.208
2011-01-20,3.125,22.583,34.583,12.0,23.25
2011-01-21,2.958,20.417,29.0,8.583,11.875
2011-01-22,4.292,20.75,40.083,19.333,11.417
2011-01-23,7.875,40.167,146.042,105.875,24.833
2011-01-24,3.667,32.565,56.522,23.957,6.455
2011-01-25,5.913,41.609,99.348,57.739,
2011-01-26,4.375,33.708,62.708,29.0,10.5
2011-01-27,6.083,40.542,109.5,68.958,17.708
2011-01-28,4.583,30.458,54.0,23.542,15.583
2011-01-29,3.083,11.542,14.208,2.667,6.708
2011-01-30,3.875,31.0,54.375,23.375,6.938
2011-02-01,4.174,35.917,79.708,43.792,15.208
2011-02-02,3.167,24.0,35.375,11.375,5.958
2011-02-03,5.542,38.917,86.833,47.917,12.917
2011-02-04,7.042,40.333,113.792,73.458,17.875
2011-02-05,4.458,21.083,25.042,3.958,16.958
2011-02-06,5.75,43.958,85.5,41.542,52.125
2011-02-07,6.0,39.739,95.043,55.304,54.333
2011-02-08,3.391,28.458,52.667,24.208,9.042
2011-02-09,2.958,30.292,51.167,20.875,6.5
2011-02-10,4.5,37.083,70.417,33.333,15.25
2011-02-11,3.167,20.417,30.792,10.375,11.125
2011-02-12,3.125,17.708,21.0,3.292,8.958
2011-02-13,3.667,35.0,53.667,18.667,21.087
2011-02-14,4.833,39.957,78.522,38.565,46.958
2011-02-15,5.348,37.167,80.542,43.375,45.292
2011-02-16,2.833,21.833,30.333,8.5,15.625
2011-02-17,3.583,28.458,50.75,22.292,27.583
2011-02-18,2.583,18.5,25.375,6.875,7.708
2011-02-19,3.458,20.5,26.208,5.708,9.792
2011-02-20,4.625,33.542,63.542,30.0,14.792
2011-02-21,4.958,44.0,79.957,35.957,22.458
2011-02-22,3.435,25.5,35.208,9.708,24.375
2011-02-23,5.292,42.0,85.458,43.458,48.208
2011-02-24,3.875,20.708,25.25,4.542,24.5
2011-02-25,3.625,26.125,34.958,8.833,18.167
2011-02-26,2.667,12.875,13.75,0.875,7.083
2011-02-27,2.333,19.333,25.708,6.375,7.25
