date,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,20.333,30.792,10.458,25.958
2011-01-02,11.958,20.583,8.625,18.542
2011-01-03,8.348,9.087,0.739,7.042
2011-01-04,17.292,24.542,7.25,12.125
2011-01-05,9.0,9.292,0.292,8.542
2011-01-06,26.625,48.208,21.583,15.958
2011-01-07,18.958,33.917,14.958,11.792
2011-01-08,13.792,17.708,3.917,11.375
2011-01-09,22.792,28.875,6.083,20.375
2011-01-10,26.261,48.609,22.348,23.25
2011-01-11,19.542,29.667,10.125,16.174
2011-01-12,19.5,37.333,17.833,15.667
2011-01-13,34.708,76.917,42.208,22.542
2011-01-14,23.708,52.958,29.25,15.292
2011-01-15,23.583,35.75,12.167,25.708
2011-01-16,26.958,66.5,39.542,26.0
2011-01-17,17.435,27.522,10.087,16.25
2011-01-18,32.5,74.542,42.042,30.625
2011-01-19,22.292,53.0,30.708,25.375
2011-01-20,10.708,12.042,1.333,17.333
2011-01-21,10.917,13.083,2.167,11.292
2011-01-22,11.042,15.625,4.583,11.875
2011-01-23,19.0,48.875,29.875,16.75
2011-01-24,22.783,41.304,18.522,14.792
2011-01-25,26.333,55.917,29.583,22.167
2011-01-26,21.25,36.25,15.0,17.125
2011-01-27,25.125,57.792,32.667,17.125
2011-01-28,19.625,40.25,20.625,20.042
2011-01-29,5.083,6.292,1.208,10.125
2011-01-30,19.292,38.917,19.625,13.833
2011-01-31,29.304,59.783,30.478,18.75
2011-02-01,23.167,54.458,31.292,19.208
2011-02-02,9.6,10.933,1.333,11.867
2011-02-03,25.917,61.083,35.167,15.583
2011-02-04,32.042,73.167,41.125,22.5
2011-02-05,12.042,14.25,2.208,18.5
2011-02-06,35.75,62.667,26.917,35.5
2011-02-07,26.783,43.0,16.217,
2011-02-08,14.083,17.0,2.917,9.583
2011-02-09,15.083,18.0,2.917,9.5
2011-02-10,23.125,37.333,14.208,19.833
2011-02-11,15.833,25.208,9.375,18.708
2011-02-12,12.75,14.667,1.917,14.0
2011-02-13,25.75,42.5,16.75,23.125
2011-02-14,31.391,45.043,13.652,48.333
2011-02-15,28.5,44.542,16.042,49.917
2011-02-16,14.792,16.708,1.917,19.583
2011-02-17,16.0,23.667,7.667,27.292
2011-02-18,9.875,11.667,1.792,11.125
2011-02-19,16.917,21.917,5.0,15.125
2011-02-20,26.652,43.783,17.13,22.957
2011-02-21,29.348,49.043,19.696,26.125
2011-02-22,13.333,14.542,1.208,24.875
2011-02-23,28.125,40.75,12.625,40.792
2011-02-24,9.417,10.125,0.708,26.875
2011-02-25,11.0,12.167,1.167,16.875
2011-02-26,6.458,7.25,0.792,10.625
2011-02-27,8.917,9.958,1.042,10.583
2011-02-28,9.652,10.565,0.913,11.125
