date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,201.208,90.0,76.625,56.0,15.833,13.625,18.083,4.458,0.0,2.208,22.833,99.0,37.542,-10.0,217.042
2011-01-02,197.292,91.0,66.75,39.0,12.208,11.0,15.5,4.5,0.0,2.458,17.5,97.0,50.708,14.0,209.5
2011-01-03,189.25,74.0,43.833,25.0,5.0,5.958,7.167,1.208,0.0,1.542,4.333,98.0,51.25,5.0,194.25
2011-01-04,199.043,86.0,59.583,40.0,8.522,9.125,13.167,4.042,0.0,2.565,8.083,106.0,35.708,-42.0,207.565
2011-01-05,195.417,80.0,49.167,23.0,6.875,9.458,12.625,3.167,0.0,1.667,3.042,88.0,21.958,-39.0,202.292
2011-01-06,197.708,84.0,66.292,36.0,11.75,16.667,24.917,8.25,0.0,1.875,9.125,106.0,16.625,-34.0,209.458
2011-01-07,198.042,89.0,56.417,28.0,9.958,12.667,18.292,5.625,0.0,1.458,6.542,84.0,20.042,-32.0,208.0
2011-01-08,197.833,77.0,57.0,28.0,7.875,8.708,11.625,2.917,0.0,1.25,8.708,94.0,20.292,-37.0,205.708
2011-01-09,202.708,89.0,69.542,43.0,15.5,17.333,24.667,7.333,0.0,2.208,22.583,105.0,30.5,-15.0,218.208
2011-01-10,201.708,94.0,75.417,42.0,9.917,11.042,19.125,8.083,0.0,0.75,17.083,111.0,30.458,-33.0,211.625
2011-01-11,196.478,95.0,76.667,45.0,10.783,12.167,22.917,10.75,0.0,1.913,16.417,96.0,33.042,-8.0,207.261
2011-01-12,194.318,73.0,47.833,32.0,9.636,15.565,20.591,5.0,0.0,2.348,6.696,60.0,15.75,-15.0,203.955
2011-01-13,199.292,87.0,67.542,39.0,15.708,17.792,29.917,12.125,0.0,1.958,18.375,111.0,25.542,-36.0,215.0
2011-01-14,196.875,85.0,56.875,34.0,9.958,14.167,19.25,5.083,0.0,1.958,11.125,75.0,16.917,-41.0,206.833
2011-01-15,202.625,84.0,63.542,36.0,9.25,9.042,11.458,2.417,0.0,0.875,17.458,60.0,8.708,-34.0,211.875
2011-01-16,197.5,77.0,52.542,40.0,7.083,13.167,15.792,2.625,0.0,1.083,12.25,42.0,23.167,-8.0,204.583
2011-01-17,193.167,83.0,55.917,34.0,6.167,9.958,12.25,2.292,0.0,1.042,8.708,69.0,26.292,-26.0,199.333
2011-01-18,197.565,91.0,74.167,47.0,11.739,15.417,24.292,8.875,0.0,3.261,20.333,97.0,18.708,-48.0,209.304
2011-01-19,195.833,93.0,73.292,53.0,11.417,10.583,20.958,10.375,0.0,1.208,25.542,98.0,43.583,-13.0,207.25
2011-01-20,189.958,94.0,88.125,62.0,12.333,15.25,17.792,2.542,15.0,2.958,20.167,58.0,32.292,22.0,202.292
2011-01-21,190.208,96.0,90.833,85.0,14.958,18.125,21.458,3.333,15.0,1.917,13.917,35.0,29.5,26.0,205.167
2011-01-22,190.792,98.0,96.125,92.0,15.833,19.292,23.958,4.667,24.0,1.875,15.75,67.0,42.417,14.0,206.625
2011-01-23,195.417,99.0,90.167,68.0,11.875,15.25,23.917,8.667,3.0,1.0,12.875,90.0,39.5,1.0,207.292
2011-01-24,192.917,96.0,82.5,66.0,7.417,12.13,15.091,3.045,8.0,1.0,11.083,38.0,9.958,-9.0,200.333
2011-01-25,195.957,97.0,81.5,44.0,11.087,17.042,29.625,12.583,1.0,2.0,17.708,84.0,20.167,-14.0,207.043
2011-01-26,193.875,94.0,69.167,38.0,10.708,16.792,23.625,6.833,0.0,1.708,11.875,55.0,4.958,-33.0,204.583
2011-01-27,196.542,91.0,72.75,43.0,9.833,15.125,25.458,10.333,0.0,2.417,13.833,65.0,6.25,-50.0,206.375
2011-01-28,195.667,92.0,62.458,39.0,7.583,12.458,19.5,7.042,0.0,1.792,9.75,52.0,4.292,-41.0,203.25
2011-01-29,192.208,55.0,44.25,34.0,5.792,8.583,10.292,1.708,0.0,2.833,5.375,50.0,17.083,-12.0,198.0
2011-01-30,192.5,75.0,46.792,33.0,7.45,11.125,14.208,3.083,0.0,2.458,5.208,54.0,15.667,-25.0,199.95
2011-01-31,196.762,87.0,62.292,38.0,12.619,15.417,24.292,8.875,0.0,1.278,12.333,88.0,10.792,-55.0,209.381
2011-02-01,190.727,82.0,55.875,43.0,4.318,6.222,7.778,1.556,0.0,2.043,11.333,109.0,47.167,-35.0,195.045
2011-02-02,193.0,82.0,44.25,25.0,4.458,7.583,9.75,2.167,0.0,1.333,5.083,48.0,8.958,-40.0,197.458
2011-02-03,194.667,82.0,53.583,26.0,7.0,12.125,16.208,4.083,0.0,1.75,6.208,73.0,1.542,-55.0,201.667
2011-02-04,194.708,91.0,68.542,40.0,6.417,8.042,11.75,3.708,0.0,0.708,9.458,111.0,21.417,-48.0,201.125
2011-02-05,197.833,88.0,67.5,37.0,7.875,9.25,11.917,2.667,0.0,1.208,18.625,84.0,19.583,-37.0,205.708
2011-02-06,202.375,96.0,92.0,86.0,24.458,27.292,48.583,21.292,7.0,1.083,48.75,44.0,26.458,-11.0,226.833
2011-02-07,192.292,98.0,94.833,86.0,28.542,20.348,37.087,16.739,46.0,0.833,44.667,168.0,100.208,45.0,220.833
2011-02-08,194.087,98.0,66.458,45.0,13.174,15.0,18.048,3.143,0.0,1.773,12.783,81.0,56.917,28.0,207.261
2011-02-09,195.5,89.0,62.125,37.0,11.958,13.167,18.208,5.042,0.0,1.375,2.583,70.0,24.042,-21.0,207.458
2011-02-10,196.833,89.0,70.25,43.0,10.042,14.625,20.292,5.667,0.0,1.458,9.417,93.0,26.75,-18.0,206.875
