date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-01-01,6.542,22.625,43.5,20.875,
2011-01-02,4.708,16.75,30.333,13.583,
2011-01-03,4.708,22.042,39.75,17.708,
2011-01-04,5.208,23.167,49.25,26.083,
2011-01-05,5.87,31.864,96.955,65.091,
2011-01-06,5.565,38.5,127.125,88.625,
2011-01-07,4.333,28.0,87.25,59.25,
2011-01-08,3.917,19.583,44.625,25.042,
2011-01-09,5.042,30.375,73.875,43.5,
2011-01-10,5.583,39.958,117.5,77.542,
2011-01-11,4.375,25.958,77.167,51.208,
2011-01-12,4.391,31.409,74.545,43.136,
2011-01-13,6.652,41.417,143.917,102.5,
2011-01-14,6.917,34.958,112.958,78.0,
2011-01-15,5.958,26.333,57.125,30.792,
2011-01-16,4.542,28.708,40.333,11.625,
2011-01-17,4.958,31.333,65.792,34.458,
2011-01-18,7.304,48.261,161.913,113.652,
2011-01-19,5.0,31.565,89.043,57.478,
2011-01-20,2.87,8.833,9.458,0.625,
2011-01-21,3.083,12.0,14.75,2.75,
2011-01-22,4.542,15.833,38.833,23.0,
2011-01-23,6.583,31.375,106.417,75.042,
2011-01-24,3.833,25.875,44.125,18.25,
2011-01-25,4.826,30.739,98.043,67.304,
2011-01-26,5.375,30.957,95.217,64.261,
2011-01-27,5.261,31.75,88.75,57.0,
2011-01-28,4.167,22.333,56.417,34.083,
2011-01-29,3.375,15.875,26.458,10.583,
2011-01-30,4.708,31.333,86.75,55.417,
2011-01-31,4.917,34.375,109.208,74.833,
2011-02-01,4.565,28.864,82.636,53.773,
2011-02-02,4.042,25.913,71.826,45.913,
2011-02-03,5.435,35.25,96.667,61.417,
2011-02-04,6.0,39.167,104.708,65.542,
2011-02-05,6.792,30.583,71.583,41.0,
2011-02-06,7.708,39.625,102.542,62.917,
2011-02-07,6.833,31.833,72.458,40.625,
2011-02-08,4.348,26.087,50.043,23.957,
2011-02-09,4.833,34.609,102.174,67.565,
2011-02-10,5.261,32.75,89.292,56.542,
2011-02-11,4.375,25.083,54.542,29.458,
2011-02-12,4.5,21.25,45.417,24.167,
2011-02-13,5.292,34.958,79.708,44.75,
2011-02-14,5.042,31.542,60.333,28.792,
2011-02-15,5.042,24.167,49.125,24.958,
2011-02-16,3.957,31.045,43.864,12.818,
2011-02-17,3.826,27.958,51.542,23.583,
2011-02-18,2.958,16.75,25.167,8.417,
2011-02-19,4.167,21.75,37.75,16.0,
2011-02-20,4.458,33.25,82.833,49.583,
2011-02-21,4.958,40.125,109.0,68.875,
2011-02-22,3.833,27.583,34.25,6.667,
2011-02-23,4.87,28.524,43.952,15.429,
2011-02-24,5.087,28.208,46.5,18.292,
2011-02-25,4.792,18.917,21.625,2.708,
2011-02-26,3.958,16.458,20.75,4.292,
2011-02-27,3.042,11.5,13.625,2.125,
2011-02-28,3.625,24.333,30.5,6.167,
2011-03-01,6.083,39.348,110.957,71.609,
2011-03-02,5.565,29.167,82.875,53.708,
2011-03-03,3.458,18.583,21.0,2.417,
2011-03-04,3.5,18.0,20.542,2.542,
2011-03-05,4.167,22.958,31.417,8.458,
2011-03-06,5.25,31.25,67.333,36.083,
2011-03-07,4.458,25.792,31.167,5.375,
2011-03-08,4.348,23.143,26.762,3.619,
2011-03-09,3.957,18.125,20.75,2.625,
2011-03-10,3.667,9.958,10.75,0.792,
2011-03-11,4.083,16.542,22.75,6.208,
2011-03-12,3.667,18.292,40.667,22.375,
2011-03-13,3.208,18.625,31.0,12.375,
2011-03-14,3.833,29.5,55.958,26.458,
2011-03-15,4.0,23.045,62.273,39.227,
2011-03-16,4.043,30.167,63.625,33.458,
2011-03-17,5.625,37.417,53.417,16.0,
2011-03-18,6.625,25.708,61.833,36.125,
2011-03-19,3.292,18.5,29.125,10.625,
2011-03-20,3.333,20.833,26.792,5.958,
2011-03-21,2.579,19.5,29.0,9.5,
2011-03-22,2.952,39.727,78.5,38.773,
2011-03-23,3.125,39.0,67.292,28.292,
2011-03-24,2.792,29.542,47.208,17.667,
2011-03-25,1.25,18.458,34.917,16.458,
2011-03-26,1.458,31.292,70.75,39.458,
2011-03-27,1.333,33.292,74.708,41.417,
2011-03-28,2.304,28.174,67.522,39.348,
2011-03-29,2.542,32.13,63.826,31.696,
2011-03-30,2.833,35.375,73.042,37.667,
2011-03-31,1.375,14.25,16.625,2.375,
2011-04-01,4.043,32.75,63.292,30.542,
2011-04-02,4.5,27.958,51.5,23.542,
2011-04-03,3.792,16.25,18.542,2.292,
2011-04-04,3.083,16.783,26.391,9.609,
2011-04-05,4.083,35.792,63.917,28.125,
2011-04-06,4.75,40.958,98.167,57.208,
2011-04-07,4.0,37.391,77.783,40.391,
2011-04-08,2.522,26.375,39.667,13.292,
2011-04-09,2.75,21.625,26.208,4.583,
2011-04-10,3.167,11.583,12.333,0.75,
2011-04-11,3.833,18.957,23.957,5.0,
2011-04-12,3.5,18.125,24.542,6.417,
2011-04-13,4.174,35.87,69.348,33.478,
2011-04-14,4.667,38.875,74.292,35.417,
2011-04-15,3.826,32.25,54.792,22.542,
2011-04-16,3.542,19.542,24.875,5.333,
2011-04-17,3.25,12.542,14.083,1.542,
2011-04-18,3.5,20.913,23.565,2.652,
2011-04-19,3.417,19.458,22.708,3.25,
2011-04-20,3.833,24.833,38.125,13.292,
2011-04-21,3.478,21.565,25.739,4.174,
2011-04-22,3.783,28.292,34.042,5.75,
2011-04-23,2.375,16.333,20.375,4.042,
2011-04-24,3.333,13.792,16.417,2.625,
2011-04-25,3.75,24.478,36.826,12.348,
2011-04-26,3.917,32.042,55.958,23.917,
2011-04-27,3.667,23.875,40.708,16.833,
2011-04-28,3.261,17.826,21.522,3.696,
2011-04-29,3.87,24.333,33.667,9.333,
2011-04-30,4.375,25.75,34.042,8.292,
2011-05-01,3.708,19.25,23.25,4.0,
2011-05-02,3.917,19.652,42.565,22.913,
2011-05-03,4.083,19.125,25.208,6.083,
2011-05-04,3.625,15.375,19.125,3.75,
2011-05-05,3.333,12.292,13.417,1.125,
2011-05-06,3.909,25.783,29.087,3.304,
2011-05-07,4.458,23.25,33.208,9.958,
2011-05-08,3.958,14.542,25.5,10.958,
2011-05-09,4.333,30.957,49.087,18.13,
2011-05-10,3.87,28.913,44.478,15.565,
2011-05-11,4.417,29.833,34.125,4.292,
2011-05-12,3.833,21.0,24.917,3.917,
2011-05-13,4.391,24.5,33.0,8.5,
2011-05-14,3.792,21.0,28.125,7.125,
2011-05-15,3.708,23.042,29.0,5.958,
2011-05-16,3.917,32.217,49.304,17.087,
2011-05-17,4.208,28.708,40.417,11.708,
2011-05-18,4.333,26.0,39.958,13.958,
2011-05-19,4.391,37.261,63.087,25.826,
2011-05-20,4.043,33.417,50.125,16.708,
2011-05-21,4.667,26.833,37.667,10.833,
2011-05-22,3.667,16.083,20.208,4.125,
2011-05-23,3.292,20.478,24.913,4.435,
2011-05-24,3.625,23.75,36.125,12.375,
2011-05-25,3.522,21.652,43.261,21.609,
2011-05-26,4.0,27.583,35.625,8.042,
2011-05-27,3.522,19.917,26.167,6.25,
2011-05-28,4.083,17.125,19.875,2.75,
2011-05-29,3.417,12.583,13.667,1.083,
2011-05-30,2.583,9.609,10.652,1.043,
2011-05-31,2.583,15.042,17.417,2.375,
2011-06-01,3.043,22.957,30.0,7.043,
2011-06-02,4.042,25.458,36.333,10.875,
2011-06-03,4.609,25.625,44.125,18.5,
2011-06-04,4.375,17.958,29.708,11.75,
2011-06-05,4.958,18.708,28.208,9.5,
2011-06-06,4.042,24.826,34.13,9.304,
2011-06-07,4.0,30.391,48.304,17.913,
2011-06-08,4.167,30.333,43.208,12.875,
2011-06-09,4.042,24.208,36.583,12.375,
2011-06-10,4.174,23.917,31.917,8.0,
2011-06-11,4.625,22.917,29.792,6.875,
2011-06-12,6.083,17.708,20.542,2.833,
2011-06-13,5.167,30.696,37.522,6.826,
2011-06-14,4.826,26.522,32.174,5.652,
2011-06-15,3.833,22.625,31.417,8.792,
2011-06-16,4.042,23.875,31.875,8.0,
2011-06-17,3.304,14.667,17.375,2.708,
2011-06-18,4.875,22.958,30.167,7.208,
2011-06-19,4.333,11.75,12.792,1.042,
2011-06-20,4.208,19.957,31.043,11.087,
2011-06-21,3.348,19.318,43.773,24.455,
2011-06-22,4.167,26.375,51.917,25.542,
2011-06-23,3.208,18.458,45.333,26.875,
2011-06-24,2.609,18.292,37.208,18.917,
2011-06-25,3.917,19.917,32.833,12.917,
2011-06-26,4.542,14.542,16.542,2.0,
2011-06-27,4.458,24.435,34.652,10.217,
2011-06-28,4.625,21.625,42.083,20.458,
2011-06-29,3.75,19.083,26.958,7.875,
2011-06-30,3.652,20.217,32.565,12.348,
2011-07-01,3.087,17.042,31.208,14.167,
2011-07-02,3.708,16.125,19.833,3.708,
2011-07-03,3.0,14.708,19.083,4.375,
2011-07-04,2.25,19.0,28.391,9.391,
2011-07-05,2.792,19.917,28.292,8.375,
2011-07-06,3.652,22.0,30.238,8.238,
2011-07-07,3.083,18.87,33.261,14.391,
2011-07-08,3.391,16.792,39.0,22.208,
2011-07-09,3.625,18.5,35.417,16.917,
2011-07-10,2.5,11.208,19.5,8.292,
2011-07-11,2.583,13.25,29.875,16.625,
2011-07-12,2.208,11.625,24.333,12.708,
2011-07-13,2.652,14.636,31.318,16.682,
2011-07-14,2.708,17.0,32.043,15.043,
2011-07-15,3.217,20.5,36.833,16.333,
2011-07-16,2.917,16.333,23.542,7.208,
2011-07-17,2.958,11.125,20.958,9.833,
2011-07-18,2.333,10.208,20.375,10.167,
2011-07-19,2.0,8.125,19.25,11.125,
2011-07-20,2.25,11.708,21.083,9.375,
2011-07-21,2.217,10.048,11.524,1.476,
2011-07-22,2.261,10.667,12.375,1.708,
2011-07-23,2.333,9.375,10.792,1.417,
2011-07-24,2.833,11.958,18.083,6.125,
2011-07-25,2.917,20.125,27.417,7.292,
2011-07-26,3.417,24.458,37.958,13.5,
2011-07-27,3.87,24.739,44.913,20.174,
2011-07-28,4.583,25.957,32.739,6.783,
2011-07-29,4.261,19.708,30.75,11.042,
2011-07-30,3.708,19.958,25.167,5.208,
2011-07-31,2.348,10.783,13.696,2.913,
2011-08-01,3.5,17.375,25.125,7.75,
2011-08-02,4.609,23.043,34.957,11.913,
2011-08-03,3.958,20.417,24.0,3.583,
2011-08-04,3.125,14.478,30.087,15.609,
2011-08-05,2.478,10.292,19.833,9.542,
2011-08-06,3.667,15.583,30.583,15.0,
2011-08-07,4.0,15.083,22.25,7.167,
2011-08-08,3.792,15.292,23.292,8.0,
2011-08-09,3.708,20.417,34.417,14.0,
2011-08-10,3.875,20.583,33.625,13.042,
2011-08-11,4.261,19.545,30.227,10.682,
2011-08-12,4.478,16.042,19.542,3.5,
2011-08-13,4.625,12.333,13.208,0.875,
2011-08-14,4.125,8.833,9.875,1.042,
2011-08-15,3.708,12.417,17.458,5.042,
2011-08-16,3.75,13.375,16.875,3.5,
2011-08-17,3.652,15.87,19.217,3.348,
2011-08-18,3.25,15.478,23.391,7.913,
2011-08-19,3.13,19.25,23.083,3.833,
2011-08-20,3.25,12.958,15.75,2.792,
2011-08-21,2.833,8.875,9.875,1.0,
2011-08-22,3.833,23.125,33.583,10.458,
2011-08-23,4.083,21.792,33.208,11.417,
2011-08-24,2.609,12.0,30.045,18.045,
2011-08-25,3.292,13.522,45.87,32.348,
2011-08-26,3.304,12.75,34.75,22.0,
2011-08-27,3.625,18.625,24.833,6.208,
2011-08-28,3.5,12.625,15.042,2.417,
2011-08-29,3.167,17.25,19.792,2.542,
2011-08-30,2.75,15.5,19.75,4.25,
2011-08-31,3.261,17.957,26.565,8.609,
2011-09-01,3.708,14.478,37.261,22.783,
2011-09-02,2.739,7.292,24.542,17.25,
2011-09-03,2.0,3.042,6.292,3.25,
2011-09-04,1.833,4.417,7.375,2.958,
2011-09-05,2.875,19.292,33.125,13.833,
2011-09-06,3.083,21.208,26.958,5.75,
2011-09-07,3.391,21.091,27.773,6.682,
2011-09-08,3.75,20.478,30.13,9.652,
2011-09-09,3.696,22.75,34.333,11.583,
2011-09-10,3.5,14.792,32.042,17.25,
2011-09-11,2.583,9.583,17.833,8.25,
2011-09-12,2.333,11.708,30.125,18.417,
2011-09-13,2.75,14.667,33.417,18.75,
2011-09-14,2.87,16.773,33.864,17.091,
2011-09-15,2.542,13.261,26.348,13.087,
2011-09-16,2.522,11.875,28.333,16.458,
2011-09-17,2.417,9.875,26.875,17.0,
2011-09-18,2.667,8.5,18.375,9.875,
2011-09-19,3.458,10.75,19.625,8.875,
2011-09-20,3.304,19.087,22.957,3.87,
2011-09-21,2.708,14.542,23.125,8.583,
2011-09-22,3.208,16.609,37.478,20.87,
2011-09-23,2.826,11.708,16.458,4.75,
2011-09-24,3.667,18.667,29.333,10.667,
