date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean
2011-01-01,199.833,23.333,29.667,48.875,19.208,23.083,223.167
2011-01-02,191.958,15.458,20.042,30.625,10.583,16.875,207.417
2011-01-03,186.917,9.625,16.042,23.083,7.042,8.25,196.542
2011-01-04,190.417,15.333,22.5,33.792,11.292,12.667,205.75
2011-01-05,193.667,19.208,30.917,61.917,31.0,12.083,212.875
2011-01-06,195.435,24.565,40.542,78.042,37.5,16.292,220.0
2011-01-07,189.375,11.708,23.667,43.667,20.0,10.167,201.083
2011-01-08,190.458,11.833,19.625,30.625,11.0,9.583,202.292
2011-01-09,200.458,28.208,38.25,74.917,36.667,24.333,228.667
2011-01-10,198.958,31.667,45.083,93.833,48.75,24.375,230.625
2011-01-11,191.25,21.042,31.5,60.417,28.917,22.208,212.292
2011-01-12,196.652,27.478,35.522,82.261,46.739,15.5,224.13
2011-01-13,196.75,40.292,43.583,102.5,58.917,18.167,237.042
2011-01-14,195.833,23.625,32.792,75.125,42.333,16.0,219.458
2011-01-15,198.208,23.25,30.375,55.917,25.542,16.75,221.458
2011-01-16,190.391,13.609,31.652,60.783,29.13,17.682,204.0
2011-01-17,188.708,13.75,33.0,64.75,31.75,16.042,202.458
2011-01-18,201.417,43.875,53.583,128.75,75.167,32.0,245.292
2011-01-19,192.542,20.0,34.042,65.375,31.333,27.083,212.542
2011-01-20,185.826,14.522,26.792,50.708,23.917,18.75,200.348
2011-01-21,184.125,13.5,23.333,44.125,20.792,9.292,197.625
2011-01-22,192.083,23.292,23.583,54.083,30.5,12.542,215.375
2011-01-23,205.917,40.125,36.292,128.375,92.083,18.042,246.042
2011-01-24,190.5,16.318,31.913,65.043,33.13,13.0,206.818
2011-01-25,197.125,27.083,36.583,88.75,52.167,21.917,224.208
2011-01-26,195.458,19.625,34.458,65.833,31.375,14.917,215.083
2011-01-27,200.5,27.292,39.0,80.833,41.833,17.875,227.792
2011-01-28,194.917,18.708,29.333,54.0,24.667,16.833,213.625
2011-01-29,191.833,11.208,15.625,24.5,8.875,11.958,203.042
2011-01-30,194.625,17.625,32.917,62.458,29.542,12.708,212.25
2011-01-31,196.364,24.5,38.522,81.348,42.826,15.955,220.864
2011-02-01,191.458,12.333,17.708,26.708,9.0,18.708,203.792
2011-02-02,190.0,12.458,24.917,44.042,19.125,11.708,202.458
2011-02-03,200.208,25.833,39.042,85.458,46.417,13.917,226.042
2011-02-04,201.0,29.042,34.458,78.75,44.292,17.167,230.042
2011-02-05,203.542,29.625,35.917,66.208,30.292,23.25,233.167
2011-02-06,199.458,33.167,43.792,79.75,35.958,41.083,232.625
2011-02-07,193.826,29.304,34.13,75.174,41.043,53.5,223.13
2011-02-08,191.167,18.667,28.917,52.792,23.875,10.714,209.833
2011-02-09,190.667,17.167,25.625,43.417,17.792,12.792,207.833
2011-02-10,195.333,34.583,41.583,87.458,45.875,18.958,229.917
2011-02-11,193.542,24.583,29.333,49.125,19.792,17.417,218.125
2011-02-12,192.292,19.542,19.958,32.542,12.583,14.375,211.833
2011-02-13,193.667,23.571,41.273,80.818,39.545,24.318,217.238
2011-02-14,191.042,27.708,39.5,69.208,29.708,39.708,218.75
2011-02-15,193.208,27.625,38.167,86.0,47.833,37.917,220.833
2011-02-16,185.958,10.625,28.292,52.583,24.292,16.125,196.583
2011-02-17,189.542,25.25,36.208,67.375,31.167,24.792,214.792
2011-02-18,186.583,12.5,21.167,37.208,16.042,12.125,199.083
2011-02-19,194.833,17.667,26.917,44.667,17.75,14.917,212.5
2011-02-20,195.792,23.75,41.458,72.375,30.917,18.333,219.542
2011-02-21,197.87,30.783,49.304,87.652,38.348,24.435,228.652
2011-02-22,190.583,12.75,30.458,48.5,18.042,28.5,203.333
2011-02-23,192.125,35.0,39.708,90.292,50.583,35.458,227.125
2011-02-24,190.5,19.25,37.292,58.5,21.208,29.583,209.75
2011-02-25,191.083,18.167,32.542,52.333,19.792,24.417,209.25
2011-02-26,189.917,12.292,22.542,34.375,11.833,15.75,202.208
2011-02-27,186.773,10.545,20.864,37.818,16.955,14.045,197.318
2011-02-28,188.625,10.292,27.083,48.208,21.125,14.375,198.917
2011-03-01,191.583,26.75,38.792,84.75,45.958,21.5,218.333
2011-03-02,194.292,31.917,40.167,93.208,53.042,21.667,226.208
2011-03-03,188.292,10.625,22.208,35.542,13.333,16.542,198.917
2011-03-04,190.292,10.083,21.083,30.542,9.458,22.792,200.375
2011-03-05,193.208,23.75,35.667,69.458,33.792,14.25,216.958
2011-03-06,210.5,52.909,45.87,136.391,90.522,35.909,263.409
2011-03-07,198.458,24.708,33.958,63.25,29.292,35.583,223.167
2011-03-08,196.375,18.042,38.0,64.917,26.917,24.333,214.417
2011-03-09,194.875,20.625,33.333,59.5,26.167,23.125,215.5
2011-03-10,190.625,12.0,25.042,39.625,14.583,9.375,202.625
2011-03-11,195.167,14.833,24.5,36.042,11.542,17.583,210.0
2011-03-12,191.125,11.958,21.458,37.708,16.25,10.708,203.083
2011-03-13,192.583,12.417,22.875,34.5,11.625,10.875,205.0
2011-03-14,193.333,17.571,37.381,62.476,25.095,16.048,210.905
2011-03-15,191.625,19.917,31.375,55.708,24.333,22.125,211.542
2011-03-16,189.458,13.75,29.375,48.917,19.542,19.917,203.208
2011-03-17,197.125,42.125,48.083,90.375,42.292,43.625,239.25
2011-03-18,201.667,38.542,38.458,70.5,32.042,43.667,240.208
2011-03-19,189.333,18.125,30.958,56.0,25.042,17.458,207.458
2011-03-20,189.667,20.583,31.375,49.792,18.417,18.708,210.25
2011-03-21,188.773,14.091,30.391,53.0,22.609,15.409,202.864
2011-03-22,199.708,41.208,58.875,122.917,64.042,33.286,240.917
2011-03-23,192.0,28.458,51.75,94.5,42.75,36.708,220.458
2011-03-24,190.542,30.125,40.708,85.917,45.208,20.542,220.667
2011-03-25,192.042,19.333,26.75,39.542,12.792,12.875,211.375
2011-03-26,194.304,26.087,40.0,73.364,33.364,16.435,220.391
2011-03-27,192.708,17.917,35.292,55.542,20.25,19.25,210.625
2011-03-28,193.375,21.542,34.792,54.542,19.75,31.5,214.917
2011-03-29,189.875,10.958,24.042,40.0,15.958,22.042,200.833
2011-03-30,186.542,5.583,6.167,7.542,1.375,19.208,192.125
2011-03-31,183.542,6.083,8.833,12.5,3.667,17.667,189.625
2011-04-01,,,29.75,53.5,23.75,21.708,
2011-04-02,,,42.542,60.583,18.042,34.583,
2011-04-03,,,16.833,27.708,10.875,17.0,
2011-04-04,,,24.533,39.533,15.0,16.667,
2011-04-05,,,37.136,61.273,24.136,17.826,
2011-04-06,,,39.042,74.333,35.292,27.667,
2011-04-07,,,15.286,27.286,12.0,21.5,
2011-04-08,,,5.042,6.792,1.75,18.125,
2011-04-09,,,9.167,13.25,4.083,17.375,
2011-04-10,,,18.833,25.875,7.042,21.833,
2011-04-11,,,27.542,41.667,14.125,29.75,
2011-04-12,,,19.87,30.652,10.783,23.409,
2011-04-13,,,29.417,39.5,10.083,29.75,
2011-04-14,,,39.5,55.792,16.292,36.458,
2011-04-15,,,7.375,9.25,1.875,31.375,
2011-04-16,,,11.5,15.542,4.042,24.792,
2011-04-17,,,13.125,19.583,6.458,20.292,
2011-04-18,,,24.609,41.13,16.522,19.773,
2011-04-19,,,19.417,29.125,9.708,13.583,
2011-04-20,,,30.333,52.917,22.583,15.333,
2011-04-21,,,26.792,47.833,21.042,18.167,
2011-04-22,,,20.5,32.5,12.0,23.208,
2011-04-23,,,11.125,16.542,5.417,16.958,
2011-04-24,,,11.917,16.625,4.708,17.5,
2011-04-25,,,22.458,33.542,11.083,19.042,
2011-04-26,,,26.957,44.87,17.913,26.818,
2011-04-27,,,8.0,11.458,3.458,48.583,
2011-04-28,,,10.417,14.625,4.208,24.167,
2011-04-29,189.471,23.529,22.125,32.542,10.417,18.333,213.0
2011-04-30,189.667,19.458,15.625,22.0,6.375,26.167,209.125
2011-05-01,183.333,15.542,4.417,5.417,1.0,22.875,198.875
2011-05-02,190.542,29.958,25.478,42.478,17.0,85.13,220.5
2011-05-03,190.875,26.917,23.25,32.708,9.458,73.667,217.792
2011-05-04,187.625,21.542,14.167,19.333,5.167,28.667,209.167
2011-05-05,191.167,23.458,19.292,26.417,7.125,27.917,214.625
2011-05-06,193.333,25.792,27.0,41.5,14.5,32.167,219.125
2011-05-07,193.083,34.625,31.333,45.667,14.333,28.417,227.708
2011-05-08,191.333,36.375,19.417,29.208,9.792,31.25,227.708
2011-05-09,188.864,23.591,28.043,45.174,17.13,30.952,212.455
2011-05-10,181.083,31.625,25.875,45.25,19.375,38.0,212.708
2011-05-11,186.25,30.75,30.5,46.292,15.792,17.625,217.0
2011-05-12,187.833,37.125,37.125,60.542,23.417,15.417,224.958
2011-05-13,181.667,37.542,35.0,62.417,27.417,31.292,219.208
2011-05-14,186.042,26.75,27.417,38.833,11.417,48.958,212.792
2011-05-15,185.6,14.2,11.958,16.0,4.042,28.292,199.8
2011-05-16,183.478,16.522,14.043,18.826,4.783,36.857,200.0
2011-05-17,184.0,23.583,17.792,24.25,6.458,35.917,207.583
2011-05-18,189.167,34.833,32.458,56.583,24.125,41.417,224.0
2011-05-19,187.458,25.125,22.458,35.333,12.875,40.75,212.583
2011-05-20,182.458,19.75,12.958,19.125,6.167,44.25,202.208
2011-05-21,179.292,20.583,8.042,11.833,3.792,34.125,199.875
2011-05-22,179.25,22.917,7.708,10.583,2.875,19.958,202.167
2011-05-23,189.083,29.0,30.125,47.75,17.625,18.458,218.083
2011-05-24,186.913,28.957,31.565,49.783,18.217,17.955,215.87
2011-05-25,193.333,35.5,29.5,58.25,28.75,24.458,228.833
2011-05-26,187.875,32.5,30.292,48.417,18.125,25.75,220.375
2011-05-27,186.75,32.583,35.0,58.0,23.0,24.75,219.333
2011-05-28,190.792,42.0,31.75,47.333,15.583,17.833,232.792
2011-05-29,189.083,33.5,25.042,35.5,10.458,11.917,222.583
2011-05-30,180.333,25.667,17.375,27.875,10.5,7.083,206.0
2011-05-31,183.478,16.13,15.261,27.0,11.739,21.136,199.609
2011-06-01,187.667,22.125,23.0,42.417,19.417,36.333,209.792
2011-06-02,190.75,41.75,36.083,74.958,38.875,36.333,232.5
2011-06-03,188.625,39.833,31.708,60.375,28.667,26.792,228.458
2011-06-04,184.292,29.375,14.625,21.958,7.333,37.625,213.667
2011-06-05,180.875,28.833,9.167,12.792,3.625,39.542,209.708
2011-06-06,186.417,41.417,27.917,39.833,11.917,37.667,227.833
2011-06-07,184.864,36.727,22.609,32.043,9.435,38.364,221.591
2011-06-08,184.478,38.435,33.375,48.75,15.375,16.292,222.913
2011-06-09,184.25,35.125,25.0,42.083,17.083,24.083,219.375
2011-06-10,179.625,28.333,12.625,19.208,6.583,22.167,207.958
2011-06-11,185.0,41.042,27.625,42.25,14.625,39.417,226.042
2011-06-12,192.958,42.292,27.167,39.125,11.958,44.167,235.25
2011-06-13,187.792,41.958,36.083,60.375,24.292,29.417,229.75
2011-06-14,189.591,43.591,31.696,56.783,25.087,32.864,233.182
2011-06-15,187.458,35.5,24.583,41.125,16.542,19.542,222.958
2011-06-16,188.167,40.708,35.042,65.5,30.458,23.417,228.875
2011-06-17,186.208,40.542,30.708,48.958,18.25,15.083,226.75
2011-06-18,187.292,41.792,27.0,46.333,19.333,20.25,229.083
2011-06-19,191.917,42.083,22.792,32.417,9.625,30.292,234.0
2011-06-20,179.292,31.917,11.625,19.25,7.625,15.0,211.208
2011-06-21,176.625,31.5,7.25,11.667,4.417,13.417,208.125
2011-06-22,185.087,51.783,25.696,43.435,17.739,32.0,236.87
2011-06-23,174.875,32.917,5.0,7.75,2.75,31.292,207.792
2011-06-24,173.25,32.292,2.0,4.125,2.125,27.708,205.542
2011-06-25,182.125,42.375,17.083,27.25,10.167,30.833,224.5
2011-06-26,196.125,43.292,21.583,34.583,13.0,41.292,239.417
2011-06-27,194.833,46.625,21.167,59.875,38.708,39.0,241.458
2011-06-28,177.455,53.091,19.0,39.609,20.609,33.182,230.545
2011-06-29,188.458,87.917,29.917,64.958,35.042,42.542,276.375
2011-06-30,184.292,107.792,26.792,49.458,22.667,33.375,292.083
2011-07-01,180.333,66.667,24.917,39.917,15.0,33.333,247.0
2011-07-02,182.167,46.958,20.792,36.792,16.0,33.208,229.125
2011-07-03,179.75,44.833,12.792,23.792,11.0,33.917,224.583
2011-07-04,172.25,36.958,4.167,8.083,3.917,51.958,209.208
2011-07-05,178.783,43.609,17.304,25.0,7.696,33.818,222.391
2011-07-06,188.583,47.875,26.0,39.542,13.542,32.792,236.458
2011-07-07,174.25,38.042,4.292,9.042,4.75,18.917,212.292
2011-07-08,171.609,38.348,7.042,16.75,9.708,20.375,209.957
2011-07-09,172.75,40.292,9.375,20.0,10.625,26.25,213.042
2011-07-10,172.625,41.25,5.417,12.917,7.5,13.958,213.875
2011-07-11,174.25,51.833,11.917,27.75,15.833,16.5,226.083
2011-07-12,173.542,40.167,6.167,16.667,10.5,14.417,213.708
2011-07-13,173.955,40.773,7.043,16.826,9.783,15.136,214.727
2011-07-14,173.708,41.25,8.333,18.875,10.542,14.958,214.958
2011-07-15,174.625,48.208,12.75,25.458,12.708,17.833,222.833
2011-07-16,173.542,41.417,8.625,16.792,8.167,24.917,214.958
2011-07-17,171.667,39.917,3.625,8.833,5.208,18.625,211.583
2011-07-18,170.333,40.667,3.25,9.583,6.333,37.417,211.0
