date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,203.167,70.0,53.75,38.0,18.917,19.042,25.75,6.708,,1.0,17.583,103.0,64.708,25.0,222.083
2011-01-02,200.042,77.0,53.667,30.0,11.917,14.708,17.875,3.167,,1.0,13.375,128.0,63.0,21.0,211.958
2011-01-03,200.292,72.0,49.667,28.0,14.083,16.292,22.292,6.0,,0.917,10.542,110.0,46.125,-20.0,214.375
2011-01-04,200.875,76.0,51.042,23.0,12.5,13.667,19.458,5.792,,1.5,15.75,126.0,52.083,-11.0,213.375
2011-01-05,202.333,64.0,40.458,19.0,10.222,18.625,32.5,13.875,,1.048,12.381,114.0,46.042,-17.0,212.556
2011-01-06,198.1,76.0,58.125,40.0,17.7,23.667,47.333,23.667,,1.083,13.542,98.0,37.792,-22.0,215.8
2011-01-07,198.75,77.0,50.625,19.0,19.083,23.292,43.792,20.5,,1.0,12.042,109.0,38.542,-7.0,217.833
2011-01-08,196.25,66.0,45.292,27.0,13.167,15.417,22.958,7.542,,1.0,12.792,107.0,48.667,-13.0,209.417
2011-01-09,200.042,73.0,54.25,37.0,25.083,24.167,42.875,18.708,,1.25,21.042,107.0,48.042,0.0,225.125
2011-01-10,200.0,83.0,63.875,37.0,23.458,26.75,50.208,23.458,,1.25,20.889,98.0,47.208,-18.0,223.458
2011-01-11,195.696,84.0,54.583,34.0,16.652,19.682,34.409,14.727,,1.091,17.333,118.0,54.208,4.0,212.348
2011-01-12,197.083,68.0,48.208,26.0,19.792,24.875,44.292,19.417,,0.75,12.167,63.0,22.708,-14.0,216.875
2011-01-13,201.167,78.0,61.458,38.0,31.75,28.583,68.625,40.042,,0.875,17.583,114.0,34.833,-29.0,232.917
2011-01-14,199.333,70.0,58.5,38.0,20.583,24.292,37.667,13.375,,0.75,19.042,78.0,33.667,0.0,219.917
2011-01-15,201.208,72.0,56.167,40.0,17.333,21.875,30.375,8.5,,0.958,20.667,63.0,31.458,-6.0,218.542
2011-01-16,195.375,59.0,46.667,39.0,11.417,21.875,26.958,5.083,,1.0,17.667,53.0,39.917,20.0,206.792
2011-01-17,196.0,70.0,50.125,30.0,16.708,23.25,36.375,13.125,,1.042,19.667,85.0,40.792,-5.0,212.708
2011-01-18,202.167,80.0,64.208,38.0,31.917,31.125,68.333,37.208,,1.167,27.833,87.0,30.542,-28.0,234.083
2011-01-19,195.087,87.0,64.458,39.0,19.609,22.818,41.045,18.227,,1.174,24.609,110.0,58.667,10.0,214.696
2011-01-20,189.917,88.0,80.625,69.0,3.958,4.792,6.625,1.833,,1.0,11.167,45.0,36.208,27.0,193.875
2011-01-21,188.458,91.0,81.583,67.0,5.333,7.167,9.292,2.125,,1.0,11.25,55.0,46.667,38.0,193.792
2011-01-22,190.917,88.0,77.5,65.0,11.25,9.708,13.375,3.667,,1.0,12.292,109.0,69.208,34.0,202.167
2011-01-23,198.0,93.0,81.625,56.0,20.958,21.208,51.875,30.667,,1.0,16.75,106.0,54.458,7.0,218.958
2011-01-24,194.625,92.0,78.708,53.0,16.625,23.875,36.833,12.958,,1.0,13.0,33.0,14.25,0.0,211.25
2011-01-25,197.958,90.0,66.5,38.0,18.5,20.208,44.583,24.375,,1.0,17.0,95.0,30.0,-21.0,216.458
2011-01-26,197.955,80.0,53.292,31.0,20.773,26.684,45.579,18.895,,0.739,16.238,74.0,22.375,-21.0,218.727
2011-01-27,202.125,81.0,54.958,31.0,19.542,21.75,42.083,20.333,,0.625,14.667,96.0,30.083,-36.0,221.667
2011-01-28,200.208,80.0,52.708,35.0,13.708,19.167,30.083,10.917,,0.5,16.667,69.0,20.708,-25.0,213.917
2011-01-29,196.042,59.0,41.375,24.0,9.75,15.167,17.375,2.208,,0.542,12.458,74.0,29.75,-5.0,205.792
2011-01-30,200.375,70.0,52.25,21.0,17.292,25.208,43.792,18.583,,0.333,13.75,83.0,19.0,-31.0,217.667
2011-01-31,200.75,78.0,53.917,28.0,18.5,22.5,47.417,24.917,,0.542,12.208,94.0,26.292,-38.0,219.25
2011-02-01,197.136,68.0,41.25,26.0,7.455,12.818,14.773,1.955,,1.5,15.273,116.0,64.375,-10.0,204.591
2011-02-02,200.167,63.0,35.833,13.0,13.458,21.167,33.75,12.583,,0.542,10.875,63.0,13.125,-25.0,213.625
