date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-01-01,6.333,19.792,39.375,19.583,,22.125
2011-01-02,4.917,16.708,32.833,16.125,,17.417
2011-01-03,4.75,15.75,29.917,14.167,,12.0
2011-01-04,6.125,16.083,35.042,18.958,,16.75
2011-01-05,6.708,23.625,62.167,38.542,,12.625
2011-01-06,8.708,29.667,94.667,65.0,,17.833
2011-01-07,6.667,22.5,65.583,43.083,,16.208
2011-01-08,5.25,17.5,38.292,20.792,,15.5
2011-01-09,7.208,24.542,62.083,37.542,,23.208
2011-01-10,9.5,31.917,101.5,69.583,,25.833
2011-01-11,6.292,22.458,70.125,47.667,,22.458
2011-01-12,8.5,29.958,100.292,70.333,,19.875
2011-01-13,8.391,32.217,105.435,73.217,,22.391
2011-01-14,8.667,27.5,79.875,52.375,,22.5
2011-01-15,8.083,22.917,54.583,31.667,,23.5
2011-01-16,6.917,23.958,70.042,46.083,,22.5
2011-01-17,5.625,22.292,53.167,30.875,,23.542
2011-01-18,9.458,33.042,106.208,73.167,,32.833
2011-01-19,5.583,20.833,61.25,40.417,,22.833
2011-01-20,2.818,5.682,15.182,9.5,,9.636
2011-01-21,5.167,20.167,49.083,28.917,,8.167
2011-01-22,6.75,20.375,53.375,33.0,,14.583
2011-01-23,6.917,19.583,76.708,57.125,,14.083
2011-01-24,6.458,25.833,71.958,46.125,,12.917
2011-01-25,8.083,26.042,88.792,62.75,,14.083
2011-01-26,7.522,28.391,80.783,52.391,,17.208
2011-01-27,6.375,21.458,62.333,40.875,,15.917
2011-01-28,5.542,19.917,49.5,29.583,,17.625
2011-01-29,5.667,22.167,44.625,22.458,,17.583
2011-01-30,7.5,28.167,84.208,56.042,,16.917
2011-01-31,7.458,26.625,79.375,52.75,,17.542
2011-02-01,5.458,18.583,42.083,23.5,,18.75
2011-02-02,6.783,27.364,73.727,46.364,,15.043
2011-02-03,8.083,30.167,86.292,56.125,,14.875
2011-02-04,6.292,25.0,58.75,33.75,,16.417
2011-02-05,7.917,24.5,51.833,27.333,,23.542
2011-02-06,9.208,33.708,104.708,71.0,,37.042
2011-02-07,8.375,32.042,89.25,57.208,,28.375
2011-02-08,5.217,24.318,51.227,26.909,,17.217
2011-02-09,6.208,25.0,69.458,44.458,,15.042
2011-02-10,7.292,28.792,84.042,55.25,,17.042
2011-02-11,6.667,25.292,63.75,38.458,,20.167
2011-02-12,5.167,16.792,32.417,15.625,,17.0
2011-02-13,6.792,33.625,78.458,44.833,,27.083
2011-02-14,8.042,33.708,95.375,61.667,,36.208
2011-02-15,7.217,28.043,83.913,55.87,,31.308
2011-02-16,5.75,25.458,57.042,31.583,,
2011-02-17,6.583,27.0,71.583,44.583,,17.8
2011-02-18,4.583,16.458,38.792,22.333,,11.792
2011-02-19,5.792,20.375,40.458,20.083,,16.375
2011-02-20,7.333,29.75,75.5,45.75,,13.75
2011-02-21,7.625,35.417,88.458,53.042,,19.167
2011-02-22,5.833,23.958,43.625,19.667,,32.5
2011-02-23,8.261,31.652,90.826,59.174,,23.304
2011-02-24,9.292,31.042,91.625,60.583,,25.833
2011-02-25,5.958,21.583,39.708,18.125,,17.75
2011-02-26,4.75,13.5,26.167,12.667,,12.042
2011-02-27,5.167,21.458,50.0,28.542,,12.833
2011-02-28,4.625,23.958,42.667,18.708,,14.042
2011-03-01,7.75,29.542,81.208,51.667,,12.0
2011-03-02,7.609,30.652,84.391,53.739,,17.826
2011-03-03,4.625,14.542,25.458,10.917,,14.167
2011-03-04,4.375,13.167,22.083,8.917,,23.833
2011-03-05,9.583,38.417,106.583,68.167,,12.667
2011-03-06,7.167,32.75,79.25,46.5,,24.667
2011-03-07,6.958,24.875,60.167,35.292,,25.417
2011-03-08,5.826,24.13,49.043,24.913,,26.773
2011-03-09,6.083,26.958,57.708,30.75,,13.542
2011-03-10,3.708,7.417,15.583,8.167,,4.792
2011-03-11,5.375,18.292,33.292,15.0,,13.792
2011-03-12,5.583,25.625,53.167,27.542,,10.958
2011-03-13,5.208,23.667,52.042,28.375,,8.5
2011-03-14,6.25,28.167,59.917,31.75,,12.75
2011-03-15,5.542,27.042,56.625,29.583,,17.625
2011-03-16,6.217,29.727,66.773,37.045,,16.783
2011-03-17,7.792,31.625,69.542,37.917,,41.625
2011-03-18,7.792,28.167,59.458,31.292,,46.917
2011-03-19,5.167,25.583,50.167,24.583,,12.375
2011-03-20,5.0,24.917,46.5,21.583,,14.542
2011-03-21,5.667,26.5,56.625,30.125,,13.667
2011-03-22,6.13,31.182,70.591,39.409,,18.174
2011-03-23,8.0,39.208,91.875,52.667,,20.833
2011-03-24,6.833,26.292,50.25,23.958,,16.292
2011-03-25,4.958,14.083,26.5,12.417,,8.583
2011-03-26,5.667,25.25,52.833,27.583,,11.917
2011-03-27,6.292,28.667,58.75,30.083,,15.708
2011-03-28,5.458,26.0,52.917,26.917,,20.833
2011-03-29,5.0,23.958,47.208,23.25,,16.125
2011-03-30,3.87,14.652,28.652,14.0,,14.091
2011-03-31,3.458,10.5,18.792,8.292,,13.042
2011-04-01,4.625,22.542,44.125,21.583,,17.583
2011-04-02,4.333,20.083,32.917,12.833,,25.417
2011-04-03,3.625,13.542,22.542,9.0,,19.958
2011-04-04,3.375,13.0,25.417,12.417,,15.542
2011-04-05,4.917,25.727,52.727,27.0,,9.333
2011-04-06,4.556,19.714,32.571,12.857,,21.667
2011-04-07,4.0,16.625,31.708,15.083,,14.458
2011-04-08,3.125,12.833,25.542,12.708,,13.042
2011-04-09,3.708,12.875,24.167,11.292,,14.292
2011-04-10,4.042,11.083,19.125,8.042,,16.0
2011-04-11,4.542,19.083,36.625,17.542,,27.0
2011-04-12,4.5,19.375,38.125,18.75,,17.917
2011-04-13,4.5,23.0,41.958,18.958,,23.75
2011-04-14,5.083,26.458,47.083,20.625,,30.0
2011-04-15,4.273,18.455,35.0,16.545,,28.286
2011-04-16,3.958,13.542,25.333,11.792,,23.667
2011-04-17,3.292,9.875,18.667,8.792,,18.208
2011-04-18,4.75,21.167,39.083,17.917,,19.833
2011-04-19,4.208,17.875,34.917,17.042,,11.667
2011-04-20,5.25,26.333,48.917,22.583,,13.75
2011-04-21,5.174,21.696,49.087,27.391,,17.696
2011-04-22,5.917,29.458,69.417,39.958,,26.208
2011-04-23,3.417,11.5,24.833,13.333,,13.708
2011-04-24,3.333,7.625,15.292,7.667,,14.417
2011-04-25,5.0,22.542,46.417,23.875,,14.667
2011-04-26,4.5,21.542,42.5,20.958,,19.167
2011-04-27,3.348,9.818,20.727,10.909,,38.478
2011-04-28,4.042,15.167,30.792,15.625,,16.875
2011-04-29,4.792,18.958,34.333,15.375,,14.125
2011-04-30,4.5,15.917,30.125,14.208,,20.375
2011-05-01,2.958,7.0,15.208,8.208,,16.417
2011-05-02,5.583,19.833,40.292,20.458,,53.375
2011-05-03,4.583,13.625,24.125,10.5,,76.958
2011-05-04,4.417,11.75,22.5,10.75,,34.542
2011-05-05,3.583,8.792,14.667,5.875,,27.292
2011-05-06,5.292,20.125,40.208,20.083,,28.833
2011-05-07,5.042,20.792,42.958,22.167,,21.292
2011-05-08,4.458,12.667,22.458,9.792,,19.625
2011-05-09,5.375,23.583,45.667,22.083,,31.042
2011-05-10,4.0,17.0,36.125,19.125,,27.333
2011-05-11,5.292,25.083,47.208,22.125,,10.708
2011-05-12,6.0,29.542,60.5,30.958,,7.0
2011-05-13,4.864,22.273,46.818,24.545,,25.435
2011-05-14,4.833,20.042,35.875,15.833,,36.667
2011-05-15,3.458,9.75,16.292,6.542,,20.708
2011-05-16,4.625,21.833,40.333,18.5,,32.458
2011-05-17,4.917,24.458,46.458,22.0,,29.792
2011-05-18,5.217,24.043,45.0,20.957,,28.13
2011-05-19,4.417,21.083,37.0,15.917,,29.5
2011-05-20,4.417,18.75,34.917,16.167,,36.208
2011-05-21,3.708,11.667,21.042,9.375,,32.333
2011-05-22,2.792,6.25,12.708,6.458,,14.042
2011-05-23,3.125,12.083,24.875,12.792,,9.875
2011-05-24,4.136,20.045,38.818,18.773,,8.682
2011-05-25,4.958,21.75,47.125,25.375,,14.917
2011-05-26,4.417,22.375,42.125,19.75,,19.0
2011-05-27,5.042,23.417,51.625,28.208,,13.5
2011-05-28,6.042,23.0,44.625,21.625,,7.875
2011-05-29,4.0,14.583,25.292,10.708,,5.792
2011-05-30,2.583,8.542,17.875,9.333,,7.375
2011-05-31,3.125,13.167,24.417,11.25,,15.833
2011-06-01,4.913,19.25,47.0,27.75,,31.083
2011-06-02,6.25,27.0,71.875,44.875,,25.542
2011-06-03,6.208,24.833,56.208,31.375,,19.208
2011-06-04,4.667,14.792,27.25,12.458,,31.375
2011-06-05,4.167,10.0,16.625,6.625,,38.458
2011-06-06,5.125,24.833,43.458,18.625,,28.583
2011-06-07,5.292,25.375,47.625,22.25,,32.125
2011-06-08,4.167,20.208,34.292,14.083,,16.25
2011-06-09,5.957,26.773,51.545,24.773,,24.708
2011-06-10,5.458,22.583,52.375,29.792,,26.75
2011-06-11,5.875,20.875,39.5,18.625,,22.625
2011-06-12,6.458,17.083,26.833,9.75,,31.042
2011-06-13,6.875,27.292,59.75,32.458,,19.042
2011-06-14,5.583,25.667,41.708,16.042,,30.042
2011-06-15,5.25,22.375,41.75,19.375,,18.042
2011-06-16,5.417,24.042,54.333,30.292,,16.75
2011-06-17,4.304,20.696,39.783,19.087,,8.826
2011-06-18,6.042,20.375,45.083,24.708,,18.75
2011-06-19,5.542,14.958,27.542,12.583,,19.583
2011-06-20,5.5,21.625,50.5,28.875,,19.125
2011-06-21,3.75,16.958,40.542,23.583,,11.208
2011-06-22,4.5,19.958,41.792,21.833,,27.042
2011-06-23,3.417,12.583,31.417,18.833,,24.208
2011-06-24,2.696,8.455,25.409,16.955,,20.864
2011-06-25,4.042,13.833,25.417,11.583,,21.625
2011-06-26,6.0,16.0,25.917,9.917,,37.917
2011-06-27,6.833,24.042,62.875,38.833,,23.458
2011-06-28,3.958,15.458,39.167,23.708,,23.375
2011-06-29,5.083,23.875,45.542,21.667,,33.417
2011-06-30,4.792,20.625,45.375,24.75,,20.625
2011-07-01,4.136,16.591,36.273,19.682,,25.957
2011-07-02,3.75,13.5,23.083,9.583,,30.5
2011-07-03,4.125,13.792,25.542,11.75,,28.958
2011-07-04,3.167,10.625,27.625,17.0,,33.083
2011-07-05,4.333,20.167,39.292,19.125,,19.333
2011-07-06,4.875,23.75,37.417,13.667,,27.708
2011-07-07,3.696,13.227,35.227,22.0,,11.583
2011-07-08,3.708,10.125,32.625,22.5,,14.667
2011-07-09,3.917,14.333,37.792,23.458,,18.875
2011-07-10,3.125,9.833,22.875,13.042,,18.292
2011-07-11,3.792,12.875,40.833,27.958,,16.083
2011-07-12,3.292,10.792,37.583,26.792,,14.625
2011-07-13,3.083,11.875,36.833,24.958,,14.833
2011-07-14,3.958,14.958,37.25,22.292,,18.042
2011-07-15,4.13,19.348,40.652,21.304,,19.826
2011-07-16,3.792,14.917,33.125,18.208,,23.167
2011-07-17,2.917,7.292,20.917,13.625,,18.083
2011-07-18,2.708,6.042,23.708,17.667,,23.5
2011-07-19,2.542,6.375,25.833,19.458,,29.292
2011-07-20,2.833,8.208,25.333,17.125,,24.375
2011-07-21,1.696,4.217,10.391,6.174,,12.87
2011-07-22,2.0,7.542,14.833,7.292,,14.375
2011-07-23,3.25,12.792,27.875,15.083,,14.5
2011-07-24,3.75,14.417,26.458,12.042,,19.958
2011-07-25,4.208,17.667,40.417,22.75,,22.792
2011-07-26,4.292,15.333,38.875,23.542,,14.333
2011-07-27,3.75,14.625,40.542,25.917,,13.25
2011-07-28,4.958,18.792,45.667,26.875,,21.708
2011-07-29,6.217,20.174,43.783,23.609,,29.682
2011-07-30,5.125,19.958,40.0,20.042,,22.833
2011-07-31,2.875,7.417,15.5,8.083,,13.75
2011-08-01,4.417,17.0,33.25,16.25,,25.167
2011-08-02,5.792,19.0,43.333,24.333,,25.792
2011-08-03,5.0,18.5,42.125,23.625,,23.875
2011-08-04,2.826,9.783,26.304,16.522,,15.826
2011-08-05,3.708,10.583,35.042,24.458,,10.083
2011-08-06,4.0,13.174,35.261,22.087,,16.261
2011-08-07,4.917,16.333,27.25,10.917,,26.458
2011-08-08,5.125,19.0,38.042,19.042,,26.125
2011-08-09,4.917,19.5,43.167,23.667,,27.667
2011-08-10,4.042,16.208,31.25,15.042,,28.208
2011-08-11,4.458,18.083,31.417,13.333,,31.958
2011-08-12,5.826,22.591,34.091,11.5,,40.783
2011-08-13,5.583,15.5,23.417,7.917,,47.792
2011-08-14,3.75,7.417,14.042,6.625,,43.917
2011-08-15,3.042,6.75,16.417,9.667,,27.708
2011-08-16,3.75,10.958,21.292,10.333,,32.792
2011-08-17,4.391,13.091,25.455,12.364,,36.818
2011-08-18,3.0,10.208,22.708,12.5,,35.417
2011-08-19,3.417,12.375,24.292,11.917,,19.583
2011-08-20,4.667,16.792,41.667,24.875,,12.042
2011-08-21,3.958,12.958,28.75,15.792,,9.667
2011-08-22,5.417,22.542,57.292,34.75,,10.917
2011-08-23,5.875,19.292,52.292,33.0,,25.792
2011-08-24,4.0,10.958,43.625,32.667,,17.583
2011-08-25,5.0,11.625,53.625,42.0,,10.208
2011-08-26,3.826,13.444,40.667,27.222,,11.958
2011-08-27,3.25,14.375,28.667,14.292,,13.875
2011-08-28,4.625,15.75,26.125,10.375,,21.208
2011-08-29,4.042,16.583,31.292,14.708,,21.583
2011-08-30,3.333,15.917,33.458,17.542,,16.875
2011-08-31,3.958,15.833,39.625,23.792,,14.792
2011-09-01,3.435,8.261,27.565,19.304,,17.913
2011-09-02,2.042,4.833,15.167,10.333,,26.458
2011-09-03,1.833,3.833,13.375,9.542,,38.125
2011-09-04,2.042,5.292,15.25,9.958,,23.75
2011-09-05,5.042,15.917,52.708,36.792,,14.292
2011-09-06,4.75,20.625,47.333,26.708,,13.708
2011-09-07,4.708,21.958,44.75,22.792,,19.5
2011-09-08,4.958,22.958,43.708,20.75,,25.167
2011-09-09,4.591,18.636,40.955,22.318,,22.409
2011-09-10,4.042,12.5,32.625,20.125,,22.625
2011-09-11,3.875,8.25,27.792,19.542,,16.25
2011-09-12,3.833,12.583,43.792,31.208,,13.5
2011-09-13,3.875,12.75,40.417,27.667,,17.333
