date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean
2011-01-01,8.625,10.042,1.417,1.667,16.208
2011-01-02,5.625,5.792,0.167,0.75,11.958
2011-01-03,4.739,5.217,0.478,1.375,10.458
2011-01-04,3.87,4.043,0.174,1.174,13.75
2011-01-05,4.875,5.25,0.375,0.13,15.042
2011-01-06,9.0,10.333,1.333,0.917,11.292
2011-01-07,7.833,8.875,1.042,0.5,12.583
2011-01-08,7.0,7.625,0.625,3.083,11.75
2011-01-09,6.708,7.333,0.625,4.75,14.708
2011-01-10,13.522,15.174,1.652,5.375,15.333
2011-01-11,7.417,8.458,1.042,1.833,13.667
2011-01-12,9.708,11.125,1.417,4.478,10.75
2011-01-13,5.917,6.583,0.667,2.458,11.375
2011-01-14,4.417,5.375,0.958,1.375,13.75
2011-01-15,4.667,5.292,0.625,2.125,16.042
2011-01-16,8.478,9.435,0.957,5.696,17.696
2011-01-17,9.087,10.217,1.13,3.75,12.292
2011-01-18,12.583,15.292,2.708,8.667,14.708
2011-01-19,13.625,15.5,1.875,3.261,12.292
2011-01-20,13.375,16.917,3.542,3.958,15.5
2011-01-21,11.833,13.792,1.958,3.625,13.5
2011-01-22,7.292,8.042,0.75,4.208,10.25
2011-01-23,7.833,8.667,0.833,2.208,13.458
2011-01-24,6.826,7.652,0.826,1.417,10.917
2011-01-25,7.5,8.542,1.042,1.167,7.917
2011-01-26,7.458,8.792,1.333,1.652,13.583
2011-01-27,7.083,7.875,0.792,1.583,15.667
2011-01-28,2.522,2.87,0.348,1.13,11.913
2011-01-29,3.708,4.458,0.75,0.167,12.375
2011-01-30,4.348,5.391,1.043,0.652,12.958
2011-01-31,7.87,9.13,1.261,1.417,12.292
2011-02-01,4.917,5.417,0.5,2.125,15.458
2011-02-02,4.375,4.875,0.5,0.957,17.625
2011-02-03,7.333,8.708,1.375,0.708,9.75
2011-02-04,7.375,8.167,0.792,1.708,12.333
2011-02-05,8.958,10.125,1.167,3.625,16.875
2011-02-06,24.167,31.667,7.5,5.042,26.25
2011-02-07,13.565,16.435,2.87,1.833,18.417
2011-02-08,4.458,5.333,0.875,1.0,9.5
2011-02-09,6.292,7.125,0.833,0.565,10.458
2011-02-10,5.333,6.208,0.875,0.625,12.417
