date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,200.583,2.542,98.0,82.083,56.0,8.292,9.083,9.583,0.5,7,0.625,5.458,96.0,47.875,-1.0,208.875
2011-01-02,196.292,2.208,98.0,93.25,77.0,5.333,4.875,4.875,0.0,33,0.5,7.25,50.0,29.458,11.0,201.625
2011-01-03,203.125,1.958,98.0,88.5,70.0,5.583,4.833,5.0,0.167,7,0.333,4.375,49.0,25.167,7.0,208.708
2011-01-04,196.542,2.583,98.0,92.333,76.0,5.5,5.958,6.333,0.375,34,1.25,6.625,54.0,19.833,5.0,202.042
2011-01-05,199.652,2.25,98.0,87.0,68.0,7.0,7.083,7.5,0.417,5,0.583,4.875,43.0,20.375,4.0,206.652
2011-01-06,202.333,2.875,98.0,93.417,82.0,9.417,10.783,13.522,2.739,13,0.792,5.417,45.0,22.333,8.0,211.75
2011-01-07,202.125,2.217,98.0,95.958,89.0,7.25,7.958,8.875,0.917,16,0.174,4.458,31.0,14.208,5.0,209.375
2011-01-08,200.75,2.208,98.0,89.708,64.0,7.625,7.333,8.375,1.042,2,0.25,5.167,53.0,18.958,5.0,208.375
2011-01-09,196.667,2.083,96.0,86.208,68.0,6.417,5.208,5.75,0.542,8,1.417,7.625,71.0,46.167,13.0,203.083
2011-01-10,206.042,3.083,98.0,85.917,66.0,9.5,9.625,11.458,1.833,1,1.333,12.917,81.0,48.417,15.0,215.542
2011-01-11,194.292,2.292,98.0,92.458,75.0,6.583,5.5,5.958,0.458,12,1.292,5.833,62.0,21.208,-13.0,200.875
2011-01-12,200.087,2.167,97.0,79.417,59.0,8.043,7.958,9.042,1.083,3,0.625,4.0,40.0,11.75,-19.0,208.13
2011-01-13,195.0,2.375,98.0,91.5,77.0,7.083,6.478,7.043,0.565,15,1.333,7.708,70.0,36.542,11.0,202.083
2011-01-14,197.542,2.583,98.0,87.75,61.0,7.208,5.833,6.625,0.792,5,1.435,7.833,55.0,20.292,-4.0,204.75
2011-01-15,200.0,2.375,98.0,91.875,58.0,7.25,5.0,5.417,0.417,7,1.0,8.792,62.0,23.0,9.0,207.25
2011-01-16,195.917,2.25,92.0,76.708,63.0,8.167,8.542,8.958,0.417,0,1.625,12.792,45.0,24.542,5.0,204.083
2011-01-17,195.208,2.042,88.0,82.625,73.0,7.625,9.167,9.708,0.542,0,1.083,6.5,38.0,23.708,3.0,202.833
2011-01-18,202.5,2.583,92.0,74.0,40.0,9.208,11.167,14.375,3.208,0,1.708,7.042,90.0,32.75,-19.0,211.708
2011-01-19,196.304,1.667,84.0,72.625,59.0,6.217,7.0,7.25,0.25,0,0.875,5.542,94.0,62.5,21.0,202.522
2011-01-20,196.333,2.167,97.0,88.5,72.0,8.5,11.435,13.0,1.565,5,1.625,7.167,87.0,61.292,45.0,204.833
2011-01-21,201.042,2.083,97.0,91.292,74.0,7.75,8.125,8.792,0.667,0,0.609,4.875,86.0,57.5,40.0,208.792
2011-01-22,199.167,2.304,97.0,84.958,58.0,8.208,7.208,7.833,0.625,3,0.375,3.75,107.0,63.0,23.0,207.375
2011-01-23,193.542,2.375,98.0,96.333,94.0,6.625,5.458,5.792,0.333,7,0.708,4.542,54.0,17.417,-9.0,200.167
2011-01-24,196.333,2.208,98.0,89.583,76.0,5.375,5.792,6.458,0.667,5,1.042,7.25,29.0,5.667,-13.0,201.708
2011-01-25,194.625,2.5,98.0,91.292,74.0,5.75,6.136,6.909,0.773,15,1.636,3.917,26.0,10.125,-10.0,200.375
2011-01-26,198.348,2.25,98.0,93.833,74.0,5.957,5.043,5.652,0.609,22,1.5,1.9,20.0,-3.542,-23.0,204.304
2011-01-27,199.25,3.208,98.0,94.5,86.0,7.25,8.0,8.957,0.957,16,2.391,8.458,29.0,15.25,3.0,206.5
2011-01-28,193.667,2.208,98.0,91.542,83.0,6.524,4.875,5.458,0.583,2,1.652,6.333,16.0,-1.042,-13.0,200.19
2011-01-29,185.833,2.042,98.0,89.583,71.0,6.5,3.833,4.458,0.625,7,1.0,5.25,6.0,-7.75,-19.0,192.333
2011-01-30,190.455,2.333,98.0,84.958,53.0,6.909,5.833,6.667,0.833,5,1.087,3.125,26.0,4.458,-12.0,197.364
2011-01-31,194.818,2.667,98.0,91.542,69.0,9.682,9.125,10.375,1.25,14,1.042,6.792,36.0,0.875,-33.0,204.5
2011-02-01,193.75,2.875,98.0,82.375,54.0,11.292,5.875,6.833,0.958,15,2.167,11.167,45.0,15.625,-9.0,205.042
2011-02-02,194.417,2.875,98.0,82.0,52.0,10.667,5.375,6.083,0.708,14,1.583,7.167,-1.0,-13.75,-21.0,205.083
