date,CO_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,3.708,13.875,18.042,4.167,5.958
2011-01-02,3.5,10.043,13.217,3.174,3.542
2011-01-03,3.5,11.333,14.833,3.5,6.292
2011-01-04,3.435,10.542,15.875,5.333,6.375
2011-01-05,3.5,18.0,30.667,12.667,7.208
2011-01-06,4.167,22.167,38.75,16.583,6.708
2011-01-07,4.25,20.75,32.042,11.292,7.458
2011-01-08,3.417,13.167,18.417,5.25,3.292
2011-01-09,3.125,13.957,21.261,7.304,9.333
2011-01-10,5.125,23.667,40.208,16.542,15.75
2011-01-11,3.478,16.0,25.75,9.75,8.25
2011-01-12,4.083,18.958,28.625,9.667,4.625
2011-01-13,3.917,18.708,29.5,10.792,8.958
2011-01-14,3.917,13.792,21.417,7.625,8.167
2011-01-15,3.667,11.292,15.875,4.583,10.917
2011-01-16,3.583,18.783,28.348,9.565,11.667
2011-01-17,3.708,19.913,31.391,11.478,8.522
2011-01-18,4.739,28.5,45.208,16.708,8.5
2011-01-19,3.292,19.375,25.167,5.792,7.5
2011-01-20,4.0,25.333,40.0,14.667,13.75
2011-01-21,3.708,18.958,28.458,9.5,9.917
2011-01-22,3.208,17.167,23.667,6.5,4.333
2011-01-23,3.125,14.348,21.348,7.0,6.583
2011-01-24,3.125,13.273,19.227,5.955,7.292
2011-01-25,3.478,17.522,33.652,16.13,7.958
2011-01-26,4.417,15.913,25.261,9.348,5.75
2011-01-27,4.292,18.609,28.783,10.174,12.458
2011-01-28,3.542,11.083,15.083,4.0,10.875
2011-01-29,3.208,8.667,12.333,3.667,6.042
2011-01-30,3.708,16.292,27.125,10.833,5.875
2011-01-31,4.583,23.167,39.417,16.25,8.043
2011-02-01,3.75,12.25,22.125,9.875,11.583
2011-02-02,3.696,14.125,26.542,12.417,9.0
2011-02-03,3.917,16.0,24.304,8.304,5.875
2011-02-04,4.083,12.958,20.667,7.708,14.5
2011-02-05,5.083,20.375,28.25,7.875,13.833
2011-02-06,9.792,45.708,101.583,55.875,26.875
2011-02-07,6.958,28.75,46.708,17.958,16.833
2011-02-08,3.25,17.136,33.364,16.227,6.542
2011-02-09,3.087,18.217,32.783,14.565,5.583
2011-02-10,3.5,17.609,28.217,10.609,7.125
2011-02-11,3.0,11.13,16.261,5.13,7.875
2011-02-12,3.333,10.739,15.087,4.348,11.083
2011-02-13,4.417,26.391,40.435,14.043,13.583
2011-02-14,6.667,38.522,80.913,42.391,19.958
2011-02-15,4.375,24.217,37.739,13.522,20.833
2011-02-16,3.174,17.13,23.739,6.609,7.042
2011-02-17,3.708,19.652,32.348,12.696,7.5
2011-02-18,3.333,14.565,24.652,10.087,8.375
2011-02-19,3.792,15.348,21.348,6.0,7.5
2011-02-20,3.833,21.0,29.522,8.522,9.708
2011-02-21,4.292,28.435,50.826,22.391,15.75
2011-02-22,4.167,24.435,38.435,14.0,27.792
2011-02-23,6.13,34.0,59.609,25.609,32.333
2011-02-24,4.458,21.917,33.417,11.5,31.087
