date,CO_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,6.042,16.625,23.667,7.042,15.042
2011-01-02,4.0,10.5,16.792,6.292,8.875
2011-01-03,4.083,11.0,13.083,2.083,5.167
2011-01-04,4.174,10.957,14.391,3.435,9.417
2011-01-05,3.25,16.917,20.958,4.042,4.125
2011-01-06,3.583,19.667,24.792,5.125,7.625
2011-01-07,2.667,10.042,11.125,1.083,3.833
2011-01-08,3.167,13.833,16.917,3.083,4.167
2011-01-09,4.333,18.5,26.292,7.792,12.042
2011-01-10,6.333,24.958,57.292,32.333,16.208
2011-01-11,4.304,16.957,47.565,30.609,11.75
2011-01-12,3.375,14.625,20.25,5.625,6.333
2011-01-13,4.909,21.043,57.652,36.609,9.429
2011-01-14,4.083,9.875,11.375,1.5,8.292
2011-01-15,3.083,8.208,9.5,1.292,3.625
2011-01-16,3.625,16.667,20.75,4.083,4.875
2011-01-17,4.5,25.375,50.125,24.75,7.833
2011-01-18,7.0,31.696,71.913,40.217,13.083
2011-01-19,6.917,33.833,69.667,35.833,20.25
2011-01-20,4.583,24.333,42.125,17.792,12.792
2011-01-21,4.0,21.75,27.292,5.542,10.625
2011-01-22,3.125,12.25,16.458,4.208,4.0
2011-01-23,4.5,20.5,36.292,15.792,5.75
2011-01-24,3.333,19.25,25.875,6.625,3.5
2011-01-25,4.478,27.391,46.478,19.087,5.875
2011-01-26,3.458,16.708,20.75,4.042,4.042
2011-01-27,4.417,21.333,43.417,22.083,9.167
2011-01-28,3.625,14.375,16.042,1.667,6.5
2011-01-29,2.333,6.458,7.458,1.0,1.625
2011-01-30,3.375,17.417,23.125,5.708,7.792
2011-01-31,3.773,21.739,36.217,14.478,5.261
2011-02-01,4.435,20.261,45.87,25.609,9.958
2011-02-02,3.375,18.25,22.75,4.5,5.542
2011-02-03,5.583,26.083,54.0,27.917,7.708
2011-02-04,4.75,18.25,34.208,15.958,13.792
2011-02-05,4.333,12.458,14.458,2.0,21.292
2011-02-06,6.042,25.75,42.875,17.125,20.333
2011-02-07,5.583,19.958,36.875,16.917,11.333
2011-02-08,2.217,8.696,10.0,1.304,2.667
2011-02-09,3.167,13.292,18.708,5.417,7.417
2011-02-10,3.375,17.042,27.042,10.0,8.542
2011-02-11,2.917,12.125,16.167,4.042,7.375
2011-02-12,3.083,7.958,8.917,0.958,8.0
2011-02-13,3.955,24.955,31.318,6.364,12.348
2011-02-14,5.958,28.25,57.167,28.917,11.75
2011-02-15,5.043,24.652,38.957,14.304,14.083
2011-02-16,2.917,16.5,18.625,2.125,5.667
2011-02-17,3.042,15.083,19.125,4.042,4.208
2011-02-18,2.6,9.083,10.708,1.625,4.458
2011-02-19,2.727,11.583,14.333,2.75,5.917
2011-02-20,3.455,23.043,32.739,9.696,6.667
2011-02-21,3.5,25.583,42.708,17.125,9.042
2011-02-22,3.739,27.304,37.957,10.652,20.625
2011-02-23,4.333,19.792,24.833,5.042,21.875
2011-02-24,4.565,23.958,29.875,5.917,26.042
2011-02-25,4.125,19.333,22.792,3.458,23.5
2011-02-26,2.25,6.25,7.542,1.292,5.25
2011-02-27,2.208,5.833,6.833,1.0,6.625
2011-02-28,3.125,21.125,26.25,5.125,9.792
2011-03-01,4.833,34.208,50.0,15.792,16.667
2011-03-02,5.458,26.875,54.375,27.5,19.167
2011-03-03,2.667,9.917,11.083,1.167,6.708
2011-03-04,4.125,18.875,20.333,1.458,17.5
2011-03-05,6.0,34.792,53.333,18.542,12.375
2011-03-06,7.208,34.583,77.167,42.583,16.542
2011-03-07,4.043,13.304,14.478,1.174,20.708
2011-03-08,5.042,27.75,32.083,4.333,21.833
2011-03-09,3.696,18.208,19.292,1.083,17.0
2011-03-10,2.583,8.375,9.375,1.0,6.542
2011-03-11,2.458,5.792,6.792,1.0,8.375
2011-03-12,2.25,10.208,11.25,1.042,7.083
2011-03-13,2.167,10.583,11.75,1.167,7.667
2011-03-14,2.913,20.957,24.087,3.13,10.125
2011-03-15,3.318,18.826,23.522,4.696,11.565
2011-03-16,3.318,24.708,29.583,4.875,11.458
2011-03-17,4.958,29.125,50.625,21.5,13.542
2011-03-18,5.083,21.708,39.625,17.917,10.667
2011-03-19,2.333,9.5,10.583,1.083,5.083
2011-03-20,2.292,10.292,11.417,1.125,7.417
2011-03-21,2.348,9.087,10.13,1.043,6.875
2011-03-22,3.417,21.25,28.625,7.375,12.625
2011-03-23,3.565,28.417,40.667,12.25,13.833
2011-03-24,3.0,18.25,26.208,7.958,6.417
2011-03-25,2.708,8.792,9.917,1.125,5.833
2011-03-26,2.25,11.417,12.875,1.458,7.625
2011-03-27,2.833,19.667,26.333,6.667,11.75
2011-03-28,3.348,23.391,31.783,8.391,18.083
2011-03-29,2.792,21.0,26.125,5.125,14.818
2011-03-30,2.864,15.154,22.538,7.385,13.391
2011-03-31,1.958,4.458,12.875,8.417,6.208
2011-04-01,3.667,29.125,33.25,4.125,12.292
2011-04-02,3.583,18.417,21.208,2.792,19.708
2011-04-03,2.333,5.583,6.875,1.292,6.833
2011-04-04,2.25,7.792,9.083,1.292,5.25
2011-04-05,3.333,20.792,22.5,1.708,10.292
2011-04-06,4.087,29.565,31.783,2.217,14.458
2011-04-07,3.083,25.542,29.583,4.042,14.0
2011-04-08,2.5,19.917,21.75,1.833,11.75
2011-04-09,2.833,13.208,15.75,2.542,11.042
2011-04-10,4.125,14.792,16.208,1.417,20.5
2011-04-11,4.333,17.75,19.667,1.917,19.375
2011-04-12,2.875,11.167,13.458,2.292,13.625
2011-04-13,5.043,38.391,48.435,10.043,21.083
2011-04-14,4.75,31.792,38.375,6.583,23.125
2011-04-15,3.565,25.174,27.478,2.304,21.478
2011-04-16,3.25,11.75,16.667,4.917,22.083
2011-04-17,2.875,8.625,10.167,1.542,12.0
2011-04-18,2.792,18.5,21.292,2.792,15.292
2011-04-19,3.125,15.625,17.333,1.708,7.417
2011-04-20,2.217,9.913,11.304,1.391,4.292
2011-04-21,3.083,24.667,29.333,4.667,10.417
