date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,86.0,70.875,47.0,13.708,17.792,4.083,,1.583,14.417,96.0,46.083,-4.0
2011-01-02,89.0,76.333,54.0,6.042,6.833,0.792,,1.958,13.375,90.0,46.083,29.0
2011-01-03,76.0,62.375,50.0,6.292,6.958,0.667,,2.0,17.083,73.0,46.542,24.0
2011-01-04,89.0,64.333,31.0,5.0,5.522,0.522,,4.435,24.0,87.0,34.375,9.0
2011-01-05,80.0,72.042,53.0,6.042,6.875,0.833,,1.375,7.625,83.0,32.958,9.0
2011-01-06,86.0,65.083,37.0,13.864,16.273,2.409,,1.773,11.909,106.0,47.5,3.0
2011-01-07,87.0,74.875,59.0,5.917,6.667,0.75,,1.208,7.0,84.0,38.792,20.0
2011-01-08,86.0,70.625,56.0,11.667,14.375,2.708,,1.5,9.458,58.0,27.917,-6.0
2011-01-09,84.0,70.0,50.0,14.0,19.125,5.125,,2.667,15.5,107.0,45.458,2.0
2011-01-10,89.0,69.875,41.0,19.833,27.583,7.75,,2.625,26.125,118.0,53.458,9.0
2011-01-11,91.0,66.375,38.0,10.783,12.043,1.261,,3.174,23.292,108.0,47.958,2.0
2011-01-12,88.0,75.083,57.0,17.87,30.435,12.565,,1.609,10.783,44.0,14.042,-6.0
2011-01-13,85.0,60.292,39.0,17.792,37.417,19.625,,2.708,15.083,101.0,45.083,-9.0
2011-01-14,76.0,64.792,54.0,6.833,8.125,1.292,,3.25,17.792,76.0,51.708,32.0
2011-01-15,73.0,62.542,48.0,5.292,6.25,0.958,,2.208,12.333,80.0,52.0,30.0
2011-01-16,63.0,55.458,45.0,11.833,13.375,1.542,,1.917,13.375,53.0,39.833,32.0
2011-01-17,83.0,58.792,32.0,20.333,38.0,17.667,,1.833,16.375,97.0,43.0,2.0
2011-01-18,90.0,69.125,43.0,29.13,88.783,59.652,,2.348,15.125,92.0,28.167,-28.0
2011-01-19,90.0,82.833,68.0,29.217,94.261,65.043,,2.304,19.565,67.0,38.625,7.0
2011-01-20,90.0,84.125,75.0,17.625,19.917,2.292,,1.667,14.0,86.0,65.042,45.0
2011-01-21,90.0,84.5,76.0,18.875,20.958,2.083,,1.792,16.417,77.0,65.542,56.0
2011-01-22,93.0,79.208,61.0,13.625,16.708,3.083,,1.833,12.417,114.0,66.583,24.0
2011-01-23,82.0,72.5,55.0,7.667,8.708,1.042,,1.833,5.75,106.0,57.667,23.0
2011-01-24,81.0,63.208,50.0,6.917,8.542,1.625,,1.75,9.458,58.0,24.417,3.0
2011-01-25,59.0,50.083,32.0,8.174,9.522,1.348,,2.478,13.5,69.0,19.625,-4.0
2011-01-26,70.0,59.0,46.0,6.913,7.696,0.783,,1.957,10.348,56.0,15.417,-7.0
2011-01-27,83.0,63.833,53.0,11.042,12.375,1.333,,3.458,19.375,71.0,23.333,-4.0
2011-01-28,74.0,64.625,54.0,9.25,9.75,0.5,,3.25,19.292,83.0,35.125,17.0
2011-01-29,79.0,65.25,50.0,3.5,3.542,0.042,,2.0,8.583,54.0,20.375,-3.0
2011-01-30,91.0,78.25,66.0,14.208,15.833,1.625,,2.083,11.25,38.0,13.458,-9.0
2011-01-31,86.0,65.083,46.0,15.333,23.375,8.042,,1.958,12.083,54.0,18.333,-21.0
2011-02-01,87.0,66.708,44.0,15.217,29.565,14.348,,3.348,18.292,61.0,18.75,-27.0
2011-02-02,87.0,65.5,54.0,5.227,5.864,0.636,,2.136,8.727,37.0,-2.958,-26.0
2011-02-03,76.0,58.625,37.0,12.708,14.333,1.625,,2.25,11.833,54.0,6.833,-30.0
2011-02-04,77.0,54.208,33.0,12.458,13.792,1.333,,3.708,22.333,86.0,38.083,-10.0
2011-02-05,72.0,58.792,38.0,10.333,11.042,0.708,,4.833,32.292,93.0,50.667,11.0
2011-02-06,95.0,89.333,75.0,23.542,26.25,2.708,,3.667,32.792,64.0,51.0,37.0
2011-02-07,95.0,78.042,57.0,15.542,20.375,4.833,,2.333,15.042,105.0,71.667,45.0
2011-02-08,71.0,58.833,46.0,4.87,5.565,0.696,,1.957,9.333,61.0,24.5,-7.0
2011-02-09,61.0,50.542,39.0,8.217,9.348,1.13,,2.217,12.739,55.0,14.917,-20.0
2011-02-10,72.0,55.0,36.0,13.167,15.083,1.917,,2.458,10.292,81.0,30.333,-6.0
2011-02-11,80.0,64.0,44.0,4.458,4.833,0.375,,2.0,12.125,76.0,32.875,-4.0
2011-02-12,82.0,64.458,50.0,8.875,10.417,1.542,,2.125,13.625,83.0,30.625,2.0
2011-02-13,92.0,82.208,60.0,28.333,39.833,11.5,,2.167,17.167,48.0,24.292,4.0
2011-02-14,92.0,89.083,83.0,29.0,36.458,7.458,,2.042,21.542,63.0,49.5,33.0
2011-02-15,94.0,78.583,60.0,19.565,24.0,4.435,,2.043,14.917,63.0,43.25,26.0
2011-02-16,72.0,55.25,29.0,9.783,10.913,1.13,,2.217,11.652,81.0,40.542,14.0
2011-02-17,84.0,61.167,48.0,5.292,5.75,0.458,,2.417,9.958,74.0,27.5,-9.0
2011-02-18,92.0,82.375,67.0,6.5,7.125,0.625,,2.042,10.292,15.0,-4.708,-22.0
2011-02-19,88.0,73.417,55.0,17.792,22.708,4.917,,2.083,14.208,62.0,8.042,-43.0
2011-02-20,88.0,67.292,42.0,23.875,39.75,15.875,,2.167,13.5,85.0,30.208,-16.0
2011-02-21,91.0,73.75,49.0,36.875,85.125,48.25,,3.25,23.458,83.0,38.75,-18.0
2011-02-22,91.0,71.25,46.0,25.696,40.478,14.783,,3.435,26.0,105.0,74.208,28.0
2011-02-23,94.0,81.478,54.0,13.652,16.087,2.435,,2.522,18.087,114.0,88.5,69.0
2011-02-24,74.0,56.375,40.0,8.833,9.25,0.417,,3.667,32.917,117.0,76.5,48.0
2011-02-25,87.0,80.958,74.0,19.5,22.708,3.208,,2.708,23.792,78.0,61.417,42.0
2011-02-26,88.0,66.958,52.0,4.208,4.208,0.0,,2.0,11.583,56.0,34.125,0.0
2011-02-27,78.0,65.5,55.0,3.625,3.917,0.292,,2.0,11.542,47.0,14.583,-9.0
2011-02-28,82.0,52.25,31.0,15.583,26.625,11.042,,2.25,12.292,75.0,31.75,-28.0
2011-03-01,93.0,75.625,56.0,22.591,41.864,19.273,,2.591,17.478,144.0,78.125,19.0
2011-03-02,94.0,88.292,73.0,21.833,26.125,4.292,,2.667,17.042,96.0,80.125,68.0
2011-03-03,74.0,55.417,35.0,4.75,4.792,0.042,,2.333,16.833,127.0,82.333,39.0
2011-03-04,91.0,80.125,64.0,8.875,9.208,0.333,,2.292,17.125,83.0,56.583,25.0
2011-03-05,94.0,90.417,85.0,14.417,15.125,0.708,,2.0,12.333,110.0,95.708,83.0
2011-03-06,93.0,79.542,62.0,23.333,30.792,7.458,,3.083,18.042,167.0,123.542,88.0
2011-03-07,79.0,63.583,51.0,14.609,16.391,1.783,,3.043,32.125,122.0,93.458,59.0
2011-03-08,86.0,61.042,40.0,22.955,35.091,12.136,,3.136,30.636,132.0,82.667,33.0
2011-03-09,90.0,82.458,65.0,17.458,18.333,0.875,,2.333,25.083,79.0,63.292,56.0
2011-03-10,89.0,65.042,48.0,9.958,10.792,0.833,,2.125,13.667,122.0,78.917,54.0
2011-03-11,73.0,57.542,36.0,4.667,5.25,0.583,,2.75,13.208,111.0,56.833,14.0
2011-03-12,86.0,70.417,56.0,4.75,5.083,0.333,,2.292,14.583,74.0,30.958,5.0
2011-03-13,87.0,67.917,48.0,10.083,10.958,0.875,,1.917,13.375,70.0,32.125,2.0
2011-03-14,88.0,57.917,33.0,26.261,44.913,18.652,,2.739,14.292,117.0,53.208,-12.0
2011-03-15,75.0,57.292,35.0,17.0,19.087,2.087,,3.227,18.174,114.0,57.917,15.0
2011-03-16,82.0,60.667,32.0,20.083,25.417,5.333,,2.667,18.958,132.0,71.333,-3.0
2011-03-17,93.0,89.792,81.0,19.0,22.167,3.167,,2.208,18.167,116.0,99.042,85.0
2011-03-18,93.0,85.542,68.0,18.875,30.667,11.792,,2.25,24.042,126.0,105.333,87.0
2011-03-19,79.0,58.833,42.0,6.25,6.708,0.458,,2.0,13.75,102.0,62.958,11.0
2011-03-20,85.0,58.25,34.0,16.083,26.042,9.958,,2.125,18.875,131.0,62.458,-10.0
2011-03-21,87.0,56.458,29.0,7.783,8.13,0.348,,2.348,19.042,117.0,61.333,16.0
2011-03-22,84.0,62.292,42.0,25.696,38.696,13.0,,2.739,28.261,151.0,78.958,5.0
2011-03-23,93.0,87.208,76.0,17.792,18.708,0.917,,2.25,26.375,95.0,86.0,74.0
2011-03-24,93.0,74.167,56.0,9.792,10.125,0.333,,2.333,24.25,118.0,92.333,60.0
2011-03-25,79.0,64.042,45.0,3.708,3.792,0.083,,2.333,22.917,102.0,59.25,32.0
2011-03-26,78.0,62.792,43.0,3.792,4.083,0.292,,2.0,22.125,92.0,56.583,23.0
2011-03-27,79.0,55.25,33.0,16.917,18.625,1.708,,3.583,37.125,140.0,85.167,22.0
2011-03-28,81.0,61.042,37.0,19.783,28.522,8.739,,3.826,39.333,148.0,88.792,42.0
2011-03-29,83.0,45.458,15.0,24.952,34.095,9.143,,2.913,25.739,187.0,102.25,28.0
2011-03-30,81.0,56.208,41.0,25.583,51.833,26.25,,3.25,24.583,195.0,129.375,40.0
2011-03-31,92.0,75.083,52.0,8.917,9.292,0.375,,2.042,18.333,148.0,97.292,42.0
2011-04-01,88.0,51.708,13.0,31.636,54.273,22.636,,2.455,23.174,200.0,112.583,17.0
2011-04-02,87.0,63.667,39.0,20.833,35.583,14.75,,2.333,29.25,202.0,105.667,57.0
2011-04-03,70.0,51.167,38.0,6.5,6.833,0.333,,1.333,12.125,111.0,65.583,30.0
2011-04-04,90.0,54.917,23.0,15.917,18.458,2.542,,1.25,12.667,143.0,71.458,5.0
