date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-01-01,14.625,19.875,5.25,,7.625
2011-01-02,12.042,20.75,8.708,,9.667
2011-01-03,16.5,26.917,10.417,,12.458
2011-01-04,11.667,21.5,9.833,,16.333
2011-01-05,22.875,43.417,20.542,,5.458
2011-01-06,33.667,97.75,64.083,,11.833
2011-01-07,18.042,39.292,21.25,,4.333
2011-01-08,18.042,31.458,13.417,,7.083
2011-01-09,21.958,47.375,25.417,,13.958
2011-01-10,35.792,109.583,73.792,,31.174
2011-01-11,23.5,54.667,31.167,,19.875
2011-01-12,30.75,70.083,39.333,,6.542
2011-01-13,31.333,102.333,71.0,,15.458
2011-01-14,25.542,60.833,35.292,,24.125
2011-01-15,18.208,33.583,15.375,,9.542
2011-01-16,24.792,54.333,29.542,,10.0
2011-01-17,22.167,42.167,20.0,,10.917
2011-01-18,34.958,88.917,53.958,,18.5
2011-01-19,36.125,97.375,61.25,,13.917
2011-01-20,35.708,79.333,43.625,3.917,8.333
2011-01-21,34.042,76.542,42.5,5.042,12.417
2011-01-22,23.208,46.333,23.125,4.333,9.292
2011-01-23,23.958,57.958,34.0,3.542,4.917
2011-01-24,25.417,61.333,35.917,8.739,6.958
2011-01-25,24.333,53.917,29.583,22.435,16.042
2011-01-26,28.125,63.292,35.167,11.583,8.125
2011-01-27,29.833,58.625,28.792,25.083,18.333
2011-01-28,26.333,51.625,25.292,22.792,15.708
2011-01-29,13.5,19.917,6.417,10.708,5.583
2011-01-30,25.952,59.333,33.381,12.667,9.917
2011-01-31,35.167,95.542,60.375,13.458,10.208
2011-02-01,29.083,91.917,62.833,20.667,16.083
2011-02-02,16.167,37.208,21.042,11.458,6.083
2011-02-03,28.917,57.75,28.833,18.083,11.958
2011-02-04,27.625,58.458,30.833,25.333,18.0
2011-02-05,20.333,36.625,16.292,36.375,30.292
2011-02-06,34.792,72.042,37.25,30.292,29.261
2011-02-07,32.792,79.542,46.75,14.417,10.792
2011-02-08,23.0,58.417,35.417,12.0,8.833
2011-02-09,26.458,57.375,30.917,14.792,9.583
2011-02-10,27.708,64.625,36.917,14.375,9.458
2011-02-11,16.958,30.25,13.292,12.792,8.292
2011-02-12,18.833,34.083,15.25,13.917,9.917
2011-02-13,34.042,76.333,42.292,18.542,13.957
2011-02-14,36.583,93.708,57.125,18.25,14.625
2011-02-15,29.583,81.5,51.917,19.583,14.208
2011-02-16,31.375,63.875,32.5,16.75,12.958
2011-02-17,24.625,58.625,34.0,12.458,7.167
2011-02-18,17.292,37.667,20.375,9.708,7.583
2011-02-19,16.125,27.792,11.667,12.917,7.25
2011-02-20,28.042,70.292,42.25,17.087,13.167
2011-02-21,40.0,96.708,56.708,27.375,23.125
2011-02-22,34.542,69.292,34.75,26.458,21.375
2011-02-23,28.0,62.958,34.958,16.083,15.625
2011-02-24,24.125,47.625,23.5,30.458,26.375
2011-02-25,32.458,69.75,37.292,23.917,23.375
2011-02-26,13.125,22.5,9.375,12.0,9.5
2011-02-27,21.375,40.333,18.958,16.13,10.25
2011-02-28,31.125,58.833,27.708,13.5,10.292
2011-03-01,34.25,67.75,33.5,16.042,15.333
2011-03-02,30.708,79.0,48.292,15.667,17.042
2011-03-03,15.542,31.875,16.333,18.042,12.542
2011-03-04,17.542,26.708,9.167,18.333,14.833
2011-03-05,38.208,79.125,40.917,9.417,10.292
2011-03-06,35.417,80.875,45.458,15.042,15.167
2011-03-07,31.417,67.167,35.75,32.083,28.917
2011-03-08,25.5,43.917,18.417,32.792,26.792
2011-03-09,29.0,53.167,24.167,19.708,19.667
2011-03-10,16.458,30.833,14.375,12.875,10.083
2011-03-11,13.917,23.708,9.792,15.542,10.917
2011-03-12,19.792,42.208,22.417,15.0,10.625
2011-03-13,26.25,56.25,30.0,14.0,7.5
2011-03-14,30.5,58.833,28.333,16.333,11.208
2011-03-15,27.292,73.042,45.75,19.125,15.875
2011-03-16,30.792,66.375,35.583,15.667,13.708
2011-03-17,38.125,83.083,44.958,15.708,17.208
2011-03-18,28.5,81.958,53.458,21.75,24.583
2011-03-19,15.792,32.833,17.042,6.696,4.043
2011-03-20,19.042,31.917,12.875,11.625,7.292
2011-03-21,21.625,46.708,25.083,12.458,7.208
2011-03-22,33.5,59.458,25.958,20.792,16.542
2011-03-23,39.792,79.042,39.25,17.917,15.958
2011-03-24,23.167,38.583,15.417,13.333,13.333
2011-03-25,9.583,16.958,7.375,14.583,7.958
2011-03-26,26.75,58.875,32.125,12.864,8.792
2011-03-27,32.708,61.917,29.208,26.25,21.542
2011-03-28,30.0,67.375,37.375,32.333,29.0
2011-03-29,29.5,55.583,26.083,25.333,19.792
2011-03-30,23.083,49.042,25.958,20.333,16.708
2011-03-31,19.125,36.875,17.75,11.583,9.792
2011-04-01,33.375,48.417,15.042,,
2011-04-02,25.208,44.708,19.5,,
2011-04-03,10.083,17.5,7.417,,
2011-04-04,18.708,31.875,13.167,,
2011-04-05,24.458,41.917,17.458,,
2011-04-06,30.042,44.667,14.625,,
2011-04-07,32.5,59.167,26.667,,
2011-04-08,37.958,80.0,42.042,,
2011-04-09,23.792,46.25,22.458,,
2011-04-10,15.458,21.125,5.667,,
2011-04-11,24.292,43.625,19.333,,
2011-04-12,33.708,56.75,23.042,,
2011-04-13,31.917,54.167,22.25,,
2011-04-14,35.458,53.417,17.958,,
2011-04-15,36.708,65.167,28.458,,
2011-04-16,18.083,34.708,16.625,,
2011-04-17,13.667,21.292,7.625,,
2011-04-18,18.458,27.708,9.25,,
2011-04-19,27.75,47.917,20.167,,
2011-04-20,24.875,50.083,25.208,,
2011-04-21,29.75,52.542,22.792,,
2011-04-22,42.708,94.75,52.042,,
2011-04-23,34.083,74.917,40.833,,
2011-04-24,20.417,33.208,12.792,,
2011-04-25,25.458,46.0,20.542,,
2011-04-26,32.792,56.5,23.708,,
2011-04-27,26.5,53.0,26.5,,
2011-04-28,32.792,59.833,27.042,,
2011-04-29,27.083,43.417,16.333,,
2011-04-30,30.042,49.208,19.167,,
2011-05-01,21.458,36.917,15.458,,
2011-05-02,24.652,49.043,24.391,,
2011-05-03,22.125,31.917,9.792,,
2011-05-04,15.917,28.333,12.417,,
2011-05-05,16.208,23.167,6.958,,
2011-05-06,14.75,20.917,6.167,,
2011-05-07,9.542,12.958,3.417,,
2011-05-08,13.0,17.458,4.458,,
2011-05-09,26.958,39.417,12.458,,
2011-05-10,26.167,66.333,40.167,,
2011-05-11,31.042,70.458,39.417,,
2011-05-12,25.708,53.292,27.583,,
2011-05-13,26.167,43.667,17.5,,
2011-05-14,26.292,40.667,14.375,,
2011-05-15,16.0,21.833,5.833,,
2011-05-16,34.208,54.667,20.458,,
2011-05-17,26.292,46.958,20.667,,
2011-05-18,22.917,37.25,14.333,,
2011-05-19,28.583,41.458,12.875,,
2011-05-20,27.167,46.958,19.792,,
2011-05-21,19.292,32.667,13.375,,
2011-05-22,11.333,17.5,6.167,,
2011-05-23,30.375,54.958,24.583,,
2011-05-24,20.042,36.5,16.458,,
2011-05-25,34.0,53.583,19.583,,
2011-05-26,14.25,21.083,6.833,,
2011-05-27,17.167,25.167,8.0,,
2011-05-28,31.167,52.625,21.458,,
2011-05-29,12.042,18.5,6.458,,
2011-05-30,16.333,31.75,15.417,,
2011-05-31,26.583,50.125,23.542,,
2011-06-01,28.5,56.208,27.708,,
2011-06-02,28.5,60.542,32.042,,
2011-06-03,23.708,40.25,16.542,,
2011-06-04,21.125,38.208,17.083,,
2011-06-05,17.375,23.167,5.792,,
2011-06-06,30.5,49.583,19.083,,
2011-06-07,19.625,29.833,10.208,,
2011-06-08,28.583,42.292,13.708,,
2011-06-09,26.042,37.792,11.75,,
2011-06-10,29.75,43.375,13.625,,
2011-06-11,23.708,41.958,18.25,,
2011-06-12,17.5,24.375,6.875,,
2011-06-13,27.833,44.542,16.708,,
2011-06-14,25.875,46.333,20.458,,
2011-06-15,25.125,41.625,16.5,,
2011-06-16,26.542,46.0,19.458,,
2011-06-17,20.167,34.75,14.583,,
2011-06-18,22.083,36.917,14.833,,
2011-06-19,9.333,13.75,4.417,,
2011-06-20,30.875,60.917,30.042,,
2011-06-21,22.333,36.458,14.125,,
2011-06-22,23.583,46.833,23.25,,
2011-06-23,16.208,38.792,22.583,,
2011-06-24,15.833,41.417,25.583,,
2011-06-25,12.625,30.583,17.958,,
2011-06-26,10.417,22.792,12.375,,
2011-06-27,9.333,21.208,11.875,,
2011-06-28,17.583,43.958,26.375,,
2011-06-29,22.417,40.792,18.375,,
2011-06-30,25.583,41.125,15.542,,
2011-07-01,23.667,42.292,18.625,,
2011-07-02,20.958,34.417,13.458,,
2011-07-03,17.083,23.75,6.667,,
2011-07-04,22.333,40.042,17.708,,
2011-07-05,25.75,41.375,15.625,,
2011-07-06,19.5,31.292,11.792,,23.125
2011-07-07,15.792,30.792,15.0,,20.458
2011-07-08,16.136,40.818,24.682,,17.0
2011-07-09,12.208,27.875,15.667,,10.083
2011-07-10,8.417,17.458,9.042,,11.292
2011-07-11,13.667,31.542,17.875,,9.217
2011-07-12,15.958,39.958,24.0,,13.542
2011-07-13,15.917,33.042,17.125,,12.375
2011-07-14,18.333,37.833,19.5,,13.625
2011-07-15,22.25,41.625,19.375,,14.833
2011-07-16,20.375,34.25,13.875,,21.167
2011-07-17,6.167,9.958,3.792,,11.833
2011-07-18,8.292,20.625,12.333,,14.208
2011-07-19,5.542,11.417,5.875,,7.13
2011-07-20,12.417,25.292,12.875,,8.417
2011-07-21,16.375,39.958,23.583,,9.958
2011-07-22,23.083,45.708,22.625,,11.542
2011-07-23,15.208,25.042,9.833,,17.792
2011-07-24,10.542,16.125,5.583,,25.875
2011-07-25,12.583,19.625,7.042,,22.083
2011-07-26,16.542,27.833,11.292,,12.375
2011-07-27,15.125,34.625,19.5,,11.542
