date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,195.25,70.0,60.833,42.0,16.042,14.583,16.542,1.958,,4.083,20.0,117.0,73.375,27.0,211.292
2011-01-02,190.522,78.0,57.125,45.0,7.391,6.292,6.708,0.417,,4.625,16.583,98.0,73.25,57.0,197.913
2011-01-03,192.167,74.0,56.5,43.0,10.292,9.042,10.0,0.958,,5.083,20.917,81.0,67.25,40.0,202.458
2011-01-04,192.318,74.0,55.25,37.0,8.818,8.583,9.375,0.792,,9.208,28.5,76.0,57.708,37.0,201.136
2011-01-05,194.417,88.0,73.417,58.0,14.417,19.625,23.542,3.917,,5.375,15.542,70.0,46.417,30.0,208.833
2011-01-06,192.783,74.0,56.667,44.0,12.043,17.25,20.5,3.25,,6.625,19.25,90.0,71.667,51.0,204.826
2011-01-07,194.333,67.0,58.125,44.0,8.25,15.087,17.391,2.304,,3.583,11.583,79.0,59.417,44.0,202.583
2011-01-08,198.174,76.0,61.875,45.0,17.957,18.25,20.75,2.5,,3.417,12.625,76.0,49.083,21.0,216.13
2011-01-09,198.042,79.0,63.333,50.0,18.167,20.667,25.5,4.833,,5.125,24.833,103.0,69.458,37.0,216.208
2011-01-10,197.81,86.0,67.125,48.0,21.238,27.0,40.81,13.81,,6.174,34.565,102.0,68.458,28.0,219.048
2011-01-11,193.042,67.0,56.542,45.0,11.625,14.208,16.083,1.875,,6.333,29.708,93.0,70.792,28.0,204.667
2011-01-12,196.435,70.0,54.708,43.0,16.348,22.125,30.125,8.0,,4.458,13.083,67.0,42.375,12.0,212.783
2011-01-13,191.875,64.0,56.25,42.0,12.75,16.542,21.167,4.625,,6.792,23.208,91.0,72.792,43.0,204.625
2011-01-14,194.304,62.0,55.792,51.0,11.174,15.348,17.609,2.261,,9.542,43.208,87.0,75.25,64.0,205.478
2011-01-15,196.583,75.0,60.833,50.0,14.625,16.875,19.083,2.208,,5.333,19.125,84.0,67.542,36.0,211.208
2011-01-16,194.478,86.0,58.208,45.0,12.087,15.714,17.0,1.286,,3.826,15.174,63.0,55.5,32.0,206.565
2011-01-17,193.667,88.0,62.083,36.0,15.083,17.75,23.667,5.917,,3.333,14.875,93.0,58.042,27.0,208.75
2011-01-18,202.783,83.0,60.792,35.0,45.217,37.542,68.292,30.75,,7.417,27.542,104.0,59.083,9.0,248.0
2011-01-19,197.167,93.0,76.708,59.0,33.583,32.167,46.375,14.208,,4.167,25.083,77.0,64.458,54.0,230.75
2011-01-20,191.261,92.0,80.792,73.0,16.217,18.917,21.167,2.25,,2.875,13.708,100.0,82.667,57.0,207.478
2011-01-21,193.583,94.0,87.042,73.0,21.083,22.913,26.087,3.174,,3.208,20.292,100.0,81.625,75.0,214.667
2011-01-22,194.913,97.0,83.333,71.0,22.826,22.75,26.417,3.667,,4.375,20.75,108.0,79.542,46.0,217.739
2011-01-23,194.609,82.0,68.958,52.0,14.348,15.87,18.739,2.87,,4.261,13.217,97.0,75.75,46.0,208.957
2011-01-24,191.522,69.0,56.292,40.0,9.826,10.542,12.417,1.875,,3.917,11.875,55.0,41.042,29.0,201.348
2011-01-25,192.125,68.0,54.042,38.0,7.792,11.208,13.583,2.375,,4.375,19.333,52.0,35.167,18.0,199.917
2011-01-26,193.0,71.0,54.875,39.0,9.609,12.75,15.458,2.708,,4.542,12.875,55.0,33.958,10.0,202.609
2011-01-27,192.458,69.0,57.625,42.0,9.75,15.625,18.458,2.833,,6.292,29.304,74.0,54.542,29.0,202.208
2011-01-28,193.0,71.0,62.875,45.0,10.261,18.304,20.348,2.043,,7.542,30.667,79.0,58.083,39.0,203.261
2011-01-29,194.917,83.0,64.25,47.0,12.5,14.333,15.458,1.125,,3.708,13.917,59.0,38.875,15.0,207.417
2011-01-30,195.565,79.0,64.042,46.0,15.261,18.333,27.875,9.542,,4.042,12.375,67.0,40.542,7.0,210.826
2011-01-31,191.958,67.0,55.5,41.0,12.292,17.304,19.739,2.435,,4.174,13.304,66.0,43.125,21.0,204.25
2011-02-01,193.609,86.0,56.792,33.0,16.826,19.083,23.167,4.083,,4.833,22.375,78.0,49.375,12.0,210.435
2011-02-02,192.667,62.0,52.875,36.0,6.5,10.333,11.875,1.542,,3.792,10.625,32.0,16.667,1.0,199.167
