date,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-01-01,15.5,18.958,3.458,17.417
2011-01-02,5.333,5.333,0.0,15.75
2011-01-03,10.833,13.25,2.417,22.042
2011-01-04,7.083,7.167,0.083,24.125
2011-01-05,19.875,30.292,10.417,19.625
2011-01-06,22.25,40.292,18.042,19.292
2011-01-07,10.696,11.913,1.217,15.25
2011-01-08,19.417,29.792,10.375,15.625
2011-01-09,21.833,34.708,12.875,22.5
2011-01-10,30.25,64.0,33.75,32.042
2011-01-11,12.042,14.292,2.25,29.667
2011-01-12,26.0,51.238,25.238,17.739
2011-01-13,19.417,36.25,16.833,21.333
2011-01-14,15.174,16.391,1.217,39.667
2011-01-15,17.0,24.542,7.542,19.458
2011-01-16,24.125,39.0,14.875,19.125
2011-01-17,22.875,47.833,24.958,17.75
2011-01-18,35.261,87.783,52.522,23.783
2011-01-19,33.583,65.0,31.417,25.75
2011-01-20,21.0,25.583,4.583,15.375
2011-01-21,24.565,35.913,11.348,19.375
2011-01-22,22.792,35.125,12.333,17.708
2011-01-23,16.208,24.833,8.625,14.958
2011-01-24,7.375,7.75,0.375,12.958
2011-01-25,9.13,10.391,1.261,19.913
2011-01-26,14.417,20.708,6.292,16.667
2011-01-27,16.167,23.5,7.333,25.375
2011-01-28,18.522,21.957,3.435,29.042
2011-01-29,16.0,22.833,6.833,18.417
2011-01-30,22.958,47.917,24.958,16.208
2011-01-31,16.5,24.167,7.667,15.542
2011-02-01,22.318,38.364,16.045,22.957
2011-02-02,7.5,7.75,0.25,15.75
2011-02-03,22.917,42.042,19.125,18.375
2011-02-04,15.435,21.652,6.217,21.167
2011-02-05,23.458,32.583,9.125,40.042
2011-02-06,35.167,59.625,24.458,37.167
2011-02-07,28.875,45.75,16.875,22.625
2011-02-08,8.125,9.5,1.375,15.625
2011-02-09,9.261,10.957,1.696,19.682
2011-02-10,25.208,45.417,20.208,19.333
2011-02-11,19.087,31.13,12.043,21.333
2011-02-12,16.458,21.417,4.958,18.5
2011-02-13,35.458,57.333,21.875,26.375
2011-02-14,36.87,80.435,43.565,21.304
2011-02-15,29.292,71.542,42.25,26.583
2011-02-16,23.958,51.167,27.208,21.542
2011-02-17,8.792,10.208,1.417,18.5
2011-02-18,8.783,10.087,1.304,14.333
2011-02-19,18.333,26.625,8.292,17.208
2011-02-20,30.542,61.167,30.625,23.667
2011-02-21,45.5,95.2,49.7,33.043
2011-02-22,34.917,62.708,27.792,28.958
2011-02-23,31.417,56.542,25.125,21.917
2011-02-24,15.833,17.583,1.75,31.625
2011-02-25,33.13,51.0,17.87,38.208
2011-02-26,10.458,13.5,3.042,18.0
2011-02-27,26.375,50.042,23.667,20.542
2011-02-28,28.273,40.727,12.455,18.087
2011-03-01,42.583,75.792,33.208,32.708
2011-03-02,32.167,66.75,34.583,26.0
2011-03-03,8.435,9.217,0.783,21.25
2011-03-04,15.583,17.042,1.458,26.125
2011-03-05,33.652,55.826,22.174,20.609
2011-03-06,31.542,63.208,31.667,27.25
2011-03-07,19.917,27.875,7.958,35.292
2011-03-08,30.292,48.75,18.458,38.042
2011-03-09,30.958,48.958,18.0,25.0
2011-03-10,11.696,15.609,3.913,19.375
2011-03-11,11.583,15.583,4.0,22.542
2011-03-12,9.043,9.522,0.478,17.087
2011-03-13,14.208,16.0,1.792,16.958
2011-03-14,29.792,51.292,21.5,21.958
2011-03-15,20.375,26.458,6.083,27.333
2011-03-16,39.458,67.875,28.417,27.125
2011-03-17,39.087,55.478,16.391,30.333
2011-03-18,26.75,34.292,7.542,33.25
2011-03-19,13.364,16.455,3.091,17.273
2011-03-20,20.417,28.875,8.458,20.958
2011-03-21,16.0,20.083,4.083,19.458
2011-03-22,35.25,55.958,20.708,26.542
2011-03-23,34.667,49.208,14.542,22.167
2011-03-24,12.913,15.261,2.348,23.833
2011-03-25,5.917,6.375,0.458,22.5
2011-03-26,14.875,18.292,3.417,20.458
2011-03-27,31.125,49.458,18.333,25.792
2011-03-28,25.739,37.826,12.087,31.783
2011-03-29,33.417,50.792,17.375,28.708
2011-03-30,29.292,47.333,18.042,19.708
2011-03-31,13.565,16.783,3.217,19.25
2011-04-01,36.333,49.708,13.375,36.375
2011-04-02,27.739,39.913,12.174,39.75
2011-04-03,5.583,6.208,0.625,13.458
2011-04-04,17.083,26.875,9.792,13.417
2011-04-05,30.75,43.667,12.917,20.958
2011-04-06,31.435,44.0,12.565,24.609
2011-04-07,31.375,47.875,16.5,17.792
2011-04-08,34.75,50.083,15.333,21.333
2011-04-09,22.957,32.913,9.957,17.958
2011-04-10,17.542,21.208,3.667,32.375
2011-04-11,26.083,39.667,13.583,31.0
2011-04-12,21.375,30.25,8.875,31.292
2011-04-13,29.708,45.542,15.833,32.542
2011-04-14,37.0,53.125,16.125,45.042
2011-04-15,36.087,51.261,15.174,41.696
2011-04-16,18.0,26.435,8.435,39.25
2011-04-17,19.292,21.917,2.625,20.417
2011-04-18,28.167,39.958,11.792,26.0
2011-04-19,19.458,26.583,7.125,12.0
2011-04-20,12.095,13.952,1.857,8.304
2011-04-21,28.458,42.875,14.417,18.583
2011-04-22,43.833,72.792,28.958,32.542
2011-04-23,29.522,45.0,15.478,21.5
2011-04-24,16.958,20.833,3.875,22.75
2011-04-25,26.375,34.625,8.25,23.458
2011-04-26,26.455,39.591,13.136,30.478
2011-04-27,23.625,35.083,11.458,23.0
2011-04-28,22.542,28.25,5.708,21.25
2011-04-29,18.875,24.417,5.542,17.375
2011-04-30,28.261,36.652,8.391,23.667
2011-05-01,19.292,22.708,3.417,27.625
2011-05-02,20.708,29.083,8.375,118.417
2011-05-03,24.417,30.125,5.708,146.167
2011-05-04,17.417,22.375,4.958,87.917
2011-05-05,14.25,15.25,1.0,24.583
2011-05-06,24.167,31.542,7.375,42.292
2011-05-07,14.783,17.217,2.435,19.292
2011-05-08,11.667,12.375,0.708,23.708
2011-05-09,29.75,34.75,5.0,44.208
2011-05-10,24.292,41.542,17.25,39.167
2011-05-11,20.917,39.667,18.75,15.958
2011-05-12,23.864,35.955,12.091,12.391
2011-05-13,13.292,15.833,2.542,33.667
2011-05-14,14.739,16.478,1.739,32.167
2011-05-15,18.542,21.417,2.875,29.875
2011-05-16,27.5,36.042,8.542,32.083
2011-05-17,26.583,33.417,6.833,37.042
2011-05-18,28.917,38.125,9.208,31.292
2011-05-19,29.333,37.833,8.5,38.833
2011-05-20,23.739,34.696,10.957,29.609
2011-05-21,18.261,27.043,8.783,18.042
2011-05-22,12.167,14.417,2.25,8.458
2011-05-23,15.625,17.833,2.208,10.417
2011-05-24,20.25,26.875,6.625,9.708
2011-05-25,26.208,33.375,7.167,20.458
2011-05-26,33.0,43.792,10.792,20.458
2011-05-27,27.273,34.455,7.182,10.217
2011-05-28,27.522,36.348,8.826,16.292
2011-05-29,10.875,12.083,1.208,7.458
2011-05-30,7.792,8.083,0.292,7.25
2011-05-31,20.0,25.833,5.833,12.583
2011-06-01,27.708,44.292,16.583,14.583
2011-06-02,26.727,40.909,14.182,23.652
2011-06-03,24.208,37.75,13.542,41.25
2011-06-04,21.783,32.174,10.391,42.5
2011-06-05,16.292,19.0,2.708,30.625
2011-06-06,25.042,37.0,11.958,31.0
2011-06-07,27.583,39.417,11.833,24.958
2011-06-08,18.375,21.542,3.167,17.333
2011-06-09,21.167,26.417,5.25,28.875
2011-06-10,34.652,49.826,15.174,46.696
2011-06-11,21.261,25.957,4.696,19.792
2011-06-12,20.917,26.417,5.5,32.5
2011-06-13,24.125,30.625,6.5,16.75
2011-06-14,18.292,20.042,1.75,26.417
2011-06-15,29.583,40.5,10.917,21.917
2011-06-16,30.833,47.125,16.292,19.75
2011-06-17,23.727,27.682,3.955,18.609
