date,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,95.0,68.333,40.0
2011-01-02,72.0,47.625,30.0
2011-01-03,62.0,43.333,23.0
2011-01-04,49.0,32.208,22.0
2011-01-05,45.0,30.625,13.0
2011-01-06,57.0,42.708,23.0
2011-01-07,50.0,34.083,16.0
2011-01-08,54.0,33.708,9.0
2011-01-09,74.0,58.958,47.0
2011-01-10,83.0,55.292,37.0
2011-01-11,63.0,46.167,6.0
2011-01-12,36.0,14.875,-12.0
2011-01-13,56.0,46.083,36.0
2011-01-14,63.0,53.208,42.0
2011-01-15,59.0,45.5,33.0
2011-01-16,36.0,28.0,3.0
2011-01-17,62.0,27.208,-2.0
2011-01-18,78.0,54.5,20.0
2011-01-19,87.0,58.417,36.0
2011-01-20,64.0,48.375,30.0
2011-01-21,70.0,54.208,47.0
2011-01-22,79.0,56.417,36.0
2011-01-23,66.0,49.583,15.0
2011-01-24,27.0,13.0,3.0
2011-01-25,23.0,7.042,-11.0
2011-01-26,24.0,7.75,-7.0
2011-01-27,53.0,28.458,5.0
2011-01-28,46.0,32.875,10.0
2011-01-29,43.0,14.708,-6.0
2011-01-30,37.0,19.417,-3.0
2011-01-31,35.0,19.417,6.0
2011-02-01,70.0,32.125,-3.0
2011-02-02,0.0,-10.083,-26.0
2011-02-03,13.0,-3.458,-28.0
2011-02-04,41.0,27.667,9.0
2011-02-05,65.0,37.708,17.0
2011-02-06,82.0,61.542,29.0
2011-02-07,121.0,67.875,33.0
2011-02-08,31.0,7.375,-19.0
2011-02-09,19.0,-0.208,-19.0
2011-02-10,35.0,17.208,-6.0
2011-02-11,40.0,23.792,-2.0
2011-02-12,47.0,24.292,5.0
2011-02-13,62.0,36.0,20.0
2011-02-14,57.0,43.542,36.0
2011-02-15,52.0,35.333,6.0
2011-02-16,52.0,20.625,-6.0
2011-02-17,33.0,17.208,-3.0
2011-02-18,18.0,-4.667,-19.0
2011-02-19,32.0,8.917,-23.0
2011-02-20,61.0,29.542,0.0
2011-02-21,68.0,48.792,27.0
2011-02-22,80.0,58.0,34.0
2011-02-23,124.0,94.875,63.0
2011-02-24,90.0,68.625,46.0
2011-02-25,84.0,55.292,45.0
2011-02-26,44.0,27.458,-5.0
2011-02-27,38.0,4.583,-21.0
2011-02-28,61.0,20.542,-32.0
2011-03-01,128.0,92.125,47.0
2011-03-02,128.0,100.25,66.0
2011-03-03,95.0,67.5,47.0
2011-03-04,92.0,50.625,26.0
2011-03-05,141.0,120.0,82.0
2011-03-06,149.0,127.5,95.0
2011-03-07,100.0,86.792,71.0
2011-03-08,103.0,74.208,45.0
2011-03-09,70.0,42.708,29.0
2011-03-10,77.0,52.875,28.0
2011-03-11,83.0,35.875,8.0
2011-03-12,43.0,21.5,4.0
2011-03-13,47.0,22.542,-7.0
2011-03-14,70.0,48.375,22.0
2011-03-15,78.0,54.625,18.0
2011-03-16,106.0,60.417,0.0
2011-03-17,186.0,136.167,89.0
2011-03-18,129.0,109.917,86.0
2011-03-19,89.0,62.708,33.0
2011-03-20,83.0,55.333,4.0
2011-03-21,78.0,55.583,24.0
2011-03-22,132.0,101.708,58.0
2011-03-23,173.0,113.958,62.0
2011-03-24,105.0,87.625,55.0
2011-03-25,75.0,52.0,34.0
2011-03-26,70.0,46.25,25.0
2011-03-27,119.0,73.875,29.0
2011-03-28,125.0,96.917,63.0
2011-03-29,146.0,89.083,43.0
2011-03-30,174.0,140.208,100.0
2011-03-31,158.0,94.792,38.0
2011-04-01,179.0,131.0,88.0
2011-04-02,159.0,123.333,56.0
2011-04-03,80.0,50.5,29.0
2011-04-04,111.0,59.583,12.0
2011-04-05,123.0,76.208,20.0
2011-04-06,172.0,122.333,86.0
2011-04-07,182.0,144.833,110.0
2011-04-08,170.0,145.208,135.0
2011-04-09,165.0,136.708,104.0
2011-04-10,156.0,127.292,89.0
2011-04-11,162.0,118.958,52.0
2011-04-12,116.0,84.958,43.0
2011-04-13,183.0,131.083,97.0
2011-04-14,198.0,148.792,117.0
2011-04-15,202.0,156.833,131.0
2011-04-16,165.0,132.083,65.0
2011-04-17,145.0,97.125,38.0
2011-04-18,166.0,119.792,85.0
2011-04-19,125.0,91.708,58.0
2011-04-20,110.0,86.875,70.0
2011-04-21,168.0,128.458,92.0
2011-04-22,158.0,134.458,121.0
2011-04-23,150.0,125.458,91.0
2011-04-24,159.0,119.708,85.0
2011-04-25,155.0,123.708,99.0
2011-04-26,193.0,162.083,121.0
2011-04-27,194.0,162.625,108.0
2011-04-28,150.0,118.0,87.0
2011-04-29,165.0,123.708,86.0
2011-04-30,198.0,165.875,129.0
2011-05-01,218.0,174.708,146.0
2011-05-02,194.0,159.375,126.0
2011-05-03,165.0,141.792,118.0
2011-05-04,186.0,153.208,118.0
2011-05-05,188.0,150.917,110.0
2011-05-06,216.0,175.542,142.0
2011-05-07,220.0,173.375,138.0
2011-05-08,234.0,196.875,165.0
2011-05-09,260.0,209.458,164.0
2011-05-10,242.0,212.833,203.0
2011-05-11,222.0,208.083,196.0
2011-05-12,224.0,197.583,179.0
2011-05-13,186.0,169.292,152.0
2011-05-14,206.0,177.0,148.0
2011-05-15,220.0,188.636,155.0
2011-05-16,230.0,188.375,157.0
2011-05-17,211.0,173.167,140.0
2011-05-18,210.0,171.5,145.0
2011-05-19,235.0,191.583,157.0
2011-05-20,244.0,194.667,156.0
2011-05-21,251.0,210.667,180.0
2011-05-22,210.0,183.25,147.0
2011-05-23,141.0,135.375,132.0
2011-05-24,171.0,144.667,125.0
2011-05-25,201.0,169.125,137.0
2011-05-26,185.0,166.5,146.0
2011-05-27,156.0,149.667,138.0
2011-05-28,188.0,175.0,156.0
2011-05-29,197.0,174.875,145.0
2011-05-30,163.0,152.375,139.0
2011-05-31,204.0,165.5,129.0
2011-06-01,179.0,166.167,158.0
2011-06-02,214.0,182.667,166.0
2011-06-03,228.0,193.625,177.0
2011-06-04,253.0,207.75,175.0
2011-06-05,225.0,190.375,169.0
2011-06-06,228.0,197.375,168.0
2011-06-07,216.0,193.5,175.0
2011-06-08,210.0,184.167,157.0
2011-06-09,248.0,212.875,185.0
2011-06-10,232.0,209.792,196.0
2011-06-11,219.0,202.708,191.0
2011-06-12,220.0,201.0,188.0
