date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,189.125,3.667,6.167,7.208,7.667,0.458,20.667,5.542,23.583,195.292
2011-01-02,188.25,3.375,4.833,7.958,8.792,0.833,14.958,7.917,18.958,193.083
2011-01-03,188.917,4.208,5.792,8.042,8.417,0.375,24.208,9.833,25.417,194.708
2011-01-04,191.0,4.391,11.304,10.913,13.043,2.13,28.167,17.87,31.75,202.304
2011-01-05,190.833,3.25,7.958,12.765,15.176,2.412,26.0,15.292,27.208,198.792
2011-01-06,192.316,3.471,8.789,15.25,17.75,2.5,14.667,5.714,10.143,201.105
2011-01-07,196.125,4.417,9.75,12.042,15.042,3.0,8.167,3.083,6.375,205.875
2011-01-08,193.5,4.542,10.083,11.875,14.042,2.167,8.625,3.25,7.5,203.583
2011-01-09,197.333,5.458,12.333,14.583,17.25,2.667,28.167,12.042,30.375,209.667
2011-01-10,196.5,5.708,11.042,14.917,17.75,2.833,33.667,6.875,36.833,207.542
2011-01-11,195.5,4.667,8.958,11.5,14.708,3.208,28.458,15.667,26.708,204.458
2011-01-12,196.375,4.708,10.417,13.25,17.167,3.917,10.333,2.375,6.292,206.792
2011-01-13,191.957,4.087,9.304,9.696,10.739,1.043,26.667,14.565,31.333,201.261
2011-01-14,195.75,4.25,7.583,13.125,14.542,1.417,33.083,6.958,38.583,203.333
2011-01-15,194.75,3.417,7.5,10.417,10.75,0.333,13.708,2.458,11.708,202.25
2011-01-16,197.125,3.167,8.75,14.917,15.833,0.917,12.792,2.417,12.25,205.875
2011-01-17,191.542,3.542,11.833,15.042,20.417,5.375,11.333,1.625,10.792,203.375
2011-01-18,190.208,3.375,12.75,19.667,24.125,4.458,13.958,7.875,9.125,202.958
2011-01-19,191.318,3.864,18.182,26.136,35.5,9.364,17.727,3.545,18.364,209.5
2011-01-20,188.875,2.708,8.042,12.0,12.75,0.75,6.458,2.5,11.875,196.917
2011-01-21,188.125,2.875,11.75,16.375,18.125,1.75,13.875,2.375,15.375,199.875
2011-01-22,188.458,3.125,12.083,11.708,14.208,2.5,10.75,4.5,5.75,200.542
2011-01-23,188.292,3.292,7.167,9.333,10.625,1.292,16.5,12.833,17.667,195.458
2011-01-24,187.375,3.167,7.583,10.208,11.833,1.625,21.208,15.833,12.583,194.958
2011-01-25,187.042,3.292,6.833,13.583,16.667,3.083,24.417,12.917,19.833,193.875
2011-01-26,194.522,2.609,4.783,9.609,11.478,1.87,18.5,15.522,14.417,199.304
2011-01-27,195.875,3.292,7.417,15.125,17.292,2.167,24.5,4.0,26.625,203.292
2011-01-28,197.458,3.292,6.083,11.583,13.25,1.667,29.792,5.0,28.625,203.542
2011-01-29,194.625,2.333,4.583,9.083,9.625,0.542,11.625,5.167,11.333,199.208
2011-01-30,195.208,2.792,6.792,12.792,14.5,1.708,11.958,5.958,14.125,202.0
2011-01-31,195.833,2.792,6.667,13.5,15.167,1.667,12.917,4.375,12.917,202.5
2011-02-01,196.524,3.083,3.952,8.333,9.417,1.083,27.375,11.375,27.125,200.476
2011-02-02,189.478,2.87,7.217,9.478,11.565,2.087,19.792,14.304,16.417,196.696
2011-02-03,190.056,3.739,6.0,7.524,8.524,1.0,10.286,4.476,4.238,196.056
2011-02-04,192.0,2.917,8.583,8.917,10.083,1.167,21.583,8.458,22.958,200.583
2011-02-05,195.375,3.375,11.792,12.708,13.0,0.292,35.917,4.208,39.458,207.167
2011-02-06,196.167,3.875,16.625,22.125,27.167,5.042,42.542,6.792,48.5,212.792
2011-02-07,196.75,4.042,15.625,16.833,18.625,1.792,17.083,9.875,15.25,212.375
2011-02-08,192.458,2.875,10.542,10.458,12.625,2.167,20.583,14.583,18.792,203.0
2011-02-09,192.458,2.875,10.375,8.333,9.375,1.042,17.333,10.875,11.292,202.833
2011-02-10,189.727,2.609,4.818,10.0,10.957,0.957,11.333,4.13,10.083,194.545
2011-02-11,190.909,2.708,4.864,9.708,10.375,0.667,8.5,4.167,7.583,195.773
2011-02-12,190.909,2.667,5.5,10.0,10.542,0.542,11.625,5.5,7.5,196.409
2011-02-13,193.545,3.864,13.909,23.318,26.864,3.545,18.909,3.409,20.682,207.455
2011-02-14,197.375,4.958,26.792,25.458,45.625,20.167,19.625,4.25,21.792,224.167
2011-02-15,198.958,4.375,19.167,22.25,30.875,8.625,16.708,4.167,15.875,218.125
2011-02-16,196.625,2.667,7.167,11.75,12.333,0.583,12.333,5.5,11.333,203.792
2011-02-17,194.25,3.125,9.292,12.125,14.625,2.5,23.583,18.0,16.5,203.542
2011-02-18,196.333,2.458,4.708,9.667,11.0,1.333,20.958,14.292,18.875,201.042
2011-02-19,198.208,2.333,5.125,7.042,7.375,0.333,12.458,4.292,10.125,203.333
2011-02-20,190.783,2.261,5.043,11.652,12.391,0.739,12.0,4.391,5.875,195.826
2011-02-21,192.042,2.833,12.625,22.375,26.417,4.042,16.375,7.125,11.417,204.667
2011-02-22,193.917,3.167,13.458,22.75,26.792,4.042,29.167,5.917,28.667,207.375
2011-02-23,196.042,3.958,16.708,22.833,30.583,7.75,21.708,5.917,29.333,212.75
2011-02-24,196.917,3.542,6.833,11.0,11.417,0.417,33.458,5.833,41.708,203.75
2011-02-25,196.083,3.458,8.917,15.083,16.083,1.0,31.875,7.167,40.708,205.0
2011-02-26,193.958,2.708,4.417,8.625,8.792,0.167,8.208,3.0,6.875,198.375
2011-02-27,193.435,4.304,9.087,15.478,17.913,2.435,15.125,6.304,13.833,202.522
2011-02-28,192.25,3.583,6.417,14.083,14.958,0.875,14.5,4.417,12.375,198.667
2011-03-01,197.444,4.19,20.667,25.476,35.429,9.952,25.053,9.381,26.571,218.111
2011-03-02,200.292,2.833,14.125,22.667,28.292,5.625,19.958,4.958,14.542,214.417
2011-03-03,200.875,3.125,6.0,7.417,7.458,0.042,15.625,1.875,17.292,206.875
2011-03-04,202.25,2.667,7.583,12.083,12.625,0.542,21.625,6.875,20.25,209.833
2011-03-05,192.348,3.458,9.261,19.667,23.958,4.292,11.833,3.958,14.375,201.609
2011-03-06,193.458,3.958,9.75,17.333,28.917,11.583,15.083,4.833,22.0,203.208
2011-03-07,193.478,4.958,11.043,20.167,21.583,1.417,39.167,7.25,48.042,204.522
2011-03-08,192.333,5.783,10.083,16.391,20.0,3.609,34.375,4.435,35.417,202.417
2011-03-09,191.217,5.667,6.217,13.75,14.75,1.0,17.375,1.958,19.083,197.435
2011-03-10,191.522,4.917,4.348,11.0,11.958,0.958,17.667,4.833,16.458,195.87
2011-03-11,190.722,4.375,2.889,7.458,7.917,0.458,22.25,5.917,18.625,193.611
2011-03-12,191.435,4.0,3.391,7.958,8.625,0.667,13.5,6.25,8.583,194.826
2011-03-13,192.304,4.167,5.87,10.75,11.583,0.833,13.583,5.042,14.042,198.174
2011-03-14,191.875,4.25,6.125,12.375,13.708,1.333,14.125,3.292,16.417,198.0
2011-03-15,195.417,3.826,12.625,16.261,18.304,2.043,32.583,6.304,43.375,208.042
2011-03-16,192.727,3.364,10.182,17.318,18.591,1.273,20.864,6.136,20.636,202.909
2011-03-17,192.042,3.458,13.292,19.583,22.792,3.208,23.958,14.25,26.583,205.333
2011-03-18,195.0,3.5,9.042,14.417,14.917,0.5,23.208,2.125,27.792,204.042
2011-03-19,191.667,3.083,7.25,12.125,12.667,0.542,10.917,6.167,12.125,198.917
2011-03-20,190.25,2.833,5.208,13.333,14.292,0.958,14.792,4.542,14.708,195.458
2011-03-21,189.0,2.833,5.708,12.792,13.458,0.667,14.583,4.542,15.208,194.708
2011-03-22,188.667,2.917,7.708,16.667,17.583,0.917,14.458,5.708,14.208,196.375
2011-03-23,191.391,2.783,15.13,25.304,29.13,3.826,13.375,4.261,18.25,206.522
2011-03-24,191.708,3.25,2.417,5.167,5.25,0.083,24.0,3.292,24.5,194.125
2011-03-25,193.13,2.833,5.783,10.292,11.5,1.208,19.958,14.208,17.75,198.913
2011-03-26,193.75,2.333,4.542,9.75,10.417,0.667,13.042,4.625,11.208,198.292
2011-03-27,192.125,3.0,5.0,12.0,12.458,0.458,23.5,3.583,29.292,197.125
2011-03-28,193.625,3.167,14.125,14.25,15.042,0.792,29.583,4.125,36.417,207.75
2011-03-29,191.583,3.125,7.917,16.417,17.667,1.25,20.833,7.833,23.5,199.5
2011-03-30,193.364,1.913,1.773,4.478,4.609,0.13,17.375,2.435,23.292,195.136
2011-03-31,190.316,2.048,5.632,8.048,8.524,0.476,15.286,5.286,22.381,195.947
2011-04-01,187.435,4.217,12.0,19.696,21.565,1.87,38.348,11.217,43.917,199.435
2011-04-02,186.381,3.19,11.476,14.0,15.381,1.381,36.913,3.619,44.429,197.857
2011-04-03,185.958,2.083,6.333,7.208,7.875,0.667,17.542,2.208,12.833,192.292
2011-04-04,186.458,2.292,7.417,7.292,8.0,0.708,10.958,2.208,9.208,193.875
2011-04-05,187.5,2.667,9.958,14.5,15.5,1.0,15.667,4.583,12.583,197.458
2011-04-06,185.958,2.542,10.875,18.75,20.792,2.042,16.208,9.167,14.542,196.833
2011-04-07,183.917,1.667,7.833,9.708,10.625,0.917,11.583,4.208,11.625,191.75
2011-04-08,181.708,1.458,8.458,12.25,13.583,1.333,11.208,2.875,17.542,190.167
2011-04-09,184.565,2.478,7.522,11.348,12.261,0.913,21.333,2.391,25.375,192.087
2011-04-10,186.375,3.083,8.042,11.542,12.917,1.375,25.625,7.333,27.708,194.417
2011-04-11,185.917,2.917,7.208,8.958,9.208,0.25,25.958,4.792,24.458,193.125
2011-04-12,186.583,3.0,7.75,10.625,10.958,0.333,21.833,3.458,20.167,194.333
2011-04-13,186.417,2.917,7.292,10.125,10.417,0.292,25.208,3.333,29.792,193.708
2011-04-14,186.0,3.273,8.5,11.048,11.381,0.333,37.636,5.227,40.682,194.5
2011-04-15,184.042,3.458,18.667,31.5,36.417,4.917,34.792,14.458,42.542,202.708
2011-04-16,185.708,3.417,13.542,19.167,22.583,3.417,41.375,9.833,56.625,199.25
2011-04-17,183.917,2.125,7.792,11.083,12.208,1.125,22.708,5.042,26.5,191.708
2011-04-18,184.75,3.125,13.583,19.042,21.375,2.333,24.25,5.208,25.625,198.333
2011-04-19,187.273,2.625,22.909,9.125,11.0,1.875,16.333,6.667,15.125,210.182
2011-04-20,187.833,2.125,11.5,7.917,8.917,1.0,12.042,7.125,12.292,199.333
2011-04-21,184.609,2.957,14.391,17.522,19.783,2.261,25.708,16.043,24.875,199.0
2011-04-22,181.958,2.375,14.458,13.292,14.583,1.292,17.667,3.667,19.875,196.417
2011-04-23,180.792,2.208,9.667,7.417,7.917,0.5,14.333,1.5,22.125,190.458
2011-04-24,182.792,2.708,6.333,4.583,4.75,0.167,23.125,1.625,21.708,189.125
2011-04-25,183.0,3.042,7.042,7.583,7.875,0.292,25.25,2.333,27.75,190.042
2011-04-26,181.5,2.292,8.083,8.292,8.708,0.417,23.458,4.375,25.125,189.583
2011-04-27,180.15,2.25,9.75,4.0,4.167,0.167,23.0,2.111,22.111,189.9
2011-04-28,186.474,2.25,8.0,12.111,12.111,0.0,17.958,5.0,15.8,194.474
2011-04-29,197.25,2.25,10.083,7.708,7.75,0.042,13.75,0.875,16.625,207.333
