date,CO_mean
2011-01-01,4.75
2011-01-02,4.583
2011-01-03,4.958
2011-01-04,4.304
2011-01-05,5.042
2011-01-06,5.917
2011-01-07,6.167
2011-01-08,4.625
2011-01-09,7.5
2011-01-10,7.167
2011-01-11,4.7
2011-01-12,6.125
2011-01-13,5.125
2011-01-14,7.458
2011-01-15,6.083
2011-01-16,5.292
2011-01-17,8.083
2011-01-18,8.304
2011-01-19,8.625
2011-01-20,5.458
2011-01-21,5.875
2011-01-22,5.25
2011-01-23,3.333
2011-01-24,3.583
2011-01-25,5.435
2011-01-26,5.042
2011-01-27,7.045
2011-01-28,7.375
2011-01-29,4.75
2011-01-30,7.417
2011-01-31,5.875
2011-02-01,4.458
2011-02-02,3.375
2011-02-03,4.565
2011-02-04,4.375
2011-02-05,7.083
2011-02-06,8.583
2011-02-07,6.5
2011-02-08,3.5
2011-02-09,5.625
2011-02-10,5.65
2011-02-11,4.667
2011-02-12,5.0
2011-02-13,8.125
2011-02-14,10.292
2011-02-15,8.208
2011-02-16,6.625
2011-02-17,3.826
2011-02-18,4.458
2011-02-19,3.625
2011-02-20,4.833
2011-02-21,6.542
2011-02-22,8.318
2011-02-23,8.542
2011-02-24,7.75
2011-02-25,7.792
2011-02-26,5.25
2011-02-27,6.792
2011-02-28,5.625
2011-03-01,7.542
2011-03-02,6.458
2011-03-03,4.583
2011-03-04,4.875
2011-03-05,7.429
2011-03-06,7.125
2011-03-07,8.625
2011-03-08,8.75
2011-03-09,7.458
2011-03-10,7.958
2011-03-11,4.833
2011-03-12,5.217
2011-03-13,5.375
2011-03-14,5.167
2011-03-15,6.625
2011-03-16,6.458
2011-03-17,7.042
2011-03-18,6.5
2011-03-19,7.217
2011-03-20,5.0
2011-03-21,5.583
2011-03-22,4.636
2011-03-23,6.583
2011-03-24,4.542
2011-03-25,3.25
2011-03-26,4.25
2011-03-27,5.958
2011-03-28,5.917
2011-03-29,5.783
2011-03-30,3.542
2011-03-31,3.417
2011-04-01,6.5
2011-04-02,4.958
2011-04-03,3.5
2011-04-04,3.5
2011-04-05,4.917
2011-04-06,5.391
2011-04-07,3.75
2011-04-08,3.375
2011-04-09,4.0
2011-04-10,5.292
2011-04-11,4.958
2011-04-12,4.958
2011-04-13,4.5
2011-04-14,5.25
2011-04-15,6.875
2011-04-16,7.739
2011-04-17,4.333
2011-04-18,5.375
2011-04-19,3.292
2011-04-20,5.167
2011-04-21,4.542
2011-04-22,5.542
2011-04-23,3.286
2011-04-24,3.5
2011-04-25,4.208
2011-04-26,4.042
2011-04-27,4.167
2011-04-28,4.792
2011-04-29,4.5
2011-04-30,4.348
2011-05-01,3.208
2011-05-02,4.857
2011-05-03,5.75
2011-05-04,4.875
2011-05-05,4.625
2011-05-06,5.542
2011-05-07,4.25
2011-05-08,3.542
2011-05-09,5.522
2011-05-10,4.542
2011-05-11,5.042
2011-05-12,3.542
2011-05-13,3.083
2011-05-14,3.417
2011-05-15,3.917
2011-05-16,4.333
2011-05-17,3.875
2011-05-18,5.125
2011-05-19,5.625
2011-05-20,5.167
2011-05-21,4.167
2011-05-22,3.125
2011-05-23,3.696
2011-05-24,3.458
2011-05-25,4.25
2011-05-26,5.917
2011-05-27,4.75
2011-05-28,5.917
2011-05-29,4.917
2011-05-30,3.783
2011-05-31,4.667
2011-06-01,5.385
2011-06-02,4.538
2011-06-03,4.75
2011-06-04,3.875
2011-06-05,4.042
2011-06-06,5.083
2011-06-07,5.0
2011-06-08,5.25
2011-06-09,4.696
2011-06-10,6.458
2011-06-11,3.625
2011-06-12,4.917
2011-06-13,3.708
2011-06-14,5.625
2011-06-15,5.409
2011-06-16,5.583
2011-06-17,4.958
2011-06-18,7.208
2011-06-19,5.042
2011-06-20,6.167
2011-06-21,3.75
2011-06-22,3.87
2011-06-23,1.917
2011-06-24,2.125
2011-06-25,4.208
2011-06-26,2.333
2011-06-27,2.667
2011-06-28,2.708
2011-06-29,2.917
2011-06-30,4.125
2011-07-01,4.875
2011-07-02,4.667
2011-07-03,4.25
2011-07-04,4.304
2011-07-05,5.083
2011-07-06,4.917
2011-07-07,5.667
2011-07-08,3.792
2011-07-09,3.292
