date,SO2_mean,SPM_mean
2011-01-01,2.375,24.25
2011-01-02,2.333,16.0
2011-01-03,4.478,25.458
2011-01-04,3.417,20.417
2011-01-05,2.391,27.143
2011-01-06,1.542,19.375
2011-01-07,1.875,11.625
2011-01-08,2.375,12.25
2011-01-09,3.5,29.875
2011-01-10,3.435,34.75
2011-01-11,3.208,26.25
2011-01-12,2.083,12.583
2011-01-13,4.0,21.167
2011-01-14,4.125,33.292
2011-01-15,2.125,15.167
2011-01-16,1.667,20.5
2011-01-17,1.955,15.913
2011-01-18,3.667,21.375
2011-01-19,1.958,36.5
2011-01-20,1.792,16.375
2011-01-21,1.75,24.333
2011-01-22,2.167,17.208
2011-01-23,1.708,11.292
2011-01-24,1.957,11.417
2011-01-25,2.391,16.435
2011-01-26,1.583,7.833
2011-01-27,2.917,24.5
2011-01-28,3.292,35.25
2011-01-29,1.833,14.917
2011-01-30,2.125,16.417
2011-01-31,2.391,11.0
2011-02-01,3.75,26.542
2011-02-02,1.913,7.435
2011-02-03,1.75,8.625
2011-02-04,3.833,19.75
2011-02-05,4.167,61.25
2011-02-06,2.542,88.583
2011-02-07,2.087,26.875
2011-02-08,1.583,8.667
2011-02-09,1.75,9.542
2011-02-10,1.5,16.25
2011-02-11,1.708,10.083
2011-02-12,2.042,13.417
2011-02-13,1.583,32.125
2011-02-14,1.696,30.542
2011-02-15,1.87,32.783
2011-02-16,2.542,15.292
2011-02-17,2.042,11.083
2011-02-18,1.708,12.625
2011-02-19,1.625,12.875
2011-02-20,2.292,13.917
2011-02-21,3.609,32.542
2011-02-22,2.043,50.739
2011-02-23,1.875,35.417
2011-02-24,3.625,40.625
2011-02-25,2.125,42.958
2011-02-26,1.958,16.417
2011-02-27,2.542,20.292
2011-02-28,2.478,18.5
2011-03-01,2.0,55.174
2011-03-02,2.208,42.792
2011-03-03,2.625,22.542
2011-03-04,1.625,32.875
2011-03-05,1.5,21.792
2011-03-06,1.739,22.125
2011-03-07,3.042,46.292
2011-03-08,2.833,48.625
2011-03-09,1.708,34.0
2011-03-10,2.667,27.042
2011-03-11,3.045,23.0
2011-03-12,1.875,13.958
2011-03-13,1.818,16.043
2011-03-14,2.792,19.75
2011-03-15,4.583,38.667
2011-03-16,3.75,29.542
2011-03-17,2.417,49.833
2011-03-18,1.917,34.0
2011-03-19,2.5,13.458
2011-03-20,3.13,19.917
2011-03-21,2.583,16.292
2011-03-22,3.773,20.182
2011-03-23,2.208,30.708
2011-03-24,3.667,28.292
2011-03-25,3.125,16.625
2011-03-26,2.792,18.25
2011-03-27,3.136,27.565
2011-03-28,2.458,31.792
2011-03-29,3.708,28.625
2011-03-30,3.875,29.667
2011-03-31,1.0,17.542
2011-04-01,4.391,40.261
2011-04-02,3.208,32.5
2011-04-03,2.625,17.792
2011-04-04,2.333,13.875
2011-04-05,2.87,19.667
2011-04-06,3.25,23.417
2011-04-07,2.833,18.125
2011-04-08,1.917,22.625
2011-04-09,1.583,31.708
2011-04-10,2.864,28.227
2011-04-11,3.542,35.625
2011-04-12,2.182,26.348
2011-04-13,3.25,27.583
2011-04-14,6.958,43.333
2011-04-15,4.625,47.5
2011-04-16,2.875,63.75
2011-04-17,2.5,22.875
2011-04-18,1.75,26.875
2011-04-19,1.222,12.389
2011-04-20,1.077,13.083
2011-04-21,3.292,32.667
2011-04-22,2.708,52.458
2011-04-23,1.083,27.958
2011-04-24,1.458,28.083
2011-04-25,1.917,24.917
2011-04-26,4.273,27.217
2011-04-27,2.25,29.875
2011-04-28,1.75,25.167
2011-04-29,1.792,20.583
2011-04-30,5.208,35.458
2011-05-01,1.625,65.833
2011-05-02,2.167,135.667
2011-05-03,1.826,105.25
2011-05-04,2.125,70.542
2011-05-05,2.667,42.417
2011-05-06,2.583,42.042
2011-05-07,2.083,21.917
2011-05-08,1.708,37.292
2011-05-09,3.5,46.667
2011-05-10,7.227,32.522
2011-05-11,1.5,31.958
2011-05-12,1.125,16.875
2011-05-13,1.917,37.917
2011-05-14,2.792,29.917
2011-05-15,4.375,31.5
2011-05-16,4.042,33.792
2011-05-17,2.478,35.208
2011-05-18,3.25,26.25
2011-05-19,3.833,32.792
2011-05-20,4.125,39.5
2011-05-21,3.875,39.542
2011-05-22,1.625,17.208
2011-05-23,1.0,14.5
2011-05-24,1.182,16.957
2011-05-25,2.083,30.542
2011-05-26,1.417,31.708
2011-05-27,1.375,28.083
2011-05-28,1.0,33.208
2011-05-29,1.0,10.667
2011-05-30,1.208,8.083
2011-05-31,2.696,17.542
2011-06-01,2.417,30.042
2011-06-02,2.375,50.458
2011-06-03,3.708,87.5
2011-06-04,2.833,61.375
2011-06-05,2.042,51.292
2011-06-06,3.25,45.417
2011-06-07,1.455,41.0
2011-06-08,1.0,36.417
2011-06-09,2.167,32.417
2011-06-10,2.083,66.542
2011-06-11,1.042,19.417
2011-06-12,1.042,43.417
2011-06-13,1.125,16.792
2011-06-14,1.826,46.667
2011-06-15,3.083,59.333
2011-06-16,1.083,30.667
2011-06-17,1.292,26.75
2011-06-18,1.5,47.333
2011-06-19,1.667,39.0
2011-06-20,1.13,33.913
2011-06-21,1.609,33.542
2011-06-22,3.875,33.375
2011-06-23,4.0,34.75
2011-06-24,3.875,29.542
2011-06-25,3.333,26.25
2011-06-26,1.833,16.833
2011-06-27,2.696,20.0
2011-06-28,3.913,36.292
2011-06-29,4.125,37.083
2011-06-30,4.667,30.542
2011-07-01,1.125,32.458
2011-07-02,1.333,50.167
2011-07-03,3.583,44.042
2011-07-04,1.783,25.652
2011-07-05,1.391,26.708
2011-07-06,1.875,49.333
2011-07-07,1.458,17.625
2011-07-08,3.083,41.375
2011-07-09,3.125,34.333
2011-07-10,2.625,20.083
2011-07-11,2.0,21.792
2011-07-12,1.696,21.208
2011-07-13,2.25,23.0
2011-07-14,2.917,21.208
2011-07-15,2.792,29.833
2011-07-16,2.783,35.0
2011-07-17,3.167,35.833
2011-07-18,1.625,20.167
2011-07-19,1.273,23.696
2011-07-20,1.042,13.833
2011-07-21,1.667,16.75
2011-07-22,2.958,24.5
2011-07-23,2.917,39.417
2011-07-24,3.417,45.542
2011-07-25,2.75,44.833
2011-07-26,3.545,31.043
2011-07-27,3.417,33.417
2011-07-28,2.875,24.25
2011-07-29,2.208,22.792
2011-07-30,2.167,22.208
2011-07-31,2.25,31.917
2011-08-01,3.25,39.208
2011-08-02,2.818,37.913
2011-08-03,3.167,27.792
2011-08-04,3.333,20.375
2011-08-05,3.417,26.458
2011-08-06,1.625,21.667
2011-08-07,2.583,23.542
2011-08-08,2.708,28.667
2011-08-09,3.304,50.792
2011-08-10,2.5,40.667
2011-08-11,1.542,21.417
2011-08-12,1.625,18.0
2011-08-13,2.333,22.708
2011-08-14,2.875,30.042
2011-08-15,1.375,18.583
2011-08-16,1.696,18.417
2011-08-17,2.087,27.522
2011-08-18,1.625,22.667
2011-08-19,1.333,16.792
2011-08-20,1.542,23.208
2011-08-21,1.0,14.042
2011-08-22,1.583,27.333
2011-08-23,1.182,36.304
2011-08-24,2.083,35.792
2011-08-25,3.417,43.958
2011-08-26,1.958,31.0
2011-08-27,2.708,32.375
2011-08-28,1.833,32.125
2011-08-29,2.792,40.917
2011-08-30,3.217,56.375
2011-08-31,3.167,53.458
2011-09-01,1.87,29.565
2011-09-02,1.0,20.333
2011-09-03,1.0,30.042
2011-09-04,1.0,19.833
2011-09-05,1.5,19.375
2011-09-06,2.043,33.292
2011-09-07,2.458,26.125
2011-09-08,3.458,34.917
2011-09-09,3.292,34.458
2011-09-10,2.083,43.958
2011-09-11,2.0,25.5
2011-09-12,3.739,30.565
2011-09-13,3.348,38.167
2011-09-14,3.042,45.458
2011-09-15,2.792,35.167
2011-09-16,1.5,25.75
2011-09-17,1.0,17.417
2011-09-18,1.0,25.5
2011-09-19,1.0,17.583
2011-09-20,1.0,14.667
2011-09-21,1.042,12.542
2011-09-22,1.458,14.167
2011-09-23,1.417,20.708
2011-09-24,2.292,18.708
2011-09-25,2.583,24.958
2011-09-26,2.667,28.25
2011-09-27,2.381,20.636
2011-09-28,2.667,25.75
2011-09-29,2.958,36.917
2011-09-30,2.083,16.167
2011-10-01,2.542,23.333
2011-10-02,2.292,22.458
2011-10-03,2.083,20.833
2011-10-04,2.348,18.75
2011-10-05,1.542,24.0
2011-10-06,1.625,20.042
2011-10-07,2.125,36.542
2011-10-08,2.5,33.792
2011-10-09,3.083,50.708
2011-10-10,2.417,36.625
2011-10-11,3.391,40.625
2011-10-12,2.417,43.875
2011-10-13,1.522,39.261
2011-10-14,1.375,41.833
2011-10-15,1.0,13.083
2011-10-16,2.375,29.875
2011-10-17,2.417,27.75
2011-10-18,1.913,16.958
2011-10-19,2.333,20.125
2011-10-20,2.87,35.565
2011-10-21,2.0,28.0
2011-10-22,1.5,19.083
2011-10-23,1.0,10.208
2011-10-24,2.375,21.167
2011-10-25,2.217,19.958
2011-10-26,1.783,15.043
2011-10-27,2.083,18.875
2011-10-28,2.833,36.625
2011-10-29,2.708,37.542
2011-10-30,1.458,37.417
2011-10-31,1.75,14.583
2011-11-01,2.391,19.958
2011-11-02,2.458,21.542
2011-11-03,1.917,35.75
2011-11-04,1.833,43.25
2011-11-05,1.083,41.667
2011-11-06,1.0,17.375
2011-11-07,1.292,14.542
2011-11-08,1.773,17.043
2011-11-09,2.208,14.792
2011-11-10,1.625,17.208
2011-11-11,2.25,23.875
2011-11-12,2.625,25.0
2011-11-13,2.0,29.083
2011-11-14,2.917,42.917
2011-11-15,2.261,22.292
2011-11-16,1.958,16.167
2011-11-17,3.625,32.583
2011-11-18,1.667,49.583
2011-11-19,1.292,20.458
2011-11-20,1.875,16.5
2011-11-21,1.458,13.958
2011-11-22,1.818,13.957
2011-11-23,2.333,25.625
2011-11-24,1.708,10.167
2011-11-25,1.792,11.083
2011-11-26,2.208,16.917
2011-11-27,4.125,34.917
2011-11-28,3.167,59.792
2011-11-29,3.478,65.333
2011-11-30,4.083,67.167
2011-12-01,1.273,12.273
2011-12-02,1.375,20.833
2011-12-03,1.0,13.25
2011-12-04,1.0,9.167
2011-12-05,1.5,19.833
2011-12-06,1.913,20.708
2011-12-07,1.565,20.261
2011-12-08,1.208,20.083
2011-12-09,1.667,13.75
2011-12-10,1.417,13.375
2011-12-11,1.542,14.833
2011-12-12,1.417,19.333
2011-12-13,2.15,27.429
2011-12-14,2.792,32.0
2011-12-15,2.917,28.5
2011-12-16,1.833,12.333
2011-12-17,1.167,11.417
2011-12-18,1.708,16.25
2011-12-19,1.875,15.583
2011-12-20,1.81,11.5
2011-12-21,2.875,21.375
2011-12-22,4.042,24.458
2011-12-23,1.458,11.0
2011-12-24,1.5,12.333
2011-12-25,1.875,6.625
2011-12-26,1.292,8.083
2011-12-27,1.391,11.0
2011-12-28,2.292,10.958
2011-12-29,2.261,20.826
2011-12-30,1.708,12.75
2011-12-31,1.708,10.875
2012-01-01,2.348,14.25
2012-01-02,3.625,34.0
2012-01-03,2.333,10.75
2012-01-04,3.182,6.304
2012-01-05,2.667,12.667
2012-01-06,2.708,13.583
2012-01-07,2.167,19.333
2012-01-08,3.217,26.917
2012-01-09,3.167,18.5
2012-01-10,2.167,10.958
2012-01-11,2.292,9.375
2012-01-12,2.917,22.958
2012-01-13,3.042,47.167
2012-01-14,1.833,12.5
2012-01-15,2.136,20.333
2012-01-16,2.292,21.583
2012-01-17,2.583,26.042
2012-01-18,1.417,8.083
2012-01-19,2.042,13.083
2012-01-20,2.875,22.917
2012-01-21,3.958,47.208
2012-01-22,1.348,32.5
2012-01-23,1.833,14.417
2012-01-24,1.667,20.083
2012-01-25,2.667,20.708
2012-01-26,4.833,19.208
2012-01-27,2.125,9.75
2012-01-28,1.87,14.391
2012-01-29,2.826,18.625
2012-01-30,3.125,33.667
2012-01-31,4.083,51.875
2012-02-01,3.083,72.5
2012-02-02,1.917,50.667
2012-02-03,2.25,20.333
2012-02-04,2.174,45.652
2012-02-05,3.435,28.083
2012-02-06,1.917,22.417
2012-02-07,2.75,23.042
2012-02-08,2.0,7.833
2012-02-09,2.208,13.083
2012-02-10,2.583,17.583
2012-02-11,3.833,29.958
2012-02-12,4.333,25.182
2012-02-13,3.292,21.625
2012-02-14,3.75,19.625
2012-02-15,2.667,19.333
2012-02-16,2.5,16.458
2012-02-17,4.042,17.292
2012-02-18,3.167,32.042
2012-02-19,1.909,15.522
2012-02-20,1.958,11.083
2012-02-21,3.75,19.958
2012-02-22,3.917,22.542
2012-02-23,4.292,37.042
2012-02-24,2.667,15.292
2012-02-25,4.125,16.583
2012-02-26,4.636,36.261
2012-02-27,2.125,26.833
2012-02-28,3.208,26.917
2012-03-01,3.833,36.375
2012-03-02,3.042,26.125
2012-03-03,2.958,21.375
2012-03-04,4.217,26.348
2012-03-05,4.087,45.542
2012-03-06,3.083,22.833
2012-03-07,5.958,42.75
2012-03-08,4.25,43.792
2012-03-09,6.583,75.167
2012-03-10,2.667,29.875
2012-03-11,2.208,17.333
2012-03-12,4.783,35.792
2012-03-13,2.875,53.792
2012-03-14,1.583,16.542
2012-03-15,3.542,20.792
2012-03-16,2.792,27.917
2012-03-17,3.167,62.583
2012-03-18,2.13,40.174
2012-03-19,3.957,49.667
2012-03-20,2.792,60.0
2012-03-21,2.292,13.792
2012-03-22,3.542,29.792
2012-03-23,2.417,25.083
2012-03-24,3.625,43.833
