date,NO2_mean,NOX_mean,NO_mean,SO2_mean
2011-01-01,14.583,68.958,54.375,3.25
2011-01-02,6.667,10.0,3.333,2.917
2011-01-03,11.833,37.917,26.083,4.917
2011-01-04,8.5,13.0,4.5,3.958
2011-01-05,10.652,15.174,4.522,3.0
2011-01-06,9.5,14.333,4.833,2.542
2011-01-07,6.625,8.917,2.292,1.917
2011-01-08,5.375,8.833,3.458,2.792
2011-01-09,9.0,13.833,4.833,3.875
2011-01-10,4.125,4.917,0.792,3.917
2011-01-11,3.217,3.957,0.739,3.917
2011-01-12,4.875,7.542,2.667,2.167
2011-01-13,11.458,23.875,12.417,4.083
2011-01-14,5.458,7.667,2.208,4.75
2011-01-15,3.417,4.292,0.875,3.0
2011-01-16,2.208,3.0,0.792,1.708
2011-01-17,1.542,2.125,0.583,1.917
2011-01-18,2.478,3.957,1.478,1.783
2011-01-19,3.917,5.667,1.75,1.0
2011-01-20,2.583,4.083,1.5,1.458
2011-01-21,3.0,3.625,0.625,1.0
2011-01-22,3.958,7.125,3.167,1.375
2011-01-23,2.958,4.083,1.125,2.208
2011-01-24,2.875,4.042,1.167,2.417
2011-01-25,5.739,9.435,3.696,3.0
2011-01-26,3.708,4.958,1.25,2.25
2011-01-27,10.917,22.75,11.833,3.625
2011-01-28,10.792,37.708,26.917,3.125
2011-01-29,1.75,2.5,0.75,2.5
2011-01-30,7.625,10.5,2.875,2.333
2011-01-31,7.583,21.708,14.125,2.708
2011-02-01,16.043,58.043,42.0,4.652
2011-02-02,7.75,14.25,6.5,2.75
2011-02-03,14.708,35.917,21.208,2.333
2011-02-04,19.0,66.75,47.75,4.125
2011-02-05,14.542,47.292,32.75,3.292
2011-02-06,11.292,63.375,52.083,1.5
2011-02-07,6.333,10.042,3.708,2.292
2011-02-08,3.826,6.913,3.087,2.292
2011-02-09,4.583,6.917,2.333,2.083
2011-02-10,4.417,7.0,2.583,2.542
2011-02-11,6.375,12.0,5.625,2.833
2011-02-12,6.458,22.333,15.875,2.583
2011-02-13,13.667,43.583,29.917,1.167
2011-02-14,12.375,68.333,55.958,1.292
2011-02-15,5.957,18.261,12.304,1.043
2011-02-16,6.0,9.042,3.042,2.0
2011-02-17,6.875,11.333,4.458,2.917
2011-02-18,13.458,23.833,10.375,3.5
2011-02-19,13.5,21.125,7.625,3.0
2011-02-20,8.792,29.083,20.292,3.375
2011-02-21,14.125,60.833,46.708,3.5
2011-02-22,4.652,5.565,0.913,1.125
2011-02-23,12.0,28.208,16.208,2.542
2011-02-24,3.708,5.667,1.958,3.875
2011-02-25,10.583,22.75,12.167,1.292
2011-02-26,2.917,4.125,1.208,1.542
2011-02-27,3.083,3.958,0.875,1.958
2011-02-28,7.458,12.0,4.542,1.708
2011-03-01,7.833,17.208,9.375,1.875
2011-03-02,7.167,13.458,6.292,1.417
