date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,203.958,10.125,16.75,28.435,68.087,39.652,4.818,40.083,220.708
2011-01-02,195.13,10.125,17.435,26.958,71.167,44.208,3.6,14.292,212.565
2011-01-03,201.958,11.043,18.5,33.5,78.5,45.0,4.857,34.417,220.458
2011-01-04,197.75,9.917,17.583,32.833,90.542,57.708,4.0,19.167,215.333
2011-01-05,202.792,11.25,54.417,41.875,118.292,76.417,3.583,19.167,257.208
2011-01-06,193.75,11.542,25.167,38.875,108.792,69.917,4.2,17.625,218.917
2011-01-07,198.75,12.0,59.083,39.875,110.167,70.292,,19.208,257.833
2011-01-08,203.25,10.917,30.917,34.565,90.696,56.13,,17.875,234.167
2011-01-09,206.652,11.292,20.391,35.542,79.667,44.125,,40.417,227.043
2011-01-10,209.333,15.13,31.333,39.667,129.0,89.333,,64.333,240.667
2011-01-11,194.095,10.952,21.0,37.043,94.522,57.478,4.714,24.261,215.095
2011-01-12,197.5,11.792,24.958,37.792,113.25,75.458,3.6,21.583,222.458
2011-01-13,209.958,13.167,31.0,42.625,131.875,89.25,5.667,34.625,240.958
2011-01-14,195.792,12.375,30.333,39.042,106.458,67.417,5.458,34.667,226.125
2011-01-15,192.708,10.458,49.0,31.652,69.522,37.87,4.391,16.917,241.708
2011-01-16,190.391,9.792,16.0,29.625,71.875,42.25,3.875,16.417,206.391
2011-01-17,191.167,9.652,18.667,31.375,76.25,44.875,3.417,12.208,209.833
2011-01-18,195.5,12.292,46.125,37.458,120.0,82.542,4.375,17.958,241.625
2011-01-19,191.042,10.5,22.292,30.542,91.25,60.708,3.417,19.333,213.333
2011-01-20,185.792,8.083,14.292,25.083,51.333,26.25,3.417,10.083,200.083
2011-01-21,188.0,9.542,18.042,32.375,78.625,46.25,3.708,10.375,206.042
2011-01-22,194.583,10.783,25.125,36.652,93.391,56.739,3.348,15.417,219.708
2011-01-23,195.957,10.458,23.174,37.417,108.542,71.125,3.458,10.667,219.13
2011-01-24,199.909,11.083,43.864,37.958,108.125,70.167,3.583,19.458,243.773
2011-01-25,200.875,11.625,39.458,37.958,104.083,66.125,3.917,22.75,240.333
2011-01-26,200.583,11.125,75.458,38.625,108.125,69.5,3.792,14.25,276.042
2011-01-27,199.042,11.792,45.958,36.292,93.5,57.208,4.083,25.25,245.0
2011-01-28,195.417,10.667,21.542,33.167,73.0,39.833,4.458,30.25,216.958
2011-01-29,196.167,9.87,19.042,30.696,67.826,37.13,5.478,20.5,215.208
2011-01-30,192.826,9.75,17.783,33.083,76.417,43.333,4.417,17.292,210.609
2011-01-31,197.917,12.542,46.125,44.542,118.125,73.583,6.25,30.083,244.042
2011-02-01,200.25,12.0,35.083,40.25,101.458,61.208,4.25,31.0,235.333
2011-02-02,194.708,9.5,17.042,33.625,84.833,51.208,3.042,12.5,211.75
2011-02-03,197.75,11.625,27.583,36.375,112.458,76.083,2.75,20.208,225.333
2011-02-04,211.375,13.208,41.167,42.5,123.875,81.375,3.917,29.958,252.542
2011-02-05,195.25,11.0,21.583,32.217,73.87,41.652,3.826,33.75,216.833
2011-02-06,197.652,13.0,29.522,35.333,138.833,103.5,3.958,35.833,227.174
2011-02-07,195.0,12.667,34.5,40.917,111.625,70.708,3.667,30.875,229.5
2011-02-08,199.5,10.792,26.875,36.375,106.25,69.875,3.25,16.667,226.375
2011-02-09,200.211,12.947,29.316,43.105,135.579,92.474,3.105,15.8,229.526
2011-02-10,192.917,10.917,25.167,36.875,92.75,55.875,3.375,15.458,218.083
2011-02-11,196.917,11.583,30.958,40.958,103.042,62.083,3.833,14.958,227.875
2011-02-12,196.167,11.391,29.208,37.696,84.261,46.565,4.391,16.417,225.375
2011-02-13,198.217,13.917,31.087,39.75,149.875,110.125,3.958,21.958,229.304
2011-02-14,204.542,16.75,53.083,42.208,200.292,158.083,4.25,24.042,257.625
2011-02-15,195.708,12.375,24.458,38.458,96.625,58.167,3.81,28.435,220.167
2011-02-16,197.583,12.875,31.625,39.708,106.5,66.792,3.792,19.833,229.208
2011-02-17,202.042,12.167,28.417,38.75,100.542,61.792,3.708,23.458,230.458
2011-02-18,200.292,11.958,22.667,37.542,102.625,65.083,2.75,15.125,222.958
2011-02-19,201.542,11.0,21.083,34.696,93.478,58.783,2.261,21.875,222.625
2011-02-20,194.783,11.208,22.696,36.25,95.583,59.333,2.833,15.333,217.478
2011-02-21,190.75,10.042,19.958,35.833,78.042,42.208,3.125,18.25,210.708
2011-02-22,192.25,13.0,31.5,33.917,123.792,89.875,3.042,19.458,223.75
2011-02-23,192.583,12.583,31.042,36.542,112.917,76.375,3.875,26.333,223.625
2011-02-24,189.667,10.792,22.708,29.375,50.208,20.833,5.792,40.042,212.375
2011-02-25,190.125,11.333,25.0,43.25,98.75,55.5,4.625,31.458,215.125
2011-02-26,190.708,9.696,16.292,30.783,70.478,39.696,3.348,13.417,207.0
2011-02-27,195.217,9.542,16.043,30.917,61.875,30.958,3.042,9.0,211.261
2011-02-28,194.125,14.083,28.125,34.333,82.792,48.458,3.542,12.583,222.25
2011-03-01,201.25,16.625,54.708,43.083,181.208,138.125,3.875,32.25,255.958
2011-03-02,192.167,11.083,24.917,41.5,98.667,57.167,3.333,12.083,217.083
2011-03-03,189.292,8.792,14.0,26.458,37.792,11.333,3.75,17.0,203.292
2011-03-04,191.208,9.913,15.542,27.913,62.435,34.522,3.13,14.042,206.75
2011-03-05,197.455,13.5,33.091,41.375,153.125,111.75,3.625,14.958,230.545
2011-03-06,204.619,15.125,62.095,45.583,131.458,85.875,3.708,35.391,266.714
2011-03-07,203.25,13.542,34.875,46.625,97.167,50.542,5.042,48.875,238.125
2011-03-08,202.083,16.042,31.083,50.875,115.917,65.042,5.625,58.167,233.167
2011-03-09,191.958,9.75,15.417,31.333,46.792,15.458,3.542,26.75,207.375
