date,NO2_mean,NOX_mean,NO_mean,SO2_mean
2011-01-01,4.542,5.667,1.125,5.167
2011-01-02,4.625,6.0,1.375,2.833
2011-01-03,4.0,5.375,1.375,5.583
2011-01-04,4.125,5.458,1.333,2.739
2011-01-05,8.25,10.917,2.667,1.833
2011-01-06,13.375,18.417,5.042,2.583
2011-01-07,10.25,14.333,4.083,2.125
2011-01-08,5.958,7.708,1.75,1.708
2011-01-09,9.042,11.958,2.917,9.167
2011-01-10,15.583,21.583,6.0,6.708
2011-01-11,9.25,12.917,3.667,4.174
2011-01-12,6.13,8.87,2.739,2.333
2011-01-13,5.958,8.292,2.333,4.958
2011-01-14,15.333,22.625,7.292,3.417
2011-01-15,8.708,12.542,3.833,2.417
2011-01-16,6.875,10.667,3.792,1.792
2011-01-17,10.542,16.125,5.583,1.458
2011-01-18,14.958,21.583,6.625,2.261
2011-01-19,14.417,19.75,5.333,1.875
2011-01-20,8.542,12.583,4.042,1.917
2011-01-21,4.583,7.042,2.458,1.583
2011-01-22,6.542,8.667,2.125,1.5
2011-01-23,4.958,6.917,1.958,1.958
2011-01-24,5.13,7.261,2.13,2.87
2011-01-25,5.417,6.583,1.167,3.913
2011-01-26,6.667,8.375,1.708,2.208
2011-01-27,12.5,16.875,4.375,2.875
2011-01-28,11.5,19.708,8.208,3.292
2011-01-29,4.708,6.083,1.375,4.792
2011-01-30,8.458,12.292,3.833,2.917
2011-01-31,14.292,21.25,6.958,4.583
2011-02-01,3.333,4.292,0.958,3.261
2011-02-02,5.167,6.833,1.667,2.0
2011-02-03,7.5,9.583,2.083,1.542
2011-02-04,15.417,23.917,8.5,2.958
2011-02-05,12.125,15.833,3.708,2.375
2011-02-06,14.667,28.208,13.542,1.917
2011-02-07,4.792,6.292,1.5,2.167
2011-02-08,4.304,6.043,1.739,1.727
2011-02-09,6.292,8.292,2.0,2.042
2011-02-10,11.875,16.583,4.708,2.375
2011-02-11,12.0,17.875,5.875,1.833
2011-02-12,9.708,13.667,3.958,2.583
2011-02-13,17.0,25.5,8.5,2.083
2011-02-14,21.667,38.2,16.533,1.867
2011-04-01,9.958,13.25,3.292,2.435
