date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,THC_mean
2011-01-01,195.375,5.667,11.75,17.458,26.333,8.875,207.125
2011-01-02,192.875,6.458,12.708,23.792,42.083,18.292,205.583
2011-01-03,193.667,5.95,12.833,23.045,33.909,10.864,206.5
2011-01-04,191.0,3.375,10.708,20.875,33.958,13.083,201.708
2011-01-05,190.083,5.792,12.792,28.708,53.417,24.708,202.875
2011-01-06,192.13,7.792,17.522,30.458,73.292,42.833,209.652
2011-01-07,194.25,9.625,24.792,30.667,88.958,58.292,219.042
2011-01-08,191.458,7.0,14.833,24.136,41.818,17.682,206.292
2011-01-09,198.5,8.583,16.458,29.583,53.833,24.25,214.958
2011-01-10,201.083,11.957,27.958,32.435,89.87,57.435,229.042
2011-01-11,195.5,9.208,18.833,32.917,95.875,62.958,214.333
2011-01-12,193.833,8.875,25.083,34.5,100.917,66.417,218.917
2011-01-13,191.391,6.625,13.739,31.545,62.955,31.409,205.13
2011-01-14,191.583,7.333,22.792,33.333,79.958,46.625,214.375
2011-01-15,188.583,6.125,14.667,23.042,41.542,18.5,203.25
2011-01-16,184.75,5.125,11.042,22.333,43.542,21.208,195.792
2011-01-17,186.083,5.833,15.625,24.667,56.0,31.333,201.708
2011-01-18,186.708,9.833,22.583,29.864,84.182,54.318,209.292
2011-01-19,182.333,10.375,20.542,27.833,75.417,47.583,202.875
2011-01-20,189.609,5.958,12.261,26.0,55.083,29.083,201.87
2011-01-21,188.708,4.458,10.0,22.292,36.333,14.042,198.708
2011-01-22,191.667,5.708,14.208,24.542,42.958,18.417,205.875
2011-01-23,195.0,5.208,11.762,26.318,51.591,25.273,206.762
2011-01-24,208.708,6.042,13.958,28.917,57.375,28.458,222.667
2011-01-25,209.5,6.458,14.5,27.167,51.667,24.5,224.0
2011-01-26,209.542,7.292,17.417,30.292,63.958,33.667,226.958
2011-01-27,195.826,8.542,19.478,31.958,73.792,41.833,215.304
2011-01-28,196.875,7.083,18.917,30.591,58.5,27.909,215.792
2011-01-29,196.792,6.542,14.292,23.833,39.083,15.25,211.083
2011-01-30,197.5,7.708,21.625,31.5,77.167,45.667,219.125
2011-01-31,198.583,9.333,24.917,33.75,83.875,50.125,223.5
2011-02-01,195.208,4.875,13.875,23.083,35.667,12.583,209.083
2011-02-02,190.083,5.375,12.167,26.818,51.545,24.727,202.25
2011-02-03,192.913,6.375,18.957,30.833,72.083,41.25,211.87
2011-02-04,198.333,8.583,20.125,30.75,76.125,45.375,218.458
2011-02-05,199.458,6.375,17.292,22.125,40.708,18.583,216.75
